case,threads,method,updates,base_bytes,filter_bytes,digest,ors,reservations,positive_reads,false_positives,clean_reads,scanned,checksum,correct
small,1,eager_plain,8192,949504,32768,3844784674952346609,0,0,0,0,0,0,7699907071562194480,1
small,1,eager_atomic,8192,949504,32768,3844784674952346609,0,0,0,0,0,0,7699907071562194480,1
small,1,eager_striped,8192,949504,32768,3844784674952346609,0,0,0,0,0,0,7699907071562194480,1
small,1,scatter_record,8192,949504,32768,3844784674952346609,262144,8192,28,0,4,28672,7699907071562194480,1
small,1,word_or_record,8192,949504,32768,3844784674952346609,65536,8192,28,0,4,28672,7699907071562194480,1
small,1,word_check_record,8192,949504,32768,3844784674952346609,38098,8192,28,0,4,28672,7699907071562194480,1
small,1,word_check_span,8192,949504,32768,3844784674952346609,38098,128,28,0,4,28672,7699907071562194480,1
small,1,exact_top_span,8192,949504,32768,3844784674952346609,38098,128,28,0,4,28672,7699907071562194480,1
small,1,read_flush_span,8192,949504,32768,3844784674952346609,38098,128,8,0,0,0,7699907071562194480,1
small,4,eager_atomic,8192,949504,32768,3844784674952346609,0,0,0,0,0,0,7699907071562194480,1
small,4,eager_striped,8192,949504,32768,3844784674952346609,0,0,0,0,0,0,7699907071562194480,1
small,4,scatter_record,8192,949504,32768,3844784674952346609,262144,8192,28,0,4,28672,7699907071562194480,1
small,4,word_or_record,8192,949504,32768,3844784674952346609,65536,8192,28,0,4,28672,7699907071562194480,1
small,4,word_check_record,8192,949504,32768,3844784674952346609,38132,8192,28,0,4,28672,7699907071562194480,1
small,4,word_check_span,8192,949504,32768,3844784674952346609,38132,128,28,0,4,28672,7699907071562194480,1
small,4,exact_top_span,8192,949504,32768,3844784674952346609,38116,128,28,0,4,28672,7699907071562194480,1
small,4,read_flush_span,8192,949504,32768,3844784674952346609,38129,128,8,0,0,0,7699907071562194480,1
spread,1,eager_plain,8192,55653632,32768,3026247559750320707,0,0,0,0,0,0,401617623381871345,1
spread,1,eager_atomic,8192,55653632,32768,3026247559750320707,0,0,0,0,0,0,401617623381871345,1
spread,1,eager_striped,8192,55653632,32768,3026247559750320707,0,0,0,0,0,0,401617623381871345,1
spread,1,scatter_record,8192,55653632,32768,3026247559750320707,262144,8192,16,0,16,16384,401617623381871345,1
spread,1,word_or_record,8192,55653632,32768,3026247559750320707,65536,8192,16,0,16,16384,401617623381871345,1
spread,1,word_check_record,8192,55653632,32768,3026247559750320707,58819,8192,16,0,16,16384,401617623381871345,1
spread,1,word_check_span,8192,55653632,32768,3026247559750320707,58819,128,16,0,16,16384,401617623381871345,1
spread,1,exact_top_span,8192,55653632,32768,3026247559750320707,58819,128,16,0,16,16384,401617623381871345,1
spread,1,read_flush_span,8192,55653632,32768,3026247559750320707,58819,128,8,0,0,0,401617623381871345,1
spread,4,eager_atomic,8192,55653632,32768,3026247559750320707,0,0,0,0,0,0,401617623381871345,1
spread,4,eager_striped,8192,55653632,32768,3026247559750320707,0,0,0,0,0,0,401617623381871345,1
spread,4,scatter_record,8192,55653632,32768,3026247559750320707,262144,8192,16,0,16,16384,401617623381871345,1
spread,4,word_or_record,8192,55653632,32768,3026247559750320707,65536,8192,16,0,16,16384,401617623381871345,1
spread,4,word_check_record,8192,55653632,32768,3026247559750320707,58827,8192,16,0,16,16384,401617623381871345,1
spread,4,word_check_span,8192,55653632,32768,3026247559750320707,58833,128,16,0,16,16384,401617623381871345,1
spread,4,exact_top_span,8192,55653632,32768,3026247559750320707,58833,128,16,0,16,16384,401617623381871345,1
spread,4,read_flush_span,8192,55653632,32768,3026247559750320707,58821,128,8,0,0,0,401617623381871345,1
hot,1,eager_plain,8192,55653632,32768,13296192339615243068,0,0,0,0,0,0,12571949920618476691,1
hot,1,eager_atomic,8192,55653632,32768,13296192339615243068,0,0,0,0,0,0,12571949920618476691,1
hot,1,eager_striped,8192,55653632,32768,13296192339615243068,0,0,0,0,0,0,12571949920618476691,1
hot,1,scatter_record,8192,55653632,32768,13296192339615243068,262144,8192,11,0,21,11264,12571949920618476691,1
hot,1,word_or_record,8192,55653632,32768,13296192339615243068,65536,8192,11,0,21,11264,12571949920618476691,1
hot,1,word_check_record,8192,55653632,32768,13296192339615243068,4064,8192,11,0,21,11264,12571949920618476691,1
hot,1,word_check_span,8192,55653632,32768,13296192339615243068,4064,128,11,0,21,11264,12571949920618476691,1
