case,threads,method,updates,base_bytes,filter_bytes,digest,ors,reservations,positive_reads,false_positives,clean_reads,scanned,checksum,correct,ns_per_update,spread_percent,write_ns,read_ns,flush_ns,drain_ns,reset_ns
spread,4,eager_atomic,8192,55653632,8192,3026247559750320707,0,0,0,0,0,0,401617623381871345,1,153.52902499112218,11.802936181078094,152.95957808061078,0.5694469105113638,0.0,0.0,0.0
spread,4,eager_striped,8192,55653632,8192,3026247559750320707,0,0,0,0,0,0,401617623381871345,1,124.07643839518227,2.687794951668512,123.46883544921874,0.6076029459635418,0.0,0.0,0.0
spread,4,word_check_span,8192,55653632,8192,3026247559750320707,58443,128,18,2,16,18432,401617623381871345,1,233.75869645743532,5.461188838048352,170.71234341325427,5.287319841056035,57.66103178879311,57.059991244612064,0.5777335331357757
spread,4,read_flush_span,8192,55653632,8192,3026247559750320707,58447,128,8,0,0,0,401617623381871345,1,235.97433155980607,5.077095145464802,170.3768057987608,0.5689486799568987,65.01329724542026,64.54495554956895,0.4693603515624999
spread,4,append_scan,8192,55653632,0,3026247559750320707,0,128,32,16,16,32768,401617623381871345,1,129.70758833451708,2.5716460848727625,61.08451260653409,10.371271306818183,57.946573153409105,57.7130770596591,0.21520330255681816
spread,4,append_flush,8192,55653632,0,3026247559750320707,0,128,8,0,0,0,401617623381871345,1,148.57738973928048,2.541007244224738,60.36379508085029,0.5773812227470907,86.63784577125729,86.27219976380813,0.365646007449128
hot,4,eager_atomic,8192,55653632,8192,13296192339615243068,0,0,0,0,0,0,12571949920618476691,1,147.77823602585568,1.8901657347164529,146.7764398484003,1.0017961774553572,0.0,0.0,0.0
hot,4,eager_striped,8192,55653632,8192,13296192339615243068,0,0,0,0,0,0,12571949920618476691,1,125.02079490379053,3.2217875212780727,124.00587745949076,1.0521262839988426,0.0,0.0,0.0
hot,4,word_check_span,8192,55653632,8192,13296192339615243068,4111,128,11,0,21,11264,12571949920618476691,1,85.29168701171879,2.933558224126088,71.12601318359376,2.683607482910156,11.659936523437505,6.393974304199219,5.279682922363284
hot,4,read_flush_span,8192,55653632,8192,13296192339615243068,4068,128,8,0,0,0,12571949920618476691,1,85.32170257568357,3.1320024699001174,72.44582977294921,1.0298126220703128,11.566928100585937,6.816508483886717,4.750419616699219
hot,4,append_scan,8192,55653632,0,13296192339615243068,0,128,32,21,21,32768,12571949920618476691,1,75.49960075827205,2.0093326695057416,63.09807416130517,5.699579216452206,6.732921645220587,6.63781307444853,0.09603486902573527
hot,4,append_flush,8192,55653632,0,13296192339615243068,0,128,8,0,0,0,12571949920618476691,1,73.9970009251645,3.4247059418839476,65.77575041118425,1.0514442845394734,7.191880396792761,7.054012900904605,0.13994911595394732
points,4,eager_atomic,8192,55653632,8192,3026247559750320707,0,0,0,0,0,0,10296516241658468303,1,150.1779866536458,3.1442201656949997,147.81054416232638,2.3674424913194443,0.0,0.0,0.0
points,4,eager_striped,8192,55653632,8192,3026247559750320707,0,0,0,0,0,0,10296516241658468303,1,123.49000331333703,3.006148880715568,121.01215035574776,2.414215087890626,0.0,0.0,0.0
points,4,word_check_span,8192,55653632,8192,3026247559750320707,58437,128,22,17,507,22528,10296516241658468303,1,244.60434395926336,19.288142810746276,176.44454084123885,9.632463727678573,58.52733939034599,56.92553274972098,1.6018066406249996
points,4,read_flush_span,8192,55653632,8192,3026247559750320707,58445,128,8,7,150,0,10296516241658468303,1,239.9722226899246,4.34808477662961,171.2793558054957,2.920986833243534,67.29549434267241,66.30773083917026,0.9795679552801727
points,4,append_scan,8192,55653632,0,3026247559750320707,0,128,512,507,507,524288,10296516241658468303,1,209.5102687026515,5.3665877752260664,62.5569846413352,86.42364686908142,58.96815074573864,58.774125532670446,0.19402521306818177
points,4,append_flush,8192,55653632,0,3026247559750320707,0,128,8,8,8,0,10296516241658468303,1,151.03134223090277,5.490016074015389,61.56027289496529,2.3216579861111097,87.14941134982638,86.88560384114581,0.2990614149305556
hot4096,4,eager_atomic,32768,55653632,8192,16039925066027512191,0,0,0,0,0,0,4531844573321199073,1,98.55086382697608,20.065818007280722,98.24965892118566,0.3004042681525735,0.0,0.0,0.0
hot4096,4,eager_striped,32768,55653632,8192,16039925066027512191,0,0,0,0,0,0,4531844573321199073,1,70.85046386718751,5.492236669605407,70.49862670898438,0.2946127186650815,0.0,0.0,0.0
hot4096,4,word_check_span,32768,55653632,8192,16039925066027512191,4090,512,11,0,21,45056,4531844573321199073,1,29.94048335634429,5.174662742201254,22.312658375707162,1.4678002719221444,6.184518222151133,5.327577788254311,0.8324469204606681
hot4096,4,read_flush_span,32768,55653632,8192,16039925066027512191,4068,512,8,0,0,0,4531844573321199073,1,29.285396769895385,5.9698742492843255,22.735507771120233,0.2935475494902012,6.310387045650158,5.527678926112289,0.7855597027277543
hot4096,4,append_scan,32768,55653632,0,16039925066027512191,0,512,32,21,21,131072,4531844573321199073,1,25.26079290053424,9.962555100711638,16.206859364229093,3.7950870289522065,5.258846507352941,5.2318923052619475,0.03432464599609375
hot4096,4,append_flush,32768,55653632,0,16039925066027512191,0,512,8,0,0,0,4531844573321199073,1,21.94643585591376,5.258536012489088,16.323018906991692,0.2567273876335047,5.417796460888055,5.358217263523536,0.05077313773239713
hot_roots,4,eager_atomic,8192,55653632,8192,13296192339615243068,0,0,0,0,0,0,1013056908084022474,1,152.5988068276263,1.929821088714236,150.80266165226064,1.7961451753656914,0.0,0.0,0.0
hot_roots,4,eager_striped,8192,55653632,8192,13296192339615243068,0,0,0,0,0,0,1013056908084022474,1,123.5316342954282,7.138279926806643,121.55333116319444,1.9783031322337965,0.0,0.0,0.0
hot_roots,4,word_check_span,8192,55653632,8192,13296192339615243068,4115,128,512,0,0,524288,1013056908084022474,1,126.67251925998264,1.6767206733243765,67.82990406177662,46.43853307653358,12.867210105613422,6.4319593641493045,6.497298629195603
hot_roots,4,read_flush_span,8192,55653632,8192,13296192339615243068,4139,128,8,0,0,0,1013056908084022474,1,83.5029975043403,15.894626501985398,69.9810414255401,1.7471305941358017,11.747642988040123,6.790655442226083,4.9521499445408965
hot_roots,4,append_scan,8192,55653632,0,13296192339615243068,0,128,512,0,0,524288,1013056908084022474,1,120.2950374058315,2.2679743438092226,65.5720454624721,47.65873064313615,7.239750453404018,7.098975045340398,0.18149457659040177
hot_roots,4,append_flush,8192,55653632,0,13296192339615243068,0,128,8,0,0,0,1013056908084022474,1,72.4274787902832,4.86923054356355,63.6729024251302,1.7127431233723966,7.180341084798175,7.049671173095704,0.14258575439453125
