name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,mutations_per_trace,queries_per_trace
uniform/eager/manual_time,0,1,2750,102935.57127272707,112916.33272727278,ns,16384.0,256.0
uniform/eager/manual_time,1,1,2750,103545.490909091,112680.1058181818,ns,16384.0,256.0
uniform/eager/manual_time,2,1,2750,104966.60436363635,115011.02981818179,ns,16384.0,256.0
uniform/eager/manual_time,3,1,2750,102692.56436363641,112754.42363636367,ns,16384.0,256.0
uniform/eager/manual_time,4,1,2750,101854.16036363639,112017.07527272725,ns,16384.0,256.0
uniform/eager_batch/manual_time,0,1,118,2396927.8728813548,2364238.3389830515,ns,16384.0,256.0
uniform/eager_batch/manual_time,1,1,118,2343204.6271186452,2351596.0254237275,ns,16384.0,256.0
uniform/eager_batch/manual_time,2,1,118,2350936.1525423722,2358983.3983050846,ns,16384.0,256.0
uniform/eager_batch/manual_time,3,1,118,2343146.355932202,2351853.8135593226,ns,16384.0,256.0
uniform/eager_batch/manual_time,4,1,118,2359569.347457626,2368992.2203389844,ns,16384.0,256.0
uniform/ancestor_runs/manual_time,0,1,104,2658434.9423076925,2666953.903846154,ns,16384.0,256.0
uniform/ancestor_runs/manual_time,1,1,104,2646051.971153845,2655078.5192307727,ns,16384.0,256.0
uniform/ancestor_runs/manual_time,2,1,104,2670027.7499999995,2677686.288461536,ns,16384.0,256.0
uniform/ancestor_runs/manual_time,3,1,104,2682187.096153846,2691243.5769230747,ns,16384.0,256.0
uniform/ancestor_runs/manual_time,4,1,104,2659190.2211538446,2665492.77884615,ns,16384.0,256.0
uniform/location_runs/manual_time,0,1,111,2496050.738738738,2504804.0450450447,ns,16384.0,256.0
uniform/location_runs/manual_time,1,1,111,2512872.297297298,2522593.08108108,ns,16384.0,256.0
uniform/location_runs/manual_time,2,1,111,2500546.459459458,2508817.94594595,ns,16384.0,256.0
uniform/location_runs/manual_time,3,1,111,2504467.00900901,2514235.7207207195,ns,16384.0,256.0
uniform/location_runs/manual_time,4,1,111,2515788.9189189193,2525715.0900900974,ns,16384.0,256.0
hot/eager/manual_time,0,1,1832,152194.5316593887,162999.18067685596,ns,16384.0,256.0
hot/eager/manual_time,1,1,1832,152099.62936681203,163017.2843886462,ns,16384.0,256.0
hot/eager/manual_time,2,1,1832,152582.5049126633,163320.824235808,ns,16384.0,256.0
hot/eager/manual_time,3,1,1832,152564.75163755444,163232.48635371187,ns,16384.0,256.0
hot/eager/manual_time,4,1,1832,152551.15829694315,163334.44705240184,ns,16384.0,256.0
hot/eager_batch/manual_time,0,1,420,665907.3333333342,678652.6761904763,ns,16384.0,256.0
hot/eager_batch/manual_time,1,1,420,663111.5476190473,675301.5880952382,ns,16384.0,256.0
hot/eager_batch/manual_time,2,1,420,655236.7690476186,667075.2952380938,ns,16384.0,256.0
hot/eager_batch/manual_time,3,1,420,661312.8023809525,673285.2142857169,ns,16384.0,256.0
hot/eager_batch/manual_time,4,1,420,663387.6238095233,675743.2523809538,ns,16384.0,256.0
hot/ancestor_runs/manual_time,0,1,368,764610.1548913047,775894.4701086952,ns,16384.0,256.0
hot/ancestor_runs/manual_time,1,1,368,769308.3831521741,781266.0733695667,ns,16384.0,256.0
hot/ancestor_runs/manual_time,2,1,368,773361.1739130426,785149.339673914,ns,16384.0,256.0
hot/ancestor_runs/manual_time,3,1,368,775044.891304347,786798.9103260842,ns,16384.0,256.0
hot/ancestor_runs/manual_time,4,1,368,771048.0516304349,783245.1277173923,ns,16384.0,256.0
hot/location_runs/manual_time,0,1,443,623677.1670428894,635400.3927765264,ns,16384.0,256.0
hot/location_runs/manual_time,1,1,443,627162.0090293454,638943.2821670426,ns,16384.0,256.0
hot/location_runs/manual_time,2,1,443,612998.5033860046,624897.2866817188,ns,16384.0,256.0
hot/location_runs/manual_time,3,1,443,625100.349887133,636766.9255079015,ns,16384.0,256.0
hot/location_runs/manual_time,4,1,443,626280.4288939056,638043.5440180603,ns,16384.0,256.0
single/eager/manual_time,0,1,1559,179296.83194355364,190214.90763309808,ns,16384.0,256.0
single/eager/manual_time,1,1,1559,179585.27517639528,190381.73444515746,ns,16384.0,256.0
single/eager/manual_time,2,1,1559,179254.30532392536,190010.55676715818,ns,16384.0,256.0
single/eager/manual_time,3,1,1559,180579.4682488773,191385.66324567,ns,16384.0,256.0
single/eager/manual_time,4,1,1559,181548.5035279023,192781.3495830662,ns,16384.0,256.0
single/eager_batch/manual_time,0,1,2186,126392.34629460234,137348.29551692624,ns,16384.0,256.0
single/eager_batch/manual_time,1,1,2186,126402.45699908512,137220.95105215014,ns,16384.0,256.0
single/eager_batch/manual_time,2,1,2186,125434.65873742025,136375.81930466602,ns,16384.0,256.0
single/eager_batch/manual_time,3,1,2186,131153.70265324812,142671.5265324796,ns,16384.0,256.0
single/eager_batch/manual_time,4,1,2186,142864.30924062242,154688.18618481216,ns,16384.0,256.0
single/ancestor_runs/manual_time,0,1,2075,134298.1296385538,145289.2963855417,ns,16384.0,256.0
single/ancestor_runs/manual_time,1,1,2075,137358.1648192772,148635.5619277114,ns,16384.0,256.0
single/ancestor_runs/manual_time,2,1,2075,135283.97397590333,146251.0443373504,ns,16384.0,256.0
