case,method,leaf_bits,fanout_bits,partition_bits,updates,batch,queries_per_batch,max_runs,locality,query_shape,seed,mutation_checksum,checksum,correct,foreground_entries,sort_input_entries,base_updates,leaf_base_updates,drain_base_updates,run_entries_written,prefix_entries_written,partition_total_updates,base_query_nodes,partition_consults,partition_total_reads,run_probes,search_comparisons,folds,peak_pending_entries,peak_pending_runs,peak_pending_payload_bytes,largest_scratch_capacity_bytes,base_bytes,partition_metadata_bytes,pending_entries_at_end,cycle_ns_per_mutation,cycle_ratio_to_eager,repetition_spread_pct,base_updates_per_mutation,base_updates_ratio_to_eager,ancestor_updates_per_mutation,ancestor_updates_ratio_to_eager,foreground_entries_per_mutation,run_entries_per_mutation
uniform,eager,16,4,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,81920,0,81920,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,1118480,0,0,6.282688676313908,1.0,3.0236816695305078,5.0,1.0,4.0,1.0,5.0,0.0
uniform,eager_batch,16,4,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,98084,98084,43679,16340,0,0,0,0,3524,0,0,0,0,0,0,0,0,30720,1118480,0,0,143.48975540419752,22.838909071710336,2.2876638691778868,2.66595458984375,0.53319091796875,1.66864013671875,0.4171600341796875,5.986572265625,0.0
uniform,ancestor_runs,16,4,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,98084,142723,35189,16219,0,44639,0,1024,3524,1351,1101,376,51648,256,2154,49,95160,6144,1118480,640,0,162.30409064659696,25.833540225937433,1.3588770262671017,2.14776611328125,0.42955322265625,1.1578369140625,0.289459228515625,5.986572265625,2.72454833984375
uniform,location_runs,16,4,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,16384,113819,35189,16219,0,16340,17364,1024,3524,1351,1101,376,3088,256,793,49,32504,9720,1118480,640,0,152.8605352178351,24.33043289159432,0.788118993349865,2.14776611328125,0.42955322265625,1.1578369140625,0.289459228515625,1.0,0.997314453125
hot,eager,16,4,4,16384,256,4,4,hot,mixed,17,1357388405346860839,4682894648261360692,1,81920,0,81920,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,1118480,0,0,9.310983782772409,1.0,0.31653351652129086,5.0,1.0,4.0,1.0,5.0,0.0
hot,eager_batch,16,4,4,16384,256,4,4,hot,mixed,17,1357388405346860839,4682894648261360692,1,35879,35879,4347,3899,0,0,0,0,3524,0,0,0,0,0,0,0,0,7680,1118480,0,0,40.47311692010787,4.346814242657474,1.609165806873527,0.26531982421875,0.05306396484375,0.02734375,0.0068359375,2.18988037109375,0.0
hot,ancestor_runs,16,4,4,16384,256,4,4,hot,mixed,17,1357388405346860839,4682894648261360692,1,35879,40226,1107,995,0,4347,0,64,3524,1351,1101,17,1979,16,277,4,29880,7680,1118480,640,0,47.06103830752166,5.054357241454556,1.3533185630879054,0.06756591796875,0.01351318359375,0.0068359375,0.001708984375,2.18988037109375,0.26531982421875
hot,location_runs,16,4,4,16384,256,4,4,hot,mixed,17,1357388405346860839,4682894648261360692,1,16384,25258,1107,995,0,3899,3963,64,3524,1351,1101,17,180,16,249,4,10024,7680,1118480,640,0,38.15309752729083,4.097644074719942,2.265797106960202,0.06756591796875,0.01351318359375,0.0068359375,0.001708984375,1.0,0.23797607421875
single,eager,16,4,4,16384,256,4,4,single,mixed,17,18247929627368210834,4311316852590254809,1,81920,0,81920,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,1118480,0,0,10.961015330590532,1.0,1.2774979472696129,5.0,1.0,4.0,1.0,5.0,0.0
single,eager_batch,16,4,4,16384,256,4,4,single,mixed,17,18247929627368210834,4311316852590254809,1,16704,16704,320,64,0,0,0,0,3524,0,0,0,0,0,0,0,0,6144,1118480,0,0,7.714993713323066,0.7038575789408567,13.789012426655852,0.01953125,0.00390625,0.015625,0.00390625,1.01953125,0.0
single,ancestor_runs,16,4,4,16384,256,4,4,single,mixed,17,18247929627368210834,4311316852590254809,1,16704,17024,80,16,0,320,0,64,3524,1351,1101,29,2103,16,20,4,480,6144,1118480,640,0,8.287001070689001,0.7560431967977672,23.712438875937558,0.0048828125,0.0009765625,0.00390625,0.0009765625,1.01953125,0.01953125
single,location_runs,16,4,4,16384,256,4,4,single,mixed,17,18247929627368210834,4311316852590254809,1,16384,16528,80,16,0,64,128,64,3524,1351,1101,29,58,16,4,4,224,6144,1118480,640,0,8.187157181668889,0.7469341967636679,7.691437904245861,0.0048828125,0.0009765625,0.00390625,0.0009765625,1.0,0.00390625
read_heavy,eager,16,4,4,16384,256,64,4,uniform,mixed,17,9707357635842171079,17337807100811482057,1,81920,0,81920,16384,0,0,0,0,56291,0,0,0,0,0,0,0,0,0,1118480,0,0,37.01999887793954,1.0,21.618166863388936,5.0,1.0,4.0,1.0,5.0,0.0
read_heavy,eager_batch,16,4,4,16384,256,64,4,uniform,mixed,17,9707357635842171079,17337807100811482057,1,98084,98084,43679,16340,0,0,0,0,56291,0,0,0,0,0,0,0,0,30720,1118480,0,0,180.80662135074024,4.884025576199682,3.2269003665634624,2.66595458984375,0.53319091796875,1.66864013671875,0.4171600341796875,5.986572265625,0.0
read_heavy,ancestor_runs,16,4,4,16384,256,64,4,uniform,mixed,17,9707357635842171079,17337807100811482057,1,98084,142723,35189,16219,0,44639,0,1024,56291,21326,17359,5964,800580,256,2154,49,95160,6144,1118480,640,0,277.50167396420323,7.495993581176695,1.2087231715960052,2.14776611328125,0.42955322265625,1.1578369140625,0.289459228515625,5.986572265625,2.72454833984375
read_heavy,location_runs,16,4,4,16384,256,64,4,uniform,mixed,17,9707357635842171079,17337807100811482057,1,16384,113819,35189,16219,0,16340,17364,1024,56291,21326,17359,5964,48796,256,793,49,32504,9720,1118480,640,0,199.24070065520527,5.381974789143878,0.7125497376210215,2.14776611328125,0.42955322265625,1.1578369140625,0.289459228515625,1.0,0.997314453125
many_partitions,eager,16,4,8,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,81920,0,81920,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,1118480,0,0,6.2043404376909645,1.0,2.6690016957265508,5.0,1.0,4.0,1.0,5.0,0.0
