case,method,leaf_bits,fanout_bits,partition_bits,updates,batch,queries_per_batch,max_runs,locality,query_shape,seed,mutation_checksum,checksum,correct,foreground_entries,sort_input_entries,base_updates,leaf_base_updates,drain_base_updates,run_entries_written,prefix_entries_written,partition_total_updates,base_query_nodes,partition_consults,partition_total_reads,run_probes,search_comparisons,folds,peak_pending_entries,peak_pending_runs,peak_pending_payload_bytes,largest_scratch_capacity_bytes,base_bytes,partition_metadata_bytes,pending_entries_at_end
uniform,eager,16,4,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,81920,0,81920,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,1118480,0,0
uniform,eager_batch,16,4,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,98084,98084,43679,16340,0,0,0,0,3524,0,0,0,0,0,0,0,0,30720,1118480,0,0
uniform,ancestor_runs,16,4,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,98084,142723,35189,16219,0,44639,0,1024,3524,1351,1101,376,51648,256,2154,49,95160,6144,1118480,640,0
uniform,location_runs,16,4,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,16384,113819,35189,16219,0,16340,17364,1024,3524,1351,1101,376,3088,256,793,49,32504,9720,1118480,640,0
hot,eager,16,4,4,16384,256,4,4,hot,mixed,17,1357388405346860839,4682894648261360692,1,81920,0,81920,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,1118480,0,0
hot,eager_batch,16,4,4,16384,256,4,4,hot,mixed,17,1357388405346860839,4682894648261360692,1,35879,35879,4347,3899,0,0,0,0,3524,0,0,0,0,0,0,0,0,7680,1118480,0,0
hot,ancestor_runs,16,4,4,16384,256,4,4,hot,mixed,17,1357388405346860839,4682894648261360692,1,35879,40226,1107,995,0,4347,0,64,3524,1351,1101,17,1979,16,277,4,29880,7680,1118480,640,0
hot,location_runs,16,4,4,16384,256,4,4,hot,mixed,17,1357388405346860839,4682894648261360692,1,16384,25258,1107,995,0,3899,3963,64,3524,1351,1101,17,180,16,249,4,10024,7680,1118480,640,0
single,eager,16,4,4,16384,256,4,4,single,mixed,17,18247929627368210834,4311316852590254809,1,81920,0,81920,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,1118480,0,0
single,eager_batch,16,4,4,16384,256,4,4,single,mixed,17,18247929627368210834,4311316852590254809,1,16704,16704,320,64,0,0,0,0,3524,0,0,0,0,0,0,0,0,6144,1118480,0,0
single,ancestor_runs,16,4,4,16384,256,4,4,single,mixed,17,18247929627368210834,4311316852590254809,1,16704,17024,80,16,0,320,0,64,3524,1351,1101,29,2103,16,20,4,480,6144,1118480,640,0
single,location_runs,16,4,4,16384,256,4,4,single,mixed,17,18247929627368210834,4311316852590254809,1,16384,16528,80,16,0,64,128,64,3524,1351,1101,29,58,16,4,4,224,6144,1118480,640,0
monotonic,eager,16,4,4,16384,256,4,4,monotonic,mixed,17,6052617299721152490,17687302291917359183,1,81920,0,81920,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,1118480,0,0
monotonic,eager_batch,16,4,4,16384,256,4,4,monotonic,mixed,17,6052617299721152490,17687302291917359183,1,98304,98304,17600,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,30720,1118480,0,0
monotonic,ancestor_runs,16,4,4,16384,256,4,4,monotonic,mixed,17,6052617299721152490,17687302291917359183,1,98304,115904,17504,16384,0,17600,0,64,3524,1351,1101,13,1853,16,1100,4,122880,30720,1118480,640,0
monotonic,location_runs,16,4,4,16384,256,4,4,monotonic,mixed,17,6052617299721152490,17687302291917359183,1,16384,114688,17504,16384,0,16384,16448,64,3524,1351,1101,13,217,16,1024,4,41024,122880,1118480,640,0
root,eager,16,4,4,16384,256,4,4,uniform,root,17,9707357635842171079,10858292126934132487,1,81920,0,81920,16384,0,0,0,0,257,0,0,0,0,0,0,0,0,0,1118480,0,0
root,eager_batch,16,4,4,16384,256,4,4,uniform,root,17,9707357635842171079,10858292126934132487,1,98084,98084,43679,16340,0,0,0,0,257,0,0,0,0,0,0,0,0,30720,1118480,0,0
root,ancestor_runs,16,4,4,16384,256,4,4,uniform,root,17,9707357635842171079,10858292126934132487,1,98084,142723,35189,16219,0,44639,0,1024,257,4112,4112,0,0,256,2154,49,95160,6144,1118480,640,0
root,location_runs,16,4,4,16384,256,4,4,uniform,root,17,9707357635842171079,10858292126934132487,1,16384,113819,35189,16219,0,16340,17364,1024,257,4112,4112,0,0,256,793,49,32504,9720,1118480,640,0
