name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,mutations_per_trace,queries_per_trace
uniform/eager/manual_time,0,1,691,103106.3733719249,113025.02315484807,ns,16384.0,256.0
uniform/eager/manual_time,1,1,691,102560.04341534009,112858.7785817656,ns,16384.0,256.0
uniform/eager/manual_time,2,1,691,101809.93198263395,111991.43704775687,ns,16384.0,256.0
uniform/eager_batch/manual_time,0,1,30,2355575.3999999994,2361108.266666665,ns,16384.0,256.0
uniform/eager_batch/manual_time,1,1,30,2356678.433333333,2366145.8000000003,ns,16384.0,256.0
uniform/eager_batch/manual_time,2,1,30,2291380.3,2293897.200000002,ns,16384.0,256.0
uniform/ancestor_runs/manual_time,0,1,27,2635580.7777777766,2645691.3333333335,ns,16384.0,256.0
uniform/ancestor_runs/manual_time,1,1,27,2653804.9259259263,2662881.148148146,ns,16384.0,256.0
uniform/ancestor_runs/manual_time,2,1,27,2682687.592592592,2689066.3703703713,ns,16384.0,256.0
uniform/location_runs/manual_time,0,1,28,2520620.0357142864,2530757.428571427,ns,16384.0,256.0
uniform/location_runs/manual_time,1,1,28,2618574.928571428,2626316.9285714277,ns,16384.0,256.0
uniform/location_runs/manual_time,2,1,28,2501669.928571428,2509593.7142857104,ns,16384.0,256.0
hot/eager/manual_time,0,1,468,145680.91880341875,156251.86965811942,ns,16384.0,256.0
hot/eager/manual_time,1,1,468,147527.74358974365,158612.0021367519,ns,16384.0,256.0
hot/eager/manual_time,2,1,468,146412.58760683757,157543.0021367521,ns,16384.0,256.0
hot/eager_batch/manual_time,0,1,97,677926.783505155,690510.3092783502,ns,16384.0,256.0
hot/eager_batch/manual_time,1,1,97,662473.4226804124,673373.7010309281,ns,16384.0,256.0
hot/eager_batch/manual_time,2,1,97,666162.4948453609,678443.2886597931,ns,16384.0,256.0
hot/ancestor_runs/manual_time,0,1,86,758234.0000000001,769818.3139534894,ns,16384.0,256.0
hot/ancestor_runs/manual_time,1,1,86,771296.5348837211,782027.6162790682,ns,16384.0,256.0
hot/ancestor_runs/manual_time,2,1,86,770712.1976744186,783361.4302325582,ns,16384.0,256.0
hot/location_runs/manual_time,0,1,111,627711.2252252253,639367.873873874,ns,16384.0,256.0
hot/location_runs/manual_time,1,1,111,627290.3513513512,639386.2612612605,ns,16384.0,256.0
hot/location_runs/manual_time,2,1,111,613907.2882882883,625667.4144144151,ns,16384.0,256.0
single/eager/manual_time,0,1,387,180609.322997416,190981.37209302257,ns,16384.0,256.0
single/eager/manual_time,1,1,387,181541.3798449612,192673.87855297103,ns,16384.0,256.0
single/eager/manual_time,2,1,387,181396.69250645986,192660.5297157623,ns,16384.0,256.0
single/eager_batch/manual_time,0,1,522,135398.31609195395,146837.96360153268,ns,16384.0,256.0
single/eager_batch/manual_time,1,1,522,133980.24712643688,145029.69157088146,ns,16384.0,256.0
single/eager_batch/manual_time,2,1,522,133758.36781609184,144456.65708812265,ns,16384.0,256.0
single/ancestor_runs/manual_time,0,1,496,140330.81250000003,151283.85282257982,ns,16384.0,256.0
single/ancestor_runs/manual_time,1,1,496,145014.8366935484,157066.95161290278,ns,16384.0,256.0
single/ancestor_runs/manual_time,2,1,496,140544.11088709676,151633.82056451557,ns,16384.0,256.0
single/location_runs/manual_time,0,1,488,141470.76434426222,152240.18032786943,ns,16384.0,256.0
single/location_runs/manual_time,1,1,488,142994.78073770492,154145.23565573705,ns,16384.0,256.0
single/location_runs/manual_time,2,1,488,143024.83196721302,154353.56762295007,ns,16384.0,256.0
monotonic/eager/manual_time,0,1,462,150677.2878787879,161388.8896103901,ns,16384.0,256.0
monotonic/eager/manual_time,1,1,462,151029.58658008656,162071.4285714283,ns,16384.0,256.0
monotonic/eager/manual_time,2,1,462,150976.9567099568,161911.5259740257,ns,16384.0,256.0
monotonic/eager_batch/manual_time,0,1,84,846102.1190476194,857604.1666666658,ns,16384.0,256.0
monotonic/eager_batch/manual_time,1,1,84,839327.4523809524,851527.7738095272,ns,16384.0,256.0
monotonic/eager_batch/manual_time,2,1,84,840302.8095238095,851377.9642857144,ns,16384.0,256.0
monotonic/ancestor_runs/manual_time,0,1,67,1041750.3432835821,1051477.6119402982,ns,16384.0,256.0
monotonic/ancestor_runs/manual_time,1,1,67,1136829.402985075,1148377.4776119373,ns,16384.0,256.0
monotonic/ancestor_runs/manual_time,2,1,67,1039705.0447761192,1051746.8955223844,ns,16384.0,256.0
monotonic/location_runs/manual_time,0,1,42,1458720.9523809524,1468057.5238095182,ns,16384.0,256.0
monotonic/location_runs/manual_time,1,1,42,1425100.7142857146,1436171.619047622,ns,16384.0,256.0
monotonic/location_runs/manual_time,2,1,42,1383912.1190476185,1394930.547619046,ns,16384.0,256.0
root/eager/manual_time,0,1,898,78010.29398663699,88140.91425389727,ns,16384.0,256.0
root/eager/manual_time,1,1,898,77487.65478841866,87458.93652561212,ns,16384.0,256.0
root/eager/manual_time,2,1,898,83096.44766147005,86956.15144766147,ns,16384.0,256.0
root/eager_batch/manual_time,0,1,21,2588938.9047619053,2391561.5238095457,ns,16384.0,256.0
root/eager_batch/manual_time,1,1,21,2287715.285714286,2296676.619047607,ns,16384.0,256.0
root/eager_batch/manual_time,2,1,21,2356294.9047619044,2362478.1904761754,ns,16384.0,256.0
root/ancestor_runs/manual_time,0,1,28,2456736.821428571,2467477.678571425,ns,16384.0,256.0
root/ancestor_runs/manual_time,1,1,28,2534780.1428571427,2535977.6785714203,ns,16384.0,256.0
root/ancestor_runs/manual_time,2,1,28,2476902.9642857136,2485674.1428571637,ns,16384.0,256.0
root/location_runs/manual_time,0,1,28,2418780.1785714286,2428638.39285715,ns,16384.0,256.0
root/location_runs/manual_time,1,1,28,2489065.4285714286,2499275.2857142845,ns,16384.0,256.0
root/location_runs/manual_time,2,1,28,2515407.3571428573,2508401.7857143045,ns,16384.0,256.0
narrow/eager/manual_time,0,1,653,104909.03675344578,115026.86370597286,ns,16384.0,256.0
narrow/eager/manual_time,1,1,653,103933.27411944882,113909.77641653894,ns,16384.0,256.0
narrow/eager/manual_time,2,1,653,104537.90352220513,114445.88973966261,ns,16384.0,256.0
narrow/eager_batch/manual_time,0,1,29,2325839.7931034486,2335403.7241379432,ns,16384.0,256.0
narrow/eager_batch/manual_time,1,1,29,2363486.379310344,2370297.3793103704,ns,16384.0,256.0
narrow/eager_batch/manual_time,2,1,29,2328935.4827586208,2338446.827586193,ns,16384.0,256.0
narrow/ancestor_runs/manual_time,0,1,27,2488738.814814815,2493811.703703696,ns,16384.0,256.0
narrow/ancestor_runs/manual_time,1,1,27,2542574.4444444445,2551928.9999999753,ns,16384.0,256.0
narrow/ancestor_runs/manual_time,2,1,27,2553995.740740741,2552609.555555556,ns,16384.0,256.0
narrow/location_runs/manual_time,0,1,29,2484004.4137931033,2492234.1379310586,ns,16384.0,256.0
narrow/location_runs/manual_time,1,1,29,2519214.9999999995,2526451.172413802,ns,16384.0,256.0
narrow/location_runs/manual_time,2,1,29,2493215.172413793,2502670.965517258,ns,16384.0,256.0
read_heavy/eager/manual_time,0,1,117,628023.2820512822,639542.3760683797,ns,16384.0,4096.0
read_heavy/eager/manual_time,1,1,117,604246.6239316242,615196.2222222199,ns,16384.0,4096.0
read_heavy/eager/manual_time,2,1,117,892997.9487179489,902109.3247863256,ns,16384.0,4096.0
read_heavy/eager_batch/manual_time,0,1,23,2946399.5217391304,2960672.086956529,ns,16384.0,4096.0
read_heavy/eager_batch/manual_time,1,1,23,3001095.3478260874,3009608.6521738986,ns,16384.0,4096.0
read_heavy/eager_batch/manual_time,2,1,23,2916480.260869566,2928826.086956534,ns,16384.0,4096.0
read_heavy/ancestor_runs/manual_time,0,1,15,4630220.533333332,4634580.533333358,ns,16384.0,4096.0
read_heavy/ancestor_runs/manual_time,1,1,15,4508237.866666666,4517694.399999961,ns,16384.0,4096.0
read_heavy/ancestor_runs/manual_time,2,1,15,4668458.533333334,4679136.066666701,ns,16384.0,4096.0
read_heavy/location_runs/manual_time,0,1,21,3222027.6666666665,3230698.380952384,ns,16384.0,4096.0
read_heavy/location_runs/manual_time,1,1,21,3254526.285714286,3266365.047619045,ns,16384.0,4096.0
read_heavy/location_runs/manual_time,2,1,21,3230511.904761905,3241878.99999999,ns,16384.0,4096.0
one_partition/eager/manual_time,0,1,691,101944.01013024611,112089.18234442896,ns,16384.0,256.0
one_partition/eager/manual_time,1,1,691,101155.04052098414,111488.24023154947,ns,16384.0,256.0
one_partition/eager/manual_time,2,1,691,103345.01302460209,113481.00578871147,ns,16384.0,256.0
one_partition/eager_batch/manual_time,0,1,29,2393894.0344827585,2403113.517241402,ns,16384.0,256.0
one_partition/eager_batch/manual_time,1,1,29,2369216.4827586208,2378353.4137930954,ns,16384.0,256.0
one_partition/eager_batch/manual_time,2,1,29,2709297.689655173,2708350.5517241405,ns,16384.0,256.0
