case,method,leaf_bits,fanout_bits,partition_bits,updates,batch,queries_per_batch,max_runs,locality,query_shape,seed,mutation_checksum,checksum,correct,foreground_entries,sort_input_entries,base_updates,leaf_base_updates,drain_base_updates,run_entries_written,prefix_entries_written,partition_total_updates,base_query_nodes,partition_consults,partition_total_reads,run_probes,search_comparisons,folds,peak_pending_entries,peak_pending_runs,peak_pending_payload_bytes,largest_scratch_capacity_bytes,base_bytes,partition_metadata_bytes,pending_entries_at_end,cycle_ns_per_mutation,cycle_ratio_to_eager,repetition_spread_pct,base_updates_per_mutation,base_updates_ratio_to_eager,ancestor_updates_per_mutation,ancestor_updates_ratio_to_eager,foreground_entries_per_mutation,run_entries_per_mutation
uniform,eager,16,4,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,81920,0,81920,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,1118480,0,0,6.259768274862066,1.0,1.2640803826893072,5.0,1.0,4.0,1.0,5.0,0.0
uniform,eager_batch,16,4,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,98084,98084,43679,16340,0,0,0,0,3524,0,0,0,0,0,0,0,0,30720,1118480,0,0,143.77291259765622,22.967769138518833,2.772067212679047,2.66595458984375,0.53319091796875,1.66864013671875,0.4171600341796875,5.986572265625,0.0
uniform,ancestor_runs,16,4,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,98084,142723,35189,16219,0,44639,0,1024,3524,1351,1101,376,51648,256,2154,49,95160,6144,1118480,640,0,161.9753983109086,25.87562209952216,1.775066974765656,2.14776611328125,0.42955322265625,1.1578369140625,0.289459228515625,5.986572265625,2.72454833984375
uniform,location_runs,16,4,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,16384,113819,35189,16219,0,16340,17364,1024,3524,1351,1101,376,3088,256,793,49,32504,9720,1118480,640,0,153.84643772670205,24.57701802549425,4.637946153866534,2.14776611328125,0.42955322265625,1.1578369140625,0.289459228515625,1.0,0.997314453125
hot,eager,16,4,4,16384,256,4,4,hot,mixed,17,1357388405346860839,4682894648261360692,1,81920,0,81920,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,1118480,0,0,8.936315161550144,1.0,1.2613838854376276,5.0,1.0,4.0,1.0,5.0,0.0
hot,eager_batch,16,4,4,16384,256,4,4,hot,mixed,17,1357388405346860839,4682894648261360692,1,35879,35879,4347,3899,0,0,0,0,3524,0,0,0,0,0,0,0,0,7680,1118480,0,0,40.65933196077642,4.549899060825359,2.31975845898227,0.26531982421875,0.05306396484375,0.02734375,0.0068359375,2.18988037109375,0.0
hot,ancestor_runs,16,4,4,16384,256,4,4,hot,mixed,17,1357388405346860839,4682894648261360692,1,35879,40226,1107,995,0,4347,0,64,3524,1351,1101,17,1979,16,277,4,29880,7680,1118480,640,0,47.040539408839024,5.263974978326425,1.694865466400624,0.06756591796875,0.01351318359375,0.0068359375,0.001708984375,2.18988037109375,0.26531982421875
hot,location_runs,16,4,4,16384,256,4,4,hot,mixed,17,1357388405346860839,4682894648261360692,1,16384,25258,1107,995,0,3899,3963,64,3524,1351,1101,17,180,16,249,4,10024,7680,1118480,640,0,38.28676460884712,4.284401782692463,2.2005657997448336,0.06756591796875,0.01351318359375,0.0068359375,0.001708984375,1.0,0.23797607421875
single,eager,16,4,4,16384,256,4,4,single,mixed,17,18247929627368210834,4311316852590254809,1,81920,0,81920,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,1118480,0,0,11.071575470364982,1.0,0.5138224047343144,5.0,1.0,4.0,1.0,5.0,0.0
single,eager_batch,16,4,4,16384,256,4,4,single,mixed,17,18247929627368210834,4311316852590254809,1,16704,16704,320,64,0,0,0,0,3524,0,0,0,0,0,0,0,0,6144,1118480,0,0,8.177505317775688,0.7386035835337273,1.224022429451485,0.01953125,0.00390625,0.015625,0.00390625,1.01953125,0.0
single,ancestor_runs,16,4,4,16384,256,4,4,single,mixed,17,18247929627368210834,4311316852590254809,1,16704,17024,80,16,0,320,0,64,3524,1351,1101,29,2103,16,20,4,480,6144,1118480,640,0,8.578131768011277,0.7747887182788172,3.3327787012798993,0.0048828125,0.0009765625,0.00390625,0.0009765625,1.01953125,0.01953125
single,location_runs,16,4,4,16384,256,4,4,single,mixed,17,18247929627368210834,4311316852590254809,1,16384,16528,80,16,0,64,128,64,3524,1351,1101,29,58,16,4,4,224,6144,1118480,640,0,8.72770878526031,0.7882987212273047,1.086800241892338,0.0048828125,0.0009765625,0.00390625,0.0009765625,1.0,0.00390625
monotonic,eager,16,4,4,16384,256,4,4,monotonic,mixed,17,6052617299721152490,17687302291917359183,1,81920,0,81920,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,1118480,0,0,9.2149021429417,1.0,0.23334600787818247,5.0,1.0,4.0,1.0,5.0,0.0
monotonic,eager_batch,16,4,4,16384,256,4,4,monotonic,mixed,17,6052617299721152490,17687302291917359183,1,98304,98304,17600,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,30720,1118480,0,0,51.2880132765997,5.565768630097127,0.8062173052243045,1.07421875,0.21484375,0.07421875,0.0185546875,6.0,0.0
monotonic,ancestor_runs,16,4,4,16384,256,4,4,monotonic,mixed,17,6052617299721152490,17687302291917359183,1,98304,115904,17504,16384,0,17600,0,64,3524,1351,1101,13,1853,16,1100,4,122880,30720,1118480,640,0,63.58339497580457,6.900061876892234,9.323189460424967,1.068359375,0.213671875,0.068359375,0.01708984375,6.0,1.07421875
monotonic,location_runs,16,4,4,16384,256,4,4,monotonic,mixed,17,6052617299721152490,17687302291917359183,1,16384,114688,17504,16384,0,16384,16448,64,3524,1351,1101,13,217,16,1024,4,41024,122880,1118480,640,0,86.9812447684152,9.439193538809292,5.2493716818343925,1.068359375,0.213671875,0.068359375,0.01708984375,1.0,1.0
root,eager,16,4,4,16384,256,4,4,uniform,root,17,9707357635842171079,10858292126934132487,1,81920,0,81920,16384,0,0,0,0,257,0,0,0,0,0,0,0,0,0,1118480,0,0,4.761370482582824,1.0,7.189811224159944,5.0,1.0,4.0,1.0,5.0,0.0
root,eager_batch,16,4,4,16384,256,4,4,uniform,root,17,9707357635842171079,10858292126934132487,1,98084,98084,43679,16340,0,0,0,0,257,0,0,0,0,0,0,0,0,30720,1118480,0,0,143.8168276832217,30.204922765263944,12.783782642778197,2.66595458984375,0.53319091796875,1.66864013671875,0.4171600341796875,5.986572265625,0.0
root,ancestor_runs,16,4,4,16384,256,4,4,uniform,root,17,9707357635842171079,10858292126934132487,1,98084,142723,35189,16219,0,44639,0,1024,257,4112,4112,0,0,256,2154,49,95160,6144,1118480,640,0,151.1781594412667,31.750975899539647,3.1508429096283903,2.14776611328125,0.42955322265625,1.1578369140625,0.289459228515625,5.986572265625,2.72454833984375
root,location_runs,16,4,4,16384,256,4,4,uniform,root,17,9707357635842171079,10858292126934132487,1,16384,113819,35189,16219,0,16340,17364,1024,257,4112,4112,0,0,256,793,49,32504,9720,1118480,640,0,151.92049734933036,31.9068843529522,3.8820666368295,2.14776611328125,0.42955322265625,1.1578369140625,0.289459228515625,1.0,0.997314453125
narrow,eager,16,4,4,16384,256,4,4,uniform,narrow,17,9707357635842171079,580248762042218155,1,81920,0,81920,16384,0,0,0,0,1793,0,0,0,0,0,0,0,0,0,1118480,0,0,6.3804872755252156,1.0,0.9334055889017264,5.0,1.0,4.0,1.0,5.0,0.0
narrow,eager_batch,16,4,4,16384,256,4,4,uniform,narrow,17,9707357635842171079,580248762042218155,1,98084,98084,43679,16340,0,0,0,0,1793,0,0,0,0,0,0,0,0,30720,1118480,0,0,142.1469410863416,22.278383287684033,1.6164718381250722,2.66595458984375,0.53319091796875,1.66864013671875,0.4171600341796875,5.986572265625,0.0
narrow,ancestor_runs,16,4,4,16384,256,4,4,uniform,narrow,17,9707357635842171079,580248762042218155,1,98084,142723,35189,16219,0,44639,0,1024,1793,272,16,384,15054,256,2154,49,95160,6144,1118480,640,0,155.18642849392361,24.32203400658758,2.5665689383653434,2.14776611328125,0.42955322265625,1.1578369140625,0.289459228515625,5.986572265625,2.72454833984375
narrow,location_runs,16,4,4,16384,256,4,4,uniform,narrow,17,9707357635842171079,580248762042218155,1,16384,113819,35189,16219,0,16340,17364,1024,1793,272,16,384,3163,256,793,49,32504,9720,1118480,640,0,152.17377761314654,23.849867736100173,1.4122562142443282,2.14776611328125,0.42955322265625,1.1578369140625,0.289459228515625,1.0,0.997314453125
read_heavy,eager,16,4,4,16384,256,64,4,uniform,mixed,17,9707357635842171079,17337807100811482057,1,81920,0,81920,16384,0,0,0,0,56291,0,0,0,0,0,0,0,0,0,1118480,0,0,38.33149914863783,1.0,45.977805765924806,5.0,1.0,4.0,1.0,5.0,0.0
read_heavy,eager_batch,16,4,4,16384,256,64,4,uniform,mixed,17,9707357635842171079,17337807100811482057,1,98084,98084,43679,16340,0,0,0,0,56291,0,0,0,0,0,0,0,0,30720,1118480,0,0,179.8339551842731,4.69154505246278,2.8718130834672726,2.66595458984375,0.53319091796875,1.66864013671875,0.4171600341796875,5.986572265625,0.0
read_heavy,ancestor_runs,16,4,4,16384,256,64,4,uniform,mixed,17,9707357635842171079,17337807100811482057,1,98084,142723,35189,16219,0,44639,0,1024,56291,21326,17359,5964,800580,256,2154,49,95160,6144,1118480,640,0,282.60623372395827,7.372689302552392,3.4603247407596758,2.14776611328125,0.42955322265625,1.1578369140625,0.289459228515625,5.986572265625,2.72454833984375
read_heavy,location_runs,16,4,4,16384,256,64,4,uniform,mixed,17,9707357635842171079,17337807100811482057,1,16384,113819,35189,16219,0,16340,17364,1024,56291,21326,17359,5964,48796,256,793,49,32504,9720,1118480,640,0,197.17479887462798,5.143936534025043,1.0059897627900745,2.14776611328125,0.42955322265625,1.1578369140625,0.289459228515625,1.0,0.997314453125
one_partition,eager,16,4,0,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,81920,0,81920,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,1118480,0,0,6.222168587051154,1.0,2.1482110629354123,5.0,1.0,4.0,1.0,5.0,0.0
one_partition,eager_batch,16,4,0,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,98084,98084,43679,16340,0,0,0,0,3524,0,0,0,0,0,0,0,0,30720,1118480,0,0,146.11169644059805,23.48243934512937,14.206193005950354,2.66595458984375,0.53319091796875,1.66864013671875,0.4171600341796875,5.986572265625,0.0
one_partition,ancestor_runs,16,4,0,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,98084,141763,34949,16219,0,43679,0,64,3524,257,65,288,50314,16,2743,4,122880,65832,1118480,40,0,311.0276884191176,49.98702366669908,61.406597166429364,2.13311767578125,0.42662353515625,1.1431884765625,0.285797119140625,5.986572265625,2.66595458984375
one_partition,location_runs,16,4,0,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,16384,113819,34949,16219,0,16340,16404,64,3524,257,65,288,4610,16,1024,4,41024,122400,1118480,40,0,198.56626383463538,31.912710344729028,3.442904144077312,2.13311767578125,0.42662353515625,1.1431884765625,0.285797119140625,1.0,0.997314453125
many_partitions,eager,16,4,8,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,81920,0,81920,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,1118480,0,0,7.145861449671395,1.0,11.45209344316969,5.0,1.0,4.0,1.0,5.0,0.0
many_partitions,eager_batch,16,4,8,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,98084,98084,43679,16340,0,0,0,0,3524,0,0,0,0,0,0,0,0,30720,1118480,0,0,165.59504982277198,23.173560107352337,4.126251156063979,2.66595458984375,0.53319091796875,1.66864013671875,0.4171600341796875,5.986572265625,0.0
many_partitions,ancestor_runs,16,4,8,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,98084,161509,37982,16175,1649,63425,0,10417,3524,18792,18539,367,25656,2696,3087,502,96120,6144,1118480,10240,0,158.41612679617742,22.16893343257617,3.0939411863009747,2.3182373046875,0.4636474609375,1.33099365234375,0.3327484130859375,5.986572265625,3.87115478515625
many_partitions,location_runs,16,4,8,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,16384,113599,37982,16175,1649,16340,26757,10417,3524,18792,18539,367,996,2696,801,502,40072,6144,1118480,10240,0,152.6236001291583,21.35832064532636,6.027032099597559,2.3182373046875,0.4636474609375,1.33099365234375,0.3327484130859375,1.0,0.997314453125
deep,eager,16,1,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,278528,0,278528,16384,0,0,0,0,1104,0,0,0,0,0,0,0,0,0,2097136,0,0,27.872472900390612,1.0,22.58410408545914,17.0,1.0,16.0,1.0,17.0,0.0
deep,eager_batch,16,1,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,294164,294164,149290,16340,0,0,0,0,1104,0,0,0,0,0,0,0,0,104448,2097136,0,0,663.6822422572544,23.811387121232197,11.105659518346316,9.1119384765625,0.5359963809742647,8.1146240234375,0.5071640014648438,17.954345703125,0.0
deep,ancestor_runs,16,1,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,294164,446590,117208,16219,0,152426,0,1024,1104,1351,1101,376,19834,256,7347,49,323544,17808,2097136,640,0,646.5417683919271,23.196426477927126,6.699984244223541,7.15380859375,0.42081227022058826,6.16387939453125,0.3852424621582031,17.954345703125,9.3033447265625
