protocol,node,destination,repeat,mtu,bytes,started,ended,file,connect_us,samples,warmup,snd_mss,rcv_mss,pmtu,rtt_us,rttvar_us,total_retrans,measured_retrans,min_us,mean_us,stddev_us,max_us,p01_us,p05_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,over_1000us_pct,over_2000us_pct,over_5000us_pct,over_10000us_pct,transmitted,lost,expected_fit,requested,returncode
tcp,0,4,0,1500,64,1789399426.9003623,1789399427.8146954,r0-mtu1500-m1-tcp64.csv.gz,357.651,3000,200,1448,536,1500,269,3,0,0,269.752,284.8959346666667,32.42090640231596,1908.755,272.82632,274.8896,278.72974999999997,282.627,287.68625,294.0499,298.53135,308.96044999999987,341.0096290000166,0.03333333333333333,0.0,0.0,0.0,3000,0,,,
tcp,0,4,0,1500,512,1789399429.6470573,1789399430.587198,r0-mtu1500-m1-tcp512.csv.gz,372.676,3000,200,1448,536,1500,286,8,0,0,278.581,292.89420333333334,38.46100805022305,2349.332,282.12658,284.0919,287.261,290.3275,294.541,300.8554,306.76654999999994,326.71424999999937,364.9898210000001,0.03333333333333333,0.03333333333333333,0.0,0.0,3000,0,,,
tcp,0,4,0,1500,1400,1789399432.3995142,1789399433.2952244,r0-mtu1500-m1-tcp1400.csv.gz,356.091,3000,200,1448,1400,1500,264,3,0,0,255.552,278.5900403333333,15.025963081925006,359.362,260.82786,263.67355000000003,267.8245,272.5255,286.89825,303.0565,306.5784,318.09586999999993,344.6174170000001,0.0,0.0,0.0,0.0,3000,0,,,
tcp,0,4,0,1500,65536,1789399435.1363018,1789399436.8958862,r0-mtu1500-m1-tcp65536.csv.gz,395.22,3000,200,1448,1448,1500,405,10,0,0,464.912,547.1227416666667,43.382861611942225,1749.865,481.44475,496.8042,521.5605,543.1765,565.8937500000001,590.5275,614.3721499999999,654.8444299999998,700.403100000001,0.06666666666666667,0.0,0.0,0.0,3000,0,,,
tcp,0,4,0,1500,4096,1789399438.451686,1789399439.5657215,r0-mtu1500-m1-tcp4096.csv.gz,402.184,3000,200,1448,1448,1500,297,8,0,0,297.235,346.446241,26.682204420404478,436.678,303.53041,309.3488,322.682,346.70000000000005,359.721,388.3852,394.9336,406.99283999999994,425.41457300000036,0.0,0.0,0.0,0.0,3000,0,,,
tcp,0,4,0,1500,8192,1789399441.3038218,1789399442.5199795,r0-mtu1500-m1-tcp8192.csv.gz,431.11,3000,200,1448,1448,1500,322,11,0,0,317.599,377.80242333333337,28.337376321814308,510.811,326.2131,334.04395,360.858,376.062,397.5985,415.2783,423.71325,449.33178999999996,471.6271190000007,0.0,0.0,0.0,0.0,3000,0,,,
icmp,0,4,0,1500,56,1789399444.2679884,1789399446.2713215,r0-mtu1500-m1-icmp56.txt.gz,,1000,,,,,,,,,320.0,334.363,8.280654020063874,425.0,322.0,325.0,329.0,333.0,338.0,343.1,347.0,360.01,408.0169999999996,0.0,0.0,0.0,0.0,1000,0,True,1000,0
icmp,0,4,0,1500,1472,1789399446.2750936,1789399448.276928,r0-mtu1500-m1-icmp1472.txt.gz,,1000,,,,,,,,,322.0,336.469,8.171354783632882,389.0,325.0,328.0,331.0,335.0,339.0,344.0,349.0,374.03,385.0039999999999,0.0,0.0,0.0,0.0,1000,0,True,1000,0
tcp,0,5,0,1500,512,1789399448.392124,1789399450.2777116,r0-mtu1500-m0-tcp512.csv.gz,638.136,3000,200,1448,536,1500,572,2,0,0,568.798,587.6173646666667,35.72614545167659,2367.59,571.17772,573.3837,578.9245,583.277,589.903,602.8765,615.4701499999999,643.0219599999999,701.5235610000055,0.03333333333333333,0.03333333333333333,0.0,0.0,3000,0,,,
tcp,0,5,0,1500,64,1789399450.8691134,1789399452.665145,r0-mtu1500-m0-tcp64.csv.gz,632.262,3000,200,1448,536,1500,550,5,0,0,543.693,560.2486673333334,18.039774844215753,1379.464,546.3428,549.0979,554.02575,557.97,563.37475,570.3443,577.2251,600.42789,642.3659380000033,0.03333333333333333,0.0,0.0,0.0,3000,0,,,
