rank,mtu,bytes,azs,worst_direction_p99_us,worst_direction,worst_direction_p50_us,mean_direction_p50_us
1,1500,64,"use1-az1,use1-az4,use1-az5",388.46700000000004,use1-az4->use1-az5,357.35249999999996,317.0339166666667
2,1500,64,"use1-az1,use1-az2,use1-az4",454.61763,use1-az2->use1-az1,422.337,310.9454166666667
3,1500,64,"use1-az2,use1-az4,use1-az5",474.76227000000017,use1-az2->use1-az5,357.35249999999996,295.3364166666667
4,1500,64,"use1-az1,use1-az2,use1-az5",474.76227000000017,use1-az2->use1-az5,422.337,342.19008333333335
5,1500,64,"use1-az1,use1-az5,use1-az6",681.01648,use1-az6->use1-az5,654.6945000000001,510.7136666666667
6,1500,64,"use1-az3,use1-az5,use1-az6",732.73656,use1-az5->use1-az3,654.6945000000001,551.6499166666666
7,1500,64,"use1-az3,use1-az4,use1-az5",749.36623,use1-az3->use1-az4,730.151,527.832
8,1500,64,"use1-az1,use1-az3,use1-az5",759.49409,use1-az1->use1-az3,743.97,530.2148333333333
9,1500,64,"use1-az1,use1-az3,use1-az4",759.49409,use1-az1->use1-az3,743.97,586.4705833333334
10,1500,64,"use1-az1,use1-az3,use1-az6",759.49409,use1-az1->use1-az3,743.97,590.7425833333333
11,1500,64,"use1-az1,use1-az4,use1-az6",866.7804,use1-az6->use1-az4,789.0574999999999,564.1666666666666
12,1500,64,"use1-az4,use1-az5,use1-az6",866.7804,use1-az6->use1-az4,789.0574999999999,591.4684166666667
13,1500,64,"use1-az3,use1-az4,use1-az6",866.7804,use1-az6->use1-az4,789.0574999999999,642.0196666666667
14,1500,64,"use1-az2,use1-az3,use1-az5",890.7371099999999,use1-az3->use1-az2,845.13,575.3703333333334
15,1500,64,"use1-az2,use1-az3,use1-az4",890.7371099999999,use1-az3->use1-az2,845.13,581.0424166666667
16,1500,64,"use1-az1,use1-az2,use1-az3",890.7371099999999,use1-az3->use1-az2,845.13,657.3737500000001
17,1500,64,"use1-az1,use1-az2,use1-az6",1271.7073,use1-az2->use1-az6,977.301,636.9851666666667
18,1500,64,"use1-az2,use1-az5,use1-az6",1271.7073,use1-az2->use1-az6,977.301,640.9220833333334
19,1500,64,"use1-az2,use1-az4,use1-az6",1271.7073,use1-az2->use1-az6,977.301,643.7914166666666
20,1500,64,"use1-az2,use1-az3,use1-az6",1271.7073,use1-az2->use1-az6,977.301,737.2203333333333
1,1500,512,"use1-az1,use1-az4,use1-az5",380.04008,use1-az5->use1-az4,333.5335,313.38325000000003
2,1500,512,"use1-az2,use1-az4,use1-az5",422.58549999999997,use1-az5->use1-az2,333.5335,286.77908333333335
3,1500,512,"use1-az1,use1-az2,use1-az4",430.07238000000007,use1-az2->use1-az1,392.037,304.8921666666667
4,1500,512,"use1-az1,use1-az2,use1-az5",430.07238000000007,use1-az2->use1-az1,392.037,327.2745
5,1500,512,"use1-az1,use1-az5,use1-az6",694.4936600000001,use1-az6->use1-az5,655.506,512.0811666666667
6,1500,512,"use1-az3,use1-az5,use1-az6",694.4936600000001,use1-az6->use1-az5,655.506,578.34975
