case,control,scope,native_ns,control_ns,native_over_control,separated,first_edge,second_edge,edges_agree,native_samples,control_samples
structural/refill/g0,specialized,refill,2.0901217950356843,2.124085422007628,0.9840102348897803,win,0.9830257823088507,0.9855721575422952,True,"[2.091679068249767, 2.090602766680587, 2.0918661365156126, 2.0896408233907815, 2.089619937551944, 2.088301936451893]","[2.134625251797747, 2.127677573995396, 2.127796753546994, 2.120209993312711, 2.1204932700198604, 2.1193678875385786]"
structural/refill/g0,materialized,refill,2.0901217950356843,4.5407770329863295,0.4603004683674317,win,0.4593868072042263,0.460909905670877,True,"[2.091679068249767, 2.090602766680587, 2.0918661365156126, 2.0896408233907815, 2.089619937551944, 2.088301936451893]","[4.55319794876017, 4.54637916961627, 4.558131314709343, 4.533684157884174, 4.5269597212820765, 4.535174896356389]"
structural/refill/g128,specialized,refill,2.09091614527759,2.1234240661417765,0.984690801341791,win,0.9849738017271876,0.9846802972839819,True,"[2.0918502983544593, 2.0924275293657053, 2.0943206619541295, 2.087923581264238, 2.0892045228429463, 2.089981992200721]","[2.128890046326302, 2.124348409771465, 2.1224997225120874, 2.1178855233601115, 2.1268035810822896, 2.121708465788891]"
structural/refill/g128,materialized,refill,2.09091614527759,4.543344223820684,0.46021521642911156,win,0.4599303527289241,0.46040853696332756,True,"[2.0918502983544593, 2.0924275293657053, 2.0943206619541295, 2.087923581264238, 2.0892045228429463, 2.089981992200721]","[4.5467995943710395, 4.5494443168419245, 4.554314155456477, 4.53771890639238, 4.539888853270329, 4.533137295393428]"
structural/refill/g240,specialized,refill,2.09065892653737,2.126787247963519,0.983012724257801,win,0.9882174504847046,0.9808526730408819,True,"[2.0925140692898823, 2.091859482841428, 2.0917776532943133, 2.0895401997804264, 2.0885949202181364, 2.088580441753728]","[2.116800792998955, 2.124981141163332, 2.116634895745931, 2.1293665986992565, 2.1294238065892577, 2.1285933547637055]"
structural/refill/g240,materialized,refill,2.09065892653737,4.545704607122775,0.45991966201707557,win,0.45846300433160647,0.4610983314344854,True,"[2.0925140692898823, 2.091859482841428, 2.0917776532943133, 2.0895401997804264, 2.0885949202181364, 2.088580441753728]","[4.566497108187868, 4.562766162323504, 4.56041526104553, 4.53099395320002, 4.527825441412703, 4.52960849743368]"
structural/inline/0/256,specialized,count,7219.819123642441,7222.048403533005,0.9996913230477003,overlap,0.9997551374615377,1.0018034614580933,False,"[7217.927309783492, 7219.426800271791, 7216.590523098522, 7220.211447013092, 7239.00237771826, 7239.319802992731]","[7219.6951426630485, 7218.103770380429, 7221.736752717391, 7222.360054348619, 7225.970618211001, 7228.492866848003]"
structural/inline/0/256,materialized,count,7219.819123642441,7469.9005681817425,0.9665214493477289,win,0.9664428931376586,0.9689323581973421,True,"[7217.927309783492, 7219.426800271791, 7216.590523098522, 7220.211447013092, 7239.00237771826, 7239.319802992731]","[7470.011541194088, 7462.607244316446, 7468.550248581922, 7469.789595169397, 7471.1122159096, 7473.363813921173]"
structural/split/0/256,specialized,count,7687.562034969099,7700.588541665586,0.9983083751811951,overlap,0.9980360361517578,0.9990115904374103,True,"[7685.76878720255, 7685.002604166222, 7684.0260416673655, 7700.7540922668395, 7693.439918153908, 7689.355282735648]","[7700.125372023809, 7701.911086309534, 7690.247953869069, 7706.73437499618, 7701.051711307363, 7697.299665178546]"
structural/split/0/256,materialized,count,7687.562034969099,7716.179966518082,0.9962911788380828,win,0.9967906460382983,0.9966855813121103,True,"[7685.76878720255, 7685.002604166222, 7684.0260416673655, 7700.7540922668395, 7693.439918153908, 7689.355282735648]","[7715.195870537452, 7709.745907738938, 7705.876860119613, 7721.896205358818, 7719.023995536985, 7717.164062498714]"
structural/inline/3/37,specialized,count,1077.7820338200156,1080.8092490750305,0.9971991216233524,win,0.9973567014765143,0.9971280442893145,True,"[1077.505242598585, 1078.2076223273423, 1078.1777857730624, 1078.0588250414462, 1076.7725637334554, 1077.4798262743864]","[1080.0180921052622, 1081.035284745065, 1081.501464843752, 1081.1540141859061, 1080.5832134049958, 1080.4403525904436]"
structural/inline/3/37,materialized,count,1077.7820338200156,1111.5482700893558,0.96962233923802,win,0.9682970983767786,0.9696058891828973,True,"[1077.505242598585, 1078.2076223273423, 1078.1777857730624, 1078.0588250414462, 1076.7725637334554, 1077.4798262743864]","[1110.3382073481255, 1113.4782780827127, 1113.8409258867664, 1110.9296343539354, 1111.2554474915537, 1111.8410926871577]"
structural/split/3/37,specialized,count,1142.64282226579,1144.114962254068,0.9987132936489376,win,0.9981289815523227,0.9990957515385387,True,"[1143.201063368054, 1143.2298448350402, 1142.6569281683858, 1142.5356716577667, 1141.8241102430381, 1142.6287163631944]","[1145.6021907779723, 1145.3440231643315, 1144.2106916520966, 1144.0192328560393, 1143.5697428383019, 1143.3841959633692]"
structural/split/3/37,materialized,count,1142.64282226579,1146.9893192743702,0.9962105165797621,win,0.9960773528236114,0.9967091081912443,True,"[1143.201063368054, 1143.2298448350402, 1142.6569281683858, 1142.5356716577667, 1141.8241102430381, 1142.6287163631944]","[1146.71670126753, 1147.7030976835147, 1148.2769886365338, 1146.3080474213364, 1147.2619372812107, 1145.894995629266]"
structural/inline/15/18,specialized,count,518.5545577037599,519.0969207378548,0.9989551796351941,win,0.9981778798760049,0.9995379305863616,True,"[518.4572043117541, 518.1757441653374, 518.2455745648874, 518.6519110957657, 518.7603095329681, 518.9218873614409]","[519.3109053599675, 519.1441480419329, 519.1916040348085, 519.0496934337766, 518.9860438095275, 519.0001236157655]"
structural/inline/15/18,materialized,count,518.5545577037599,541.5109903567725,0.9576067096294983,win,0.955630548159131,0.9590817346199427,True,"[518.4572043117541, 518.1757441653374, 518.2455745648874, 518.6519110957657, 518.7603095329681, 518.9218873614409]","[542.3074592615362, 541.6321807961945, 542.5667027640723, 540.8927005981803, 541.3897999173505, 540.6308658208148]"
structural/split/15/18,specialized,count,547.3739394989661,547.7440456033048,0.9993243083018255,overlap,0.9988904967327366,0.99953791286519,True,"[547.4285677083598, 547.3233723958064, 547.3333984375623, 547.4144805603701, 547.3324493101272, 548.4169105351468]","[547.7677604166671, 547.9413411458323, 548.0206380208332, 547.7203307899424, 547.661658654045, 547.6675506896967]"
structural/split/15/18,materialized,count,547.3739394989661,553.6676520270227,0.9886326887528741,win,0.9878908839396849,0.9893597115398165,True,"[547.4285677083598, 547.3233723958064, 547.3333984375623, 547.4144805603701, 547.3324493101272, 548.4169105351468]","[554.0609691722984, 553.6906804264991, 554.0423616976907, 553.6446236275463, 553.2100401181647, 553.3017710094409]"
structural/inline/15/2,specialized,count,67.08192349754377,66.44656747433768,1.009561908874397,loss,1.0078660099449366,1.0106175935034467,True,"[66.89395797237309, 66.93641077252636, 67.01425072615122, 67.1746256776965, 67.17177910188455, 67.14959626893632]","[66.41399760686774, 66.44158351904379, 66.35717654730554, 66.45155142963159, 66.46606939527366, 66.48833502024496]"
structural/inline/15/2,materialized,count,67.08192349754377,69.22374211049005,0.9690594794842546,win,0.9671338204078733,0.9701805650381766,True,"[66.89395797237309, 66.93641077252636, 67.01425072615122, 67.1746256776965, 67.17177910188455, 67.14959626893632]","[69.25100503011743, 69.21111573194389, 69.15103011459576, 69.20075093579746, 69.23636848903621, 69.24973145561091]"
structural/split/15/2,specialized,count,66.86334557854104,66.99513975623135,0.9980327800170302,overlap,0.9981391458702996,0.99808980129439,True,"[66.77422352341458, 66.7979012856321, 66.85866535132791, 66.93974557577457, 67.0040688112111, 66.86802580575417]","[66.9224341736337, 66.91907116639484, 66.94991492913935, 67.06785851229279, 67.04036458332335, 67.07105380876284]"
structural/split/15/2,materialized,count,66.86334557854104,69.68744744098251,0.9594747409161002,win,0.9584994530037826,0.9606073204040352,True,"[66.77422352341458, 66.7979012856321, 66.85866535132791, 66.93974557577457, 67.0040688112111, 66.86802580575417]","[69.68254876593151, 69.6900776273771, 69.69061007167099, 69.70736161283195, 69.65073675892573, 69.68481725458791]"
structural/inline/127/2,specialized,count,66.7355413173243,66.52239503486331,1.0032041282089932,loss,1.0034263792189912,1.00229637405969,True,"[66.73080856199508, 66.74027407265355, 66.79851848323537, 66.75223168934691, 66.64579153544177, 66.71615482781623]","[66.51237744477108, 66.52882898003644, 66.49671602655033, 66.5159610896902, 66.60393256647447, 66.56330059101168]"
