input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:body_bytes_per_block,counter:population_per_block,counter:blocks_per_call
neoverse-v2,codec/population1/decode_exact,1,5,"[88.05900193170226,88.01816557287313,88.05657314364535,88.00390745436256,87.97019386259254]",88.01816557287313,"[88.05696955250004,88.01590038177413,88.09732770389493,88.00168001804451,87.96775878196642]",88.01590038177413,,,1.0,1.0,1.0
neoverse-v2,codec/population1/decode_padded,1,5,"[85.01334742160311,85.0326034151927,85.07627098059058,85.0139364570426,85.08040030119777]",85.0326034151927,"[85.05465277283092,85.03051446333662,85.07435813514009,85.01167747748458,85.12078869958644]",85.05465277283092,,,1.0,1.0,1.0
neoverse-v2,codec/population1/encode_bound_exact,1,5,"[4.32025693482737,4.231281712794412,4.24543469819166,4.237912347289769,4.213738397519359]",4.237912347289769,"[4.507925882661676,4.232889814777201,4.250152058690314,4.237815644258841,4.213623317836862]",4.237815644258841,,,1.0,1.0,1.0
neoverse-v2,codec/population1/encode_checked_exact,1,5,"[6.5313846389343215,6.528176172128788,6.534814781628136,6.5286274575687555,6.527158796472799]",6.5286274575687555,"[6.5312194320944705,6.528010498582713,6.539442440888635,6.528489785212437,6.526992656181125]",6.528489785212437,,,1.0,1.0,1.0
neoverse-v2,codec/population1/encode_staged_exact,1,5,"[21.15512528473793,21.183209883992458,21.13304017257778,21.128932402057558,21.12362232044534]",21.13304017257778,"[21.165199354326973,21.182635128130404,21.13244580542095,21.183778605501537,21.12951168378014]",21.165199354326973,,,1.0,1.0,1.0
neoverse-v2,codec/population1/native_encode_admitted_exact,1,5,"[3.311080615108084,3.30898698059505,3.309652426843002,3.3054575824771204,3.310721733389259]",3.309652426843002,"[3.3109821357432807,3.3105070198705775,3.309568624683601,3.315033048660061,3.310658289950502]",3.310658289950502,,,1.0,1.0,1.0
neoverse-v2,codec/population1/native_encode_checked_exact,1,5,"[5.983266693373868,5.9798747607239875,5.98217420234901,5.980258285720224,5.978457682842752]",5.980258285720224,"[5.987072474328609,5.979743644598732,5.982034544514496,5.9826841454374,5.978330837583504]",5.982034544514496,,,1.0,1.0,1.0
neoverse-v2,codec/population1/native_encode_wide,1,5,"[2.5534004513795505,2.551428514649972,2.552284126620321,2.550726595603273,2.5573815174322694]",2.552284126620321,"[2.553328618626588,2.551368532480026,2.553579304002358,2.551153581201452,2.5767143734629845]",2.553328618626588,,,1.0,1.0,1.0
neoverse-v2,codec/population1/native_pair_exact_materialized,1,5,"[169.71938911344205,169.44832635477522,169.6940847592936,169.6886995667637,169.69604521141943]",169.6940847592936,"[169.71450008342705,169.44358254135145,169.77488684891637,170.07001960212784,169.69283829567112]",169.71450008342705,,,1.0,1.0,2.0
neoverse-v2,codec/population1/native_pair_materialized,1,5,"[165.9049939824363,165.63867208446013,165.71047771117375,165.86411029419912,165.9099152774688]",165.86411029419912,"[165.98437816541895,165.63414401407408,165.7056755756677,165.86023760073212,165.97130634522833]",165.86023760073212,,,1.0,1.0,2.0
neoverse-v2,codec/population1/prepare_checked,1,5,"[10.345683805433225,10.339921582895558,10.344801576032786,10.310556581002304,10.344310544748863]",10.344310544748863,"[10.345345851724502,10.347943732701108,10.344610783847385,10.310272611142672,10.348007329790168]",10.345345851724502,,,1.0,1.0,1.0
neoverse-v2,codec/population1/spike_decode_padded,1,5,"[84.01532016684573,84.03419841088713,84.015770936758,84.07448522075804,84.03366950751912]",84.03366950751912,"[84.03440276058076,84.03208880822295,84.01351708734077,84.11158058132303,84.03194456337562]",84.03208880822295,,,1.0,1.0,1.0
