input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:body_bytes_per_block,counter:population_per_block,counter:blocks_per_call
zen5,codec/population1/decode_exact,1,5,"[41.98776416575824,41.98018232381833,41.9705626745635,41.99669455665659,42.006374141424445]",41.98776416575824,"[42.00352720474963,41.98027222705526,41.970685542354616,42.03370473364885,42.01395598330979]",42.00352720474963,,,1.0,1.0,1.0
zen5,codec/population1/decode_padded,1,5,"[41.07680971745213,41.0735547456378,41.08208036938555,41.06453399116448,41.07862617337282]",41.07680971745213,"[41.07692690818057,41.07364849817137,41.0894956112093,41.06465118181226,41.07874629386131]",41.07692690818057,,,1.0,1.0,1.0
zen5,codec/population1/encode_bound_exact,1,5,"[3.2152331356222157,3.20129173664832,3.2316009468523883,3.216073373278419,3.219069480856291]",3.216073373278419,"[3.2152457243145234,3.2042340561983456,3.232320790877991,3.2160880219292705,3.2190864183635326]",3.2160880219292705,,,1.0,1.0,1.0
zen5,codec/population1/encode_checked_exact,1,5,"[5.852046205131655,5.864358140424808,5.836854089123937,5.8503796354478705,5.858940637717294]",5.852046205131655,"[5.852068811201601,5.86437614155409,5.837981462187994,5.850406427833661,5.858963662414474]",5.852068811201601,,,1.0,1.0,1.0
zen5,codec/population1/encode_staged_exact,1,5,"[11.786463438871642,11.784147524582604,11.800518091080045,11.829934413307459,11.776290259011962]",11.786463438871642,"[11.786508072841867,11.78791530658483,11.800581252389305,11.83179135548758,11.777784234263038]",11.78791530658483,,,1.0,1.0,1.0
zen5,codec/population1/native_encode_admitted_exact,1,5,"[2.367864997219341,2.3687152726713356,2.370593485503838,2.3728028493525097,2.3676792213301807]",2.3687152726713356,"[2.367871927892096,2.3687238937558366,2.371724537796899,2.379005127006313,2.367685982963653]",2.3687238937558366,,,1.0,1.0,1.0
zen5,codec/population1/native_encode_checked_exact,1,5,"[5.361179181602978,5.366907562227681,5.3748630086664475,5.366065716043711,5.375046684197403]",5.366907562227681,"[5.362106743035237,5.366928225732751,5.438416655693966,5.366088675475098,5.382945114692152]",5.366928225732751,,,1.0,1.0,1.0
zen5,codec/population1/native_encode_wide,1,5,"[2.1465176052311534,2.1483014361909327,2.146428498327039,2.144126185225674,2.146526993005188]",2.1465176052311534,"[2.1465276085950635,2.148311285659014,2.147289249475638,2.1446052694975313,2.1465351495972156]",2.1465351495972156,,,1.0,1.0,1.0
zen5,codec/population1/native_pair_exact_materialized,1,5,"[51.87357135970284,51.93660953341522,51.93319785509296,51.989160504631485,51.998468453099726]",51.93660953341522,"[51.88603140227797,51.936798659077056,51.93334989729827,52.07971831402054,52.00414593079364]",51.936798659077056,,,1.0,1.0,2.0
zen5,codec/population1/native_pair_materialized,1,5,"[50.79226726808458,50.79604792463471,50.820562268248935,50.81682156100282,50.81235450283111]",50.81235450283111,"[50.79237985246744,50.8085447922175,50.83527087436877,50.817003148745094,50.83821259566531]",50.817003148745094,,,1.0,1.0,2.0
zen5,codec/population1/prepare_checked,1,5,"[3.3696592610281058,3.3664071126483894,3.3726730950559514,3.365882339630649,3.370732638498624]",3.3696592610281058,"[3.369669852771975,3.3672602298833296,3.377818277837666,3.365897505091204,3.3713741614755683]",3.369669852771975,,,1.0,1.0,1.0
zen5,codec/population1/spike_decode_padded,1,5,"[43.8198805709756,43.89835981210199,43.74275063307546,44.01552953875825,43.84219114292285]",43.84219114292285,"[43.85402108050891,43.8984853286358,43.74284477051763,44.01568643447986,43.84928282963218]",43.85402108050891,,,1.0,1.0,1.0
zen5,codec/population1/spike_encode_wide,1,5,"[2.2395772542310097,2.2407988040323796,2.2391249290494013,2.239884400457301,2.241647973010808]",2.239884400457301,"[2.2395858882237447,2.2412696763051145,2.239135161924331,2.239894473447831,2.24647725183285]",2.239894473447831,,,1.0,1.0,1.0
zen5,codec/population1/spike_pair_materialized,1,5,"[59.742177706086885,59.7777283365342,59.77344976746205,59.8025483157381,59.780428113623735]",59.7777283365342,"[59.74234884894007,59.863646282139115,59.781540541508164,59.80271945845068,59.89603504995294]",59.80271945845068,,,1.0,1.0,2.0
zen5,codec/population128/decode_exact,1,5,"[42.01349041667887,42.003385347952566,42.025034783029845,42.00113644541204,42.027643509968556]",42.01349041667887,"[42.03469007129171,42.00350528935649,42.025154724561595,42.00125638691183,42.03406037850835]",42.025154724561595,,,39.4609375,128.0,1.0
zen5,codec/population128/decode_padded,1,5,"[41.10113985622122,41.135338478293754,41.11722641836047,41.12488808390451,41.10627698828994]",41.11722641836047,"[41.101257276371705,41.13545589845988,41.21069286697045,41.207610587785524,41.17640617985805]",41.17640617985805,,,39.4609375,128.0,1.0
zen5,codec/population128/encode_bound_exact,1,5,"[13.352180249108214,13.356256464773278,13.354802997261638,13.356104324328777,13.348133696047855]",13.354802997261638,"[13.352209911716319,13.357577885854463,13.35795201737286,13.356142598652333,13.348191107534037]",13.356142598652333,,,39.4609375,128.0,1.0
zen5,codec/population128/encode_checked_exact,1,5,"[13.461842763809438,13.464407681689458,13.464234765876709,13.460757236767469,13.463706412005365]",13.463706412005365,"[13.461882150205769,13.46444706807214,13.471834415812255,13.460796623148445,13.463755404793837]",13.463755404793837,,,39.4609375,128.0,1.0
zen5,codec/population128/encode_staged_exact,1,5,"[21.040840597925463,21.069346171543078,21.05886651290456,21.05572411885309,21.092951715385837]",21.05886651290456,"[21.040900739472796,21.103598266750037,21.058928157931085,21.055800799253763,21.096787240386348]",21.058928157931085,,,39.4609375,128.0,1.0
