input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:metadata_bytes,counter:selected_blocks,counter:original_blocks,counter:body_bytes,counter:issued_bytes,counter:blocks_per_call,counter:output_body_bytes
neoverse-v2,codec/random/decode_exact,1,5,"[87.23530292631166,87.16323703749921,87.68837586572587,87.34168590503484,87.40668871279682]",87.34168590503484,"[87.23133462274,87.16024209166687,87.68530604588541,87.42952517635314,87.4046296876031]",87.4046296876031,,,,,,,,1.0,
neoverse-v2,codec/random/decode_padded,1,5,"[85.05145152455694,85.04969874018619,85.04412391211753,85.03940113200655,84.98641592112519]",85.04412391211753,"[85.04877365975725,85.21082100906547,85.04077658087853,85.11264074015465,84.98348244189731]",85.04877365975725,,,,,,,,1.0,
neoverse-v2,codec/random/encode_bound_exact,1,5,"[36.57887007062073,36.547653271670335,36.65198529258585,36.54163281461584,36.58832260483714]",36.57887007062073,"[36.57781284504698,36.54658042198707,36.69112347153474,36.54055475699949,36.58717163517535]",36.57781284504698,,,,,,,,1.0,
neoverse-v2,codec/random/encode_checked_exact,1,5,"[37.46480436741175,37.42492170406283,37.49165022094458,37.326118666609396,37.509438414346285]",37.46480436741175,"[37.507872495632746,37.423999313519175,37.49037388981072,37.32488523740297,37.50832832820056]",37.49037388981072,,,,,,,,1.0,
neoverse-v2,codec/random/encode_staged_exact,1,5,"[46.17627449815492,46.352839442606836,46.151546956584625,46.174842069826056,46.23994824775044]",46.17627449815492,"[46.17474965503253,46.636249018059786,46.15037857023509,46.17370008776192,46.2585368109071]",46.17474965503253,,,,,,,,1.0,
neoverse-v2,codec/random/native_encode_admitted_exact,1,5,"[32.916121328368725,32.894180864266964,32.88711497235697,32.87696039715683,32.901359584790754]",32.894180864266964,"[32.9292141487714,32.89318891268025,32.88617003262931,32.875968445698255,32.90928109370277]",32.89318891268025,,,,,,,,1.0,
neoverse-v2,codec/random/native_encode_checked_exact,1,5,"[38.081552761071585,38.294002186987406,38.228786221979234,38.07585565882989,38.31435210497529]",38.228786221979234,"[38.08024603593799,38.303843630415784,38.22803171123855,38.07476216515751,38.34927282674668]",38.22803171123855,,,,,,,,1.0,
neoverse-v2,codec/random/native_encode_wide,1,5,"[24.888166311300616,24.86904051172711,24.86816631130064,24.887842928216063,24.86199360341151]",24.86904051172711,"[24.887331201151643,24.87808813076928,24.867558635338458,24.886943852137534,24.86125799575167]",24.87808813076928,,,,,,,,1.0,
neoverse-v2,codec/random/native_pair_exact_materialized,1,5,"[169.6747081901685,169.71389234105774,170.01678972634573,169.80568755025755,170.26183687891353]",169.80568755025755,"[169.66929843800867,169.7077515411975,170.0125009141701,169.8007164268781,171.139093988428]",169.8007164268781,,,,,,,,2.0,
neoverse-v2,codec/random/native_pair_materialized,1,5,"[165.81932843102197,165.98588800837635,165.92363342138518,166.13935889198262,166.20342209847524]",165.98588800837635,"[165.8133552270498,165.98029556694289,165.91796958673797,166.1338854383617,166.3623426382974]",165.98029556694289,,,,,,,,2.0,
neoverse-v2,codec/random/prepare_checked,1,5,"[33.819198698393336,33.76431622069205,33.77079035803876,33.767754244264246,33.75877180239592]",33.767754244264246,"[33.8184771976292,33.76327512911617,33.769628209269904,33.766659887384456,33.75753217710541]",33.766659887384456,,,,,,,,1.0,
neoverse-v2,codec/random/spike_decode_padded,1,5,"[84.0578098338437,83.97309791487696,84.21300206939085,84.08495395302143,84.01294882189909]",84.0578098338437,"[84.05480861164989,83.97036292994848,84.78969661023089,84.08302978246796,84.0104195660499]",84.05480861164989,,,,,,,,1.0,
neoverse-v2,codec/random/spike_encode_wide,1,5,"[25.92430362889799,25.921551437132383,25.91418266563086,25.903425442977138,25.946672585358648]",25.921551437132383,"[25.923508304657314,25.92091147857758,25.913376243858664,25.902607923673262,26.103255280557928]",25.92091147857758,,,,,,,,1.0,
neoverse-v2,codec/random/spike_pair_materialized,1,5,"[167.06375366708886,166.8126744102871,167.0393541154862,166.91864431034935,166.7523552841823]",166.91864431034935,"[167.20349655313044,166.80850048865258,167.16242516764962,166.91404107143714,166.74753738615726]",166.91404107143714,,,,,,,,2.0,
neoverse-v2,codec/runs/decode_exact,1,5,"[83.00504115349207,83.02810861177261,83.00441996870055,83.01689144795662,83.09968821301656]",83.01689144795662,"[83.00204274206476,83.02564776436036,83.00230555129099,83.01417973752797,83.17354947387022]",83.01417973752797,,,,,,,,1.0,
neoverse-v2,codec/runs/decode_padded,1,5,"[80.19777520118559,80.18670860645634,80.23868945803633,80.17778874743288,80.19219598434206]",80.19219598434206,"[80.19574326439115,80.18402231671425,80.31752172582036,80.175423894275,80.18967041275572]",80.18967041275572,,,,,,,,1.0,
neoverse-v2,codec/runs/encode_bound_exact,1,5,"[29.791608373712055,29.806421893127535,29.835242783048027,29.78940319388526,29.78106445779027]",29.791608373712055,"[29.790695591382427,29.81944397056863,29.861286937855873,29.78863969831205,29.780262574268505]",29.790695591382427,,,,,,,,1.0,
neoverse-v2,codec/runs/encode_checked_exact,1,5,"[32.100613508201675,32.100852298818914,32.08071582079635,32.081808747083706,32.098758288789796]",32.098758288789796,"[32.099676714210126,32.0999430576457,32.07972851345177,32.08076633419984,32.09772046793466]",32.09772046793466,,,,,,,,1.0,
neoverse-v2,codec/runs/encode_staged_exact,1,5,"[42.89863562076434,42.853597027623834,42.84379112571965,42.831610261307375,42.84791058388579]",42.84791058388579,"[42.93694107289523,42.85245851471649,42.84253019198226,42.83033096455688,42.84641092970634]",42.84641092970634,,,,,,,,1.0,
neoverse-v2,codec/runs/native_encode_admitted_exact,1,5,"[28.82937266083747,28.867888636260645,28.824222892535744,28.815301579179653,28.81048192423088]",28.824222892535744,"[28.828497860423116,28.974321307637553,28.823434746941356,28.81472800715994,28.809792812539627]",28.823434746941356,,,,,,,,1.0,
neoverse-v2,codec/runs/native_encode_checked_exact,1,5,"[33.89948595823755,33.8827239373081,33.904495687276736,33.884389006670055,33.90269024869554]",33.89948595823755,"[33.898513054350765,33.881668747998724,33.903261406219876,33.915483208875756,33.90191095749665]",33.90191095749665,,,,,,,,1.0,
neoverse-v2,codec/runs/native_encode_wide,1,5,"[24.867218235902662,24.856513812331716,24.85920058000032,24.879283812935437,24.8537026572698]",24.85920058000032,"[24.866411494802524,24.85576748800578,24.85846847129742,24.903944501821844,24.853077166377858]",24.85846847129742,,,,,,,,1.0,
neoverse-v2,codec/runs/native_pair_exact_materialized,1,5,"[170.32015398769886,169.53324294223518,169.64374606556353,169.6353929591788,169.70926347392327]",169.64374606556353,"[170.55520313815938,169.52866689281896,169.63827417545224,169.6299210693202,169.70359788866142]",169.63827417545224,,,,,,,,2.0,
neoverse-v2,codec/runs/native_pair_materialized,1,5,"[165.91054055336565,165.3579089744174,165.67165772862887,165.81512505339285,165.73446917564848]",165.73446917564848,"[165.9051065443838,165.35242750638614,165.66717289145194,165.8100707132921,165.72922500097806]",165.72922500097806,,,,,,,,2.0,
neoverse-v2,codec/runs/prepare_checked,1,5,"[30.835015719937974,30.81161685742555,30.81514501201056,30.8018581319769,30.808963013989114]",30.81161685742555,"[30.83383230883675,30.810645400647505,30.814058746745197,30.801094213682315,30.807832591550188]",30.810645400647505,,,,,,,,1.0,
neoverse-v2,codec/runs/spike_decode_padded,1,5,"[84.10548609523421,83.98618548513258,84.03434375037544,83.97806283919564,83.9857643108987]",83.98618548513258,"[84.19488333469724,83.98375470784633,84.06032418402297,83.99512641228658,83.98339370141589]",83.99512641228658,,,,,,,,1.0,
neoverse-v2,codec/runs/spike_encode_wide,1,5,"[25.905782266334562,25.91638129861279,25.937975484878887,25.90136199230725,25.909958203606507]",25.909958203606507,"[25.904945598041692,25.939019469218348,26.06123227168219,25.9006178758126,25.909195576738156]",25.909195576738156,,,,,,,,1.0,
neoverse-v2,codec/runs/spike_pair_materialized,1,5,"[166.94936253834172,166.79236963189948,167.0927195168697,166.83495494632282,166.9686541411076]",166.94936253834172,"[166.94291602761487,166.7869775691499,167.27164014507107,166.83136023778766,167.0244200540467]",166.94291602761487,,,,,,,,2.0,
neoverse-v2,codec/terminal/decode_exact,1,5,"[2.6378038404506494,2.6325146804979243,2.6338574032232684,2.642892627755427,2.637004609700854]",2.637004609700854,"[2.640179687555155,2.632441988923115,2.633737254972789,2.642820312821968,2.636914969312612]",2.636914969312612,,,,,,,,1.0,
neoverse-v2,codec/terminal/decode_padded,1,5,"[2.758335300603417,2.769898920940826,2.767662321389188,2.7543118567664724,2.765967392153966]",2.765967392153966,"[2.758250848732269,2.7698073986898706,2.7675652999458764,2.754232511292214,2.765881369094321]",2.765881369094321,,,,,,,,1.0,
neoverse-v2,codec/terminal/encode_bound_exact,1,5,"[1.7697634763194723,1.7789993701577642,1.7766922529405538,1.7721356260273617,1.77677546380457]",1.7766922529405538,"[1.7697015162316017,1.7966126777491171,1.7766720263005344,1.772083139175054,1.776715551981391]",1.7766720263005344,,,,,,,,1.0,
neoverse-v2,codec/terminal/encode_checked_exact,1,5,"[1.7338798427737643,1.7402468119518406,1.7391528095107633,1.736319655760597,1.7437216137623617]",1.7391528095107633,"[1.7338218293835967,1.7401882984507275,1.7410027363830385,1.7362698942763497,1.7436711021044502]",1.7401882984507275,,,,,,,,1.0,
neoverse-v2,codec/terminal/encode_staged_exact,1,5,"[12.331111252870523,12.320713192140907,12.326259533327848,12.328703113038776,12.338869042556247]",12.328703113038776,"[12.330691290291766,12.320295001558252,12.325924626456208,12.328313274324918,12.349949320975504]",12.328313274324918,,,,,,,,1.0,
neoverse-v2,codec/terminal/native_encode_admitted_exact,1,5,"[0.7165495885613958,0.716755959484239,0.7173937774924833,0.7162517357287055,0.7161703730468713]",0.7165495885613958,"[0.7165290434612318,0.7167330634532314,0.718064099689649,0.7162300662709148,0.7161497257346802]",0.7165290434612318,,,,,,,,1.0,
neoverse-v2,codec/terminal/native_encode_checked_exact,1,5,"[1.33771365604898,1.3349862996276929,1.3305349836421045,1.3324257963727106,1.3339105807496232]",1.3339105807496232,"[1.3393096758707421,1.3349462472711664,1.3304896162809343,1.337297567153096,1.3338805889416097]",1.3349462472711664,,,,,,,,1.0,
neoverse-v2,codec/terminal/native_encode_wide,1,5,"[24.85861166966185,24.862085164688025,24.848568428919805,24.85872199583628,24.86027012118112]",24.85872199583628,"[24.857828709686565,24.86126305670912,24.847838852622612,24.857921241349313,24.85945157215007]",24.857921241349313,,,,,,,,1.0,
neoverse-v2,codec/terminal/native_pair_exact_materialized,1,5,"[167.4670206151073,167.1080977662984,167.3110919787625,167.36167312383412,167.30650021523542]",167.3110919787625,"[167.46140048790602,167.10209499231755,167.30592624479522,167.3561486587579,167.30119098911874]",167.30592624479522,,,,,,,,2.0,
neoverse-v2,codec/terminal/native_pair_materialized,1,5,"[166.3118543907352,165.9175983926205,165.92873182838727,165.27916321947654,165.88464720482057]",165.9175983926205,"[167.08015600981668,166.01524642464378,166.02295236936536,165.27509750597244,165.9741874483773]",166.01524642464378,,,,,,,,2.0,
