input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:metadata_bytes,counter:selected_blocks,counter:original_blocks,counter:body_bytes,counter:issued_bytes,counter:blocks_per_call,counter:output_body_bytes
zen5,codec/random/decode_exact,1,5,"[40.408526318217355,40.43245721271403,40.483432901231545,40.46088596207948,40.45310121326731]",40.45310121326731,"[40.40880310981585,40.43268210585254,40.49622872135749,40.461168519021406,40.453383770589525]",40.453383770589525,,,,,,,,1.0,
zen5,codec/random/decode_padded,1,5,"[39.48472656073148,39.54064240119531,39.540580153017366,39.70848612431534,39.523433609488826]",39.540580153017366,"[39.48499818917948,39.55262800446912,39.54091403018833,39.7087577526402,39.52370523776185]",39.54091403018833,,,,,,,,1.0,
zen5,codec/random/encode_bound_exact,1,5,"[13.30850055015741,13.301467276559139,13.307797412834745,13.320223939735396,13.324672708579982]",13.30850055015741,"[13.308591768005114,13.301560394817281,13.31195542478703,13.320334161341142,13.324763926293924]",13.31195542478703,,,,,,,,1.0,
zen5,codec/random/encode_checked_exact,1,5,"[13.47371292978391,13.455534954319736,13.450272352607803,13.437339686626402,13.433229900185408]",13.450272352607803,"[13.473805154868268,13.455627179422176,13.450364577882333,13.437453046871447,13.433320204144882]",13.450364577882333,,,,,,,,1.0,
zen5,codec/random/encode_staged_exact,1,5,"[21.165487105411092,21.153396350713486,21.15793227243337,21.146113491722904,21.177877031494543]",21.15793227243337,"[21.172250191674408,21.153544425498904,21.158077325102333,21.146258544670165,21.17802208452551]",21.158077325102333,,,,,,,,1.0,
zen5,codec/random/native_encode_admitted_exact,1,5,"[12.590875194292988,12.569637289871599,12.564945508126627,12.546329323186713,12.57049801888571]",12.569637289871599,"[12.59098121322892,12.569721745566198,12.565051526921716,12.546415575707767,12.576605780674875]",12.569721745566198,,,,,,,,1.0,
zen5,codec/random/native_encode_checked_exact,1,5,"[13.254608120868738,13.25470254957512,13.14051935788477,13.224107648725221,13.205261567516546]",13.224107648725221,"[13.309847025503416,13.368713880919664,13.14062889516665,13.23628706332106,13.205352219064823]",13.23628706332106,,,,,,,,1.0,
zen5,codec/random/native_encode_wide,1,5,"[12.400254938328212,12.38061622437394,12.378269592874434,12.363831902904819,12.371552338168819]",12.378269592874434,"[12.499125522814214,12.380718481735904,12.40559524400488,12.363916529577114,12.371638728012885]",12.380718481735904,,,,,,,,1.0,
zen5,codec/random/native_pair_exact_materialized,1,5,"[51.91843894703011,51.76157062814675,51.80892286746672,51.80233993372176,51.852018641670796]",51.80892286746672,"[51.91872320979522,51.76193717728816,51.80928941675181,51.8026241970865,51.8523702299866]",51.80928941675181,,,,,,,,2.0,
zen5,codec/random/native_pair_materialized,1,5,"[49.5147245215151,49.615477210448354,49.546092461073,49.58552543069035,49.5387284301157]",49.546092461073,"[49.51506439934401,49.82513966941627,49.546432338831174,49.60173338020527,49.53913911651826]",49.546432338831174,,,,,,,,2.0,
zen5,codec/random/prepare_checked,1,5,"[14.815680145311653,14.760193467310122,14.838532943300933,14.794451543408696,14.781654398952396]",14.794451543408696,"[14.815781525344088,14.760318080499726,14.838655444355512,14.794555035739304,14.789336064925921]",14.794555035739304,,,,,,,,1.0,
zen5,codec/random/spike_decode_padded,1,5,"[43.57959878101191,43.49246857491858,43.71234131658166,43.80862016315463,43.67507369391935]",43.67507369391935,"[43.57989791870978,43.492773945687674,43.712640454723385,43.8089255339123,43.67531051176579]",43.67531051176579,,,,,,,,1.0,
zen5,codec/random/spike_encode_wide,1,5,"[16.635065467579487,16.56172196780525,16.864365549586747,16.721864144406478,16.834257834455943]",16.721864144406478,"[16.635205985700882,16.63266975032575,16.864480728260602,16.826886396928124,16.834373013339384]",16.826886396928124,,,,,,,,1.0,
zen5,codec/random/spike_pair_materialized,1,5,"[59.51308661590307,59.48884024778745,59.531763671858194,59.50346074860327,59.49525467560252]",59.50346074860327,"[59.53107912827657,59.4891613912484,59.532262290170074,59.50386640472595,59.49566878214307]",59.50386640472595,,,,,,,,2.0,
zen5,codec/runs/decode_exact,1,5,"[38.05828230884922,38.05834223084119,38.053270651297574,38.032085503235585,38.08671801799831]",38.05828230884922,"[38.05854378658779,38.05859826116961,38.053532129396,38.0323415331721,38.09864249461494]",38.05854378658779,,,,,,,,1.0,
zen5,codec/runs/decode_padded,1,5,"[37.26091236583979,37.26814382027312,37.28453830968084,37.305179083590055,37.2831548084645]",37.2831548084645,"[37.26111456998376,37.26840455689334,37.284793724835495,37.322733585556584,37.28346343535943]",37.28346343535943,,,,,,,,1.0,
zen5,codec/runs/encode_bound_exact,1,5,"[12.676203974745507,12.67680103950963,12.685457571198704,12.687491946884807,12.672917396362022]",12.67680103950963,"[12.676289269835147,12.676871816129832,12.685562828869156,12.687597204498037,12.676944407648122]",12.676944407648122,,,,,,,,1.0,
zen5,codec/runs/encode_checked_exact,1,5,"[12.890301170412299,12.876912961952947,12.88532420951712,12.885048731976848,12.881855029026115]",12.885048731976848,"[12.89500081720322,12.87702131633999,12.885395833736542,12.88950963159473,12.881943181873224]",12.885395833736542,,,,,,,,1.0,
zen5,codec/runs/encode_staged_exact,1,5,"[21.12921968946928,21.148057373288765,21.135588462560023,21.128465095501436,21.121553014753964]",21.12921968946928,"[21.129367589834587,21.148202255120445,21.142527708783074,21.12864317973687,21.121731098653285]",21.129367589834587,,,,,,,,1.0,
zen5,codec/runs/native_encode_admitted_exact,1,5,"[11.86941121919176,11.860257633910772,11.8471745561128,11.85328540773979,11.841843849210377]",11.85328540773979,"[11.872591028113193,11.860338863577072,11.847272708893843,11.853400483239524,11.841926771372709]",11.853400483239524,,,,,,,,1.0,
zen5,codec/runs/native_encode_checked_exact,1,5,"[12.523459761107661,12.508038095101451,12.510353138219378,12.494696560789194,12.486844063644796]",12.508038095101451,"[12.523547628823277,12.508125962611409,12.51047507688061,12.494784428520338,12.486928344846325]",12.508125962611409,,,,,,,,1.0,
zen5,codec/runs/native_encode_wide,1,5,"[12.369609823601579,12.36273485784365,12.369487876908106,12.36626954460845,12.367349391415194]",12.367349391415194,"[12.369731770203026,12.362839130968604,12.369590382821194,12.370368013923581,12.367451897239397]",12.369590382821194,,,,,,,,1.0,
zen5,codec/runs/native_pair_exact_materialized,1,5,"[52.078424115008474,51.83449802348075,51.80918822083812,51.806663902996036,51.782464504092744]",51.80918822083812,"[53.65533808103524,51.83485335212103,51.80954355035451,51.80702663489071,51.78281983345134]",51.80954355035451,,,,,,,,2.0,
zen5,codec/runs/native_pair_materialized,1,5,"[49.573840081071694,49.57469048749623,49.54401207577178,49.571288861802834,49.57221722214651]",49.57221722214651,"[49.57418024435685,49.57503064984354,49.54442310593587,49.57156524406122,49.57262825212808]",49.57262825212808,,,,,,,,2.0,
zen5,codec/runs/prepare_checked,1,5,"[14.045009243256061,14.07492250502278,14.03742816927396,14.044768637893094,14.022771292572214]",14.044768637893094,"[14.045125535915055,14.075020752288289,14.037526416429056,14.04488493058904,14.065837647378446]",14.045125535915055,,,,,,,,1.0,
zen5,codec/runs/spike_decode_padded,1,5,"[43.619067576612444,43.63139688358147,43.84138293413768,43.62288959921955,43.70889449090775]",43.63139688358147,"[43.835559197393195,43.64207477654964,44.180291875136554,43.623252409829796,43.836372393626476]",43.835559197393195,,,,,,,,1.0,
zen5,codec/runs/spike_encode_wide,1,5,"[16.62535246290052,16.602670507593285,16.524105881966758,16.60159141984499,16.567973144790134]",16.60159141984499,"[16.625516671820883,16.602785453915043,16.533956076285385,16.601704020292374,16.568111549530652]",16.601704020292374,,,,,,,,1.0,
zen5,codec/runs/spike_pair_materialized,1,5,"[59.56271071002885,59.35948407968654,59.4227481695895,59.44776945343111,59.459688404562804]",59.44776945343111,"[59.869019241399336,59.359892730163445,59.455329473833146,59.44818661673446,59.740371190668746]",59.455329473833146,,,,,,,,2.0,
zen5,codec/terminal/decode_exact,1,5,"[1.3355321946912462,1.3354977084768003,1.3363895867636775,1.3364922832808344,1.3355264787440888]",1.3355321946912462,"[1.335890012995367,1.335508949853023,1.3363987322836812,1.3365035246445767,1.3377534117497318]",1.3363987322836812,,,,,,,,1.0,
zen5,codec/terminal/decode_padded,1,5,"[1.3354588739621922,1.336004156420797,1.3357676322924585,1.3339476734678495,1.3340027544292683]",1.3354588739621922,"[1.3354682129430233,1.336952921196305,1.3357769712798915,1.3339587277670395,1.334011902813824]",1.3354682129430233,,,,,,,,1.0,
zen5,codec/terminal/encode_bound_exact,1,5,"[1.5669553091141664,1.5654623617226744,1.565863888461717,1.5657011797386944,1.564888528901087]",1.5657011797386944,"[1.5669684775891617,1.568162567677489,1.5658746017703238,1.5657116698758706,1.5648994654146262]",1.5658746017703238,,,,,,,,1.0,
zen5,codec/terminal/encode_checked_exact,1,5,"[1.2342764604356644,1.2349051176299106,1.2359368643766437,1.2346436923285893,1.2331122346511494]",1.2346436923285893,"[1.2342849390898067,1.234915539308141,1.2359471094312033,1.234955989588377,1.2331224796960214]",1.234915539308141,,,,,,,,1.0,
zen5,codec/terminal/encode_staged_exact,1,5,"[4.477449639627679,4.471119388623497,4.471465279522673,4.4717779239767665,4.475805858663069]",4.4717779239767665,"[4.477486722201919,4.471150716994346,4.471502362146883,4.471808613013436,4.4770647480479475]",4.471808613013436,,,,,,,,1.0,
zen5,codec/terminal/native_encode_admitted_exact,1,5,"[0.44419460357704765,0.444533347041501,0.4445218459034222,0.4450619545974565,0.44449140918996666]",0.4445218459034222,"[0.44419771714128947,0.44453703248741805,0.444936712920197,0.445065068163462,0.4444957300612307]",0.44453703248741805,,,,,,,,1.0,
zen5,codec/terminal/native_encode_checked_exact,1,5,"[0.6913991876278393,0.6915250531264339,0.6912754017322642,0.6922052813796941,0.6909675214528438]",0.6913991876278393,"[0.6914049313011247,0.6918664051143208,0.6912821356853858,0.6923665991514629,0.690972274832374]",0.6914049313011247,,,,,,,,1.0,
zen5,codec/terminal/native_encode_wide,1,5,"[12.362945534323003,12.36792506155955,12.384124864427655,12.35921662974849,12.367942725721331]",12.36792506155955,"[12.363046220019585,12.368009849632273,12.384227316453886,12.359338512289298,12.368029280004864]",12.368009849632273,,,,,,,,1.0,
zen5,codec/terminal/native_pair_exact_materialized,1,5,"[51.94471950266047,51.89014629788334,51.87757138070876,51.852324758962055,51.908543349588115]",51.89014629788334,"[51.9450768713435,51.89050366643908,52.07671518449683,51.852689573093386,51.930268398741084]",51.930268398741084,,,,,,,,2.0,
zen5,codec/terminal/native_pair_materialized,1,5,"[49.84041904789226,49.80686796836266,49.863579976910174,49.8641607927775,49.91922357108418]",49.863579976910174,"[49.84084211172189,49.80720498488215,49.885292451439724,49.87389842150017,49.91964663465906]",49.87389842150017,,,,,,,,2.0,
zen5,codec/terminal/prepare_checked,1,5,"[1.817011009524899,1.8194422308685638,1.8201595594629865,1.8213038012695382,1.819813764961142]",1.819813764961142,"[1.817023749323679,1.8200345014468922,1.8201722992469873,1.8213188810391578,1.819826504766388]",1.8200345014468922,,,,,,,,1.0,
zen5,codec/terminal/spike_decode_padded,1,5,"[43.453833215573646,43.76559891453226,43.6138397183788,43.69962671401994,43.70901201143128]",43.69962671401994,"[43.45419587202144,43.76589904383658,43.614208627144556,43.699933096294764,43.720379413639364]",43.699933096294764,,,,,,,,1.0,
zen5,codec/terminal/spike_encode_wide,1,5,"[16.61222052630118,16.37917502850086,16.633490206054624,16.513035039618323,16.447998812854973]",16.513035039618323,"[16.612335943197486,16.379288089848718,16.633605622953546,16.51314810111315,16.45866662894732]",16.51314810111315,,,,,,,,1.0,
