input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:metadata_bytes,counter:selected_blocks,counter:original_blocks,counter:body_bytes
neoverse-v2,count/census-income/direct4/cp16/point/cps/masked25,1,5,"[3362.055729041622,3360.2445351909464,3369.991112178666,3364.7453759307955,3363.530146528968]",3363.530146528968,"[3361.9485947504327,3360.1446072577223,3379.6730723226287,3365.7780446947586,3364.6490511587385]",3364.6490511587385,,,1024.0,62.0,256.0,377.0
neoverse-v2,count/census-income/direct4/cp16/point/cps/scan,1,5,"[13325.9157196971,13311.001893939409,13328.298295454155,13314.071022727221,13301.473484848626]",13314.071022727221,"[13333.509469697963,13310.599431871526,13327.93560611852,13320.195075746968,13301.054924249565]",13320.195075746968,,,1024.0,256.0,256.0,377.0
neoverse-v2,count/census-income/direct4/cp16/point/cps/sparse17,1,5,"[848.6823943235013,849.7522590818191,849.2994117290327,849.5079750136666,849.0396628055083]",849.2994117290327,"[848.6554672853049,850.2478015660702,849.2774577029127,849.4817757304132,849.0141306357107]",849.2774577029127,,,1024.0,16.0,256.0,377.0
neoverse-v2,count/census-income/direct4/cp16/point/cps_fused/masked25,1,5,"[3340.408884642998,3344.860998328118,3339.531884404042,3342.171960831133,3338.350370193422]",3340.408884642998,"[3342.1760210164875,3360.5044184203152,3339.433245766991,3344.1425841897067,3338.267494606499]",3342.1760210164875,,,1024.0,62.0,256.0,377.0
neoverse-v2,count/census-income/direct4/cp16/point/cps_fused/scan,1,5,"[13321.032319392009,13331.316539924219,13333.168250950386,13334.889733840295,13328.159695817438]",13331.316539924219,"[13320.609315660684,13365.594106515437,13332.841254715058,13337.061787140508,13335.70912547553]",13335.70912547553,,,1024.0,256.0,256.0,377.0
neoverse-v2,count/census-income/direct4/cp16/point/cps_fused/sparse17,1,5,"[844.9449640938846,844.8506426890419,845.7285015991679,845.0914851246109,844.7068372457711]",844.9449640938846,"[844.9187134101894,844.823667852165,846.208255389393,845.0666827604642,844.6802244880312]",844.9187134101894,,,1024.0,16.0,256.0,377.0
neoverse-v2,count/census-income/direct4/cp16/point/inline/masked25,1,5,"[3405.984409257004,3411.7719853836206,3405.8538367844244,3404.5595615102716,3404.403410475011]",3405.8538367844244,"[3407.9281364365925,3413.5035322953217,3405.752253363685,3404.454567601563,3406.0270401832663]",3406.0270401832663,,,1024.0,62.0,256.0,377.0
neoverse-v2,count/census-income/direct4/cp16/point/inline/scan,1,5,"[13618.079227053042,13626.59806763264,13615.338164250863,13614.395169081849,13621.429951690783]",13618.079227053042,"[13617.624154543468,13638.55458931069,13615.020289885491,13614.021256089385,13626.486956553525]",13617.624154543468,,,1024.0,256.0,256.0,377.0
neoverse-v2,count/census-income/direct4/cp16/point/inline/sparse17,1,5,"[864.4644488334579,864.7893469941996,865.1727564498331,864.7694729045539,864.0949882730531]",864.7694729045539,"[864.4386495487918,864.7647821213026,865.744661156859,864.7453400792297,864.0688186594291]",864.7453400792297,,,1024.0,16.0,256.0,377.0
neoverse-v2,count/census-income/direct4/cp16/point/materialized/masked25,1,5,"[3444.7582037996517,3441.577596841866,3442.9913644213916,3445.936590180093,3443.9511472983563]",3443.9511472983563,"[3444.656550703206,3441.483345651907,3445.057488303841,3446.2889217741545,3443.8499876659957]",3444.656550703206,,,1024.0,62.0,256.0,377.0
neoverse-v2,count/census-income/direct4/cp16/point/materialized/scan,1,5,"[13789.683284457702,13772.457478005985,13769.658846529752,13780.765395894327,13771.83479960925]",13772.457478005985,"[13819.169110472243,13772.184750647313,13769.263929638557,13790.451612894525,13771.43206254496]",13772.184750647313,,,1024.0,256.0,256.0,377.0
neoverse-v2,count/census-income/direct4/cp16/point/materialized/sparse17,1,5,"[873.1819541375825,875.2195912263298,873.1271809571302,873.1144690927232,873.1254361914489]",873.1271809571302,"[873.7040129599204,875.1942921244226,873.099825521832,873.087986045053,873.7248255288259]",873.7040129599204,,,1024.0,16.0,256.0,377.0
