input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:metadata_bytes,counter:selected_blocks,counter:original_blocks,counter:body_bytes
zen5,count/census-income/direct4/cp16/point/cps/masked25,1,5,"[1626.7032596041918,1624.0082654249038,1623.298137368998,1626.3237485448522,1625.1386495925983]",1625.1386495925983,"[1627.102677533165,1624.0235157228885,1623.313271246334,1630.1563445870122,1625.591618154236]",1625.591618154236,,,1024.0,62.0,256.0,377.0
zen5,count/census-income/direct4/cp16/point/cps/scan,1,5,"[6433.194393382447,6431.121783088069,6435.960937500016,6432.403952205882,6433.750459558803]",6433.194393382447,"[6433.250000061635,6435.851102976391,6436.017003629084,6432.459558780579,6434.86764704532]",6434.86764704532,,,1024.0,256.0,256.0,377.0
zen5,count/census-income/direct4/cp16/point/cps/sparse17,1,5,"[421.9338330473598,422.22583461271904,422.4067852734846,421.59550257383574,422.1488003853354]",422.1488003853354,"[421.93783677979945,423.10132755551916,422.58535778055744,421.5991450692543,422.15277401390335]",422.15277401390335,,,1024.0,16.0,256.0,377.0
zen5,count/census-income/direct4/cp16/point/cps_fused/masked25,1,5,"[1624.3812007417837,1625.17280945762,1623.9094807603124,1624.7474501622623,1625.1264487714548]",1624.7474501622623,"[1624.3953407698802,1625.607556798565,1623.9236207699826,1625.1312007263755,1625.1405887978012]",1625.1312007263755,,,1024.0,62.0,256.0,377.0
zen5,count/census-income/direct4/cp16/point/cps_fused/scan,1,5,"[6460.20369515025,6459.261431870582,6459.778752886681,6450.716397228586,6456.457274826884]",6459.261431870582,"[6461.765357924096,6459.321939914834,6462.745034635214,6450.772286431834,6467.187990819338]",6461.765357924096,,,1024.0,256.0,256.0,377.0
zen5,count/census-income/direct4/cp16/point/cps_fused/sparse17,1,5,"[424.08088926632473,423.62048466834125,424.278638803794,424.4594037184218,423.6477813836457]",424.08088926632473,"[424.26896363521195,423.62445785300037,424.47945164129055,424.52251979177413,423.6517545692611]",424.26896363521195,,,1024.0,16.0,256.0,377.0
zen5,count/census-income/direct4/cp16/point/inline/masked25,1,5,"[1112.8455109837605,1112.7786532951084,1113.5148837949637,1111.9246259153228,1111.9691977077575]",1112.7786532951084,"[1113.186246424684,1114.9579751673882,1113.5245144981109,1111.9342566056393,1112.557465771401]",1113.186246424684,,,1024.0,62.0,256.0,377.0
zen5,count/census-income/direct4/cp16/point/inline/scan,1,5,"[4325.377008652751,4328.195302842998,4325.64925834361,4329.011433868964,4328.031829419078]",4328.031829419078,"[4325.414709526625,4330.581891252658,4325.686650128787,4329.04913474174,4328.742892473827]",4328.742892473827,,,1024.0,256.0,256.0,377.0
zen5,count/census-income/direct4/cp16/point/inline/sparse17,1,5,"[312.5532707362303,312.1328590226799,312.4408412694832,312.4403952093124,312.7849989963608]",312.4408412694832,"[312.55599170324643,312.13555768558615,312.49865066581117,312.5211767046944,312.78771996211907]",312.5211767046944,,,1024.0,16.0,256.0,377.0
zen5,count/census-income/direct4/cp16/point/materialized/masked25,1,5,"[1135.3710905849957,1133.4679144384916,1135.3663101604295,1134.0187976017014,1133.2344838761921]",1134.0187976017014,"[1151.5365418878437,1133.7232215102536,1138.1148112049339,1134.1858693870854,1133.3846216142972]",1134.1858693870854,,,1024.0,62.0,256.0,377.0
