key,name,rate,seconds,count,batch,layout,repeat,transport,window,local_only,adaptive,prep_adaptive,burst,skip_initialize,measured_records,measurement_seconds,goodput_rps,deadline_goodput_rps,below_1ms_pct,all_offered,all_committed,rejected,unfinished,final_queued,final_uncommitted,drain_ms,all_follower_drain_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,queue_p50_ms,queue_p90_ms,queue_p99_ms,queue_p999_ms,queue_max_ms,prepare_p50_ms,prepare_p90_ms,prepare_p99_ms,prepare_p999_ms,prepare_max_ms,local_p50_ms,local_p90_ms,local_p99_ms,local_p999_ms,local_max_ms,ack0_p50_ms,ack0_p90_ms,ack0_p99_ms,ack0_p999_ms,ack0_max_ms,ack1_p50_ms,ack1_p90_ms,ack1_p99_ms,ack1_p999_ms,ack1_max_ms,post_prepare_p50_ms,post_prepare_p90_ms,post_prepare_p99_ms,post_prepare_p999_ms,post_prepare_max_ms,all_durable_p50_ms,all_durable_p90_ms,all_durable_p99_ms,all_durable_p999_ms,all_durable_max_ms,queued_over_1ms_records,queued_over_1ms_local_last_pct,slowest_1pct_records,slowest_1pct_local_last_pct,commit_observation_gap_p99_us,above_1ms_pct,above_10ms_pct,above_50ms_pct,above_100ms_pct,late_service_rps,late_intercept_records
00-raw-129k-r0,raw-129k-r0,129600,60,7776000,4,raw,0,tcp,64,False,False,False,False,True,7646756,59.009401625,129585.4184150948,127699.04104242811,98.54551394081359,7776000,7776000,0,0,3,91,0.684144,0.716298,0.7245,0.827934,1.056372,2.052536245,3.839444,0.011026,0.032527,0.053384,1.2712005350000048,3.041119,0.003231,0.004301,0.006988,0.010615,0.093089,0.025106,0.037444,0.051339,0.067108,1.546678,0.805745,1.146505,1.811217,2.099938,2.55523,0.721226,0.816374,1.0356270500000018,1.292398,2.228722,0.706758,0.80662,0.978296,1.21359,2.228804,0.815911,1.1508975,1.811217,2.099938,2.55523,11319,0.0,76469,0.0,0.107,1.4544860591864055,0.0,0.0,0.0,129541.24217964451,2208.1036207029806
01-raw-321k-r0,raw-321k-r0,320900,30,9627000,64,raw,0,tcp,16,False,False,False,False,True,9306152,28.998066285,320925.2613100577,76061.55452996268,23.700859388499136,9627000,9627000,0,0,75,353,1.024859,1.373657,1.16697,1.5437,2.5149199800000006,4.87993513099999,5.597559,0.046987,0.17704390000000036,1.0277134900000002,3.1669667319999637,4.165052,0.026891,0.053098,0.063305,0.070731,0.141225,0.098208,0.216609,0.290164,0.670144,1.343806,1.1007765,1.919739,3.213816,3.555241,3.907655,1.221167,1.475243,1.802652,2.236456,2.731119,1.065535,1.387027,1.74457,2.222652,2.731355,1.266071,1.926738,3.213816,3.555241,3.907655,104225,0.0,93062,0.0,0.259,76.29914061150086,0.0,0.0,0.0,321058.48030208575,-4892.62604733296
02-raw-264k-r0,raw-264k-r0,264300,30,7929000,64,raw,0,tcp,16,False,False,False,False,True,7665074,29.00364798,264275.1699815659,100984.5038120615,38.211229271889614,7929000,7929000,0,0,14,357,1.176585,1.456193,1.088256,1.476846,3.837559749999989,11.270161321000002,12.310796,0.041252,0.156591,2.3938547699999773,10.125784408000015,10.98398,0.018465,0.051442,0.057974,0.066306,0.132068,0.080131,0.185618,0.262339,0.444769,0.862336,1.031613,1.731316,3.784161,4.413059,4.764181,1.108898,1.394068,1.699143,2.307309,3.121668,1.008835,1.321773,1.655218,2.162193,2.67108,1.172134,1.754411,3.784161,4.413059,4.764181,107728,0.0,76651,0.0,0.252,61.788770728110386,0.21831491776856948,0.0,0.0,264148.6871584815,3418.6185434744807
03-initialized-129k-r0,initialized-129k-r0,129600,60,7776000,4,initialized,0,tcp,64,False,False,False,False,False,7646756,59.009401625,129585.3675757384,123891.0037837551,95.60677756685318,7776000,7776000,0,0,3,83,0.688558,0.861407,0.787602,0.940056,1.0968204500000003,1.6479725750000038,3.977353,0.011471,0.033151,0.052837,0.6469113150000098,2.506176,0.003238,0.004542,0.009185,0.013973,0.849303,0.028684,0.052284,0.09733,0.145329,0.82459,0.803002,1.110883,1.693378,2.056006,2.440847,0.875664,1.022873,1.1896838000000045,1.524753,4.485099,0.769527,0.920118,1.0590774500000002,1.267549,2.197078,0.924222,1.136749,1.7042537000000049,2.061964,4.485099,4910,0.0,76468,0.0,0.306,4.393222433146814,0.0,0.0,0.0,129546.13041034018,1924.3162209226325
04-prep-always-129k-r0,prep-always-129k-r0,129600,60,7776000,4,ahead,0,tcp,64,False,False,False,False,False,7646756,59.009401625,129585.55398671185,103301.50505063692,79.71811837594922,7776000,7776000,0,0,3,91,0.764572,0.862407,0.868512,1.082814,1.4325456000000014,5.266745130000098,7.962816,0.013397,0.03835,0.13829445000000018,4.329671445000063,6.985841,0.003249,0.005003,0.012128,0.022851,4.76489,0.038796,0.1839345,0.404198,0.4675514700000007,1.226844,0.90296,1.31172,1.879796200000003,2.152870270000005,5.867101,0.945326,1.156197,1.447247,1.763575,5.757288,0.847449,1.05366,1.31778,1.60312,5.757487,1.012,1.348704,1.88374,2.153014205000001,5.867101,19456,0.0,76468,0.0,0.499,20.281881624050772,0.0,0.0,0.0,129548.36970709242,1789.4048226213222
05-prep-adaptive-129k-r0,prep-adaptive-129k-r0,129600,60,7776000,4,ahead,0,tcp,64,False,False,True,False,False,7646756,59.009401625,129585.58787961611,105309.35459218868,81.26741588197662,7776000,7776000,0,0,3,79,0.742475,0.926358,0.8654355,1.0708195,1.3934258000000008,2.4145736150000032,4.870369,0.013411,0.037848,0.10274280000000074,1.1303643800000138,3.553681,0.003249,0.004905,0.012213,0.022656735000000334,0.119718,0.039767,0.18868,0.408665,0.46894749000000024,0.746882,0.881451,1.258455,1.847084,2.117245,2.875944,0.961355,1.1646605,1.453746,1.778731,2.261197,0.84484,1.045119,1.305613,1.608921,2.075288,1.015729,1.31407,1.85271,2.118392,2.875944,9273,0.0,76468,0.0,0.489,18.732584118023382,0.0,0.0,0.0,129543.59086947226,2066.870284625086
06-prep-and-batch-adaptive-129k-r0,prep-and-batch-adaptive-129k-r0,129600,60,7776000,64,ahead,0,tcp,64,False,True,True,False,False,7646756,59.009401625,129585.72345123318,121151.15224234406,93.49229921812596,7776000,7776000,0,0,3,71,0.613851,0.713624,0.684628,0.937244,1.5699293500000007,10.621432105000004,12.61067,0.015106,0.046166,0.13229290000000038,9.482699415000006,11.44759,0.003323,0.00862,0.032948,0.059947,0.169824,0.036564,0.175093,0.394213,0.459321,0.693884,0.7571245,1.2200705,9.16958,33.06671,38.246989,0.700103,0.984772,1.4110988500000023,3.6418,4.823424,0.660191,0.910188,1.294808,2.332887,3.710327,0.813866,1.250088,9.16958,33.06671,38.246989,34279,0.0,76468,0.0,0.34,6.507700781874039,0.12798891451486094,0.0,0.0,129546.90706763705,1891.7509569236279
07-burst-prep-always-r0,burst-prep-always-r0,90000,60,5400000,4,ahead,0,tcp,64,False,False,False,True,False,5355020,58.991777232,90774.48165259237,82465.2388563929,90.84711168212257,5400000,5400000,0,0,2,113,0.786045,0.8946,0.78671,0.9889491000000006,1.8315852899999963,12.652084854999694,15.357169,0.014453,0.048874,0.8131625299999947,11.695983776999961,14.163879,0.003258,0.004511,0.01041480999999959,0.019916771999996155,0.086106,0.031072,0.162168,0.398589,0.479609,1.498478,0.815624,1.2075513000000018,1.834859,2.36740180299998,2.938485,0.853379,1.034129,1.243617,1.484425,3.090076,0.763721,0.956017,1.168793,1.338505,2.910308,0.914103,1.227746,1.837629,2.375018,3.090076,51137,0.00977765610027964,53551,0.04481709025041549,0.455,9.15288831787743,0.3526784213691079,0.0,0.0,135243.9995974018,-2713204.7538725073
08-burst-prep-and-batch-adaptive-r0,burst-prep-and-batch-adaptive-r0,90000,60,5400000,64,ahead,0,tcp,64,False,True,True,True,False,5355020,58.991777232,90774.71897380317,77805.65725201137,85.71390956523038,5400000,5400000,0,0,3,103,0.689294,0.807326,0.812631,1.0477371000000006,1.368805669999997,1.75259341099999,4.885171,0.018853,0.052714,0.06739580999999958,0.3022928289999971,3.418351,0.003359,0.008965,0.0184,0.060909,0.150804,0.036881,0.156648,0.382946,0.455738,0.677037,0.825105,1.262553,2.494094,12.371502,14.161614,0.888343,1.126747,1.495918,2.115435,5.0161,0.784726,1.017199,1.3138308099999996,1.669587,4.589373,0.9435165,1.3200391000000005,2.531033,12.371502,14.161614,160,0.0,53551,0.0,0.419,14.28609043476962,0.0,0.0,0.0,135209.57437379498,-2711200.778031631
09-prep-and-batch-adaptive-129k-r1,prep-and-batch-adaptive-129k-r1,129600,60,7776000,64,ahead,1,tcp,64,False,True,True,False,False,7646476,59.002259412,129596.6472505092,121391.38520080646,93.67032604300334,7776000,7776000,0,0,2,113,0.738236,0.859298,0.757494,0.958702,1.144752,1.29236,1.821759,0.014105,0.042084,0.059642,0.11481687500000559,0.464007,0.003311,0.007267,0.013895,0.02511910000000149,0.181194,0.035756,0.172157,0.392686,0.457863,0.603584,0.754147,1.11605,1.72431,2.988001,4.04784,0.883779,1.049508,1.240574,1.362541,1.604375,0.735062,0.9337895,1.116517,1.257462,1.497481,0.923341,1.171331,1.72431,2.988001,4.04784,0,,76466,0.0,0.439,6.32967395699666,0.0,0.0,0.0,129534.91258077066,3807.387926389035
