key,node,second,interval_seconds,write_MB,write_ops,disk_inflight_max
00-local-90000-b4,local-nvme,0,1.103267748,300.982272,19400.0,1
00-local-90000-b4,local-nvme,1,1.103054999,407.24070400000005,26230.0,0
00-local-90000-b4,local-nvme,3,1.103058604,406.556672,26146.0,0
00-local-90000-b4,local-nvme,4,1.103129984,408.59648,26303.0,0
00-local-90000-b4,local-nvme,5,1.10309237,406.401024,26210.000000000004,0
00-local-90000-b4,local-nvme,6,1.103004051,407.9656959999999,26299.0,1
00-local-90000-b4,local-nvme,7,1.103094963,406.409216,26199.0,0
00-local-90000-b4,local-nvme,8,1.103085326,407.09734399999996,26251.999999999996,0
00-local-90000-b4,local-nvme,9,1.103119181,405.348352,26100.0,0
00-local-90000-b4,local-nvme,10,1.103050794,408.399872,26285.0,1
00-local-90000-b4,local-nvme,11,1.103028467,409.899008,26379.0,0
00-local-90000-b4,local-nvme,12,1.102981541,406.56486400000006,26200.0,1
00-local-90000-b4,local-nvme,14,1.103133171,405.97504000000004,26173.0,0
00-local-90000-b4,local-nvme,15,1.103107168,407.404544,26274.0,0
00-local-90000-b4,local-nvme,16,1.102995481,405.446656,26171.0,0
00-local-90000-b4,local-nvme,17,1.103035853,405.68832,26139.0,1
00-local-90000-b4,local-nvme,18,1.103062017,406.28633600000006,26158.0,1
00-local-90000-b4,local-nvme,19,1.103038787,405.884928,26190.0,0
00-local-90000-b4,local-nvme,20,1.102972173,406.74508799999995,26233.0,1
00-local-90000-b4,local-nvme,21,1.103035688,406.634496,26205.0,0
00-local-90000-b4,local-nvme,22,1.103056641,403.52153599999997,26022.0,2
00-local-90000-b4,local-nvme,23,1.10294659,406.458368,26196.0,1
00-local-90000-b4,local-nvme,25,1.103063047,406.03648000000004,26135.0,0
00-local-90000-b4,local-nvme,26,1.102983118,409.133056,26322.0,0
00-local-90000-b4,local-nvme,27,1.102898634,406.511616,26200.0,0
00-local-90000-b4,local-nvme,28,1.103087541,406.58943999999997,26183.0,0
00-local-90000-b4,local-nvme,29,1.102921738,409.14943999999997,26332.0,1
00-local-90000-b4,local-nvme,30,1.103022777,407.330816,26219.0,0
00-local-90000-b4,local-nvme,31,1.102925525,404.598784,26094.0,0
00-local-90000-b4,local-nvme,32,1.102888161,407.105536,26226.0,1
00-local-90000-b4,local-nvme,33,1.102971981,404.85273600000005,26129.0,1
00-local-90000-b4,local-nvme,35,1.102972314,405.250048,26093.0,0
00-local-90000-b4,local-nvme,36,1.10297438,406.110208,26193.0,1
00-local-90000-b4,local-nvme,37,1.102959683,407.506944,26259.0,0
00-local-90000-b4,local-nvme,38,1.102943446,405.495808,26141.0,0
00-local-90000-b4,local-nvme,39,1.102895871,406.188032,26168.0,0
01-local-104400-b4,local-nvme,0,1.103430226,339.156992,21351.0,0
01-local-104400-b4,local-nvme,1,1.103006884,471.37177599999995,29687.0,1
01-local-104400-b4,local-nvme,2,1.103052875,472.813568,29735.0,1
01-local-104400-b4,local-nvme,4,1.10300644,471.4496,29656.0,0
01-local-104400-b4,local-nvme,5,1.102977108,473.346048,29799.0,1
01-local-104400-b4,local-nvme,6,1.103056229,471.855104,29690.0,0
01-local-104400-b4,local-nvme,7,1.103076819,472.80947199999997,29764.0,1
01-local-104400-b4,local-nvme,8,1.103051146,470.851584,29664.0,0
01-local-104400-b4,local-nvme,9,1.103030572,473.808896,29793.0,0
01-local-104400-b4,local-nvme,10,1.103193754,474.312704,29850.0,0
01-local-104400-b4,local-nvme,11,1.102864706,470.44608,29627.0,0
01-local-104400-b4,local-nvme,12,1.102802753,472.252416,29715.0,0
01-local-104400-b4,local-nvme,14,1.102908791,470.720512,29658.000000000004,1
01-local-104400-b4,local-nvme,15,1.102966688,469.983232,29577.000000000004,0
01-local-104400-b4,local-nvme,16,1.102873666,471.13420800000006,29682.0,0
01-local-104400-b4,local-nvme,17,1.102859849,472.662016,29760.0,0
01-local-104400-b4,local-nvme,18,1.102939004,471.216128,29695.0,0
01-local-104400-b4,local-nvme,19,1.102916225,470.003712,29605.0,1
01-local-104400-b4,local-nvme,20,1.102863676,469.696512,29604.0,0
01-local-104400-b4,local-nvme,21,1.102909208,471.609344,29680.0,1
01-local-104400-b4,local-nvme,22,1.10284273,474.619904,29867.0,1
01-local-104400-b4,local-nvme,23,1.102865602,470.646784,29633.0,0
01-local-104400-b4,local-nvme,25,1.10290364,473.632768,29781.0,1
01-local-104400-b4,local-nvme,26,1.102877823,472.02713600000004,29730.0,0
01-local-104400-b4,local-nvme,27,1.102888982,470.618112,29652.0,1
01-local-104400-b4,local-nvme,28,1.102894374,468.721664,29317.999999999996,64
01-local-104400-b4,local-nvme,29,1.103448194,455.72096,27815.0,64
01-local-104400-b4,local-nvme,30,1.103721551,455.83564799999994,27822.0,64
01-local-104400-b4,local-nvme,31,1.103961034,455.852032,27823.0,64
01-local-104400-b4,local-nvme,32,1.104042164,455.72096,27815.0,64
01-local-104400-b4,local-nvme,33,1.103682816,455.73734400000006,27816.0,64
01-local-104400-b4,local-nvme,34,1.103779685,455.753728,27817.0,64
01-local-104400-b4,local-nvme,36,1.103786016,455.52435199999996,27802.999999999996,64
01-local-104400-b4,local-nvme,37,1.103249524,455.737344,27816.0,64
01-local-104400-b4,local-nvme,38,1.103727145,455.55712,27805.0,63
01-local-104400-b4,local-nvme,39,1.103295678,455.622656,27808.0,64
02-local-120000-b4,local-nvme,0,1.103259716,371.60140800000005,23045.0,0
02-local-120000-b4,local-nvme,1,1.102999002,541.487104,33592.0,0
02-local-120000-b4,local-nvme,2,1.103021759,544.964608,33793.0,1
02-local-120000-b4,local-nvme,4,1.103032058,541.437952,33578.0,1
02-local-120000-b4,local-nvme,5,1.102986307,543.289344,33711.0,0
02-local-120000-b4,local-nvme,6,1.102978844,460.402688,28146.0,64
02-local-120000-b4,local-nvme,7,1.104075445,455.589888,27807.0,64
02-local-120000-b4,local-nvme,8,1.103408229,455.606272,27808.0,64
02-local-120000-b4,local-nvme,9,1.103410563,455.540736,27804.000000000004,64
02-local-120000-b4,local-nvme,10,1.103271643,455.54073600000004,27804.0,64
02-local-120000-b4,local-nvme,11,1.103295214,455.737344,27816.0,64
02-local-120000-b4,local-nvme,12,1.103742811,455.54073600000004,27804.0,64
02-local-120000-b4,local-nvme,13,1.103259869,455.737344,27816.0,64
02-local-120000-b4,local-nvme,15,1.103773474,455.671808,27812.0,64
02-local-120000-b4,local-nvme,16,1.103585361,455.737344,27816.0,64
02-local-120000-b4,local-nvme,17,1.103752241,455.540736,27804.0,64
02-local-120000-b4,local-nvme,18,1.103248882,455.753728,27817.0,64
02-local-120000-b4,local-nvme,19,1.103793042,455.78649600000006,27819.0,63
02-local-120000-b4,local-nvme,20,1.103860666,455.86841599999997,27824.0,64
02-local-120000-b4,local-nvme,21,1.104092843,455.75372799999997,27817.0,64
02-local-120000-b4,local-nvme,22,1.103788084,455.917568,27827.0,64
02-local-120000-b4,local-nvme,23,1.104185248,455.753728,27817.0,64
02-local-120000-b4,local-nvme,25,1.103790808,455.753728,27817.000000000004,63
02-local-120000-b4,local-nvme,26,1.103764872,455.835648,27822.0,64
02-local-120000-b4,local-nvme,27,1.104006057,455.868416,27824.0,64
02-local-120000-b4,local-nvme,28,1.104069196,455.86841599999997,27824.0,63
02-local-120000-b4,local-nvme,29,1.104055203,455.770112,27818.0,64
02-local-120000-b4,local-nvme,30,1.103830655,455.8848,27825.0,64
02-local-120000-b4,local-nvme,31,1.104108524,455.88480000000004,27825.0,64
02-local-120000-b4,local-nvme,32,1.104088534,455.852032,27823.0,63
02-local-120000-b4,local-nvme,33,1.104023974,455.85203200000007,27823.0,64
02-local-120000-b4,local-nvme,34,1.104051095,455.819264,27821.0,64
02-local-120000-b4,local-nvme,36,1.103931098,455.737344,27815.999999999996,63
02-local-120000-b4,local-nvme,37,1.103753874,455.52435199999996,27802.999999999996,64
02-local-120000-b4,local-nvme,38,1.103222856,455.671808,27810.999999999996,64
02-local-120000-b4,local-nvme,39,1.103579906,455.606272,27809.0,64
02-local-120000-b4,local-nvme,40,1.103461196,455.54073600000004,27804.0,64
02-local-120000-b4,local-nvme,41,1.103251882,455.737344,27816.0,64
02-local-120000-b4,local-nvme,42,1.103764343,455.786496,27819.0,64
02-local-120000-b4,local-nvme,43,1.103873852,455.47520000000003,27800.0,64
02-local-120000-b4,local-nvme,44,1.103131747,455.688192,27813.000000000004,64
02-local-120000-b4,local-nvme,46,1.103597419,455.8848,27825.0,64
03-local-104400-b16,local-nvme,0,1.105424229,338.16576,12787.0,0
03-local-104400-b16,local-nvme,1,1.103034194,471.50694400000003,17826.0,0
03-local-104400-b16,local-nvme,2,1.10293546,472.629248,17831.0,1
03-local-104400-b16,local-nvme,4,1.102979975,471.51104,17818.0,0
03-local-104400-b16,local-nvme,5,1.102950419,473.37472,17834.0,0
03-local-104400-b16,local-nvme,6,1.102954837,471.70764799999995,17813.0,0
03-local-104400-b16,local-nvme,7,1.102959025,472.80128,17820.0,0
03-local-104400-b16,local-nvme,8,1.103103395,470.929408,17827.0,0
03-local-104400-b16,local-nvme,9,1.102982737,473.61228800000004,17833.0,0
03-local-104400-b16,local-nvme,10,1.102967648,474.353664,17813.0,1
