key,name,rate,seconds,count,batch,layout,repeat,transport,window,local_only,adaptive,prep_adaptive,burst,skip_initialize,measured_records,measurement_seconds,goodput_rps,deadline_goodput_rps,below_1ms_pct,all_offered,all_committed,rejected,unfinished,final_queued,final_uncommitted,drain_ms,all_follower_drain_ms,latency_p50_ms,latency_p90_ms,latency_p99_ms,latency_p999_ms,latency_max_ms,queue_p50_ms,queue_p90_ms,queue_p99_ms,queue_p999_ms,queue_max_ms,prepare_p50_ms,prepare_p90_ms,prepare_p99_ms,prepare_p999_ms,prepare_max_ms,local_p50_ms,local_p90_ms,local_p99_ms,local_p999_ms,local_max_ms,ack0_p50_ms,ack0_p90_ms,ack0_p99_ms,ack0_p999_ms,ack0_max_ms,ack1_p50_ms,ack1_p90_ms,ack1_p99_ms,ack1_p999_ms,ack1_max_ms,post_prepare_p50_ms,post_prepare_p90_ms,post_prepare_p99_ms,post_prepare_p999_ms,post_prepare_max_ms,all_durable_p50_ms,all_durable_p90_ms,all_durable_p99_ms,all_durable_p999_ms,all_durable_max_ms,queued_over_1ms_records,queued_over_1ms_local_last_pct,slowest_1pct_records,slowest_1pct_local_last_pct,commit_observation_gap_p99_us,above_1ms_pct,above_10ms_pct,above_50ms_pct,above_100ms_pct,late_service_rps,late_intercept_records
00-original-16s-r0,original-16s-r0,104400,16,1670400,4,raw,0,tcp,64,False,False,False,False,False,1566146,14.990900079,103925.78109318743,88180.96265292304,84.40541303301224,1670400,1670400,0,0,8018,8274,82.03924,82.089362,0.740283,30.9900815,75.2429532,81.727984975,82.235311,0.016927,28.450997,72.7024229,79.19066365,79.697178,0.003304,0.004463,0.009755550000000047,0.0173,0.037511,0.025632,2.534635,2.542585,2.553765,2.715634,0.752568,0.827521,0.881839,0.9254049799999986,2.180842,0.73117,0.807563,0.851398,0.8992623899999996,2.166098,0.719575,2.534704,2.542698,2.55405,2.715705,0.788527,2.534635,2.542585,2.553765,2.715634,236508,99.98351007154092,15662,100.0,0.162,15.594586966987753,14.09210890938648,6.060482228349081,0.0,100805.92352826413,50151.17628335266
01-original-60s-r0,original-60s-r0,104400,60,6264000,4,raw,0,tcp,64,False,False,False,False,False,6159746,59.00533321,102326.53001909892,43498.27143362385,41.667789548465144,6264000,6264000,0,0,121757,122013,1210.343438,1210.393947,164.599201,1055.316965,1235.3028230499992,1390.8332899299985,1409.607406,162.059971,1052.8114045,1233.3234508,1388.7488620899999,1407.169935,0.003237,0.003466,0.009819,0.027819764999999663,0.065082,2.52822,2.538503,2.557669,15.545805734999988,77.768154,0.695045,0.797362,1.704296,1.821887,5.974461,0.875884,1.008423,1.704214,1.8534023149999985,4.695122,2.528275,2.538563,2.557756,15.545937749999995,77.768321,2.528236,2.538505,2.557756,15.545805734999988,77.768154,3583482,93.46504321774185,61598,5.941751355563492,0.148,58.33221045153485,57.88483810858435,55.83228594166059,53.4192968346422,100805.91598722563,93096.90929769097
02-skip-initialize-60s-r0,skip-initialize-60s-r0,104400,60,6264000,4,raw,0,tcp,64,False,False,False,False,True,6159746,59.00533321,102455.43362130264,47376.73440553052,45.38304014483714,6264000,6264000,0,0,114139,114395,1134.771134,1134.818986,89.035276,936.7781605,1113.7116718999998,1132.929100565,1134.812931,86.4952315,934.2398345,1111.17404025,1130.3906018,1132.2928,0.003248,0.003505,0.01001,0.030217,0.081283,2.529605,2.538385,2.555564,2.5684477649999997,3.305261,1.102367,1.288644,1.34388,1.37946,4.627918,0.871062,1.015634,1.071975,1.106439039999999,4.361985,2.529676,2.538446,2.555704,2.568882,4.294823,2.529638,2.53839,2.555735,2.569773765,4.627918,3354646,99.95722350435784,61598,100.0,0.149,54.61695985516286,54.232934280082326,52.05847773593262,49.431470063863024,100805.85403522039,100718.2554759688
03-below-cliff-90k-r0,below-cliff-90k-r0,90000,60,5400000,4,raw,0,tcp,64,False,False,False,False,True,5310244,58.988341674,90022.02552747085,90009.8536307939,99.98760885563827,5400000,5400000,0,0,3,54,0.670436,0.79875,0.664876,0.711925,0.753201,0.8093412990000015,2.05846,0.014735,0.043144,0.05349,0.057279,1.405658,0.003449,0.00458,0.008862,0.012918,0.066837,0.02516,0.034139,0.0473285700000003,0.06553227100000064,0.872879,0.729365,0.8103,0.85784,0.903674,4.098642,0.645554,0.688911,0.7358812800000012,0.8654971960000061,1.879274,0.643256,0.686581,0.7245555700000003,0.783236,1.605126,0.730111,0.810863,0.8606205700000003,0.909535,4.098642,51,0.0,53104,0.0,0.168,0.01239114436172801,0.0,0.0,0.0,90094.37175286066,-4358.555989353695
04-batch16-104k-r0,batch16-104k-r0,104400,60,6264000,16,raw,0,tcp,64,False,False,False,False,True,6159746,59.00533321,102480.95673791043,48165.985096383454,46.13907781262409,6264000,6264000,0,0,111871,112895,1119.846994,1119.930078,74.1807745,921.8732345,1098.8053026999999,1117.96912617,1119.981462,64.12697,911.8186905,1088.7419706999997,1107.92266159,1109.848918,0.013329,0.016574,0.023244,0.031236,0.077631,9.35401,9.600404,9.640017,9.675698634999991,10.221944,9.936476,10.243118,10.385266,10.410977414999996,11.407701,9.85196,10.107089,10.23017,10.278180044999994,12.36014,9.852051,10.107128,10.227951,10.273598374999997,10.68404,9.936504,10.24378,10.385347,10.411497765,12.36014,3283390,0.0,61598,0.0,0.215,53.860922187375905,53.39947458872493,51.368968785401215,48.79042090371908,100806.8727891339,102169.7050915573
05-adaptive-batch-104k-r0,adaptive-batch-104k-r0,104400,60,6264000,64,raw,0,tcp,64,False,True,False,False,True,6159746,59.00533321,102452.14578290828,47362.60008995888,45.369500625512806,6264000,6264000,0,0,110493,114589,1136.541016,1136.736027,91.2222905,938.8504305,1115.9012715,1134.9544348299999,1137.011434,50.672331,898.306729,1075.331742,1094.4067396199998,1096.547808,0.049973,0.054904,0.066999,0.081735,0.243331,38.730069,38.907438,38.984986,39.022868,39.12297,40.452057,40.599648,40.752437,40.808062,41.209521,40.390975,40.553199,40.614561,40.771576,42.829706,40.390025,40.553093,40.586019,40.672847,41.026278,40.453208,40.612107,40.755543,40.81247,42.829706,3260986,0.0,61598,0.0,0.383,54.630499374487194,54.291102262982925,52.19755814606641,49.49682990175244,100805.99169678152,100529.76292744472
06-baseline-network-15k-r0,baseline-network-15k-r0,15000,60,900000,4,raw,0,tcp,64,False,False,False,False,True,884935,58.975537729,15005.085736841913,15003.864891678433,99.99288083305554,900000,900000,0,0,1,11,0.696412,0.769293,0.617785,0.7005286,0.819139,0.897589066,1.249328,0.052042,0.052948,0.05618866000000003,0.060081,0.564024,0.001985,0.003623,0.005391,0.009293,0.045258,0.019868,0.025543,0.03221,0.06516609199999948,0.170622,0.608144,0.755264,0.8684462600000004,0.967615,2.701994,0.607591,0.751767,0.8644905200000007,0.9633165599999987,4.23664,0.574244,0.6565025999999999,0.7750666200000003,0.853142,1.023368,0.649323,0.7932366,0.8952352000000007,0.9911436959999995,4.23664,0,,8851,0.0,0.167,0.007119166944464848,0.0,0.0,0.0,15053.68842639047,-2825.5275533732
07-below-cliff-90k-r1,below-cliff-90k-r1,90000,60,5400000,4,raw,1,tcp,64,False,False,False,False,True,5310384,58.998730776,90008.58035678635,89969.46087116956,99.9578373240052,5400000,5400000,0,0,2,61,0.798411,0.87252,0.740241,0.814613,0.8656581699999999,0.9112713189999974,6.237367,0.015104,0.043562,0.053849,0.06211823399999924,5.203125,0.003465,0.004628,0.011139,0.018309,0.057239,0.025136,0.034931,0.049078,0.067505,2.949028,0.733305,0.814644,0.863199,0.9157473399999924,6.031938,0.782693,0.863124,0.910357,0.9461550419999901,6.037693,0.717605,0.790603,0.836345,0.884352,6.031993,0.798463,0.865285,0.9114233399999998,0.9560197439999878,6.037693,780,0.0,53104,0.0,0.193,0.04216267599480565,0.0,0.0,0.0,90171.77270181707,-10374.040976555269
08-skip-initialize-60s-r1,skip-initialize-60s-r1,104400,60,6264000,4,raw,1,tcp,64,False,False,False,False,True,6159945,58.999166523,102483.68504736207,48570.29630889588,46.520009513071955,6264000,6264000,0,0,113302,113558,1126.409725,1126.585141,77.710206,915.2422700000002,1105.77005044,1124.6215205439998,1126.76378,75.187822,912.7231216000004,1103.2444815599997,1122.105319096,1124.255049,0.003355,0.004764,0.01266,0.029508,0.111542,1.754571,1.900295,1.959075,2.0003312239999995,3.974468,2.406413,2.59738,2.616593,2.641172,5.270007,2.406395,2.597509,2.615812,2.63776,5.160975,2.404423,2.595555,2.613755,2.633577,5.161029,2.408929,2.599184,2.618483,2.643905,5.270007,3276047,0.0,61600,0.0,0.18,53.47999048692805,52.88857286875126,51.27175648483875,48.9435214113113,100807.47486669158,102074.2831667129
09-adaptive-batch-104k-r1,adaptive-batch-104k-r1,104400,60,6264000,64,raw,1,tcp,64,False,True,False,False,True,6159945,58.999166523,102455.6507530241,48121.35776347296,46.090021907663136,6264000,6264000,0,0,111113,115209,1142.777835,1142.832775,94.332858,931.6613810000001,1122.3884359200001,1141.253589336,1143.480649,53.829333,891.1364770000002,1081.8181204799998,1100.719536416,1102.99025,0.049768,0.060328,0.072012,0.086314,0.211995,38.647421,38.864895,38.957133,38.988437,39.430006,40.336431,40.53302,40.683829,40.760937,42.473421,40.41014,40.64858,40.770144,40.833508,41.334582,40.336028,40.531736,40.63688,40.720414,40.878279,40.416598,40.66053,40.772027,40.834495,42.473421,3244882,0.0,61600,0.0,0.398,53.909978092336864,53.45466558548818,51.924392182073056,49.69584955709832,100806.22161461372,100513.31844664326
