key,node,second,interval_seconds,write_MB,write_ops,disk_inflight_max,bw_in_allowance_exceeded,bw_out_allowance_exceeded,pps_allowance_exceeded,conntrack_allowance_exceeded,linklocal_allowance_exceeded,ena_srd_mode,ena_srd_tx_pkts,ena_srd_eligible_tx_pkts,ena_srd_rx_pkts,ena_srd_resource_utilization
00-original-16s-r0,use1-az1,-16,0.400257875,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,-15,1.000664434,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,-14,1.0006423,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,-13,1.0006396720000001,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,-12,1.000640677,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,-11,1.000637651,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,-10,1.000655759,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,-9,1.0006319730000002,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,-8,1.000629387,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,-7,1.00063607,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,-6,1.000638769,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,-5,1.000633062,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,-4,1.000636576,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,-3,1.000646786,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,-2,1.0006385830000002,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,-1,1.0006357049999999,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,0,1.0010062309999999,417.27180799999996,26200.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,1,1.000964768,428.1344000000001,26924.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,2,1.0009720160000002,428.507136,26918.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,3,1.000732424,427.76985599999995,26911.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,4,1.0007528879999998,429.412352,27021.0,3,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,5,1.00065964,428.36787200000003,26931.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,6,1.000654349,428.68736,26963.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,7,1.0006570060000002,426.54924800000003,26832.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,8,1.000660636,429.80147200000005,27015.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,9,1.0006530149999997,429.350912,26975.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,10,1.000654952,430.16601600000007,27041.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,11,1.000658851,427.081728,26824.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,12,1.000673353,428.322816,26901.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,13,1.000898194,422.580224,26346.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,14,1.001012602,413.25363200000004,25223.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,15,1.0009330840000001,413.270016,25224.0,2,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az1,16,0.100094744,33.431551999999996,2041.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,-16,0.300202727,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,-15,1.000684824,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,-14,1.000655963,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,-13,1.000669195,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,-12,1.000672083,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,-11,1.000667001,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,-10,1.00065975,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
00-original-16s-r0,use1-az2,-9,1.0006635179999999,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
