worker,placement,transport,mtu,bytes,packet_bytes,retry_us,device,method,layout,filesystem,surviving_only,key,node,role,stage,repeat,run,samples,leader_az,follower_azs,command,device_path,warmup,verified_records,remote_voters,fragments_per_record,min_us,mean_us,stddev_us,max_us,p01_us,p05_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,over_1000us_pct,over_2000us_pct,over_5000us_pct,over_10000us_pct,file,started,ended,recovered_records,retried_packets,all_samples,all_min_us,all_mean_us,all_stddev_us,all_max_us,all_p01_us,all_p05_us,all_p25_us,all_p50_us,all_p75_us,all_p90_us,all_p95_us,all_p99_us,all_p999_us,all_over_1000us_pct,all_over_2000us_pct,all_over_5000us_pct,all_over_10000us_pct
use1-az4,good,udp,9001,4096,8973,2000,nvme,direct-dsync,initialized,ordered-tuned,False,preflight-584762c6c543ee79-r0,2,leader,preflight,0,14502382562408052983,100,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'udp', '172.31.90.221', '172.31.7.243', '43001', '4096', '100', '/mnt/sixdb-cft-nvme/wal.dat', 'direct-dsync', 'initialized', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/preflight-584762c6c543ee79-r0.csv', '14502382562408052983', '8973', '2000']",/dev/nvme3n1,64,164,2,1,442.7,453.87883,7.723633077839731,485.738,442.96927999999997,445.16265,448.79474999999996,452.08299999999997,456.37575,465.93080000000003,469.41105,474.86681000000004,484.65088099999997,0.0,0.0,0.0,0.0,preflight-584762c6c543ee79-r0.csv.gz,1789405280.7657797,1789405280.926373,164,0,100,703.33,714.13514,7.784601941037186,746.766,703.86856,704.2629,708.73675,713.222,717.2465,725.1614,727.8286499999999,734.4632700000001,745.535727,0.0,0.0,0.0,0.0
use1-az4,good,udp,9001,65536,8973,2000,io2,direct-dsync,initialized,ordered-tuned,False,preflight-cf9bba1806114b51-r0,2,leader,preflight,0,6681994325668357156,100,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'udp', '172.31.90.221', '172.31.7.243', '43001', '65536', '100', '/mnt/sixdb-cft-io2/wal.dat', 'direct-dsync', 'initialized', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/preflight-cf9bba1806114b51-r0.csv', '6681994325668357156', '8973', '2000']",/dev/nvme2n1,64,164,2,8,867.367,939.90307,34.630611452371156,1034.765,868.0996,885.2511499999999,918.555,938.5930000000001,959.52,982.9388,1005.0586999999999,1019.9882600000001,1033.2873260000001,7.0,0.0,0.0,0.0,preflight-cf9bba1806114b51-r0.csv.gz,1789405283.7618132,1789405284.0383892,164,0,100,946.422,1041.67432,52.4982831320949,1287.393,950.77503,966.313,1003.48125,1038.565,1078.32225,1103.2899,1118.5178,1149.0484200000008,1273.5585419999995,78.0,0.0,0.0,0.0
use1-az4,good,udp,9001,65536,8973,2000,io2,direct-dsync,initialized,ordered-tuned,False,screen-cf9bba1806114b51-r0,2,leader,screen,0,144570194408536456,2000,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'udp', '172.31.90.221', '172.31.7.243', '43001', '65536', '2000', '/mnt/sixdb-cft-io2/wal.dat', 'direct-dsync', 'initialized', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/screen-cf9bba1806114b51-r0.csv', '144570194408536456', '8973', '2000']",/dev/nvme2n1,64,2064,2,8,866.836,990.202311,52.27571516550758,1568.369,893.98478,914.7423,956.2345,987.6890000000001,1017.662,1049.5358999999999,1075.06795,1130.35613,1253.0366309999927,39.15,0.0,0.0,0.0,screen-cf9bba1806114b51-r0.csv.gz,1789405318.3762896,1789405321.7977293,2064,0,2000,905.139,1072.4451784999999,85.55319926262044,2091.561,930.5777800000001,961.6284499999999,1023.02675,1063.182,1106.9555,1171.7,1210.9619,1313.01155,1946.1595599999966,84.6,0.1,0.0,0.0
use1-az4,good,udp,1500,4096,1472,2000,nvme,direct-dsync,initialized,ordered-tuned,False,screen-8cca91fef6b9b871-r0,2,leader,screen,0,7443830879606738152,2000,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'udp', '172.31.90.221', '172.31.7.243', '43001', '4096', '2000', '/mnt/sixdb-cft-nvme/wal.dat', 'direct-dsync', 'initialized', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/screen-8cca91fef6b9b871-r0.csv', '7443830879606738152', '1472', '2000']",/dev/nvme3n1,64,2064,2,3,502.031,518.5548865000001,7.490626716144502,580.08,505.57782999999995,509.28425000000004,514.13325,517.854,521.35725,525.7049,530.4812,545.97227,576.348432,0.0,0.0,0.0,0.0,screen-8cca91fef6b9b871-r0.csv.gz,1789405330.8320022,1789405332.103674,2064,0,2000,510.455,537.079554,30.363405466170686,794.325,514.0786800000001,517.0984000000001,521.438,525.9055000000001,535.41,573.6191,633.5017499999999,646.6552300000001,677.0343579999992,0.0,0.0,0.0,0.0
use1-az4,good,tcp,1500,4096,1472,2000,nvme,direct-dsync,initialized,ordered-tuned,False,screen-80fdfcec7ae1cb81-r0,2,leader,screen,0,2113188407997311478,2000,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'tcp', '172.31.90.221', '172.31.7.243', '43001', '4096', '2000', '/mnt/sixdb-cft-nvme/wal.dat', 'direct-dsync', 'initialized', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/screen-80fdfcec7ae1cb81-r0.csv', '2113188407997311478', '1472', '2000']",/dev/nvme3n1,64,2064,2,1,414.072,450.901994,28.034577996359495,545.18,417.30537,419.89590000000004,425.25475,435.7185,474.41325,485.2533,490.1846,533.60545,538.897191,0.0,0.0,0.0,0.0,screen-80fdfcec7ae1cb81-r0.csv.gz,1789405333.412073,1789405334.677368,2064,0,2000,480.912,538.675112,66.46837279996747,805.396,484.2976,486.44595000000004,492.1815,499.6155,611.61625,623.3697000000001,636.0686,754.4446499999999,771.6479179999998,0.0,0.0,0.0,0.0
use1-az4,good,udp,9001,8192,8973,2000,nvme,direct-dsync,initialized,ordered-tuned,False,screen-700262a86dcef3fd-r0,2,leader,screen,0,14691107033840534542,2000,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'udp', '172.31.90.221', '172.31.7.243', '43001', '8192', '2000', '/mnt/sixdb-cft-nvme/wal.dat', 'direct-dsync', 'initialized', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/screen-700262a86dcef3fd-r0.csv', '14691107033840534542', '8973', '2000']",/dev/nvme3n1,64,2064,2,1,476.466,486.2819035,6.987072382206137,543.542,478.25387,479.4584,481.84375,484.3875,488.3285,496.0217,499.31115,506.58617,538.052345,0.0,0.0,0.0,0.0,screen-700262a86dcef3fd-r0.csv.gz,1789405341.7655277,1789405343.0071387,2064,0,2000,493.372,517.6588485,25.5392400208884,698.32,495.32393,496.64565,499.18975,502.2215,546.89425,555.9168000000001,560.67405,569.8723799999999,632.5698969999997,0.0,0.0,0.0,0.0
use1-az4,good,udp,9001,65536,1472,2000,nvme,direct-dsync,initialized,ordered-tuned,False,screen-a09ad0c8c3e50aa4-r0,2,leader,screen,0,12438387555135780071,2000,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'udp', '172.31.90.221', '172.31.7.243', '43001', '65536', '2000', '/mnt/sixdb-cft-nvme/wal.dat', 'direct-dsync', 'initialized', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/screen-a09ad0c8c3e50aa4-r0.csv', '12438387555135780071', '1472', '2000']",/dev/nvme3n1,64,2064,2,46,558.425,656.7193105,16.364414288299162,725.576,599.43975,643.7115500000001,650.44275,655.6475,661.57125,675.6937,683.5935000000001,701.05079,723.743283,0.0,0.0,0.0,0.0,screen-a09ad0c8c3e50aa4-r0.csv.gz,1789405344.3134744,1789405346.0789816,2064,0,2000,647.375,681.836545,29.069122840532618,874.238,653.11783,655.8738000000001,661.111,672.533,690.4415,721.4332,729.8383,790.40722,859.2147479999999,0.0,0.0,0.0,0.0
use1-az4,good,udp,9001,4096,1472,2000,nvme,direct-dsync,initialized,ordered-tuned,False,screen-a17e70dcd6fbebe6-r0,2,leader,screen,0,13347447043938794385,2000,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'udp', '172.31.90.221', '172.31.7.243', '43001', '4096', '2000', '/mnt/sixdb-cft-nvme/wal.dat', 'direct-dsync', 'initialized', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/screen-a17e70dcd6fbebe6-r0.csv', '13347447043938794385', '1472', '2000']",/dev/nvme3n1,64,2064,2,3,465.81,482.858805,13.780527177759746,595.639,468.50079,470.46355,475.708,478.855,483.775,497.7123,506.0655,537.01949,547.1858369999998,0.0,0.0,0.0,0.0,screen-a17e70dcd6fbebe6-r0.csv.gz,1789405347.4851983,1789405348.7263937,2064,0,2000,485.897,523.539165,26.073300744550448,625.281,489.97451,492.7827,498.786,512.7695,547.3847499999999,557.7172,562.07435,574.85144,607.029545,0.0,0.0,0.0,0.0
use1-az4,good,tcp,9001,65536,8973,2000,io2,direct-dsync,initialized,ordered-tuned,False,screen-9557f73a6c9d294a-r0,2,leader,screen,0,16212322232776589517,2000,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'tcp', '172.31.90.221', '172.31.7.243', '43001', '65536', '2000', '/mnt/sixdb-cft-io2/wal.dat', 'direct-dsync', 'initialized', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/screen-9557f73a6c9d294a-r0.csv', '16212322232776589517', '8973', '2000']",/dev/nvme2n1,64,2064,2,1,873.236,1004.881762,49.87726714656043,1582.611,919.09181,946.20715,975.05825,998.5895,1025.96525,1058.1303,1080.27615,1137.56416,1578.0610379999998,48.3,0.0,0.0,0.0,screen-9557f73a6c9d294a-r0.csv.gz,1789405350.0160348,1789405353.4164114,2064,0,2000,944.91,1073.8999165,84.68825303421087,2144.937,971.4633600000001,988.5203,1022.32475,1054.909,1102.40825,1168.0526,1215.2714,1344.5994500000002,2014.2502959999988,89.85,0.15,0.0,0.0
use1-az4,good,udp,9001,4096,8973,2000,nvme,direct-dsync,raw,none,False,screen-6d6840d043f657b5-r0,2,leader,screen,0,5112244558581837512,2000,use1-az4,"['use1-az2', 'use1-az1']","['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_commit_bench', 'leader', 'udp', '172.31.90.221', '172.31.7.243', '43001', '4096', '2000', '/dev/nvme3n1', 'direct-dsync', 'raw', '/opt/sixdb/jobs/20260914T165841Z-8a3b4a16/results/screen-6d6840d043f657b5-r0.csv', '5112244558581837512', '8973', '2000']",/dev/nvme3n1,64,2064,2,1,440.277,448.3943815,4.475685460458291,487.538,441.83099000000004,443.29695000000004,445.83349999999996,447.615,449.968,452.62919999999997,455.0315,468.8911,480.28616899999986,0.0,0.0,0.0,0.0,screen-6d6840d043f657b5-r0.csv.gz,1789405354.6108027,1789405355.7710063,2064,0,2000,467.36,478.82644750000003,9.213825740388396,584.696,468.65095,470.2823,473.29200000000003,476.4685,481.13925,488.9856,496.6902,510.53977,556.2575519999998,0.0,0.0,0.0,0.0
