stage,placement,transport,mtu,bytes,packet_bytes,retry_us,device,method,layout,filesystem,surviving_only,samples,min_us,mean_us,stddev_us,max_us,p01_us,p05_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,over_1000us_pct,over_2000us_pct,over_5000us_pct,over_10000us_pct,below_1ms_pct,retried_packets,all_samples,all_min_us,all_mean_us,all_stddev_us,all_max_us,all_p01_us,all_p05_us,all_p25_us,all_p50_us,all_p75_us,all_p90_us,all_p95_us,all_p99_us,all_p999_us,all_over_1000us_pct,all_over_2000us_pct,all_over_5000us_pct,all_over_10000us_pct,local_samples,local_min_us,local_mean_us,local_stddev_us,local_max_us,local_p01_us,local_p05_us,local_p25_us,local_p50_us,local_p75_us,local_p90_us,local_p95_us,local_p99_us,local_p999_us,local_over_1000us_pct,local_over_2000us_pct,local_over_5000us_pct,local_over_10000us_pct,remote1_samples,remote1_min_us,remote1_mean_us,remote1_stddev_us,remote1_max_us,remote1_p01_us,remote1_p05_us,remote1_p25_us,remote1_p50_us,remote1_p75_us,remote1_p90_us,remote1_p95_us,remote1_p99_us,remote1_p999_us,remote1_over_1000us_pct,remote1_over_2000us_pct,remote1_over_5000us_pct,remote1_over_10000us_pct,remote2_samples,remote2_min_us,remote2_mean_us,remote2_stddev_us,remote2_max_us,remote2_p01_us,remote2_p05_us,remote2_p25_us,remote2_p50_us,remote2_p75_us,remote2_p90_us,remote2_p95_us,remote2_p99_us,remote2_p999_us,remote2_over_1000us_pct,remote2_over_2000us_pct,remote2_over_5000us_pct,remote2_over_10000us_pct,p50_repeat_min_us,p50_repeat_max_us,p90_repeat_min_us,p90_repeat_max_us,p99_repeat_min_us,p99_repeat_max_us,p999_repeat_min_us,p999_repeat_max_us
preflight,bad,tcp,1500,4096,1472,2000,gp3,buffered-fdatasync,extend,ordered,False,100,3409.317,3602.30026,98.97582867727048,3842.358,3414.39966,3452.9677500000003,3547.52375,3581.842,3666.07675,3726.7515,3802.4795,3840.8136,3842.20356,100.0,100.0,0.0,0.0,0.0,0,100,3542.869,3749.19388,108.50439440753355,4015.385,3565.57861,3594.4613000000004,3653.5772500000003,3736.3109999999997,3850.2785000000003,3895.5904,3915.35855,3942.76157,4008.122657,100.0,100.0,0.0,0.0,100,1980.656,2359.2161,212.03139112666784,2990.452,2006.75438,2070.05315,2206.83025,2316.603,2499.3025,2632.9201000000003,2694.00735,2954.42788,2986.849588,100.0,99.0,0.0,0.0,100,2517.948,2729.61852,74.60766865563888,2929.959,2570.58729,2598.4444,2680.755,2737.859,2776.7715000000003,2812.8189,2838.4634499999997,2885.44959,2925.508059,100.0,100.0,0.0,0.0,100,2634.54,2733.91097,46.75263520625441,2869.616,2640.56217,2653.74165,2697.2265,2734.7855,2772.44725,2788.9091,2796.1621499999997,2824.70168,2865.1245679999997,100.0,100.0,0.0,0.0,3581.842,3581.842,3726.7515,3726.7515,3840.8136,3840.8136,3842.20356,3842.20356
preflight,good,udp,9001,4096,8973,2000,nvme,direct-dsync,initialized,ordered-tuned,False,100,442.7,453.87883,7.723633077839731,485.738,442.96927999999997,445.16265,448.79474999999996,452.08299999999997,456.37575,465.93080000000003,469.41105,474.86681000000004,484.65088099999997,0.0,0.0,0.0,0.0,100.0,0,100,703.33,714.13514,7.784601941037186,746.766,703.86856,704.2629,708.73675,713.222,717.2465,725.1614,727.8286499999999,734.4632700000001,745.535727,0.0,0.0,0.0,0.0,100,17.137,22.46411,3.367253895669289,43.017,18.01315,18.229400000000002,20.75575,22.494,23.541,24.5641,25.247549999999997,36.22362000000004,42.33766199999998,0.0,0.0,0.0,0.0,100,12.986,15.50117,2.885894606720765,37.913,13.17113,13.3811,14.24625,14.6615,15.684750000000001,18.489,19.334699999999998,23.161010000000076,36.43780099999994,0.0,0.0,0.0,0.0,100,13.391,17.02735,2.755011485910721,32.849,13.68107,14.0838,15.6595,16.747500000000002,17.77525,18.5741,19.220649999999996,32.344100000000005,32.79850999999999,0.0,0.0,0.0,0.0,452.08299999999997,452.08299999999997,465.93080000000003,465.93080000000003,474.86681000000004,474.86681000000004,484.65088099999997,484.65088099999997
preflight,good,udp,9001,65536,8973,2000,io2,direct-dsync,initialized,ordered-tuned,False,100,867.367,939.90307,34.630611452371156,1034.765,868.0996,885.2511499999999,918.555,938.5930000000001,959.52,982.9388,1005.0586999999999,1019.9882600000001,1033.2873260000001,7.0,0.0,0.0,0.0,93.0,0,100,946.422,1041.67432,52.4982831320949,1287.393,950.77503,966.313,1003.48125,1038.565,1078.32225,1103.2899,1118.5178,1149.0484200000008,1273.5585419999995,78.0,0.0,0.0,0.0,100,413.474,514.43183,50.780780468806306,736.688,439.77632,448.50374999999997,481.13849999999996,506.63,538.8715,583.0269000000001,614.8112,652.3103000000004,728.2502299999996,0.0,0.0,0.0,0.0,100,348.839,437.38903,44.829265664174116,594.423,364.43447,369.56435,409.872,430.243,457.79475,494.39310000000006,521.5640999999999,545.9545800000003,589.5761579999999,0.0,0.0,0.0,0.0,100,344.105,433.45752,55.2985252332248,731.389,367.95707,376.5852,402.62375,421.6415,443.447,505.0419,521.7494499999999,616.4836600000006,719.8984659999995,0.0,0.0,0.0,0.0,938.5930000000001,938.5930000000001,982.9388,982.9388,1019.9882600000001,1019.9882600000001,1033.2873260000001,1033.2873260000001
screen,bad,tcp,1500,512,1472,2000,nvme,direct-dsync,initialized,ordered-tuned,False,6000,785.749,810.8013663333334,30.769821889801918,2352.832,787.28398,788.34795,792.4725,800.689,822.15825,847.3803,863.9823,879.8537799999999,912.7712250000004,0.016666666666666666,0.016666666666666666,0.0,0.0,99.98333333333333,0,6000,1030.448,1046.8296541666666,25.928202057326803,2353.298,1032.08498,1033.47865,1037.38175,1039.8595,1043.2555000000002,1089.8864,1095.5183,1106.36609,1116.2007520000016,100.0,0.016666666666666666,0.0,0.0,6000,17.946,28.344566833333335,21.51285164762062,299.905,18.75294,19.136,19.72,20.234,21.174,75.93360000000001,83.3591,89.61908,114.024026,0.0,0.0,0.0,0.0,6000,15.205,28.685134333333334,20.091067785966178,190.168,15.894,16.29095,17.448,20.5965,30.2535,71.5246,82.53705000000001,86.96034000000003,110.31531000000089,0.0,0.0,0.0,0.0,6000,14.566,24.121515166666665,18.656375674929556,107.631,15.51694,15.90095,16.44575,16.9435,17.8785,69.42120000000001,71.39150000000001,82.48705,86.24764500000013,0.0,0.0,0.0,0.0,790.299,822.1205,842.7689,868.0447,857.3703,886.65121,864.8150339999997,966.8942779999995
screen,bad,tcp,1500,4096,1472,2000,gp3,buffered-fdatasync,extend,ordered,False,6000,3093.612,3560.987012,150.86783792515726,9172.395,3398.28213,3450.997,3509.8635000000004,3552.7969999999996,3597.37275,3640.3303,3674.59445,3756.3323800000003,5339.659737000006,100.0,100.0,0.15,0.0,0.0,0,6000,3449.753,3750.9228446666666,159.3109186074897,9172.471,3563.59872,3594.6061,3661.9325,3764.8875,3811.20275,3852.9561000000003,3877.9193,3944.91324,5370.708394000055,100.0,100.0,0.16666666666666666,0.0,6000,2115.513,2741.197106166667,236.62969890753757,9172.395,2384.37048,2521.2835999999998,2645.4075000000003,2716.13,2799.633,2899.1879,2991.42495,3465.682230000001,5339.659737000006,100.0,100.0,0.15,0.0,6000,2299.855,2735.262576666667,75.21540650831753,4783.015,2591.824,2637.73815,2692.48625,2730.795,2772.353,2816.7584,2842.55065,2912.70155,3354.125935000014,100.0,100.0,0.0,0.0,6000,2522.041,2736.222076,45.93277151730077,3641.956,2627.41344,2668.23255,2709.16475,2736.6785,2761.8914999999997,2788.8207,2803.8633,2843.59749,2912.0317000000023,100.0,100.0,0.0,0.0,3546.1845000000003,3562.3585000000003,3620.2882999999997,3659.1295,3689.91799,3777.04328,4306.02472599998,7550.463505999972
screen,bad,tcp,1500,4096,1472,2000,nvme,direct-dsync,initialized,ordered-tuned,False,6000,768.511,802.8288786666667,36.95814290158005,970.904,770.91184,772.358,775.2535,780.1945000000001,852.756,863.5304,866.8591,871.6372600000001,888.8846940000002,0.0,0.0,0.0,0.0,100.0,0,6000,1036.132,1079.5394528333334,38.869353203911714,2487.645,1039.53775,1041.13995,1048.7740000000001,1064.8545,1108.75,1124.1106,1128.3865,1188.71453,1201.3513330000003,100.0,0.016666666666666666,0.0,0.0,6000,17.928,21.0685605,4.1089016042011055,81.747,18.64399,18.9779,19.58,20.084,20.847,23.7751,27.115700000000007,33.48424000000001,77.15186300000018,0.0,0.0,0.0,0.0,6000,12.502,15.962557833333332,4.062773295585415,92.553,13.562980000000001,13.908,14.53175,15.151,16.64125,18.0471,18.86815,23.97706,77.00190700000019,0.0,0.0,0.0,0.0,6000,12.662,16.561047333333335,4.345196097465133,97.118,13.53291,13.90295,14.617,15.455,18.05325,19.656,20.257150000000003,24.743300000000005,79.71076500000015,0.0,0.0,0.0,0.0,775.9705,858.725,784.6285,868.1752,804.9980899999999,880.59643,840.461361,898.0010549999984
screen,bad,tcp,1500,8192,1472,2000,nvme,direct-dsync,initialized,ordered-tuned,False,6000,800.9,856.3797896666666,38.03155907164154,1010.294,804.07189,806.8710500000001,817.00875,862.9704999999999,879.27875,899.6888000000001,926.0093,944.6607400000001,992.5171740000001,0.03333333333333333,0.0,0.0,0.0,99.96666666666667,0,6000,1024.967,1093.6361308333333,54.35142836087551,1615.973,1029.19528,1040.1203500000001,1057.7314999999999,1081.0785,1104.3612500000002,1141.7511,1193.2033000000004,1329.67459,1343.645657,100.0,0.0,0.0,0.0,6000,19.914,26.051791833333333,20.261426616113848,461.257,21.52199,22.021849999999997,22.843,23.4715,24.308,26.97750000000001,30.271900000000016,80.39007000000015,360.3075500000013,0.0,0.0,0.0,0.0,6000,14.397,17.1774445,5.063010975653363,84.376,14.84696,15.19895,15.777750000000001,16.314500000000002,17.14425,18.6641,20.248,31.591500000000337,76.18538200000027,0.0,0.0,0.0,0.0,6000,13.958,17.34936,4.8246096459437355,87.813,14.59598,15.02695,15.692,16.358,17.9815,19.577400000000004,20.172050000000002,30.29687000000002,73.88442700000009,0.0,0.0,0.0,0.0,812.579,877.8095,860.0811,927.114,925.06136,957.74299,952.9082179999999,995.2817879999999
screen,bad,tcp,1500,65536,1472,2000,gp3,buffered-fdatasync,extend,ordered,False,6000,3686.349,4170.314541833333,155.46239011638662,9066.084,3987.69456,4041.0412499999998,4111.8502499999995,4162.629,4213.427,4265.2289,4299.6431999999995,4383.1415,6388.424497000069,100.0,100.0,0.25,0.0,0.0,0,6000,4114.189,4393.174242833333,161.42437113414505,9066.154,4223.22028,4258.3771,4316.66625,4383.457,4450.022,4503.499,4534.2577,4605.82902,6727.891134000047,100.0,100.0,0.31666666666666665,0.0,6000,2529.419,3315.504794,232.85678986376706,9066.084,2967.23254,3109.4284000000002,3219.9435,3293.9894999999997,3375.1835,3476.3505,3549.4319000000005,3928.6116000000006,6388.424497000069,100.0,100.0,0.25,0.0,6000,2777.358,3268.523618666667,100.6854989047492,7636.063,3104.13998,3151.8847,3216.1625,3263.7325,3312.265,3362.5818000000004,3399.0739,3469.56075,3847.0240930000086,100.0,100.0,0.03333333333333333,0.0,6000,3075.008,3271.2883121666664,54.98756100701975,5208.374,3164.34742,3199.2864,3239.5387499999997,3267.225,3299.817,3331.5067000000004,3351.4791999999998,3396.8328699999997,3466.3603760000055,100.0,100.0,0.016666666666666666,0.0,4147.484,4181.509,4249.393599999999,4273.258,4360.47475,4385.40868,5104.850840999985,7243.721530999987
screen,bad,tcp,1500,65536,1472,2000,nvme,direct-dsync,initialized,ordered-tuned,False,6000,879.561,1003.1599276666666,63.78266694094173,1279.565,906.2780899999999,925.7945,951.3865,996.5445,1034.69625,1097.3582999999999,1106.27205,1188.5869300000002,1239.925007,48.63333333333333,0.0,0.0,0.0,51.36666666666667,0,6000,983.67,1140.5366658333332,79.58788982417802,1469.017,1010.92591,1033.5507499999999,1072.0955,1159.1495,1194.50925,1231.6199000000001,1270.48385,1348.5209800000002,1403.0654830000003,99.36666666666666,0.0,0.0,0.0,6000,51.779,73.14240383333333,14.714290156389422,313.092,62.058989999999994,63.81,66.80875,68.9485,72.593,83.09430000000003,109.9883,121.74560000000002,212.7620170000002,0.0,0.0,0.0,0.0,6000,27.962,33.810028833333334,10.182642807673686,96.844,28.83999,29.261,30.055,30.756,31.735,40.21040000000002,66.88570000000001,76.75218000000002,89.14816400000024,0.0,0.0,0.0,0.0,6000,27.879,33.97827916666667,11.221536698965638,104.436,28.71397,29.1688,29.934,30.6175,31.61,40.195400000000014,71.31960000000001,81.08856,94.20919100000005,0.0,0.0,0.0,0.0,951.787,1071.5715,1015.4062,1132.5852000000039,1039.63381,1234.18601,1063.2298459999993,1242.5949529999998
screen,bad,tcp,9001,512,8973,2000,nvme,direct-dsync,initialized,ordered-tuned,False,6000,762.733,805.6596383333333,29.554547910570335,1040.431,764.59497,765.83955,770.803,805.3085,822.5902500000001,830.7302000000001,869.3633500000001,877.72141,887.477226,0.016666666666666666,0.0,0.0,0.0,99.98333333333333,0,6000,883.946,957.3269265,68.63004526471695,1156.328,886.2359,887.66455,892.4747500000001,920.2239999999999,1038.84025,1043.2852,1051.2190500000002,1105.2460600000002,1117.7483000000004,33.333333333333336,0.0,0.0,0.0,6000,17.977,30.025423166666666,21.30440090508915,139.592,18.90094,19.356949999999998,20.048,20.948500000000003,26.115,80.5073,87.84105,93.75945000000002,109.50308700000022,0.0,0.0,0.0,0.0,6000,14.487,23.939057666666667,18.58624814096006,94.99,15.49099,15.875,16.434,16.881500000000003,17.57975,69.063,71.01050000000001,81.80040000000001,84.78574000000036,0.0,0.0,0.0,0.0,6000,14.922,25.6366425,19.579792772482563,100.314,15.52599,15.958,16.678,17.8945,21.01025,70.5875,80.79910000000001,84.6871,86.94023600000004,0.0,0.0,0.0,0.0,768.17,823.046,820.0911,873.002,834.58479,881.16701,843.8805319999999,892.0530529999999
