layout,method,repeat,file,samples,bytes,warmup,setup_ns,verified_records,base_offset,min_us,mean_us,stddev_us,max_us,p01_us,p05_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,over_1000us_pct,over_2000us_pct,over_5000us_pct,over_10000us_pct
raw,direct-dsync,0,raw-direct-dsync-r0.csv,2000,4096,32,147895389,2032,1073741824,659.126,1157.76875,1180.1028243133962,49307.716,819.0561299999999,867.41775,904.70725,952.3335,1356.1135,1707.5990000000002,1796.5749,2135.94104,7733.8330819999965,31.65,1.5,0.35,0.05
raw,direct-dsync,1,raw-direct-dsync-r1.csv,2000,4096,32,55206513,2032,1073741824,801.304,1109.0852730000001,328.17276260056605,4232.896,822.91568,867.75785,906.89675,954.9780000000001,1351.45875,1701.7098,1783.3236,1948.27262,2830.0265339999883,31.35,0.7,0.0,0.0
raw,direct-dsync,2,raw-direct-dsync-r2.csv,2000,4096,32,67569940,2032,1073741824,798.128,1123.0781000000002,336.9220765438709,3873.497,825.8338699999999,873.7449,912.8945,962.159,1370.32625,1704.2130000000002,1802.9356,1989.10198,2888.7644269999805,34.2,0.95,0.0,0.0
raw,direct-fdatasync,0,raw-direct-fdatasync-r0.csv,2000,4096,32,58745978,2032,1073741824,601.247,1101.4714705000001,322.132458618715,3215.582,823.81822,866.6623000000001,903.05925,941.9655,1355.52175,1696.1907000000003,1775.0575,1898.4402899999998,2432.353371999992,28.85,0.65,0.0,0.0
raw,direct-fdatasync,1,raw-direct-fdatasync-r1.csv,2000,4096,32,56052793,2032,1073741824,806.41,1158.5315054999999,364.6147764688041,4093.889,845.16404,881.8732500000001,926.3117500000001,973.215,1407.17375,1738.1875,1829.033,2262.90732,3573.9857929999894,40.8,1.95,0.0,0.0
raw,direct-fdatasync,2,raw-direct-fdatasync-r2.csv,2000,4096,32,55064969,2032,1073741824,804.129,1130.0245415,348.9965305886597,3442.3,829.26058,870.2906,915.65675,954.4475,1379.0745,1717.2760000000003,1802.0316500000001,2090.55822,2876.556148999994,33.3,1.45,0.0,0.0
raw,direct-dsync-fdatasync,0,raw-direct-dsync-fdatasync-r0.csv,2000,4096,32,57337682,2032,1073741824,915.51,1280.98903,377.95159276787825,6374.678,961.28278,1000.60845,1052.3490000000002,1099.7815,1579.64375,1803.1023000000002,1898.9731,2138.99141,5069.483501999993,95.2,1.85,0.15,0.0
raw,direct-dsync-fdatasync,1,raw-direct-dsync-fdatasync-r1.csv,2000,4096,32,65658739,2032,1073741824,919.564,1276.2735335,345.631159116495,4447.579,956.47561,997.0474,1053.12075,1098.896,1584.3015,1815.1732,1886.0478500000002,2130.23708,3427.768123999989,94.5,1.7,0.0,0.0
raw,direct-dsync-fdatasync,2,raw-direct-dsync-fdatasync-r2.csv,2000,4096,32,57978461,2032,1073741824,928.594,1381.768774,495.1311272904885,8019.479,974.5821299999999,1018.2152,1080.94075,1143.1934999999999,1665.91875,1904.4587999999999,2074.5781500000003,3301.5676299999996,5555.4116769999755,97.2,6.05,0.2,0.0
raw,uring-direct-dsync,0,raw-uring-direct-dsync-r0.csv,2000,4096,32,61050521,2032,1073741824,57.183,68.546098,55.52957083309213,1425.328,58.38055,60.955450000000006,62.470749999999995,62.92,63.597,68.2028,72.47319999999999,161.78637,923.3364529999926,0.1,0.0,0.0,0.0
raw,uring-direct-dsync,1,raw-uring-direct-dsync-r1.csv,2000,4096,32,60417420,2032,1073741824,56.808,68.039657,49.96751493435861,1220.404,57.96293,60.1106,62.34975,62.82,63.46325,68.1499,72.62095000000001,150.27913,876.2331029999929,0.1,0.0,0.0,0.0
raw,uring-direct-dsync,2,raw-uring-direct-dsync-r2.csv,2000,4096,32,56413334,2032,1073741824,56.991,68.1682715,48.04161686262014,1212.264,58.099920000000004,60.5548,62.48925,62.976,63.723749999999995,68.5048,73.06495,151.65852999999996,786.0864659999903,0.1,0.0,0.0,0.0
initialized,direct-dsync,0,initialized-direct-dsync-r0.csv,2000,4096,32,62662986,2032,0,57.118,68.595227,51.563890235653005,1286.622,58.30668,61.44755,62.62875,63.1575,64.322,68.8532,73.56125,138.47922999999992,1020.5523489999989,0.15,0.0,0.0,0.0
initialized,direct-dsync,1,initialized-direct-dsync-r1.csv,2000,4096,32,64103715,2032,0,57.392,64.412747,16.66903135662031,712.748,58.46795,61.086850000000005,62.567499999999995,63.01,63.6015,67.8519,69.38104999999999,75.8729,170.9868659999951,0.0,0.0,0.0,0.0
initialized,direct-dsync,2,initialized-direct-dsync-r2.csv,2000,4096,32,66361795,2032,0,57.818,65.347499,15.201074239769996,703.616,58.86222,61.65875,62.797,63.364999999999995,65.23049999999999,69.944,73.67009999999999,83.64352,112.42466299999857,0.0,0.0,0.0,0.0
initialized,direct-fdatasync,0,initialized-direct-fdatasync-r0.csv,2000,4096,32,73406489,2032,0,795.146,1130.091465,513.9633453449844,19044.726,827.94789,879.1643,915.97775,967.6205,1369.56375,1674.4762000000003,1781.9748,1919.44357,3098.593217999997,34.05,0.7,0.05,0.05
initialized,direct-fdatasync,1,initialized-direct-fdatasync-r1.csv,2000,4096,32,71948725,2032,0,816.543,1134.8273095,342.8384778712414,4392.518,835.2773400000001,883.32605,920.682,965.3215,1380.2595000000001,1694.3548,1805.4152000000001,2092.47739,2842.8919579999874,35.3,1.3,0.0,0.0
initialized,direct-fdatasync,2,initialized-direct-fdatasync-r2.csv,2000,4096,32,71886733,2032,0,810.06,1123.9635830000002,338.8610650063697,4712.34,831.34411,877.9381,917.797,963.0830000000001,1371.08825,1676.8051,1790.6544999999999,1975.2513,3330.9783679999828,33.05,0.85,0.0,0.0
initialized,direct-dsync-fdatasync,0,initialized-direct-dsync-fdatasync-r0.csv,2000,4096,32,65176593,2032,0,809.707,1112.259038,320.19580668570063,4150.922,834.8588900000001,881.50605,915.6965,958.162,1360.5635,1665.3338,1786.2604,1921.8033699999999,2388.54700299998,30.7,0.65,0.0,0.0
initialized,direct-dsync-fdatasync,1,initialized-direct-dsync-fdatasync-r1.csv,2000,4096,32,71767005,2032,0,810.716,1126.819679,337.20049795158957,3517.959,832.04814,872.48605,915.8032499999999,960.879,1382.3822499999999,1688.1858000000004,1794.93345,2041.3783899999999,3325.74988,33.1,1.1,0.0,0.0
initialized,direct-dsync-fdatasync,2,initialized-direct-dsync-fdatasync-r2.csv,2000,4096,32,73963687,2032,0,811.376,1118.8404185,318.5373462301467,3036.662,835.53994,878.0988,914.9645,960.0060000000001,1371.799,1671.6748,1784.5354,1899.0467199999998,2688.0835499999976,32.3,0.65,0.0,0.0
initialized,uring-direct-dsync,0,initialized-uring-direct-dsync-r0.csv,2000,4096,32,61521798,2032,0,60.829,64.9074395,14.297301258431249,665.514,61.50393,61.9976,62.625,63.1295,64.06625,68.8715,72.43445,78.25317,119.67745199999872,0.0,0.0,0.0,0.0
initialized,uring-direct-dsync,1,initialized-uring-direct-dsync-r1.csv,2000,4096,32,65406476,2032,0,60.801,64.8058755,15.752936786294795,707.134,61.369569999999996,61.9099,62.489,63.003,63.985749999999996,68.1793,70.75710000000001,78.29153000000001,169.156148999998,0.0,0.0,0.0,0.0
initialized,uring-direct-dsync,2,initialized-uring-direct-dsync-r2.csv,2000,4096,32,65248774,2032,0,60.396,65.0910325,14.591653329847299,677.701,61.45696,61.95395,62.659749999999995,63.182500000000005,64.74000000000001,69.0839,72.6469,79.22863,125.84645799999896,0.0,0.0,0.0,0.0
