transport,percentile,criterion,observed,baseline_us,limit_us,maximum_observed_stable_rps,goodput_rps,throughput_sacrificed_pct,latency_us,latency_repeat_min_us,latency_repeat_max_us,repetitions,chosen_transport,window,batch,wait_us,rate,samples
tcp,p50,within_10pct,True,412.9805,454.27855000000005,322317.19177927653,3500.766137575089,98.913875453478,417.932,412.3555,421.77099999999996,3,tcp,64,1,50,3500,157311
tcp,p50,within_25pct,True,412.9805,516.225625,322317.19177927653,3500.766137575089,98.913875453478,417.932,412.3555,421.77099999999996,3,tcp,64,1,50,3500,157311
tcp,p50,below_1ms,True,412.9805,1000,322317.19177927653,322317.19177927653,0.0,849.622,782.584,951.358,3,tcp,16,64,50,320900,5036537
tcp,p90,within_10pct,True,494.64439999999996,544.10884,322317.19177927653,3500.766137575089,98.913875453478,515.369,506.8313,521.9052,3,tcp,64,1,50,3500,157311
tcp,p90,within_25pct,True,494.64439999999996,618.3054999999999,322317.19177927653,3500.766137575089,98.913875453478,515.369,506.8313,521.9052,3,tcp,64,1,50,3500,157311
tcp,p90,below_1ms,True,494.64439999999996,1000,322317.19177927653,264624.2435597207,17.899432512760317,992.9286000000005,856.5772,1101.0798000000002,3,tcp,16,64,100,264300,5206715
tcp,p99,within_10pct,True,632.68222,695.9504420000001,322317.19177927653,3500.766137575089,98.913875453478,649.0622,641.97592,657.9557999999997,3,tcp,64,1,50,3500,157311
tcp,p99,within_25pct,True,632.68222,790.8527750000001,322317.19177927653,3500.766137575089,98.913875453478,649.0622,641.97592,657.9557999999997,3,tcp,64,1,50,3500,157311
tcp,p99,below_1ms,True,632.68222,1000,322317.19177927653,129536.71685884002,59.81079502965295,882.101,774.073,891.21322,3,tcp,64,4,50,129600,5611702
tcp,p999,within_10pct,True,677.5349609999994,745.2884570999994,322317.19177927653,1000.1833044767915,99.68968974352391,677.5349609999994,649.7280040000005,689.9456799999999,3,tcp,16,1,0,1000,44990
