worker,phase,seconds,ena_srd_mode,bw_in_allowance_exceeded,bw_out_allowance_exceeded,pps_allowance_exceeded,conntrack_allowance_exceeded,linklocal_allowance_exceeded,ena_srd_eligible_tx_pkts,ena_srd_tx_pkts,ena_srd_rx_pkts,srd_sent_of_eligible_pct
use1-az1,closed-r0,51.236162185668945,3,0,0,0,0,0,489858,489840,1363162,99.99632546574722
use1-az1,open-r0,1055.9400265216827,3,0,0,0,0,0,12703721,12703715,21611261,99.9999527697436
use1-az1,preflight-tcp,2.629267692565918,3,0,0,0,0,0,967,952,1115,98.4488107549121
use1-az1,preflight-udp,1.6706178188323975,3,0,0,0,0,0,520,512,1007,98.46153846153847
use1-az1,tail-r0,378.60008549690247,3,0,0,0,0,0,2633234,2633234,7201760,100.0
use1-az1,tail-r1,378.96531438827515,3,0,0,0,0,0,2601149,2601137,7194800,99.99953866541286
use1-az1,tail-r2,378.5134711265564,3,0,0,0,0,0,2606085,2606082,7225410,99.99988488479846
use1-az2,closed-r0,51.08178186416626,3,0,0,0,0,0,475790,475690,1235952,99.97898232413459
use1-az2,open-r0,1059.347820520401,3,0,0,0,0,0,12709362,12709236,21818563,99.99900860483791
use1-az2,preflight-tcp,0.8291082382202148,3,0,0,0,0,0,964,946,1194,98.13278008298755
use1-az2,preflight-udp,1.6855823993682861,3,0,0,0,0,0,508,504,1002,99.21259842519684
use1-az2,tail-r0,381.9590950012207,3,0,0,0,0,0,2569947,2569938,7200596,99.9996497982254
use1-az2,tail-r1,378.9653642177582,3,0,0,0,0,0,2568309,2568227,7177056,99.99680723775839
use1-az2,tail-r2,378.51346588134766,3,0,0,0,0,0,2667585,2667518,7228527,99.99748836494432
use1-az4,closed-r0,51.21615171432495,3,0,232739,0,0,0,2599151,2598885,965301,99.98976588893835
use1-az4,open-r0,1059.4968883991241,3,0,421090,0,0,0,43429175,43429001,25412127,99.99959934767354
use1-az4,preflight-tcp,2.813694477081299,3,0,0,0,0,0,2327,2304,1893,99.01160292221745
use1-az4,preflight-udp,1.803917646408081,3,0,0,0,0,0,2005,1985,992,99.00249376558604
use1-az4,tail-r0,382.0780711174011,3,0,263389,0,0,0,14402098,14402097,5202912,99.99999305656718
use1-az4,tail-r1,379.4952931404114,3,0,508028,0,0,0,14371800,14371603,5169111,99.99862926007877
use1-az4,tail-r2,379.0471160411835,3,0,80662,0,0,0,14453809,14453677,5273340,99.99908674592282
