worker,transport,window,batch,rate,wait_us,count,bytes,mtu,device,method,layout,placement,profile,key,node,role,stage,repeat,run,seed,command,started,offered,committed,batches,offered_end_ns,drained_ns,retried_packets,max_follower_lag_batches,process_cpu_seconds,samples,min_us,mean_us,stddev_us,max_us,p01_us,p05_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,over_1000us_pct,over_2000us_pct,over_5000us_pct,over_10000us_pct,measurement_seconds,measured_records,goodput_rps,offered_rps,backlog_start,backlog_end,queue_end,drain_seconds,below_1ms_pct,average_batch_records,max_batch_records,queue_samples,queue_min_us,queue_mean_us,queue_stddev_us,queue_max_us,queue_p01_us,queue_p05_us,queue_p25_us,queue_p50_us,queue_p75_us,queue_p90_us,queue_p95_us,queue_p99_us,queue_p999_us,queue_over_1000us_pct,queue_over_2000us_pct,queue_over_5000us_pct,queue_over_10000us_pct,post_prepare_samples,post_prepare_min_us,post_prepare_mean_us,post_prepare_stddev_us,post_prepare_max_us,post_prepare_p01_us,post_prepare_p05_us,post_prepare_p25_us,post_prepare_p50_us,post_prepare_p75_us,post_prepare_p90_us,post_prepare_p95_us,post_prepare_p99_us,post_prepare_p999_us,post_prepare_over_1000us_pct,post_prepare_over_2000us_pct,post_prepare_over_5000us_pct,post_prepare_over_10000us_pct,max_sampled_queue,max_sampled_backlog,first_quarter_mean_queue,last_quarter_mean_queue,stable_observed,file,ended,recovered_records,recorded_stable_observed,quorum_drain_seconds,all_followers_drain_seconds
use1-az4,tcp,4,4,0,50,2000,4096,8900,nvme,direct-dsync,raw,good,express,preflight-3b005f1dabe85f64-r0,2,leader,preflight,0,14205562246253823754,14763011847420527822,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'tcp', '172.31.91.95', '172.31.8.92', '43001', '2000', '4', '4', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T182950Z-9cb6f629/results/preflight-3b005f1dabe85f64-r0.csv', '14205562246253823754', '14763011847420527822']",1789410726.9577713,2000,2000,500,0,99077232,0,4,0.009101,1800,416.876,518.5659977777777,35.24030732483592,631.334,433.047,467.232,493.827,516.2745,539.29,564.0603,578.623,613.289,631.334,0.0,0.0,0.0,0.0,0.090285008,1800,20069.777254713208,19936.864822562788,16,0,0,0.0,100.0,4.0,4,1800,2.978,3.288606666666667,0.4321937306861871,4.394,2.99,2.996,3.01,3.113,3.144,4.1621,4.191,4.32,4.394,0.0,0.0,0.0,0.0,1800,413.771,515.2773911111111,35.21924672351009,628.186,429.937,464.237,490.604,513.002,536.264,560.9511,575.509,610.289,628.186,0.0,0.0,0.0,0.0,4,16,0.16,0.16,False,preflight-3b005f1dabe85f64-r0.csv.gz,1789410727.1845827,2000,False,0.0,0.000206839
use1-az4,udp,4,4,0,50,2000,4096,8900,nvme,direct-dsync,raw,good,express,preflight-812b615f75a34bac-r0,2,leader,preflight,0,9405762380108716992,14763011847420527822,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'udp', '172.31.91.95', '172.31.8.92', '43001', '2000', '4', '4', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T182950Z-9cb6f629/results/preflight-812b615f75a34bac-r0.csv', '9405762380108716992', '14763011847420527822']",1789410728.8607383,2000,2000,500,0,68130079,0,4,0.010024,1800,406.894,473.1585533333333,30.607942292273677,585.371,414.745,424.7,450.229,472.323,495.351,512.6231,522.417,549.843,585.371,0.0,0.0,0.0,0.0,0.059499253,1800,30454.163853115937,30252.480648790664,16,0,0,0.0,100.0,4.0,4,1800,3.157,3.4783755555555556,0.6876456185680255,16.22,3.196,3.34,3.376,3.391,3.409,3.4361,3.568,4.649,16.22,0.0,0.0,0.0,0.0,1800,403.493,469.68017777777777,30.619220214244436,582.0,411.361,421.295,446.81,468.8405,491.901,509.2648,518.954,546.46,582.0,0.0,0.0,0.0,0.0,4,16,0.16,0.16,False,preflight-812b615f75a34bac-r0.csv.gz,1789410729.053607,2000,False,0.0,5.8134e-05
use1-az4,udp,64,4,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,express,closed-a81a6b88c85f0cb8-r0,2,leader,closed,0,8731544062751568589,2338772514953129357,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'udp', '172.31.91.95', '172.31.8.92', '43001', '250000', '64', '4', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T182950Z-9cb6f629/results/closed-a81a6b88c85f0cb8-r0.csv', '8731544062751568589', '2338772514953129357']",1789410731.6944857,250000,250000,62500,0,921147696,0,64,0.903871,225000,619.126,887.50841248,36.82133545408106,1058.098,789.416,822.491,864.624,891.32,913.962,929.6714000000001,939.447,962.047,1004.731,0.1688888888888889,0.0,0.0,0.0,0.828337482,225000,271927.8131132547,271628.41823448957,252,0,0,0.0,99.83111111111111,4.0,4,225000,3.302,3.5574664355555554,0.6657212304545143,84.272,3.345,3.364,3.397,3.444,3.526,3.642,4.481,5.187,10.451,0.0,0.0,0.0,0.0,225000,615.553,883.9509460444445,36.81715288250549,1053.415,785.847,818.889,861.06,887.769,910.418,926.136,935.888,958.264,1001.299,0.13866666666666666,0.0,0.0,0.0,4,256,1.28,1.6,False,closed-a81a6b88c85f0cb8-r0.csv.gz,1789410735.301632,250000,False,0.0,3.0619e-05
use1-az4,tcp,16,16,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,express,closed-00ee96bf966aaecd-r0,2,leader,closed,0,3700000827144438332,2338772514953129357,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'tcp', '172.31.91.95', '172.31.8.92', '43001', '250000', '16', '16', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T182950Z-9cb6f629/results/closed-00ee96bf966aaecd-r0.csv', '3700000827144438332', '2338772514953129357']",1789410737.1011612,250000,250000,15625,0,959205999,0,16,0.627123,225008,605.236,830.9963663514186,91.75188653818734,1203.996,665.876,679.623,746.437,849.486,899.687,940.776,972.556,1011.664,1052.936,2.5527981227334138,0.0,0.0,0.0,0.822651351,225008,273768.467925363,273515.6269134967,224,0,0,0.0,97.44720187726658,16.0,16,225008,12.332,14.153178055891347,1.6123612797842608,88.978,12.468,12.869,13.08,14.521,14.723,14.848,15.214,21.025,26.894,0.0,0.0,0.0,0.0,225008,592.153,816.8431882955272,91.54657530455812,1189.309,651.398,664.857,733.065,835.231,885.345,926.19,958.393,997.11,1037.844,0.6399772452535021,0.0,0.0,0.0,16,256,3.84,3.2,False,closed-00ee96bf966aaecd-r0.csv.gz,1789410740.3413587,250000,False,0.0,0.000234718
use1-az4,udp,4,64,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,express,closed-f0bf4591621551ce-r0,2,leader,closed,0,3744418527935469822,2338772514953129357,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'udp', '172.31.91.95', '172.31.8.92', '43001', '250000', '4', '64', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T182950Z-9cb6f629/results/closed-f0bf4591621551ce-r0.csv', '3744418527935469822', '2338772514953129357']",1789410742.1528938,250000,250000,3907,0,953544170,180,4,0.717677,225040,607.926,889.6509871311766,70.62231719261429,1166.608,699.928,743.783,853.395,900.365,946.844,961.697,970.394,999.154,1079.644,0.9669392108069677,0.0,0.0,0.0,0.863781668,225040,260676.98394358606,260528.7983490754,192,0,0,0.0,99.03306078919303,63.99658727337362,64,225040,15.403,56.93190067543548,2.741310795031294,111.948,54.176,54.503,55.176,55.866,58.873,60.251,61.304,66.208,70.993,0.0,0.0,0.0,0.0,225040,592.523,832.7190864557411,70.25922239297567,1111.418,644.395,687.704,797.52,842.404,890.383,906.172,913.821,942.124,1019.911,0.14219694276573053,0.0,0.0,0.0,64,256,15.36,12.8,False,closed-f0bf4591621551ce-r0.csv.gz,1789410745.2559106,250000,False,0.0,0.000149363
use1-az4,udp,16,64,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,express,closed-969192ca4c9e7190-r0,2,leader,closed,0,12912365156974268657,2338772514953129357,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'udp', '172.31.91.95', '172.31.8.92', '43001', '250000', '16', '64', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T182950Z-9cb6f629/results/closed-969192ca4c9e7190-r0.csv', '12912365156974268657', '2338772514953129357']",1789410747.046409,250000,250000,3907,0,1045808143,118538,16,0.955942,225040,660.801,1062.355640881621,127.72524000497756,1903.642,793.243,917.071,971.138,1020.389,1177.466,1222.268,1259.934,1441.547,1846.039,59.60895840739424,0.0,0.0,0.0,0.90053135,225040,250039.04639188852,249896.90808654248,192,0,0,0.0,40.39104159260576,63.99658727337362,64,225040,15.429,57.83608908638464,2.915516790324799,83.371,53.745,54.21,55.296,58.138,59.423,60.658,63.151,66.998,70.592,0.0,0.0,0.0,0.0,225040,645.372,1004.5195517952363,127.686481444484,1844.713,737.5,860.975,912.178,964.34,1118.881,1165.076,1201.296,1384.133,1790.338,36.516174902239605,0.0,0.0,0.0,64,384,12.8,17.92,False,closed-969192ca4c9e7190-r0.csv.gz,1789410750.2564516,250000,False,0.0,0.003310259
use1-az4,tcp,64,4,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,express,closed-7cac27259c3d9e21-r0,2,leader,closed,0,4999281868056009319,2338772514953129357,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'tcp', '172.31.91.95', '172.31.8.92', '43001', '250000', '64', '4', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T182950Z-9cb6f629/results/closed-7cac27259c3d9e21-r0.csv', '4999281868056009319', '2338772514953129357']",1789410752.0428402,250000,250000,62500,0,1051808589,0,64,0.945919,225000,456.701,908.2597718755555,53.79647290668764,1070.604,701.542,819.613,883.458,915.942,943.56,965.0341,974.833,995.119,1031.065,0.6862222222222222,0.0,0.0,0.0,0.86847417,225000,259227.05335036042,259075.06264694087,136,0,0,0.0,99.31377777777777,4.0,4,225000,2.994,3.225158222222222,0.7362156418854733,22.114,3.048,3.057,3.081,3.096,3.124,3.226,4.203,4.81,13.542,0.0,0.0,0.0,0.0,225000,453.482,905.0346136533333,53.808247050164994,1067.51,698.234,816.448,880.201,912.7075,940.343,961.8045,971.673,991.937,1027.968,0.5528888888888889,0.0,0.0,0.0,4,256,0.8,1.44,False,closed-7cac27259c3d9e21-r0.csv.gz,1789410755.7585912,250000,False,0.0,0.000220707
use1-az4,tcp,16,64,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,express,closed-e6c2823efaacff98-r0,2,leader,closed,0,14138952014340263467,2338772514953129357,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'tcp', '172.31.91.95', '172.31.8.92', '43001', '250000', '16', '64', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T182950Z-9cb6f629/results/closed-e6c2823efaacff98-r0.csv', '14138952014340263467', '2338772514953129357']",1789410757.655671,250000,250000,3907,0,705659161,0,16,0.479143,225040,856.998,2245.9205170991822,365.75660576519647,2871.747,1028.953,1513.499,2037.872,2307.336,2533.894,2637.611,2680.661,2749.93,2796.766,99.31745467472449,78.86242445787416,0.0,0.0,0.596672723,225040,377587.22883667,377158.18291227636,320,0,0,0.0,0.6825453252755066,63.99658727337362,64,225040,13.529,54.179745254177035,4.481557864485281,150.44,48.915,49.281,51.071,54.402,55.86,57.497,61.988,68.007,89.36,0.0,0.0,0.0,0.0,225040,805.602,2191.7407718450054,365.6647711923792,2816.564,976.858,1458.408,1984.234,2252.433,2480.081,2582.469,2625.8,2695.379,2746.836,98.77710629221471,73.37362246711696,0.0,0.0,64,1024,30.72,15.36,False,closed-e6c2823efaacff98-r0.csv.gz,1789410760.5162628,250000,False,0.0,0.000882443
use1-az4,tcp,4,64,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,express,closed-5c35b3bdc6a806f4-r0,2,leader,closed,0,4178686153795287768,2338772514953129357,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'tcp', '172.31.91.95', '172.31.8.92', '43001', '250000', '4', '64', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T182950Z-9cb6f629/results/closed-5c35b3bdc6a806f4-r0.csv', '4178686153795287768', '2338772514953129357']",1789410762.306649,250000,250000,3907,0,1208776128,0,4,0.563604,225040,789.438,1140.2098691788126,109.6525539089823,1559.617,967.79,1008.951,1047.593,1107.907,1247.532,1301.117,1310.498,1315.425,1445.179,96.18201208674013,0.0,0.0,0.0,1.083385282,225040,207896.49235792368,207719.2700869643,256,0,0,0.0,3.817987913259865,63.99658727337362,64,225040,13.166,50.89315535015997,2.504488548383481,115.286,48.884,49.035,49.545,50.193,51.181,53.806,55.967,59.174,65.605,0.0,0.0,0.0,0.0,225040,776.272,1089.3167138286526,109.79995789472513,1509.509,917.255,957.975,995.348,1057.352,1197.633,1250.795,1259.974,1265.305,1389.566,66.97476004265909,0.0,0.0,0.0,64,256,10.24,15.36,False,closed-5c35b3bdc6a806f4-r0.csv.gz,1789410765.6614637,250000,False,0.0,5.6193e-05
use1-az4,udp,64,1,0,50,128000,4096,8900,nvme,direct-dsync,raw,good,express,closed-be75f246f17e7efa-r0,2,leader,closed,0,6261150704017043337,4351613970252497371,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'udp', '172.31.91.95', '172.31.8.92', '43001', '128000', '64', '1', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T182950Z-9cb6f629/results/closed-be75f246f17e7efa-r0.csv', '6261150704017043337', '4351613970252497371']",1789410767.1575866,128000,128000,128000,0,1567701397,0,64,0.95593,115200,395.945,681.6854968142361,75.8280822310865,973.111,528.1214699999999,569.1296,623.1055,672.372,744.8165,783.0364,803.6221499999999,850.3864999999997,906.0486070000001,0.0,0.0,0.0,0.0,1.430061694,115200,80587.43233492975,80555.96516103871,46,0,0,0.0,100.0,1.0,1,115200,0.801,1.0125885677083333,0.47004324579728823,72.943,0.818,0.827,0.858,0.89,0.923,1.785,1.86,2.123009999999995,5.743821000000142,0.0,0.0,0.0,0.0,115200,395.109,680.6729082465278,75.82553952634302,972.189,527.11273,568.087,622.053,671.357,743.774,781.9822,802.62305,849.20615,904.8532770000046,0.0,0.0,0.0,0.0,1,64,0.08,0.12,False,closed-be75f246f17e7efa-r0.csv.gz,1789410770.87853,128000,False,0.0,0.000192608
