stage,transport,window,batch,rate,wait_us,count,bytes,mtu,device,method,layout,placement,samples,min_us,mean_us,stddev_us,max_us,p01_us,p05_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,over_1000us_pct,over_2000us_pct,over_5000us_pct,over_10000us_pct,repetitions,stable_all_passes,goodput_rps,goodput_min_rps,goodput_max_rps,offered_rps,measurement_seconds,below_1ms_pct,retried_packets,max_drain_seconds,max_quorum_drain_seconds,max_all_followers_drain_seconds,recorded_stable_all_passes,max_sampled_queue,max_follower_lag_batches,max_sampled_backlog,first_quarter_mean_queue,last_quarter_mean_queue,leader_cpu_us_per_record,mean_batch_records,record_weighted_batch_records,queue_samples,queue_min_us,queue_mean_us,queue_stddev_us,queue_max_us,queue_p01_us,queue_p05_us,queue_p25_us,queue_p50_us,queue_p75_us,queue_p90_us,queue_p95_us,queue_p99_us,queue_p999_us,queue_over_1000us_pct,queue_over_2000us_pct,queue_over_5000us_pct,queue_over_10000us_pct,p50_repeat_min_us,p50_repeat_max_us,p90_repeat_min_us,p90_repeat_max_us,p99_repeat_min_us,p99_repeat_max_us,p999_repeat_min_us,p999_repeat_max_us
closed,tcp,4,64,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,225040,789.438,1140.2098691788126,109.6525539089823,1559.617,967.79,1008.951,1047.593,1107.907,1247.532,1301.117,1310.498,1315.425,1445.179,96.18201208674013,0.0,0.0,0.0,1,False,207896.49235792368,207896.49235792368,207896.49235792368,207719.2700869643,1.083385282,3.817987913259865,0,0.0,0.0,5.6193e-05,False,64,4,256,10.24,15.36,2.254416,63.9877143588431,63.99658727337362,225040,13.166,50.89315535015997,2.504488548383481,115.286,48.884,49.035,49.545,50.193,51.181,53.806,55.967,59.174,65.605,0.0,0.0,0.0,0.0,1107.907,1107.907,1301.117,1301.117,1315.425,1315.425,1445.179,1445.179
closed,tcp,16,16,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,225008,605.236,830.9963663514186,91.75188653818734,1203.996,665.876,679.623,746.437,849.486,899.687,940.776,972.556,1011.664,1052.936,2.5527981227334138,0.0,0.0,0.0,1,False,273768.467925363,273768.467925363,273768.467925363,273515.6269134967,0.822651351,97.44720187726658,0,0.0,0.0,0.000234718,False,16,16,256,3.84,3.2,2.508492,16.0,16.0,225008,12.332,14.153178055891347,1.6123612797842608,88.978,12.468,12.869,13.08,14.521,14.723,14.848,15.214,21.025,26.894,0.0,0.0,0.0,0.0,849.486,849.486,940.776,940.776,1011.664,1011.664,1052.936,1052.936
closed,tcp,16,64,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,225040,856.998,2245.9205170991822,365.75660576519647,2871.747,1028.953,1513.499,2037.872,2307.336,2533.894,2637.611,2680.661,2749.93,2796.766,99.31745467472449,78.86242445787416,0.0,0.0,1,False,377587.22883667,377587.22883667,377587.22883667,377158.18291227636,0.596672723,0.6825453252755066,0,0.0,0.0,0.000882443,False,64,16,1024,30.72,15.36,1.916572,63.9877143588431,63.99658727337362,225040,13.529,54.179745254177035,4.481557864485281,150.44,48.915,49.281,51.071,54.402,55.86,57.497,61.988,68.007,89.36,0.0,0.0,0.0,0.0,2307.336,2307.336,2637.611,2637.611,2749.93,2749.93,2796.766,2796.766
closed,tcp,64,1,0,50,128000,4096,8900,nvme,direct-dsync,raw,good,115200,504.345,800.6684254513889,77.06514883046226,1121.077,630.83772,666.3459,749.80725,807.901,850.42625,894.404,923.3132499999999,977.5763699999999,1025.7413140000008,0.3862847222222222,0.0,0.0,0.0,1,False,70183.4354220955,70183.4354220955,70183.4354220955,70148.11779334537,1.642239359,99.61371527777777,0,0.0,0.0,0.000328443,False,1,64,64,0.12,0.12,9.45359375,1.0,1.0,115200,0.746,0.8017768142361111,0.29553998951940275,13.856,0.752,0.755,0.76,0.765,0.775,0.793,0.806,1.763,5.208239000000264,0.0,0.0,0.0,0.0,807.901,807.901,894.404,894.404,977.5763699999999,977.5763699999999,1025.7413140000008,1025.7413140000008
closed,tcp,64,4,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,225000,456.701,908.2597718755555,53.79647290668764,1070.604,701.542,819.613,883.458,915.942,943.56,965.0341,974.833,995.119,1031.065,0.6862222222222222,0.0,0.0,0.0,1,False,259227.05335036042,259227.05335036042,259227.05335036042,259075.06264694087,0.86847417,99.31377777777777,0,0.0,0.0,0.000220707,False,4,64,256,0.8,1.44,3.783676,4.0,4.0,225000,2.994,3.225158222222222,0.7362156418854733,22.114,3.048,3.057,3.081,3.096,3.124,3.226,4.203,4.81,13.542,0.0,0.0,0.0,0.0,915.942,915.942,965.0341,965.0341,995.119,995.119,1031.065,1031.065
closed,udp,4,64,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,225040,607.926,889.6509871311766,70.62231719261429,1166.608,699.928,743.783,853.395,900.365,946.844,961.697,970.394,999.154,1079.644,0.9669392108069677,0.0,0.0,0.0,1,False,260676.98394358606,260676.98394358606,260676.98394358606,260528.7983490754,0.863781668,99.03306078919303,180,0.0,0.0,0.000149363,False,64,4,256,15.36,12.8,2.870708,63.9877143588431,63.99658727337362,225040,15.403,56.93190067543548,2.741310795031294,111.948,54.176,54.503,55.176,55.866,58.873,60.251,61.304,66.208,70.993,0.0,0.0,0.0,0.0,900.365,900.365,961.697,961.697,999.154,999.154,1079.644,1079.644
closed,udp,16,16,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,225008,603.155,884.0185582734836,71.56726529532467,1089.705,687.376,744.72,839.939,883.326,930.688,964.68,997.331,1013.681,1054.519,4.444286425371542,0.0,0.0,0.0,1,False,262628.09517246345,262628.09517246345,262628.09517246345,262385.54293907026,0.857547247,95.55571357462846,0,0.0,0.0,3.03e-05,False,16,16,256,3.2,7.04,3.03522,16.0,16.0,225008,13.615,14.693717770034842,1.1834114126065962,39.663,14.011,14.111,14.354,14.513,14.588,14.706,15.981,21.845,26.849,0.0,0.0,0.0,0.0,883.326,883.326,964.68,964.68,1013.681,1013.681,1054.519,1054.519
closed,udp,16,64,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,225040,660.801,1062.355640881621,127.72524000497756,1903.642,793.243,917.071,971.138,1020.389,1177.466,1222.268,1259.934,1441.547,1846.039,59.60895840739424,0.0,0.0,0.0,1,False,250039.04639188852,250039.04639188852,250039.04639188852,249896.90808654248,0.90053135,40.39104159260576,118538,0.0,0.0,0.003310259,False,64,16,384,12.8,17.92,3.823768,63.9877143588431,63.99658727337362,225040,15.429,57.83608908638464,2.915516790324799,83.371,53.745,54.21,55.296,58.138,59.423,60.658,63.151,66.998,70.592,0.0,0.0,0.0,0.0,1020.389,1020.389,1222.268,1222.268,1441.547,1441.547,1846.039,1846.039
closed,udp,64,1,0,50,128000,4096,8900,nvme,direct-dsync,raw,good,115200,395.945,681.6854968142361,75.8280822310865,973.111,528.1214699999999,569.1296,623.1055,672.372,744.8165,783.0364,803.6221499999999,850.3864999999997,906.0486070000001,0.0,0.0,0.0,0.0,1,False,80587.43233492975,80587.43233492975,80587.43233492975,80555.96516103871,1.430061694,100.0,0,0.0,0.0,0.000192608,False,1,64,64,0.08,0.12,7.468203125,1.0,1.0,115200,0.801,1.0125885677083333,0.47004324579728823,72.943,0.818,0.827,0.858,0.89,0.923,1.785,1.86,2.123009999999995,5.743821000000142,0.0,0.0,0.0,0.0,672.372,672.372,783.0364,783.0364,850.3864999999997,850.3864999999997,906.0486070000001,906.0486070000001
closed,udp,64,4,0,50,250000,4096,8900,nvme,direct-dsync,raw,good,225000,619.126,887.50841248,36.82133545408106,1058.098,789.416,822.491,864.624,891.32,913.962,929.6714000000001,939.447,962.047,1004.731,0.1688888888888889,0.0,0.0,0.0,1,False,271927.8131132547,271927.8131132547,271927.8131132547,271628.41823448957,0.828337482,99.83111111111111,0,0.0,0.0,3.0619e-05,False,4,64,256,1.28,1.6,3.615484,4.0,4.0,225000,3.302,3.5574664355555554,0.6657212304545143,84.272,3.345,3.364,3.397,3.444,3.526,3.642,4.481,5.187,10.451,0.0,0.0,0.0,0.0,891.32,891.32,929.6714000000001,929.6714000000001,962.047,962.047,1004.731,1004.731
