transport,percentile,criterion,observed,baseline_us,limit_us,maximum_observed_stable_rps,goodput_rps,throughput_sacrificed_pct,latency_us,latency_repeat_min_us,latency_repeat_max_us,repetitions,chosen_transport,window,batch,wait_us,rate,samples
tcp,p50,within_10pct,True,412.73749999999995,454.01124999999996,128881.01405550218,3995.9221243497177,96.89952616090615,450.596,334.766,468.755,3,tcp,64,1,50,4000,180031
tcp,p50,within_25pct,True,412.73749999999995,515.921875,128881.01405550218,3995.9221243497177,96.89952616090615,450.596,334.766,468.755,3,tcp,64,1,50,4000,180031
tcp,p50,below_1ms,True,412.73749999999995,1000,128881.01405550218,128881.01405550218,0.0,755.047,749.616,763.819,3,tcp,16,64,50,128800,5613976
tcp,p90,within_10pct,True,486.3444999999999,534.9789499999999,128881.01405550218,1000.1833044767915,99.22394829695702,486.3444999999999,474.8944000000001,502.7192,3,tcp,16,1,0,1000,44990
tcp,p90,within_25pct,True,486.3444999999999,607.930625,128881.01405550218,3995.9221243497177,96.89952616090615,546.163,498.3825,573.6555999999999,3,tcp,64,1,50,4000,180031
tcp,p90,below_1ms,True,486.3444999999999,1000,128881.01405550218,128881.01405550218,0.0,842.374,828.22,859.831,3,tcp,16,64,50,128800,5613976
tcp,p99,within_10pct,True,628.4629700000003,691.3092670000003,128881.01405550218,3995.9221243497177,96.89952616090615,669.9917000000002,612.13835,697.6133600000001,3,tcp,64,1,50,4000,180031
tcp,p99,within_25pct,True,628.4629700000003,785.5787125000004,128881.01405550218,7500.633954099199,94.18018704378825,766.6942799999998,736.70751,788.60059,3,tcp,64,4,50,7500,337497
tcp,p99,below_1ms,True,628.4629700000003,1000,128881.01405550218,128881.01405550218,0.0,919.256,871.4507900000001,956.2795999999996,3,tcp,16,64,50,128800,5613976
tcp,p999,within_10pct,True,761.2409819999995,837.3650801999995,128881.01405550218,3995.9221243497177,96.89952616090615,764.0116600000001,745.5051150000011,775.1616320000004,3,tcp,64,1,50,4000,180031
