transport,percentile,criterion,observed,baseline_us,limit_us,maximum_observed_stable_rps,goodput_rps,throughput_sacrificed_pct,latency_us,latency_repeat_min_us,latency_repeat_max_us,repetitions,chosen_transport,window,batch,wait_us,rate,samples
tcp,p50,within_10pct,True,449.044,493.94840000000005,52693.294261962226,1000.1833044767915,98.10187744287835,449.044,369.555,454.394,3,tcp,16,1,0,1000,44990
tcp,p50,within_25pct,True,449.044,561.305,52693.294261962226,5317.652420332361,89.90829384495132,517.817,478.871,541.9875,3,tcp,64,64,50,5300,238687
tcp,p50,below_1ms,True,449.044,1000,52693.294261962226,52693.294261962226,0.0,601.944,581.179,660.858,3,tcp,16,16,50,52700,2370844
tcp,p90,within_10pct,True,484.26669999999984,532.6933699999998,52693.294261962226,1000.1833044767915,98.10187744287835,484.26669999999984,420.6076,542.2235,3,tcp,16,1,0,1000,44990
tcp,p90,within_25pct,True,484.26669999999984,605.3333749999998,52693.294261962226,5213.162373570621,90.10659241068963,604.6178000000001,551.217,658.0908,3,tcp,64,4,50,5200,233693
tcp,p90,below_1ms,True,484.26669999999984,1000,52693.294261962226,52693.294261962226,0.0,707.903,638.222,754.7166,3,tcp,16,16,50,52700,2370844
tcp,p99,within_10pct,True,645.8006400000002,710.3807040000003,52693.294261962226,1000.1833044767915,98.10187744287835,645.8006400000002,530.5629199999997,688.28673,3,tcp,16,1,0,1000,44990
tcp,p99,within_25pct,True,645.8006400000002,807.2508000000003,52693.294261962226,52693.294261962226,0.0,790.265,705.1850799999996,810.41272,3,tcp,16,16,50,52700,2370844
tcp,p99,below_1ms,True,645.8006400000002,1000,52693.294261962226,52693.294261962226,0.0,790.265,705.1850799999996,810.41272,3,tcp,16,16,50,52700,2370844
tcp,p999,within_10pct,True,702.8323319999997,773.1155651999998,52693.294261962226,1000.1833044767915,98.10187744287835,702.8323319999997,607.8428440000004,707.4298700000005,3,tcp,16,1,0,1000,44990
tcp,p999,within_25pct,True,702.8323319999997,878.5404149999997,52693.294261962226,52693.294261962226,0.0,834.0267850000006,765.9969500000004,844.9637959999999,3,tcp,16,16,50,52700,2370844
tcp,p999,below_1ms,True,702.8323319999997,1000,52693.294261962226,52693.294261962226,0.0,834.0267850000006,765.9969500000004,844.9637959999999,3,tcp,16,16,50,52700,2370844
udp,p50,within_10pct,True,432.148,475.36280000000005,5213.162373570621,1000.1833044767915,80.81426909801503,432.148,405.567,462.082,3,udp,16,1,0,1000,44990
udp,p50,within_25pct,True,432.148,540.1850000000001,5213.162373570621,5213.162373570621,0.0,503.723,495.304,528.6179999999999,3,udp,64,4,50,5200,233693
udp,p50,below_1ms,True,432.148,1000,5213.162373570621,5213.162373570621,0.0,503.723,495.304,528.6179999999999,3,udp,64,4,50,5200,233693
udp,p90,within_10pct,True,512.6544,563.91984,5213.162373570621,1000.1833044767915,80.81426909801503,512.6544,492.107,523.207,3,udp,16,1,0,1000,44990
udp,p90,within_25pct,True,512.6544,640.818,5213.162373570621,5213.162373570621,0.0,623.7268,558.525,652.7234000000001,3,udp,64,4,50,5200,233693
udp,p90,below_1ms,True,512.6544,1000,5213.162373570621,5213.162373570621,0.0,623.7268,558.525,652.7234000000001,3,udp,64,4,50,5200,233693
udp,p99,within_10pct,True,660.67154,726.7386940000001,5213.162373570621,1000.1833044767915,80.81426909801503,660.67154,632.2503999999998,692.4127999999997,3,udp,16,1,0,1000,44990
udp,p99,within_25pct,True,660.67154,825.8394250000001,5213.162373570621,5213.162373570621,0.0,735.6030399999999,679.5958,742.6927599999998,3,udp,64,4,50,5200,233693
udp,p99,below_1ms,True,660.67154,1000,5213.162373570621,5213.162373570621,0.0,735.6030399999999,679.5958,742.6927599999998,3,udp,64,4,50,5200,233693
udp,p999,within_10pct,True,715.0675389999999,786.5742928999999,5213.162373570621,1000.1833044767915,80.81426909801503,715.0675389999999,680.1416700000004,722.5554240000001,3,udp,16,1,0,1000,44990
udp,p999,within_25pct,True,715.0675389999999,893.8344237499998,5213.162373570621,5213.162373570621,0.0,802.4550799999998,756.1631999999981,836.8664620000002,3,udp,64,4,50,5200,233693
udp,p999,below_1ms,True,715.0675389999999,1000,5213.162373570621,5213.162373570621,0.0,802.4550799999998,756.1631999999981,836.8664620000002,3,udp,64,4,50,5200,233693
either,p50,within_10pct,True,432.148,475.36280000000005,52693.294261962226,1000.1833044767915,98.10187744287835,432.148,405.567,462.082,3,udp,16,1,0,1000,44990
either,p50,within_25pct,True,432.148,540.1850000000001,52693.294261962226,5317.652420332361,89.90829384495132,517.817,478.871,541.9875,3,tcp,64,64,50,5300,238687
either,p50,below_1ms,True,432.148,1000,52693.294261962226,52693.294261962226,0.0,601.944,581.179,660.858,3,tcp,16,16,50,52700,2370844
either,p90,within_10pct,True,484.26669999999984,532.6933699999998,52693.294261962226,1000.1833044767915,98.10187744287835,484.26669999999984,420.6076,542.2235,3,tcp,16,1,0,1000,44990
either,p90,within_25pct,True,484.26669999999984,605.3333749999998,52693.294261962226,5213.162373570621,90.10659241068963,604.6178000000001,551.217,658.0908,3,tcp,64,4,50,5200,233693
either,p90,below_1ms,True,484.26669999999984,1000,52693.294261962226,52693.294261962226,0.0,707.903,638.222,754.7166,3,tcp,16,16,50,52700,2370844
either,p99,within_10pct,True,645.8006400000002,710.3807040000003,52693.294261962226,1000.1833044767915,98.10187744287835,645.8006400000002,530.5629199999997,688.28673,3,tcp,16,1,0,1000,44990
either,p99,within_25pct,True,645.8006400000002,807.2508000000003,52693.294261962226,52693.294261962226,0.0,790.265,705.1850799999996,810.41272,3,tcp,16,16,50,52700,2370844
either,p99,below_1ms,True,645.8006400000002,1000,52693.294261962226,52693.294261962226,0.0,790.265,705.1850799999996,810.41272,3,tcp,16,16,50,52700,2370844
either,p999,within_10pct,True,702.8323319999997,773.1155651999998,52693.294261962226,1000.1833044767915,98.10187744287835,702.8323319999997,607.8428440000004,707.4298700000005,3,tcp,16,1,0,1000,44990
either,p999,within_25pct,True,702.8323319999997,878.5404149999997,52693.294261962226,52693.294261962226,0.0,834.0267850000006,765.9969500000004,844.9637959999999,3,tcp,16,16,50,52700,2370844
either,p999,below_1ms,True,702.8323319999997,1000,52693.294261962226,52693.294261962226,0.0,834.0267850000006,765.9969500000004,844.9637959999999,3,tcp,16,16,50,52700,2370844
