worker,phase,seconds,ena_srd_mode,bw_in_allowance_exceeded,bw_out_allowance_exceeded,pps_allowance_exceeded,conntrack_allowance_exceeded,linklocal_allowance_exceeded,ena_srd_eligible_tx_pkts,ena_srd_tx_pkts,ena_srd_rx_pkts,srd_sent_of_eligible_pct
use1-az1,closed-r0,166.52739572525024,0,0,0,0,0,0,0,0,0,
use1-az1,open-r0,1465.940455198288,0,0,0,0,0,0,0,0,0,
use1-az1,tail-r0,440.96349024772644,0,0,0,0,0,0,0,0,0,
use1-az1,tail-r1,442.3497040271759,0,0,0,0,0,0,0,0,0,
use1-az1,tail-r2,443.6161410808563,0,0,0,0,0,0,0,0,0,
use1-az2,closed-r0,166.52742767333984,0,0,0,0,0,0,0,0,0,
use1-az2,open-r0,1465.7206366062164,0,0,0,0,0,0,0,0,0,
use1-az2,tail-r0,444.35358452796936,0,0,0,0,0,0,0,0,0,
use1-az2,tail-r1,442.3499712944031,0,0,0,0,0,0,0,0,0,
use1-az2,tail-r2,443.6162393093109,0,0,0,0,0,0,0,0,0,
use1-az4,closed-r0,166.49908995628357,0,0,196059,0,0,0,0,0,0,
use1-az4,open-r0,1469.2801229953766,0,0,5352,0,0,0,0,0,0,
use1-az4,tail-r0,444.3929307460785,0,0,2872,0,0,0,0,0,0,
use1-az4,tail-r1,442.9371087551117,0,0,3249,0,0,0,0,0,0,
use1-az4,tail-r2,444.20000743865967,0,0,2547,0,0,0,0,0,0,
