worker,transport,window,batch,rate,wait_us,count,bytes,mtu,device,method,layout,placement,key,node,role,stage,repeat,run,seed,command,started,offered,committed,batches,offered_end_ns,drained_ns,retried_packets,max_follower_lag_batches,process_cpu_seconds,samples,min_us,mean_us,stddev_us,max_us,p01_us,p05_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,over_1000us_pct,over_2000us_pct,over_5000us_pct,over_10000us_pct,measurement_seconds,measured_records,goodput_rps,offered_rps,backlog_start,backlog_end,queue_end,drain_seconds,below_1ms_pct,average_batch_records,max_batch_records,queue_samples,queue_min_us,queue_mean_us,queue_stddev_us,queue_max_us,queue_p01_us,queue_p05_us,queue_p25_us,queue_p50_us,queue_p75_us,queue_p90_us,queue_p95_us,queue_p99_us,queue_p999_us,queue_over_1000us_pct,queue_over_2000us_pct,queue_over_5000us_pct,queue_over_10000us_pct,post_prepare_samples,post_prepare_min_us,post_prepare_mean_us,post_prepare_stddev_us,post_prepare_max_us,post_prepare_p01_us,post_prepare_p05_us,post_prepare_p25_us,post_prepare_p50_us,post_prepare_p75_us,post_prepare_p90_us,post_prepare_p95_us,post_prepare_p99_us,post_prepare_p999_us,post_prepare_over_1000us_pct,post_prepare_over_2000us_pct,post_prepare_over_5000us_pct,post_prepare_over_10000us_pct,max_sampled_queue,max_sampled_backlog,first_quarter_mean_queue,last_quarter_mean_queue,stable_observed,file,ended,recovered_records,recorded_stable_observed,quorum_drain_seconds,all_followers_drain_seconds
use1-az4,tcp,4,4,0,50,2000,4096,9001,nvme,direct-dsync,raw,good,preflight-49d446d455422087-r0,2,leader,preflight,0,2523226317897421938,14763011847420527822,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'tcp', '172.31.94.171', '172.31.6.6', '43001', '2000', '4', '4', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T175555Z-78dc2893/results/preflight-49d446d455422087-r0.csv', '2523226317897421938', '14763011847420527822']",1789408694.3385596,2000,2000,500,0,96554608,0,4,0.008432,1800,521.002,715.2422555555556,57.21751203984884,849.795,556.678,588.323,698.305,722.6279999999999,742.244,768.0410000000002,813.243,848.555,849.795,0.0,0.0,0.0,0.0,0.086776145,1800,20881.314789911445,20743.02793699812,16,0,0,0.0,100.0,4.0,4,1800,2.971,3.2363600000000003,0.6840828697038264,11.653,2.98,2.987,2.998,3.1,3.119,4.0793,4.213,6.116,11.653,0.0,0.0,0.0,0.0,1800,517.894,712.0058955555555,57.17021698841474,846.8,553.683,585.213,695.194,719.633,739.189,763.9413000000001,810.109,845.441,846.8,0.0,0.0,0.0,0.0,4,16,0.16,0.0,False,preflight-49d446d455422087-r0.csv.gz,1789408694.5711415,2000,False,0.0,5.108e-05
use1-az4,udp,4,4,0,50,2000,4096,9001,nvme,direct-dsync,raw,good,preflight-ef0e5472e0c7706e-r0,2,leader,preflight,0,7537088789298229268,14763011847420527822,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'udp', '172.31.94.171', '172.31.6.6', '43001', '2000', '4', '4', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T175555Z-78dc2893/results/preflight-ef0e5472e0c7706e-r0.csv', '7537088789298229268', '14763011847420527822']",1789408695.760548,2000,2000,500,0,80298063,0,4,0.010075,1800,463.643,490.8557311111111,25.56786019545565,614.701,464.825,467.503,473.525,479.8905,502.931,529.6987,539.137,593.795,614.701,0.0,0.0,0.0,0.0,0.072022856,1800,25158.68018341289,24992.066407363796,16,0,0,0.0,100.0,4.0,4,1800,3.149,3.4870022222222223,0.8372211588845271,13.609,3.156,3.179,3.351,3.377,3.399,3.4442000000000004,4.165,7.765,13.609,0.0,0.0,0.0,0.0,1800,460.236,487.36872888888894,25.57316712454349,611.34,461.303,463.952,470.151,476.1775,499.536,526.1301000000001,535.752,590.401,611.34,0.0,0.0,0.0,0.0,4,16,0.16,0.16,False,preflight-ef0e5472e0c7706e-r0.csv.gz,1789408695.9619648,2000,False,0.0,9.954e-05
use1-az4,udp,64,16,0,50,250000,4096,9001,nvme,direct-dsync,raw,good,closed-77c105bca74e32b2-r0,2,leader,closed,0,7273976382648832503,2338772514953129357,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'udp', '172.31.94.171', '172.31.6.6', '43001', '250000', '64', '16', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T175555Z-78dc2893/results/closed-77c105bca74e32b2-r0.csv', '7273976382648832503', '2338772514953129357']",1789408698.032812,250000,250000,15625,0,3246345786,238024,64,1.45329,225008,942.486,11072.793594823295,2906.9055826554218,26732.191,3650.104,5509.165,9921.175,10730.84,13380.287,13475.404,13570.872,17781.462,25443.656,99.9857782834388,99.8791154092299,96.23124511128493,71.22235653843418,2.943192476,225008,76792.80299981305,76450.31775353043,1024,0,0,0.0,0.014221716561188936,16.0,16,225008,13.527,15.664781625542203,3.1469471961284854,45.291,13.781,13.968,14.257,14.63,15.549,16.777,24.374,28.529,38.107,0.0,0.0,0.0,0.0,225008,926.348,11057.128813197753,2907.0367347602005,26718.176,3633.608,5492.148,9906.416,10715.027,13365.117,13459.749,13554.399,17767.058,25429.677,99.9857782834388,99.8791154092299,96.20280167816256,70.8170376164403,16,1024,1.28,0.0,False,closed-77c105bca74e32b2-r0.csv.gz,1789408703.5653925,250000,False,0.0,0.000675209
use1-az4,tcp,16,1,0,50,32000,4096,9001,nvme,direct-dsync,raw,good,closed-d2ca1e4b5d9eaa35-r0,2,leader,closed,0,14442517186889073745,11354988484485584399,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'tcp', '172.31.94.171', '172.31.6.6', '43001', '32000', '16', '1', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T175555Z-78dc2893/results/closed-d2ca1e4b5d9eaa35-r0.csv', '14442517186889073745', '11354988484485584399']",1789408705.1487103,32000,32000,32000,0,1303931493,0,16,0.322105,28800,413.626,546.0033762152777,73.02822348340237,835.475,420.00091,433.01984999999996,493.335,537.538,588.22075,637.6575,675.0714,750.3580199999999,804.0244860000003,0.0,0.0,0.0,0.0,1.196785931,28800,24075.316440196355,24064.45401303769,14,0,0,0.0,100.0,1.0,1,28800,0.746,0.8224139236111111,0.3193889522184332,10.787,0.749,0.751,0.754,0.756,0.759,0.764,1.675,1.7950099999999984,3.561442000000039,0.0,0.0,0.0,0.0,28800,412.868,545.1809622916667,73.00456658398706,834.718,419.23789,432.21484999999996,492.5005,536.7475,587.409,636.8752000000001,674.1094999999999,749.4857899999998,803.2648880000003,0.0,0.0,0.0,0.0,1,16,0.04,0.0,False,closed-d2ca1e4b5d9eaa35-r0.csv.gz,1789408706.9646485,32000,False,0.0,0.000155582
use1-az4,tcp,1,1,0,50,6000,4096,9001,nvme,direct-dsync,raw,good,closed-8e861684f2b2dfb2-r0,2,leader,closed,0,16449323913120504936,5779222096318686785,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'tcp', '172.31.94.171', '172.31.6.6', '43001', '6000', '1', '1', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T175555Z-78dc2893/results/closed-8e861684f2b2dfb2-r0.csv', '16449323913120504936', '5779222096318686785']",1789408708.1960251,6000,6000,6000,0,2734084413,0,1,0.080351,5400,435.815,442.00670629629633,3.6795234381991175,499.247,436.941,437.9706,439.6735,441.245,443.2385,446.2264,449.4201,454.75613999999996,465.33945999999986,0.0,0.0,0.0,0.0,2.459359635,5400,2195.69351434037,2195.69351434037,1,0,0,0.0,100.0,1.0,1,5400,0.746,0.7592688888888889,0.08647548954101401,6.13,0.748,0.75,0.752,0.754,0.755,0.757,0.758,0.9936100000000133,1.4606009999999996,0.0,0.0,0.0,0.0,5400,434.974,441.2474374074074,3.677411971876007,498.493,436.18599,437.21585,438.918,440.4905,442.47724999999997,445.4583,448.66709999999995,454.00311,464.41428399999967,0.0,0.0,0.0,0.0,1,1,0.08,0.0,False,closed-8e861684f2b2dfb2-r0.csv.gz,1789408711.1016273,6000,False,0.0,6.0041e-05
use1-az4,tcp,4,64,0,50,250000,4096,9001,nvme,direct-dsync,raw,good,closed-77540b194b465c8e-r0,2,leader,closed,0,13679219888022408278,2338772514953129357,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'tcp', '172.31.94.171', '172.31.6.6', '43001', '250000', '4', '64', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T175555Z-78dc2893/results/closed-77540b194b465c8e-r0.csv', '13679219888022408278', '2338772514953129357']",1789408712.8234315,250000,250000,3907,0,2323071273,0,4,0.561896,225040,1295.853,2426.299781443299,335.68302764587463,2557.123,1357.596,1419.96,2536.138,2538.687,2540.793,2543.192,2548.554,2552.005,2555.1,100.0,89.84713828652684,0.0,0.0,2.158117744,225040,104365.01929803881,104276.0528824974,256,0,0,0.0,0.0,63.99658727337362,64,225040,13.162,51.37679018841095,2.4162520766892146,68.674,48.962,49.216,50.188,50.792,51.477,53.947,57.737,60.444,66.592,0.0,0.0,0.0,0.0,225040,1242.713,2374.922991254888,336.6263183399376,2505.918,1303.612,1366.807,2484.439,2487.873,2490.172,2492.789,2497.624,2501.297,2504.481,100.0,89.84713828652684,0.0,0.0,64,256,5.12,0.0,False,closed-77540b194b465c8e-r0.csv.gz,1789408717.792199,250000,False,0.0,4.6891e-05
use1-az4,tcp,64,64,0,50,250000,4096,9001,nvme,direct-dsync,raw,good,closed-658f9ece1c0735cd-r0,2,leader,closed,0,9848695034130242552,2338772514953129357,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'tcp', '172.31.94.171', '172.31.6.6', '43001', '250000', '64', '64', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T175555Z-78dc2893/results/closed-658f9ece1c0735cd-r0.csv', '9848695034130242552', '2338772514953129357']",1789408720.268101,250000,250000,3907,0,2323265433,0,64,0.58831,225040,23322.569,38463.04229072165,5661.965170187162,45068.816,23408.124,23580.687,39301.919,40474.488,41266.944,42522.627,42531.125,42536.563,43157.769,100.0,100.0,100.0,100.0,2.169894229,225040,105332.32308992882,103710.12420439965,3584,0,0,0.0,0.0,63.99658727337362,64,225040,13.279,51.99728027017419,3.2215451452258748,78.069,49.293,49.605,50.647,51.203,51.855,53.576,59.29,68.344,76.066,0.0,0.0,0.0,0.0,225040,23269.631,38411.045010451475,5662.029367124158,45018.394,23356.651,23529.158,39250.118,40421.649,41215.575,42469.971,42480.002,42485.717,43106.89,100.0,100.0,100.0,100.0,64,4096,7.68,2.56,False,closed-658f9ece1c0735cd-r0.csv.gz,1789408725.5338383,250000,False,0.0,5.0494e-05
use1-az4,udp,1,4,0,50,8000,4096,9001,nvme,direct-dsync,raw,good,closed-c4c7ca6dc0a64f7b-r0,2,leader,closed,0,13599272692831453592,16223002204026014697,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'udp', '172.31.94.171', '172.31.6.6', '43001', '8000', '1', '4', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T175555Z-78dc2893/results/closed-c4c7ca6dc0a64f7b-r0.csv', '13599272692831453592', '16223002204026014697']",1789408727.1206584,8000,8000,2000,0,1028625165,0,1,0.040945,7200,420.77,439.74921222222224,19.65148560195515,523.138,422.17294,423.74494999999996,427.00775,430.0985,443.81600000000003,475.56980000000004,480.98859999999996,486.32709,499.9790140000026,0.0,0.0,0.0,0.0,0.911160237,7200,7902.012958451785,7902.012958451785,4,0,0,0.0,100.0,4.0,4,7200,3.207,3.2957433333333332,0.46563437577137706,13.512,3.213,3.219,3.233,3.261,3.278,3.296,3.309,3.4743800000000085,11.435479000000493,0.0,0.0,0.0,0.0,7200,417.547,436.45346888888884,19.653377318814666,519.821,418.88788,420.46885000000003,423.72225,426.7975,440.30425,472.32220000000007,477.73224999999996,483.02645,496.7029740000026,0.0,0.0,0.0,0.0,4,4,0.16,0.0,False,closed-c4c7ca6dc0a64f7b-r0.csv.gz,1789408728.3221953,8000,False,0.0,5.4836e-05
use1-az4,udp,4,64,0,50,250000,4096,9001,nvme,direct-dsync,raw,good,closed-5871d26bc6810364-r0,2,leader,closed,0,10951170307320789743,2338772514953129357,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'udp', '172.31.94.171', '172.31.6.6', '43001', '250000', '4', '64', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T175555Z-78dc2893/results/closed-5871d26bc6810364-r0.csv', '10951170307320789743', '2338772514953129357']",1789408730.3032992,250000,250000,3907,0,2323132151,120,4,0.7526,225040,914.152,2384.710342268041,454.6496548496354,2598.74,962.775,998.625,2536.062,2538.737,2540.851,2543.315,2548.801,2552.138,2559.734,94.85247067188055,89.61962317810168,0.0,0.0,2.156801629,225040,104399.03094119928,104339.68380501441,192,0,0,0.0,5.147529328119446,63.99658727337362,64,225040,14.745,56.93702417348027,2.791534101174856,95.219,54.448,54.835,55.528,56.145,57.104,59.008,64.065,68.092,72.714,0.0,0.0,0.0,0.0,225040,856.501,2327.773318094561,455.332920591095,2529.711,903.034,939.628,2478.454,2482.378,2484.742,2487.31,2492.741,2496.34,2503.968,92.91859225026661,89.59118378954852,0.0,0.0,64,256,5.12,0.0,False,closed-5871d26bc6810364-r0.csv.gz,1789408734.8849244,250000,False,0.0,4.8999e-05
use1-az4,udp,1,1,0,50,6000,4096,9001,nvme,direct-dsync,raw,good,closed-b53969aed42ef5e0-r0,2,leader,closed,0,12401848098793560740,5779222096318686785,"['taskset', '-c', '0', '/opt/sixdb/source/build/clang/dev/workbench/spikes/cft-commit-latency/cft_throughput_bench', 'leader', 'udp', '172.31.94.171', '172.31.6.6', '43001', '6000', '1', '1', '0', '50', '/dev/nvme1n1', 'raw', '/opt/sixdb/jobs/20260914T175555Z-78dc2893/results/closed-b53969aed42ef5e0-r0.csv', '12401848098793560740', '5779222096318686785']",1789408736.4773798,6000,6000,6000,0,2712403629,0,1,0.073444,5400,435.502,442.442897962963,4.050348587576721,682.222,437.65394,438.9858,440.896,442.166,443.58725,445.2351,446.582,449.7472,457.4052049999999,0.0,0.0,0.0,0.0,2.42801092,5400,2224.042715590422,2224.042715590422,1,0,0,0.0,100.0,1.0,1,5400,0.813,0.8466414814814814,0.18309111772666037,7.572,0.817,0.82,0.824,0.829,0.838,0.854,0.866,1.2300300000000006,4.843231999999989,0.0,0.0,0.0,0.0,5400,434.679,441.59625648148153,4.044494505652627,681.374,436.79598,438.1519,440.0595,441.328,442.74025,444.39,445.71305,448.85501,456.58420499999994,0.0,0.0,0.0,0.0,1,1,0.04,0.0,False,closed-b53969aed42ef5e0-r0.csv.gz,1789408739.3627713,6000,False,0.0,5.5415e-05
