stage,transport,window,batch,rate,wait_us,count,bytes,mtu,device,method,layout,placement,samples,min_us,mean_us,stddev_us,max_us,p01_us,p05_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,over_1000us_pct,over_2000us_pct,over_5000us_pct,over_10000us_pct,repetitions,stable_all_passes,goodput_rps,goodput_min_rps,goodput_max_rps,offered_rps,measurement_seconds,below_1ms_pct,retried_packets,max_drain_seconds,max_quorum_drain_seconds,max_all_followers_drain_seconds,recorded_stable_all_passes,max_sampled_queue,max_follower_lag_batches,max_sampled_backlog,first_quarter_mean_queue,last_quarter_mean_queue,leader_cpu_us_per_record,mean_batch_records,record_weighted_batch_records,queue_samples,queue_min_us,queue_mean_us,queue_stddev_us,queue_max_us,queue_p01_us,queue_p05_us,queue_p25_us,queue_p50_us,queue_p75_us,queue_p90_us,queue_p95_us,queue_p99_us,queue_p999_us,queue_over_1000us_pct,queue_over_2000us_pct,queue_over_5000us_pct,queue_over_10000us_pct,p50_repeat_min_us,p50_repeat_max_us,p90_repeat_min_us,p90_repeat_max_us,p99_repeat_min_us,p99_repeat_max_us,p999_repeat_min_us,p999_repeat_max_us
closed,tcp,1,1,0,50,6000,4096,9001,nvme,direct-dsync,raw,good,5400,435.815,442.00670629629633,3.6795234381991175,499.247,436.941,437.9706,439.6735,441.245,443.2385,446.2264,449.4201,454.75613999999996,465.33945999999986,0.0,0.0,0.0,0.0,1,False,2195.69351434037,2195.69351434037,2195.69351434037,2195.69351434037,2.459359635,100.0,0,0.0,0.0,6.0041e-05,False,1,1,1,0.08,0.0,13.391833333333333,1.0,1.0,5400,0.746,0.7592688888888889,0.08647548954101401,6.13,0.748,0.75,0.752,0.754,0.755,0.757,0.758,0.9936100000000133,1.4606009999999996,0.0,0.0,0.0,0.0,441.245,441.245,446.2264,446.2264,454.75613999999996,454.75613999999996,465.33945999999986,465.33945999999986
closed,tcp,1,4,0,50,8000,4096,9001,nvme,direct-dsync,raw,good,7200,439.458,471.77776611111113,42.380999956666464,715.338,440.98587,442.5211,445.60775,450.25,498.4465,519.7722000000002,567.9776499999999,591.82716,704.3619920000006,0.0,0.0,0.0,0.0,1,False,6819.4129740769595,6819.4129740769595,6819.4129740769595,6819.4129740769595,1.055809353,100.0,0,0.0,0.0,0.000161653,False,4,1,4,0.16,0.0,5.278,4.0,4.0,7200,3.046,3.1252733333333333,0.4006009690452583,10.924,3.053,3.056,3.0627500000000003,3.069,3.08025,3.097,3.106,4.608340000000029,10.496898000000577,0.0,0.0,0.0,0.0,450.25,450.25,519.7722000000002,519.7722000000002,591.82716,591.82716,704.3619920000006,704.3619920000006
closed,tcp,1,16,0,50,32000,4096,9001,nvme,direct-dsync,raw,good,28800,545.014,694.3412400000001,78.38438721948793,787.626,552.3617499999999,556.7414,620.708,747.8915,752.7760000000001,765.2330000000002,772.5380499999999,779.8155099999994,787.28,0.0,0.0,0.0,0.0,1,False,20641.00821589459,20641.00821589459,20641.00821589459,20641.00821589459,1.395280681,100.0,0,0.0,0.0,0.000262962,False,16,1,16,0.64,0.64,2.627875,16.0,16.0,28800,12.084,12.841523888888888,1.0068888631634845,22.184,12.123980000000001,12.57395,12.677,12.697,12.718,12.736,12.75605,19.383199999999967,21.339,0.0,0.0,0.0,0.0,747.8915,747.8915,765.2330000000002,765.2330000000002,779.8155099999994,779.8155099999994,787.28,787.28
closed,tcp,1,64,0,50,128000,4096,9001,nvme,direct-dsync,raw,good,115200,692.655,766.658546111111,20.871930778043257,848.679,725.4884500000001,736.1854500000001,752.18925,765.7090000000001,777.73125,795.9936000000002,804.3250999999989,820.6984399999988,845.849,0.0,0.0,0.0,0.0,1,False,80066.01142394361,80066.01142394361,80066.01142394361,80066.01142394361,1.438812774,100.0,0,0.0,0.0,8.689e-05,False,64,1,64,10.24,2.56,2.10765625,64.0,64.0,115200,49.063,50.327958333333335,1.8990463708976262,62.339,49.12399,49.199,49.505,49.9075,50.319250000000004,50.541,56.4151499999995,58.41160999999863,61.138,0.0,0.0,0.0,0.0,765.7090000000001,765.7090000000001,795.9936000000002,795.9936000000002,820.6984399999988,820.6984399999988,845.849,845.849
closed,tcp,4,1,0,50,8000,4096,9001,nvme,direct-dsync,raw,good,7200,409.973,430.6733727777778,17.946023798174565,558.15,412.34,413.44190000000003,416.00875,420.1495,448.85224999999997,453.5793,458.29934999999995,472.63953000000004,513.0888650000003,0.0,0.0,0.0,0.0,1,False,8233.325010165294,8233.325010165294,8233.325010165294,8229.895886879094,0.874859184,100.0,0,0.0,0.0,0.000115783,False,1,4,4,0.04,0.0,13.3785,1.0,1.0,7200,0.747,0.7753947222222222,0.22068134335615777,7.455,0.749,0.751,0.753,0.755,0.757,0.759,0.76,1.1353000000000066,4.213403000000001,0.0,0.0,0.0,0.0,420.1495,420.1495,453.5793,453.5793,472.63953000000004,472.63953000000004,513.0888650000003,513.0888650000003
closed,tcp,4,4,0,50,32000,4096,9001,nvme,direct-dsync,raw,good,28800,459.351,615.2657486111111,104.93739057890859,969.368,488.44848,522.70745,535.85025,573.1800000000001,695.2280000000001,785.4366000000001,796.9236500000001,911.8833699999996,938.627,0.0,0.0,0.0,0.0,1,False,20770.47492735646,20770.47492735646,20770.47492735646,20764.70695320279,1.386968767,100.0,0,0.0,0.0,0.000139713,False,4,4,16,0.32,0.16,4.5088125,4.0,4.0,28800,2.961,3.2052579166666666,0.6259307660561667,16.398,2.986,2.991,3.092,3.104,3.124,3.146,4.056149999999998,5.911029999999995,10.749,0.0,0.0,0.0,0.0,573.1800000000001,573.1800000000001,785.4366000000001,785.4366000000001,911.8833699999996,911.8833699999996,938.627,938.627
closed,tcp,4,16,0,50,128000,4096,9001,nvme,direct-dsync,raw,good,115200,499.853,836.7373655555555,92.53367152304753,987.522,548.67092,637.28945,808.07375,864.0325,902.6687499999999,928.2937000000011,947.4921999999999,956.6851499999993,972.19,0.0,0.0,0.0,0.0,1,False,71232.91157515666,71232.91157515666,71232.91157515666,71223.0194891165,1.617454593,100.0,0,0.0,0.0,5.49e-05,False,16,4,64,2.56,0.0,2.534390625,16.0,16.0,115200,12.054,13.988166666666666,1.6049415534529599,28.793,12.513,12.631,12.687,14.23,14.427,14.835100000000006,15.333099999999977,21.716239999999875,27.812,0.0,0.0,0.0,0.0,864.0325,864.0325,928.2937000000011,928.2937000000011,956.6851499999993,956.6851499999993,972.19,972.19
closed,tcp,4,64,0,50,250000,4096,9001,nvme,direct-dsync,raw,good,225040,1295.853,2426.299781443299,335.68302764587463,2557.123,1357.596,1419.96,2536.138,2538.687,2540.793,2543.192,2548.554,2552.005,2555.1,100.0,89.84713828652684,0.0,0.0,1,False,104365.01929803881,104365.01929803881,104365.01929803881,104276.0528824974,2.158117744,0.0,0,0.0,0.0,4.6891e-05,False,64,4,256,5.12,0.0,2.247584,63.9877143588431,63.99658727337362,225040,13.162,51.37679018841095,2.4162520766892146,68.674,48.962,49.216,50.188,50.792,51.477,53.947,57.737,60.444,66.592,0.0,0.0,0.0,0.0,2538.687,2538.687,2543.192,2543.192,2552.005,2552.005,2555.1,2555.1
closed,tcp,16,1,0,50,32000,4096,9001,nvme,direct-dsync,raw,good,28800,413.626,546.0033762152777,73.02822348340237,835.475,420.00091,433.01984999999996,493.335,537.538,588.22075,637.6575,675.0714,750.3580199999999,804.0244860000003,0.0,0.0,0.0,0.0,1,False,24075.316440196355,24075.316440196355,24075.316440196355,24064.45401303769,1.196785931,100.0,0,0.0,0.0,0.000155582,False,1,16,16,0.04,0.0,10.06578125,1.0,1.0,28800,0.746,0.8224139236111111,0.3193889522184332,10.787,0.749,0.751,0.754,0.756,0.759,0.764,1.675,1.7950099999999984,3.561442000000039,0.0,0.0,0.0,0.0,537.538,537.538,637.6575,637.6575,750.3580199999999,750.3580199999999,804.0244860000003,804.0244860000003
closed,tcp,16,4,0,50,128000,4096,9001,nvme,direct-dsync,raw,good,115200,465.8,618.1110491319445,68.96437177449438,990.23,513.5759,536.0782,580.2645,603.326,638.25225,693.9009000000008,764.4136999999998,869.8345199996965,977.4599210000008,0.0,0.0,0.0,0.0,1,False,96946.42342543798,96946.42342543798,96946.42342543798,96895.95678128107,1.188904097,100.0,0,0.0,0.0,5.3733e-05,False,4,16,64,0.16,0.0,3.9386171875,4.0,4.0,115200,2.968,3.6063480208333334,1.4275090307749367,21.739,2.983,2.988,3.001,3.103,3.21425,4.335,6.695199999999954,9.880069999999964,15.572224000000162,0.0,0.0,0.0,0.0,603.326,603.326,693.9009000000008,693.9009000000008,869.8345199996965,869.8345199996965,977.4599210000008,977.4599210000008
