mtu,bytes,azs,leader,followers,healthy_p50_lower_us,healthy_p50_independent_us,healthy_p50_upper_us,one_follower_down_worst_p50_us,healthy_p99_lower_us,healthy_p99_independent_us,healthy_p99_upper_us,one_follower_down_worst_p99_us,healthy_p999_lower_us,healthy_p999_independent_us,healthy_p999_upper_us,one_follower_down_worst_p999_us
1500,64,"use1-az1,use1-az2,use1-az3",use1-az1,"use1-az2,use1-az3",368.875,368.875,368.875,740.407,446.923,446.923,446.923,759.494,466.148,466.148,466.148,769.583
1500,64,"use1-az1,use1-az2,use1-az3",use1-az2,"use1-az1,use1-az3",422.335,422.335,422.335,823.52,454.617,454.617,454.617,855.141,469.907,469.907,469.907,862.057
1500,64,"use1-az1,use1-az2,use1-az3",use1-az3,"use1-az1,use1-az2",743.97,743.97,743.97,845.13,758.227,758.227,758.227,890.737,793.878,793.878,793.878,933.463
1500,64,"use1-az1,use1-az2,use1-az4",use1-az1,"use1-az2,use1-az4",323.085,323.085,323.085,368.875,348.065,348.357,348.357,446.923,350.677,368.875,380.64,466.148
1500,64,"use1-az1,use1-az2,use1-az4",use1-az2,"use1-az1,use1-az4",214.894,214.894,214.894,422.335,239.168,239.168,239.168,454.617,265.982,265.982,265.982,469.907
1500,64,"use1-az1,use1-az2,use1-az4",use1-az4,"use1-az1,use1-az2",213.912,213.912,213.912,322.565,239.896,239.896,239.896,346.641,275.44,275.44,275.44,373.189
1500,64,"use1-az1,use1-az2,use1-az5",use1-az1,"use1-az2,use1-az5",299.928,299.928,299.928,368.875,350.555,354.117,354.912,446.923,351.258,377.667,453.02,466.148
1500,64,"use1-az1,use1-az2,use1-az5",use1-az2,"use1-az1,use1-az5",343.52,343.52,343.52,422.335,414.744,440.156,454.617,474.755,415.964,451.439,469.907,492.664
1500,64,"use1-az1,use1-az2,use1-az5",use1-az5,"use1-az1,use1-az2",287.699,287.699,287.699,330.772,322.776,335.976,345.783,356.207,322.968,344.73,369.971,383.666
1500,64,"use1-az1,use1-az2,use1-az6",use1-az1,"use1-az2,use1-az6",368.875,368.875,368.875,571.138,446.923,446.923,446.923,615.363,466.148,466.148,466.148,671.559
