protocol,mtu,bytes,source,destination,source_name,destination_name,samples,min_us,mean_us,stddev_us,max_us,p01_us,p05_us,p25_us,p50_us,p75_us,p90_us,p95_us,p99_us,p999_us,over_1000us_pct,over_2000us_pct,over_5000us_pct,over_10000us_pct,transmitted,lost,loss_pct,measured_retrans,repeat_p50_min_us,repeat_p50_max_us,repeat_p99_min_us,repeat_p99_max_us
icmp,1500,56,use1-az1,use1-az2,us-east-1c,us-east-1d,3000,400.0,409.88866666666667,4.687103393592062,473.0,402.0,404.0,407.0,409.0,412.0,415.0,418.0,424.0,443.0020000000004,0.0,0.0,0.0,0.0,3000,0,0.0,0,407.0,410.0,420.01,426.0
icmp,1500,56,use1-az1,use1-az3,us-east-1c,us-east-1e,3000,756.0,766.857,4.737216236004714,817.0,758.0,760.0,764.0,767.0,770.0,773.0,775.0,779.0099999999998,788.0060000000012,0.0,0.0,0.0,0.0,3000,0,0.0,0,762.0,769.0,776.01,781.01
icmp,1500,56,use1-az1,use1-az4,us-east-1c,us-east-1a,3000,324.0,338.803,8.652448073618626,459.0,327.0,330.0,333.0,337.0,342.0,348.0,355.0,370.00999999999976,398.00900000000183,0.0,0.0,0.0,0.0,3000,0,0.0,0,334.0,338.0,369.0,371.01
icmp,1500,56,use1-az1,use1-az5,us-east-1c,us-east-1f,3000,310.0,330.38433333333336,9.243517794769598,425.0,314.0,317.0,324.0,330.0,335.0,341.0,346.0,358.0,391.0060000000012,0.0,0.0,0.0,0.0,3000,0,0.0,0,322.0,333.0,344.01,360.01
icmp,1500,56,use1-az1,use1-az6,us-east-1c,us-east-1b,3000,554.0,571.8053333333334,10.736702080040946,698.0,557.0,559.95,565.0,570.0,575.0,583.0,590.0,609.0,666.0120000000024,0.0,0.0,0.0,0.0,3000,0,0.0,0,564.0,575.0,606.02,612.0
icmp,1500,56,use1-az2,use1-az1,us-east-1d,us-east-1c,3000,395.0,409.5063333333333,10.678730880690937,451.0,397.0,398.0,403.0,407.0,411.0,430.0,434.0,441.0,449.0010000000002,0.0,0.0,0.0,0.0,3000,0,0.0,0,401.0,411.0,412.0,444.0
icmp,1500,56,use1-az2,use1-az3,us-east-1d,us-east-1e,3000,858.0,867.0386666666667,4.366215549216761,948.0,860.0,862.0,865.0,866.0,869.0,871.0,874.0,879.0099999999998,903.0250000000051,0.0,0.0,0.0,0.0,3000,0,0.0,0,866.0,867.0,878.0,881.01
icmp,1500,56,use1-az2,use1-az4,us-east-1d,us-east-1a,3000,222.0,236.044,7.389636707353526,354.0,224.0,226.0,231.0,236.0,240.0,244.0,247.0,257.00999999999976,285.00800000000163,0.0,0.0,0.0,0.0,3000,0,0.0,0,229.0,238.0,248.01999999999998,262.0
icmp,1500,56,use1-az2,use1-az5,us-east-1d,us-east-1f,3000,305.0,320.299,10.348635932656375,391.0,307.0,309.0,313.0,318.0,323.0,336.0,342.0,353.0,378.0,0.0,0.0,0.0,0.0,3000,0,0.0,0,313.0,321.0,329.02,365.01
icmp,1500,56,use1-az2,use1-az6,us-east-1d,us-east-1b,3000,727.0,740.861,8.503117800744226,795.0,729.0,732.0,736.0,739.0,743.0,748.0,754.0,782.0099999999998,792.0010000000002,0.0,0.0,0.0,0.0,3000,0,0.0,0,736.0,741.0,760.0,789.0
icmp,1500,56,use1-az3,use1-az1,us-east-1e,us-east-1c,3000,760.0,769.081,6.3276988181592,947.0,762.0,764.0,766.0,768.0,771.0,773.0,775.0,782.0,845.0260000000053,0.0,0.0,0.0,0.0,3000,0,0.0,0,768.0,769.0,777.0,792.03
icmp,1500,56,use1-az3,use1-az2,us-east-1e,us-east-1d,3000,851.0,867.331,17.174053268424046,961.0,853.0,854.0,858.0,862.0,867.0,889.0999999999999,915.0,924.0,933.0,0.0,0.0,0.0,0.0,3000,0,0.0,0,859.0,865.0,879.0,930.0
icmp,1500,56,use1-az3,use1-az4,us-east-1e,us-east-1a,3000,731.0,741.5163333333334,5.777058065217009,826.0,733.0,735.0,738.0,741.0,744.0,747.0,751.0,760.0,793.0010000000002,0.0,0.0,0.0,0.0,3000,0,0.0,0,737.0,744.0,753.01,763.02
icmp,1500,56,use1-az3,use1-az5,us-east-1e,us-east-1f,3000,725.0,739.4603333333333,9.295433998594268,890.0,729.0,731.0,734.0,738.0,742.0,748.0,754.0,770.0099999999998,846.0170000000035,0.0,0.0,0.0,0.0,3000,0,0.0,0,736.0,740.0,756.0,776.01
icmp,1500,56,use1-az3,use1-az6,us-east-1e,us-east-1b,3000,489.0,499.9433333333333,4.514065671751895,555.0,491.0,494.0,497.0,500.0,502.0,505.0,507.0,512.0,535.0030000000006,0.0,0.0,0.0,0.0,3000,0,0.0,0,497.0,502.0,509.0,515.0
icmp,1500,56,use1-az4,use1-az1,us-east-1a,us-east-1c,3000,317.0,334.9146666666667,8.75561067100532,416.0,322.0,324.0,329.0,334.0,338.0,345.0,351.0,365.00999999999976,399.01300000000265,0.0,0.0,0.0,0.0,3000,0,0.0,0,328.0,337.0,355.01,371.0
icmp,1500,56,use1-az4,use1-az2,us-east-1a,us-east-1d,3000,221.0,234.90133333333333,9.79817661041527,317.0,224.0,226.0,229.0,233.0,237.0,243.0,256.0,273.0,278.0020000000004,0.0,0.0,0.0,0.0,3000,0,0.0,0,229.0,237.0,246.01,274.0
icmp,1500,56,use1-az4,use1-az3,us-east-1a,us-east-1e,3000,730.0,737.9513333333333,5.22630827852914,828.0,732.0,733.0,735.0,737.0,739.0,742.0,745.0,754.0,802.0110000000022,0.0,0.0,0.0,0.0,3000,0,0.0,0,737.0,738.0,753.01,765.01
icmp,1500,56,use1-az4,use1-az5,us-east-1a,us-east-1f,3000,334.0,352.778,16.65913311069937,713.0,337.0,339.0,343.0,348.0,358.0,368.0,376.0,411.00999999999976,499.01400000000285,0.0,0.0,0.0,0.0,3000,0,0.0,0,344.0,359.0,390.02,436.01
icmp,1500,56,use1-az4,use1-az6,us-east-1a,us-east-1b,3000,809.0,824.833,9.198900894490965,917.0,811.0,814.0,819.0,824.0,828.0,835.0,840.0,856.0099999999998,897.005000000001,0.0,0.0,0.0,0.0,3000,0,0.0,0,817.0,827.0,847.01,865.01
icmp,1500,56,use1-az5,use1-az1,us-east-1f,us-east-1c,3000,314.0,328.03633333333335,7.8609380200810355,424.0,317.0,319.0,323.0,327.0,331.0,337.0,341.0,353.0,397.0010000000002,0.0,0.0,0.0,0.0,3000,0,0.0,0,325.0,328.0,345.0,362.02
icmp,1500,56,use1-az5,use1-az2,us-east-1f,us-east-1d,3000,308.0,326.25966666666665,9.956818763485096,434.0,312.0,314.0,320.0,325.0,329.0,339.0,348.0,356.0,390.0070000000014,0.0,0.0,0.0,0.0,3000,0,0.0,0,319.0,326.0,344.01,358.0
icmp,1500,56,use1-az5,use1-az3,us-east-1f,us-east-1e,3000,724.0,744.1206666666667,14.515535570170632,911.0,726.0,728.0,734.0,740.0,751.0,764.0,771.0,784.0099999999998,847.0080000000016,0.0,0.0,0.0,0.0,3000,0,0.0,0,732.0,753.0,752.05,791.02
icmp,1500,56,use1-az5,use1-az4,us-east-1f,us-east-1a,3000,331.0,349.25966666666665,12.365580181383413,509.0,335.0,338.0,343.0,347.0,352.0,360.0,370.0499999999997,395.00999999999976,471.0070000000014,0.0,0.0,0.0,0.0,3000,0,0.0,0,344.0,350.0,378.02,419.03
icmp,1500,56,use1-az5,use1-az6,us-east-1f,us-east-1b,3000,642.0,670.6053333333333,48.70266493278941,3160.0,646.0,649.0,657.0,663.0,685.0,694.0,697.0,707.0,741.0010000000002,0.06666666666666667,0.03333333333333333,0.0,0.0,3000,0,0.0,0,657.0,678.0,696.02,714.01
icmp,1500,56,use1-az6,use1-az1,us-east-1b,us-east-1c,3000,551.0,570.222,11.40099627225621,714.0,554.0,558.0,563.0,568.0,574.0,582.0,589.0,612.0,660.0250000000051,0.0,0.0,0.0,0.0,3000,0,0.0,0,563.0,574.0,596.03,624.0699999999999
