node,reference,samples,drift_ppm,point_model_drift_ppm,fit_residual_p50_us,fit_residual_p99_us,anchor_halfwidth_p50_us,anchor_halfwidth_max_us,max_gap_ms,assumed_rate_envelope_ppm,errors,wall_rate_lower_bound_max_ppm,phc_error_p50_us,ntp_strata,ntp_root_distance_p50_us
0,phc+ntp,8714,5.215071662837861,5.2161527577388815,2.139907228011114,5.842713287811037,24.564880825,3618.5954263843755,53.187149,99.99999999999999,0,1.437397189916443,21.696,1,30.517578125
1,phc+ntp,8465,-0.4555685639423973,-0.4553304081367177,0.6253382788793933,1.972684764286283,23.84481205,2862.6653681843745,53.40953,99.99999999999999,0,0.0,21.459,1,30.517578125
2,phc+ntp,7975,-3.864463173966291,-3.8647555630232593,0.6960205156999874,1.6140681774333585,23.68018579999998,5180.520469984375,52.249375,99.99999999999999,0,740.7687193329417,21.6045,1,30.517578125
3,phc+ntp,7380,-1.5117759849317105,-1.511358614220717,0.38532444189029047,1.5259214764009377,24.42175385000001,3389.592654234375,54.065965,99.99999999999999,0,0.0,21.561,1,30.517578125
4,ntp,324,-6.117653242083818,-6.269424276209112,43.69032786032777,1608.6856070533652,456.513614271875,4455.124905959376,1005.078123,99.99999999999999,0,1.2182536334164975,,3,328.06396484375
5,ntp,305,-7.691759166753231,-7.776779774167891,12.292613916010392,103.90451751008862,443.347222415625,2719.006440946875,1002.5024045,99.99999999999999,0,3.414944311544531,,3,335.693359375
6,phc+ntp,5896,-4.887687712332896,-4.888343748071811,0.5635474638896085,1.8074083758851518,24.37714439999993,2926.045139884375,52.8747045,99.99999999999999,0,0.0,22.1455,1,30.517578125
7,phc+ntp,5496,0.9655209511339377,0.9654379426370444,0.23754710695147516,0.9620591704995861,23.483700700000007,3044.0205770343746,52.3547325,99.99999999999999,0,0.0,21.462,1,30.517578125
8,phc+ntp,4893,-1.4935526650377082,-1.4931296568127799,0.4633352936316576,1.8033667571209366,24.321664950000006,4153.926017584375,52.721654,99.99999999999999,0,0.0,21.653,1,30.517578125
9,phc+ntp,4460,2.2152364831274918,2.215665497313066,0.326165182904806,1.162921910228332,24.03926995000002,3003.431898034375,52.7237995,99.99999999999999,0,0.0,21.55,1,30.517578125
10,phc+ntp,3598,2.5112230966271647,2.512650943466185,0.3517635069946991,1.1483975164432574,24.119692649999998,1665.5872757343752,52.4544425,99.99999999999999,98,0.0,21.722,1,30.517578125
11,phc+ntp,3170,-5.859507432131231,-5.859777643407357,0.24370320655361866,1.1588761763629176,23.461685150000005,487.987549434375,51.94701,99.99999999999999,119,1.0978779994451124,21.518,1,30.517578125
