node,counter,before,after,delta
0,bw_in_allowance_exceeded,0,0,0
0,bw_out_allowance_exceeded,0,0,0
0,pps_allowance_exceeded,0,0,0
0,conntrack_allowance_exceeded,0,0,0
0,linklocal_allowance_exceeded,0,0,0
0,conntrack_allowance_available,273577,273146,-431
0,phc_cnt,0,8283,8283
0,phc_exp,0,0,0
0,phc_skp,0,0,0
0,phc_err_dv,0,0,0
0,phc_err_ts,0,0,0
0,phc_err_eb,0,0,0
0,queue_0_rx_xdp_drop,0,0,0
0,queue_1_rx_xdp_drop,0,0,0
1,bw_in_allowance_exceeded,0,0,0
1,bw_out_allowance_exceeded,0,0,0
1,pps_allowance_exceeded,0,0,0
1,conntrack_allowance_exceeded,0,0,0
1,linklocal_allowance_exceeded,0,0,0
1,conntrack_allowance_available,273584,273536,-48
1,phc_cnt,0,8045,8045
1,phc_exp,0,0,0
1,phc_skp,0,0,0
1,phc_err_dv,0,0,0
1,phc_err_ts,0,0,0
1,phc_err_eb,0,0,0
1,queue_0_rx_xdp_drop,0,0,0
1,queue_1_rx_xdp_drop,0,0,0
2,bw_in_allowance_exceeded,0,0,0
2,bw_out_allowance_exceeded,0,0,0
2,pps_allowance_exceeded,0,0,0
2,conntrack_allowance_exceeded,0,0,0
2,linklocal_allowance_exceeded,0,0,0
2,conntrack_allowance_available,273582,273543,-39
2,phc_cnt,0,7579,7579
2,phc_exp,0,0,0
2,phc_skp,0,0,0
2,phc_err_dv,0,0,0
2,phc_err_ts,0,0,0
2,phc_err_eb,0,0,0
2,queue_0_rx_xdp_drop,0,0,0
2,queue_1_rx_xdp_drop,0,0,0
3,bw_in_allowance_exceeded,0,0,0
3,bw_out_allowance_exceeded,0,0,0
3,pps_allowance_exceeded,0,0,0
3,conntrack_allowance_exceeded,0,0,0
3,linklocal_allowance_exceeded,0,0,0
3,conntrack_allowance_available,273599,273535,-64
3,phc_cnt,0,7013,7013
3,phc_exp,0,0,0
3,phc_skp,0,0,0
3,phc_err_dv,0,0,0
3,phc_err_ts,0,0,0
3,phc_err_eb,0,0,0
3,queue_0_rx_xdp_drop,0,0,0
3,queue_1_rx_xdp_drop,0,0,0
4,bw_in_allowance_exceeded,0,0,0
4,bw_out_allowance_exceeded,0,0,0
4,pps_allowance_exceeded,0,0,0
4,conntrack_allowance_exceeded,0,0,0
4,linklocal_allowance_exceeded,0,0,0
4,conntrack_allowance_available,150764,150706,-58
4,queue_0_rx_xdp_drop,0,0,0
4,queue_1_rx_xdp_drop,0,0,0
5,bw_in_allowance_exceeded,0,0,0
5,bw_out_allowance_exceeded,0,0,0
5,pps_allowance_exceeded,0,0,0
5,conntrack_allowance_exceeded,0,0,0
5,linklocal_allowance_exceeded,0,0,0
5,conntrack_allowance_available,150762,150706,-56
5,queue_0_rx_xdp_drop,0,0,0
5,queue_1_rx_xdp_drop,0,0,0
6,bw_in_allowance_exceeded,0,0,0
6,bw_out_allowance_exceeded,0,0,0
6,pps_allowance_exceeded,0,0,0
6,conntrack_allowance_exceeded,0,0,0
6,linklocal_allowance_exceeded,0,0,0
6,conntrack_allowance_available,273600,273535,-65
6,phc_cnt,0,5600,5600
6,phc_exp,0,0,0
6,phc_skp,0,0,0
6,phc_err_dv,0,0,0
6,phc_err_ts,0,0,0
6,phc_err_eb,0,0,0
6,queue_0_rx_xdp_drop,0,0,0
6,queue_1_rx_xdp_drop,0,0,0
7,bw_in_allowance_exceeded,0,0,0
7,bw_out_allowance_exceeded,0,0,0
7,pps_allowance_exceeded,0,0,0
7,conntrack_allowance_exceeded,0,0,0
7,linklocal_allowance_exceeded,0,0,0
7,conntrack_allowance_available,273604,273543,-61
7,phc_cnt,0,5218,5218
7,phc_exp,0,0,0
7,phc_skp,0,0,0
7,phc_err_dv,0,0,0
7,phc_err_ts,0,0,0
7,phc_err_eb,0,0,0
7,queue_0_rx_xdp_drop,0,0,0
7,queue_1_rx_xdp_drop,0,0,0
8,bw_in_allowance_exceeded,0,0,0
8,bw_out_allowance_exceeded,0,0,0
8,pps_allowance_exceeded,0,0,0
8,conntrack_allowance_exceeded,0,0,0
8,linklocal_allowance_exceeded,0,0,0
8,conntrack_allowance_available,273603,273543,-60
8,phc_cnt,0,4645,4645
8,phc_exp,0,0,0
8,phc_skp,0,0,0
8,phc_err_dv,0,0,0
8,phc_err_ts,0,0,0
8,phc_err_eb,0,0,0
8,queue_0_rx_xdp_drop,0,0,0
8,queue_1_rx_xdp_drop,0,0,0
9,bw_in_allowance_exceeded,0,0,0
9,bw_out_allowance_exceeded,0,0,0
9,pps_allowance_exceeded,0,0,0
9,conntrack_allowance_exceeded,0,0,0
9,linklocal_allowance_exceeded,0,0,0
9,conntrack_allowance_available,273575,273535,-40
9,phc_cnt,0,4232,4232
9,phc_exp,0,0,0
9,phc_skp,0,0,0
9,phc_err_dv,0,0,0
9,phc_err_ts,0,0,0
9,phc_err_eb,0,0,0
9,queue_0_rx_xdp_drop,0,0,0
9,queue_1_rx_xdp_drop,0,0,0
10,bw_in_allowance_exceeded,0,0,0
10,bw_out_allowance_exceeded,0,0,0
10,pps_allowance_exceeded,0,0,0
10,conntrack_allowance_exceeded,0,0,0
10,linklocal_allowance_exceeded,0,0,0
10,conntrack_allowance_available,273602,273543,-59
10,phc_cnt,0,3505,3505
10,phc_exp,0,0,0
10,phc_skp,0,0,0
10,phc_err_dv,0,0,0
10,phc_err_ts,0,0,0
10,phc_err_eb,0,0,0
10,queue_0_rx_xdp_drop,0,0,0
10,queue_1_rx_xdp_drop,0,0,0
11,bw_in_allowance_exceeded,0,0,0
11,bw_out_allowance_exceeded,0,0,0
11,pps_allowance_exceeded,0,0,0
11,conntrack_allowance_exceeded,0,0,0
11,linklocal_allowance_exceeded,0,0,0
11,conntrack_allowance_available,273594,273535,-59
11,phc_cnt,0,3118,3118
11,phc_exp,0,0,0
11,phc_skp,0,0,0
11,phc_err_dv,0,0,0
11,phc_err_ts,0,0,0
11,phc_err_eb,0,0,0
11,queue_0_rx_xdp_drop,0,0,0
11,queue_1_rx_xdp_drop,0,0,0
