src,dst,edge,passes,p50_us_min,p50_us_max,p99_us_min,p99_us_max,p50_lo_us_min,p50_lo_us_max,p50_hi_us_min,p50_hi_us_max,p99_hi_us_min,p99_hi_us_max,rtt_p50_us_min,rtt_p50_us_max,rtt_p99_us_min,rtt_p99_us_max,passes_point_p50_le_110,passes_point_p99_le_110,passes_bounded_p50_le_110,passes_resolved_faster
0,2,az1a -> az2a,4,166.75125867487188,192.8797111846901,173.7537242897413,199.76000979454528,120.522264372873,147.3285148267767,216.95472346411412,238.6109228687186,232.01268986317905,255.04009514351466,333.4615,363.40200000000004,343.6254399999999,374.22096,0,0,0,0
0,3,az1a -> az2b,4,156.41236420771887,158.83448780708642,162.4286490743653,166.40785927962384,104.40299192252243,111.12615669704718,202.42872772552573,205.12849790355352,215.37383296440422,219.65411009607493,308.041,313.71325,318.07910000000004,325.74155499999995,0,0,0,0
0,4,az1a -> az3a,4,250.08150536532116,266.9092026557411,254.2577594967751,271.9351363240556,0.0,0.0,488.468832993994,518.4448164835835,493.8719082568619,524.0257747051612,488.231,518.2570000000001,493.650325,523.8355349999999,0,0,0,0
0,5,az1a -> az3b,4,250.2033541545748,255.74060694991914,255.53420449967436,267.84295548363554,0.0,0.0,479.07576467577576,486.4828121637638,486.140881912966,498.41030196578777,478.866,486.23400000000004,485.94588,498.16752999999994,0,0,0,0
0,6,az1a -> az4a,4,138.0767484190104,142.23282069779248,148.9163864192755,153.7140718243549,91.94144319054053,94.63888352517529,185.3573446152152,189.9457330649651,201.72077499283796,207.2765927138088,279.2565,282.76225,298.65441,311.96982499999996,0,0,0,0
0,7,az1a -> az4b,4,247.03647920128202,276.6027698563887,265.1529838612764,286.4197695866884,200.9560924548048,226.08497858963966,296.57575742917925,323.32866712727736,317.1181707925477,338.7834807288328,467.93975,526.19325,483.698995,547.7610199999999,0,0,0,0
0,8,az1a -> az5a,4,114.18800954774942,118.58196474924114,125.66746498508569,132.04432678010633,66.82708653313294,72.12237894959958,162.60096339799802,165.63977727112115,180.00381138952156,183.03096542492068,229.72625,236.80275,245.33747,250.23602,0,0,0,0
0,9,az1a -> az5b,4,116.1321053568105,117.0603757145151,127.37847765940046,131.06879945770132,68.2679128790293,72.90673148533527,159.41000729654635,163.56373580360366,177.74091254905505,182.58234637972467,227.531,230.761,243.72444,249.129355,0,0,0,0
0,10,az1a -> az6a,4,237.12975361873035,243.58346126677247,273.11185918750823,295.33972184989017,188.63409829254238,194.2137204899399,287.7197427505505,290.3277546282783,325.09089817801396,341.78881035980754,476.526,480.13149999999996,513.202455,532.3101800000001,0,0,0,0
0,11,az1a -> az6b,4,276.81486163920283,279.2414605180426,302.43474760318725,332.8222147668541,231.13427194549553,234.15927337947943,323.0230075063566,327.88754405380377,355.48886489823406,373.9570624998759,554.0260000000001,563.10725,588.80928,613.5986800000001,0,0,0,0
1,2,az1b -> az2a,4,182.98030492316374,193.13258256370926,188.97348296037623,201.41394416765948,136.63247763258246,144.49001819864856,229.49575739384386,242.35229129109118,244.3444000867868,254.7451110425746,374.02975000000004,379.88125,383.985165,389.48042499999997,0,0,0,0
1,3,az1b -> az2b,4,184.4368014260961,202.19892165079676,191.3923635443904,209.71513060621822,135.35419888853852,157.45861786631627,234.15942167507512,249.0069081734735,248.1251176574665,266.44344141231534,370.16425,392.2765,376.91291,402.080405,0,0,0,0
1,4,az1b -> az3a,4,359.90513483530844,377.0703473500322,364.7691795597015,383.4783734255856,0.0,0.0,701.5505198577077,719.1888532057058,706.8938138125385,725.4935657375455,701.337,718.94575,706.666765,725.25277,0,0,0,0
1,5,az1b -> az3b,4,251.28474543446407,280.1246479776304,259.003966112566,288.30170266822813,0.0,0.0,494.3160215412412,625.2462120782782,504.9377664554784,636.9778076978447,494.12725,625.03775,504.7725249999999,636.7646549999998,0,0,0,0
1,6,az1b -> az4a,4,145.4563128058595,151.12520223089598,155.96966240361203,164.62434629572294,100.18458599529535,105.90250230160163,192.79628512402394,198.65121453918925,209.87706012199504,218.5614006289872,295.49975,303.37275,311.74728000000005,326.492105,0,0,0,0
1,7,az1b -> az4b,4,251.14979186800554,252.89815450570575,264.0192236472825,274.04611816758063,203.92619261746745,207.70994417902904,299.7300734529029,303.59500616086086,317.1896581113964,330.07824151726027,435.6985,506.11749999999995,450.65581,531.883505,0,0,0,0
1,8,az1b -> az5a,4,121.81903130191424,127.08714435157984,139.25537705217326,142.37956267872696,73.29728492512511,80.41410932792793,172.00856637432435,175.84164792442442,190.10239490221022,195.1142461206966,243.409,247.13225,260.99006499999996,263.512815,0,0,0,0
1,9,az1b -> az5b,4,118.83033448554632,131.70626821287212,134.26389087085755,149.5720389304704,75.40310859219221,85.17630443958959,167.64560551926928,181.56233239584583,188.14307016954052,200.12759794491396,248.5935,287.00350000000003,264.58603999999997,309.83838499999985,0,0,0,0
1,10,az1b -> az6a,4,245.6756178354571,299.6815773026167,280.028388117231,304.35144576063226,196.53139160675676,256.0856035201201,295.1309545726226,347.2353720855356,325.77193468618714,363.0332904522373,507.84475,556.05,547.0564699999998,565.044935,0,0,0,0
1,11,az1b -> az6b,4,248.71020168936013,252.51129108167842,255.55858233213152,258.7492876383678,200.55513151636637,206.23114563523524,296.27179309249254,301.03048786611623,311.92747758656157,316.40238847752346,500.5365,504.0815,508.93318999999997,512.471615,0,0,0,0
2,0,az2a -> az1a,4,166.5376754270863,188.4615638127122,173.9880373079304,194.3765599233136,116.44449316021026,141.40675900435423,213.01565961431427,240.05855147067072,228.01716254095186,253.1596054031101,333.4615,363.40200000000004,343.6254399999999,374.22096,0,0,0,0
2,1,az2a -> az1b,4,180.64134496994853,196.48831146392936,190.33117737497474,201.74979797124215,132.34971788963966,150.28456314099103,230.40325121291283,243.58025089719717,243.10143601354153,259.1829287352091,374.02975000000004,379.88125,383.985165,389.48042499999997,0,0,0,0
2,4,az2a -> az3a,4,403.3793342479608,446.77806735432205,408.8981445674082,451.73517573403086,0.0,23.750422014154843,775.4292979251471,870.9859994991992,792.3729131737438,876.5455246696787,788.12425,870.71375,794.4423,876.2692400000001,0,0,0,0
2,5,az2a -> az3b,4,346.0208572202646,419.3946065770765,352.69510664531543,429.6022447395673,0.0,0.0,669.4406777312312,794.7544999145146,678.6114858720199,803.7261579054384,669.23875,794.52475,678.410805,803.500735,0,0,0,0
2,6,az2a -> az4a,4,99.3439684566001,175.2127883850847,110.57922933604823,184.38498449140906,50.433710580781224,127.55799864579564,149.7568069862862,225.69803995975997,164.4206433226706,238.95711496894387,222.88475,292.111,255.02335,307.36850000000004,2,0,0,0
2,7,az2a -> az4b,4,162.28912715189824,241.66154745545995,169.59240048159,249.23856537122683,115.99599785070058,193.3175572864365,208.92852505960963,291.50485885215227,225.74580466697495,305.70048230680254,317.0795,446.07124999999996,327.547595,457.79646,0,0,0,0
2,8,az2a -> az5a,4,164.0637972456343,272.1369287605683,172.98071481502612,278.3768052832642,116.84458348388387,223.96406350250257,210.55836424759764,320.8193711244244,227.2447589195195,334.9616325365325,297.90175,406.78075,309.404275,415.62383,0,0,0,0
2,9,az2a -> az5b,4,117.26247357442446,123.29960114143026,126.79924226128402,135.00426412264733,71.34133438278263,76.52723987132137,164.25380167827836,172.40566832552543,179.68720631692292,189.717537348206,237.375,246.56425000000002,247.17722999999998,256.99524999999994,0,0,0,0
2,10,az2a -> az6a,4,303.98092199176523,310.10022633398376,316.5424680128454,320.56909776701167,258.409181533984,263.4016145142142,353.41622226421424,360.055542157107,371.6545239742192,375.4039686856916,614.3634999999999,620.6205,626.78736,634.7083,0,0,0,0
2,11,az2a -> az6b,4,357.75146719641305,362.53264424292576,368.00994507455766,370.84354488042544,309.4815806994494,317.0988766950951,406.53893481406413,410.41113299749736,420.4366366946397,425.7989954502673,719.9327499999999,729.64775,732.497025,745.369785,0,0,0,0
3,0,az2b -> az1a,4,150.28326962227402,155.9339774459208,158.69727435135832,165.62454089419018,106.2058169889388,110.40724735360371,201.63234378663674,204.125620827027,215.62463214421825,220.28862932591687,308.041,313.71325,318.07910000000004,325.74155499999995,0,0,0,0
3,1,az2b -> az1b,4,174.8354132630477,207.50395769460692,180.7818787018362,215.1952587249385,126.2026594941442,158.03380989704704,221.57468707037037,257.1910968838839,236.9437353095716,270.8723676279019,370.16425,392.2765,376.91291,402.080405,0,0,0,0
3,4,az2b -> az3a,4,406.6753725499743,432.5863947096855,412.77389188405056,437.9084030594872,0.0,13.923819146080291,784.1755964499655,795.3180778795795,799.4222231682953,808.6611411737126,791.009,807.85325,799.186325,815.118615,0,0,0,0
3,5,az2b -> az3b,4,305.78010649148166,387.8301231660514,314.57534723655243,401.68110732908684,0.0,0.0,642.6795793656156,707.3298601205486,656.2189208554072,720.8863280405405,642.4547500000001,714.28525,656.0068149999998,726.29686,0,0,0,0
3,6,az2b -> az4a,4,101.17917175633667,150.95437519797855,110.96039548266052,161.9923569021633,56.47128345055063,101.84025576136133,148.90771161391388,201.77768350695692,165.44765153819014,217.161495288994,249.1815,256.0685,271.70955499999997,281.13194,1,0,0,0
3,7,az2b -> az4b,4,200.54071940713573,214.27758189682362,206.31842590365807,221.60194777408518,154.4643684055555,168.87901945335335,247.93429002142142,262.8156351509009,262.10383804656954,278.6862265985766,416.3695,433.551,425.87687,442.04242,0,0,0,0
3,8,az2b -> az5a,4,146.67843454100364,167.48163360217083,155.85245507281707,174.29345516863768,101.56224717422424,122.2940780674174,193.30382399509506,213.94354179349352,210.8333999204324,229.92455795098493,266.42925,410.14475,278.9876099999999,418.208375,0,0,0,0
