node,tx,n,p50_us,p99_us,max_us
0,0,21120,8.564250000000001,16.492020000000053,515.4165
0,1,21120,2.2582500000000003,4.598240000000005,13.8965
1,0,21120,7.195,12.73398000000001,73.0405
1,1,21120,1.856,10.150600000000013,37.044
2,0,21120,6.96475,12.893955000000007,35.7285
2,1,21120,1.961,4.610480000000011,14.555
3,0,21120,8.672,16.076935000000017,1000.6585
3,1,21120,2.2815,5.363905000000001,18.301
4,0,21120,11.492750000000001,22.229620000000004,217.024
4,1,21120,2.3595,5.938525000000003,12.562
5,0,21120,10.793,25.201740000000004,1208.2145
5,1,21120,2.537,6.188905000000001,24.94
6,0,21120,6.53975,13.326955000000007,560.1745
6,1,21120,1.602,3.746170000000009,11.23
7,0,21120,7.38075,12.193405,1356.4995
7,1,21120,1.7615,3.5279050000000005,12.473
8,0,21120,9.4995,23.083960000000022,1445.139
8,1,21120,2.7807500000000003,6.4015,15.5605
9,0,21120,8.824,17.335740000000005,1224.133
9,1,21120,2.468,5.497240000000005,9.6785
10,0,21120,9.4345,23.934320000000028,90.328
10,1,21120,2.6317500000000003,5.924525000000004,20.963
11,0,21120,9.609,15.546215000000002,93.929
11,1,21120,2.659,5.387695000000012,15.0465
