az_a,az_b,n,p50_us,p50_lo_us,p50_hi_us,p90_us,p90_lo_us,p90_hi_us,p99_us,p99_lo_us,p99_hi_us,min_us,max_us,p50_clock_only_lo_us,p50_clock_only_hi_us,positive_blocks,negative_blocks,blocks,block_p50_min_us,block_p50_max_us
1,1,3920,-0.6149521413899492,-41.45680331531531,41.45680331531531,4.679678983854512,-39.33712088760761,44.37914798282283,7.9710870993582,-38.03248068101201,47.5622056846997,-18.683234982691935,43.492793905212196,-118.48932295380393,120.81196029439441,0,0,4,-4.124524566797772,4.1182845533041395
1,2,15680,-5.95673195817146,-240.45890499934,201.08036580874935,27.06753602738609,-98.10713008364367,416.93202624992114,33.852422795257475,-67.67666623941354,454.742640505182,-145.08239442008045,63.96852611913579,-240.45890499934,201.08036580874935,0,0,16,-33.341177010298026,29.922779447659963
1,3,15680,17.267347710036276,-487.044389727027,487.03994745135134,24.290673100857216,-479.25397016741744,524.0454759151652,29.65998990435292,-474.69297501219023,529.8604133683833,-1270.4109925384676,170.83860155070474,-939.9885872404723,974.5809537174866,0,0,16,-5.747772638123024,26.625990888074796
1,4,15680,-3.562719267968575,-125.41602711906896,113.31518215240267,9.024822034191823,-100.35559036179197,139.41700545915918,17.384108158605315,-84.79732835468164,157.14773354869163,-85.96029905859942,61.45157748626269,-125.41602711906896,113.31518215240267,0,0,16,-27.472511819958,11.19125489839385
1,5,15680,2.0532587047264386,-119.08103920680674,123.93607275500494,8.21679353992125,-98.50594373032024,142.77378192753744,17.25643310554149,-83.41933244447856,156.98194605566175,-38.61900270448952,51.124313830807964,-119.08103920680674,123.93607275500494,0,0,16,-4.826421662785499,7.1653287114747926
1,6,15680,8.058282180465454,-107.28622507787789,133.79691531341336,57.37679079810912,-51.26338344537554,186.4219674774574,134.8961295114706,23.805832889491505,270.35389468025915,-248.25028009217868,1007.7212597861999,-107.28622507787789,133.79691531341336,1,2,16,-212.60521834019076,126.30137016058075
2,2,3920,-11.111686845421318,-307.4598941998498,305.91816059799794,2.193136005080469,-271.0753376322122,328.7353831572773,15.258424612578008,-263.9438036447618,382.7670747844304,-137.88286044584237,72.22215471582481,-479.44186043596744,386.28365573401527,0,0,4,-43.443620937696195,-0.7593299847302148
2,3,15680,8.823662963206317,-706.2887724857858,706.5101794882382,76.18876590166211,-614.0582846292092,855.6194006206607,118.42019407200083,-608.5214401071902,892.0835918148789,-145.7926010367372,2300.0395563123307,-1121.325495108077,1158.1322878825613,0,0,16,-34.98929072108052,99.8338304004944
2,4,15680,-4.380229206604888,-258.61722126586585,285.467591393043,39.31070310665025,-121.74283198493468,414.9765834296897,79.12656732553444,-99.79926934792876,462.80000335942606,-137.15935342106596,215.55666584933482,-258.61722126586585,291.63563664468523,0,0,16,-115.23390599140974,39.4260656622005
2,5,15680,1.7401839707162736,-181.41241349899886,250.36744531966042,24.961380948281167,-107.76781693018998,416.4599547369169,70.58318518186555,-83.47506877776205,482.71441603223616,-49.86704129656317,608.9179756225006,-181.41241349899886,250.36744531966042,0,0,16,-19.337452733797093,27.678307934158212
