instance,type,launch,completion,elapsed_seconds,usd_per_hour,modeled_compute_usd
i-0529b2809ebde575c,m7i.xlarge,2026-09-24T22:18:25+00:00,1790288943.433561,638.4335610866547,0.2016,0.03575227942085266
i-08bf88aa857cef51d,m7i.xlarge,2026-09-24T22:18:47+00:00,1790288943.1671147,616.1671147346497,0.2016,0.03450535842514038
i-0929da715bcffbf61,m7i.xlarge,2026-09-24T22:10:44+00:00,1790288943.7391605,1099.7391605377197,0.2016,0.0615853929901123
i-0be3404c0ffe7515d,m7i.xlarge,2026-09-24T22:19:28+00:00,1790288943.458437,575.4584369659424,0.2016,0.032225672470092774
i-0d75045b4ca7956b2,i4i.xlarge,2026-09-24T22:11:04+00:00,1790288943.5782704,1079.5782704353333,0.343,0.10285981854425538
i-032c568371bc9f6bb,i4i.xlarge,2026-09-24T22:20:07+00:00,1790288943.5127208,536.512720823288,0.343,0.05111773978955216
i-03b8e527c4eae5b2f,m7i.xlarge,2026-09-24T22:20:32+00:00,1790288943.1391728,511.1391727924347,0.2016,0.028623793676376345
i-0c00d11db69d7c439,m7i.xlarge,2026-09-24T22:20:56+00:00,1790288943.191655,487.191654920578,0.2016,0.027282732675552368
i-0a1440bd106871bba,m7i.xlarge,2026-09-24T22:21:22+00:00,1790288943.2828555,461.28285551071167,0.2016,0.025831839908599854
i-03d7c4202cdde0e34,m7i.xlarge,2026-09-24T22:21:49+00:00,1790288942.8311172,433.8311171531677,0.2016,0.024294542560577392
i-0b664de92c98624de,m7i.xlarge,2026-09-24T22:22:18+00:00,1790288943.5807061,405.58070611953735,0.2016,0.02271251954269409
i-0195dd3d9e11bcd73,m7i.xlarge,2026-09-24T22:22:48+00:00,1790288943.5625973,375.5625972747803,0.2016,0.021031505447387695
