node,counter,before,after,delta
0,bw_in_allowance_exceeded,0,0,0
0,bw_out_allowance_exceeded,0,0,0
0,pps_allowance_exceeded,0,0,0
0,conntrack_allowance_exceeded,0,0,0
0,linklocal_allowance_exceeded,0,0,0
0,conntrack_allowance_available,273584,273376,-208
0,phc_cnt,0,3203,3203
0,phc_exp,0,0,0
0,phc_skp,0,0,0
0,phc_err_dv,0,0,0
0,phc_err_ts,0,0,0
0,phc_err_eb,0,0,0
0,queue_0_rx_xdp_drop,0,0,0
0,queue_1_rx_xdp_drop,0,0,0
1,bw_in_allowance_exceeded,0,0,0
1,bw_out_allowance_exceeded,0,0,0
1,pps_allowance_exceeded,0,0,0
1,conntrack_allowance_exceeded,0,0,0
1,linklocal_allowance_exceeded,0,0,0
1,conntrack_allowance_available,273600,273574,-26
1,phc_cnt,0,3096,3096
1,phc_exp,0,0,0
1,phc_skp,0,0,0
1,phc_err_dv,0,0,0
1,phc_err_ts,0,0,0
1,phc_err_eb,0,0,0
1,queue_0_rx_xdp_drop,0,0,0
1,queue_1_rx_xdp_drop,0,0,0
2,bw_in_allowance_exceeded,0,0,0
2,bw_out_allowance_exceeded,0,0,0
2,pps_allowance_exceeded,0,0,0
2,conntrack_allowance_exceeded,0,0,0
2,linklocal_allowance_exceeded,0,0,0
2,conntrack_allowance_available,273610,273567,-43
2,phc_cnt,194,3586,3392
2,phc_exp,0,0,0
2,phc_skp,0,0,0
2,phc_err_dv,0,0,0
2,phc_err_ts,0,0,0
2,phc_err_eb,0,0,0
2,queue_0_rx_xdp_drop,0,0,0
2,queue_1_rx_xdp_drop,0,0,0
3,bw_in_allowance_exceeded,0,0,0
3,bw_out_allowance_exceeded,0,0,0
3,pps_allowance_exceeded,0,0,0
3,conntrack_allowance_exceeded,0,0,0
3,linklocal_allowance_exceeded,0,0,0
3,conntrack_allowance_available,273600,273566,-34
3,phc_cnt,0,1036,1036
3,phc_exp,0,0,0
3,phc_skp,0,0,0
3,phc_err_dv,0,0,0
3,phc_err_ts,0,0,0
3,phc_err_eb,0,0,0
3,queue_0_rx_xdp_drop,0,0,0
3,queue_1_rx_xdp_drop,0,0,0
4,bw_in_allowance_exceeded,0,0,0
4,bw_out_allowance_exceeded,0,0,0
4,pps_allowance_exceeded,0,0,0
4,conntrack_allowance_exceeded,0,0,0
4,linklocal_allowance_exceeded,0,0,0
4,conntrack_allowance_available,150782,150737,-45
4,queue_0_rx_xdp_drop,0,0,0
4,queue_1_rx_xdp_drop,0,0,0
5,bw_in_allowance_exceeded,0,0,0
5,bw_out_allowance_exceeded,0,0,0
5,pps_allowance_exceeded,0,0,0
5,conntrack_allowance_exceeded,0,0,0
5,linklocal_allowance_exceeded,0,0,0
5,conntrack_allowance_available,150762,150729,-33
5,queue_0_rx_xdp_drop,0,0,0
5,queue_1_rx_xdp_drop,0,0,0
6,bw_in_allowance_exceeded,0,0,0
6,bw_out_allowance_exceeded,0,0,0
6,pps_allowance_exceeded,0,0,0
6,conntrack_allowance_exceeded,0,0,0
6,linklocal_allowance_exceeded,0,0,0
6,conntrack_allowance_available,273594,273566,-28
6,phc_cnt,0,2493,2493
6,phc_exp,0,0,0
6,phc_skp,0,0,0
6,phc_err_dv,0,0,0
6,phc_err_ts,0,0,0
6,phc_err_eb,0,0,0
6,queue_0_rx_xdp_drop,0,0,0
6,queue_1_rx_xdp_drop,0,0,0
7,bw_in_allowance_exceeded,0,0,0
7,bw_out_allowance_exceeded,0,0,0
7,pps_allowance_exceeded,0,0,0
7,conntrack_allowance_exceeded,0,0,0
7,linklocal_allowance_exceeded,0,0,0
7,conntrack_allowance_available,273589,273574,-15
7,phc_cnt,0,2328,2328
7,phc_exp,0,0,0
7,phc_skp,0,0,0
7,phc_err_dv,0,0,0
7,phc_err_ts,0,0,0
7,phc_err_eb,0,0,0
7,queue_0_rx_xdp_drop,0,0,0
7,queue_1_rx_xdp_drop,0,0,0
8,bw_in_allowance_exceeded,0,0,0
8,bw_out_allowance_exceeded,0,0,0
8,pps_allowance_exceeded,0,0,0
8,conntrack_allowance_exceeded,0,0,0
8,linklocal_allowance_exceeded,0,0,0
8,conntrack_allowance_available,273580,273574,-6
8,phc_cnt,0,2190,2190
8,phc_exp,0,0,0
8,phc_skp,0,0,0
8,phc_err_dv,0,0,0
8,phc_err_ts,0,0,0
8,phc_err_eb,0,0,0
8,queue_0_rx_xdp_drop,0,0,0
8,queue_1_rx_xdp_drop,0,0,0
9,bw_in_allowance_exceeded,0,0,0
9,bw_out_allowance_exceeded,0,0,0
9,pps_allowance_exceeded,0,0,0
9,conntrack_allowance_exceeded,0,0,0
9,linklocal_allowance_exceeded,0,0,0
9,conntrack_allowance_available,273581,273566,-15
9,phc_cnt,0,1993,1993
9,phc_exp,0,0,0
9,phc_skp,0,0,0
9,phc_err_dv,0,0,0
9,phc_err_ts,0,0,0
9,phc_err_eb,0,0,0
9,queue_0_rx_xdp_drop,0,0,0
9,queue_1_rx_xdp_drop,0,0,0
10,bw_in_allowance_exceeded,0,0,0
10,bw_out_allowance_exceeded,0,0,0
10,pps_allowance_exceeded,0,0,0
10,conntrack_allowance_exceeded,0,0,0
10,linklocal_allowance_exceeded,0,0,0
10,conntrack_allowance_available,273587,273574,-13
10,phc_cnt,0,1804,1804
10,phc_exp,0,0,0
10,phc_skp,0,0,0
10,phc_err_dv,0,0,0
10,phc_err_ts,0,0,0
10,phc_err_eb,0,0,0
10,queue_0_rx_xdp_drop,0,0,0
10,queue_1_rx_xdp_drop,0,0,0
11,bw_in_allowance_exceeded,0,0,0
11,bw_out_allowance_exceeded,0,0,0
11,pps_allowance_exceeded,0,0,0
11,conntrack_allowance_exceeded,0,0,0
11,linklocal_allowance_exceeded,0,0,0
11,conntrack_allowance_available,273601,273566,-35
11,phc_cnt,0,1637,1637
11,phc_exp,0,0,0
11,phc_skp,0,0,0
11,phc_err_dv,0,0,0
11,phc_err_ts,0,0,0
11,phc_err_eb,0,0,0
11,queue_0_rx_xdp_drop,0,0,0
11,queue_1_rx_xdp_drop,0,0,0
