src,dst,edge,passes,p50_us_min,p50_us_max,p99_us_min,p99_us_max,p50_lo_us_min,p50_lo_us_max,p50_hi_us_min,p50_hi_us_max,p99_hi_us_min,p99_hi_us_max,rtt_p50_us_min,rtt_p50_us_max,rtt_p99_us_min,rtt_p99_us_max,passes_point_p50_le_110,passes_point_p99_le_110,passes_bounded_p50_le_110,passes_resolved_faster
0,2,az1a -> az2a,4,173.03035784431285,187.85662782948677,180.91805689723617,195.74224753883854,115.84994116251252,126.62672011301323,235.84985541826825,248.47831193113106,249.85621973696672,262.47146156550554,360.2305,371.8725,372.40268000000003,382.32321,0,0,0,0
0,3,az1a -> az2b,4,208.39729328844516,211.4289185876833,247.85398245073966,251.29566157950913,0.0,2.4925345669763046,398.91216125459516,405.3736318685592,433.8934689098533,468.908110002272,422.52750000000003,444.3435,530.2168400000002,554.0898850000001,0,0,0,0
0,4,az1a -> az3a,4,242.40111126293357,267.51757948171576,248.3750020854004,273.33930976042694,0.0,0.0,489.65367909904904,524.8418344943443,496.93978006909407,535.1346797515996,489.44375,524.59175,496.73143,534.872315,0,0,0,0
0,5,az1a -> az3b,4,248.52694843387917,254.5985698417183,255.96711237100928,261.4083804067244,0.0,0.0,480.0566881597097,482.87256953078077,489.75339405701806,491.46597004205404,479.877,482.65725,489.5502,491.247815,0,0,0,0
0,6,az1a -> az4a,4,172.29792326460836,201.52215502578107,184.2696624440988,214.83204319407585,113.02701636481488,146.00588750225222,234.55054803958973,258.5748036846345,249.1163322954163,278.64550052572275,348.837,402.08525,368.384405,424.159835,0,0,0,0
0,7,az1a -> az4b,4,171.32794065328636,184.3191844155799,184.11929775753305,193.77129651641354,110.87176851961962,121.03583729279279,230.18668787887884,249.01778711666657,252.59599153503405,265.2012201778798,353.76625,366.7745,378.90994,385.648025,0,0,0,0
0,8,az1a -> az5a,4,115.63029535502406,123.08678731023019,127.97020652136354,138.46828848401245,56.25195072787784,61.54033412647646,179.11681091361353,185.68442848813814,192.7749252991301,201.69251358210718,234.2665,240.793,250.71554,257.62659,0,0,0,0
0,9,az1a -> az5b,4,117.0063465650552,122.27960922433229,128.76865197021942,137.15323804053497,58.426247100850915,62.01765184559554,178.17811777232237,182.20552908503504,194.853779895896,199.36485668132042,235.35575,239.6845,249.35311000000002,257.92914500000006,0,0,0,0
0,10,az1a -> az6a,4,259.69838565872635,262.089841043301,297.96439153069633,335.6496247486072,201.44814648008014,202.9380331684684,321.38529632222225,326.40622971586583,359.26947080256565,397.50151042576687,518.097,520.3365,556.8160700000002,595.1455950000004,0,0,0,0
0,11,az1a -> az6b,4,267.58362980757886,366.1953320272654,276.64836756648094,427.7720032060217,207.2875628602602,305.00747900865866,327.5670267858358,429.2680055807807,340.98595898879177,489.9263052285507,522.6532500000001,748.14925,546.5992,764.899365,0,0,0,1
1,2,az1b -> az2a,4,170.13677694127801,194.29380540522897,178.19276970637256,203.24856242203032,110.67832288548549,137.62080825360374,233.89442119689693,257.0028121198198,250.33621611290886,273.5376133462512,336.97925,382.2445,347.252775,391.542085,0,0,0,0
1,3,az1b -> az2b,4,206.9838152097226,232.86482495186735,246.91314978062854,272.9011912235437,0.0,1.9323005356453358,400.5175014275182,439.25408730860397,458.87502912039605,525.5480390791382,422.76,447.95825,543.7986450000001,563.0186150000001,0,0,0,0
1,4,az1b -> az3a,4,245.06269111578177,259.8700418169827,249.788670587984,264.36714742988113,0.0,0.0,486.8721253589589,522.0580964005505,492.92280095186385,528.5688091082233,486.70825,521.8932500000001,492.76118,528.390085,0,0,0,0
1,5,az1b -> az3b,4,248.772968439664,253.75547741665713,255.21068065493958,260.80711972724066,0.0,0.0,476.44757037742744,485.49483815485485,484.3855906633563,494.2618755825395,476.2715,485.33375,484.217925,494.09796,0,0,0,0
1,6,az1b -> az4a,4,170.5539234333561,175.1677164532477,186.21558889388348,196.51162574927514,111.00622117477486,115.89906201166164,229.43694653373387,235.20186648678674,252.36357628505226,258.13349859086793,349.2145,374.485,380.3980250000001,405.33708500000006,0,0,0,0
1,7,az1b -> az4b,4,179.69407646703522,180.96503571098765,191.93624279335697,195.3269792624988,118.28104343648663,126.07123765025008,239.75378154549543,243.9776365398398,255.47896019077774,263.9035971980271,349.61800000000005,364.3915,370.55328,386.95982000000004,0,0,0,0
1,8,az1b -> az5a,4,116.71315794294631,121.32769314197154,130.6988005805297,135.67195443193899,55.16965363723726,60.35021413793787,178.10624330820818,181.0825095672173,198.49490201021018,201.5004464627087,234.981,238.96575,249.85275500000003,255.22971000000004,0,0,0,0
