az_a,az_b,n,p50_us,p50_lo_us,p50_hi_us,p90_us,p90_lo_us,p90_hi_us,p99_us,p99_lo_us,p99_hi_us,min_us,max_us,p50_clock_only_lo_us,p50_clock_only_hi_us,positive_blocks,negative_blocks,blocks,block_p50_min_us,block_p50_max_us
1,1,1200,0.6940988494925833,-45.21036123653654,45.21036123653654,7.0656454334902845,-40.870609613683676,49.62914123234234,12.239630134627749,-38.642266527929934,56.195608607788785,-20.682670007376352,20.892540707181556,-91.66633997757762,95.46076688318314,0,0,20,-5.107846381040696,7.4995233464806805
1,2,4800,-1.9746465127888655,-102.32953272497487,89.84204529744744,4.186262798406713,-75.70233783430434,115.21913208341333,8.934175799064443,-65.21805525979778,124.0650833551732,-51.042588943460714,38.406139158858224,-102.32953272497487,89.84204529744744,0,0,80,-32.69586323463916,5.675496270137145
1,3,4800,5.5144150857178715,-481.17119717452454,481.17119717452454,25.347610029253516,-477.60201365315316,486.9844363074374,33.31288006647028,-475.28664129484787,495.8756912116828,-22.787733897499862,52.19974527751819,-939.0905629139821,969.8919506128814,0,0,80,-9.935432631309254,32.22825424203481
1,4,4800,0.5362576618859691,-98.983451928929,97.50320567917913,14.202238491337829,-68.9056093708409,123.6976644000701,26.74484550638572,-53.6801816269108,136.053857892982,-57.262459849287865,49.02811777218304,-98.983451928929,97.50320567917913,0,0,80,-22.039777057109603,27.22271169447339
1,5,4800,-0.68907847377195,-94.92947394349349,95.50967277867869,5.620512101710079,-73.04586136892891,115.12102268379383,14.818439259391452,-61.12548226122925,124.38409590733347,-42.979214496783015,68.23141090027744,-94.92947394349349,95.50967277867869,0,0,80,-9.189915617311428,8.334208623935368
1,6,4800,-1.7610347354931264,-94.84923565325323,95.12945227007009,16.713769559864957,-68.06139503552555,123.1709617196294,58.81972709375756,-27.410126197957965,160.01305358637757,-71.18305339972105,252.29470716189655,-94.84923565325323,95.12945227007009,0,0,80,-16.434624323420465,19.97012032374147
2,2,1200,2.2047549692331216,-88.24515310645641,99.99038779839847,24.193275886880063,-69.08700435331332,123.71961286022018,29.39235147524958,-49.075243250647645,147.5526524224104,-26.425246928708447,34.33627122960415,-88.24515310645641,99.99038779839847,0,0,20,-4.714105715035515,25.745718790280513
2,3,4800,-18.584091251595936,-681.337570848098,677.8213247436936,76.05506445940678,-626.4636592941241,713.1047267545546,103.83389486815753,-616.6096561205616,738.6892051194294,-124.45265250358239,239.27987376428354,-964.1047578629934,936.2741934930051,0,0,80,-104.3912112684811,105.53758546726581
2,4,4800,-5.549084123680402,-108.24235051756764,88.67188174454455,37.620245270568056,-64.00601822730735,138.58226932355365,42.23701231140518,-32.41386816350045,156.28436734410917,-124.68646876396309,59.13806631711333,-108.24235051756764,88.67188174454455,0,4,80,-92.66162961656194,40.6142309034996
2,5,4800,-1.8178565628702898,-103.09734014309312,84.83573732922918,7.631802984143674,-72.62279270731722,114.28073674437444,13.255469895119964,-61.318981274693606,127.10508990713629,-80.19410615630238,59.7527579733522,-103.09734014309312,84.83573732922918,0,0,80,-57.591082532781655,12.161866059596136
2,6,4800,2.334641607900238,-83.89798158263255,108.58751933598595,165.64050625350444,70.81198702839849,257.0714457207107,252.0772829467646,173.48435480233027,366.89556394489586,-286.7518781422868,266.9537718468846,-83.89798158263255,108.58751933598595,20,15,80,-276.12828832770356,251.50638874444812
3,3,1200,25.238859237472525,-46.33821650675675,46.33821650675675,33.92808350315477,-43.192811529459455,50.53036105486487,38.25671243755038,-41.30047431905305,53.987044093579584,10.919863266556987,40.276791624017065,-1826.469494522722,1895.194931571472,0,0,20,17.56785924696573,34.34530731679266
3,4,4800,-8.384977975500675,-682.6162236697697,682.5848784818318,12.054613060179026,-583.6778859525125,718.740138105015,17.457033350694648,-578.1073366187327,731.3542086141441,-77.70691191316024,26.94983820902746,-994.3877111419106,996.253175486906,0,0,80,-37.20798862569029,15.402496180346446
3,5,4800,-6.194968725783525,-454.4631945857358,454.4631945857358,8.562958528483358,-437.94688339816815,463.2123315809009,14.143978980915785,-435.4444678324835,473.1193779534915,-106.47553302374331,45.43468212755408,-986.243544772072,982.2093308480171,0,0,80,-28.77175241181301,10.96926734664926
3,6,4800,-10.425216765702075,-431.42027599244244,431.03494001696697,45.17035796018975,-357.8918603775776,503.3812994102502,53.189164632005635,-348.1960437395285,512.051363790961,-3080.2181042412667,70.82534292430134,-946.9037883566564,923.7435590296604,0,0,80,-81.7624417157303,51.50074761292916
4,4,1200,-1.4971614693723652,-101.65827789154156,92.69828372967962,4.298528982482993,-80.87364352025021,113.75838267642641,7.893558187127817,-69.63988458202803,122.25920718258061,-42.65358992098828,19.902655292917586,-101.65827789154156,92.69828372967962,0,0,20,-31.7652482635022,5.508610719758991
4,5,4800,8.054208833351623,-87.61453836686681,102.79449138333344,22.217166817631504,-60.345042330190125,130.68143628422422,29.37486693018409,-47.15054670501797,141.8976954795496,-31.65300169476754,47.07852598604623,-87.61453836686681,102.79449138333344,0,0,80,-16.082372700109985,27.87401137986197
4,6,4800,2.700826178777419,-87.03132473398401,100.50400842412407,24.716385602525815,-54.012130005915964,127.23480443562555,71.52856654530501,-10.526435709501364,183.21987515688588,-82.84294535896936,76.78285677766337,-87.03132473398401,100.50400842412407,0,0,80,-49.43190693986671,70.53710526489627
5,5,1200,0.5641805707529848,-73.92040136001,73.92827013893894,5.463615593582784,-70.61109119279286,78.39912259451452,11.373900422455643,-64.78318830704222,86.92665225564966,-30.71720591078649,28.573333354924657,-91.99746051686708,91.36363610425434,0,0,20,-5.182001066361771,5.741719782992803
5,6,4800,0.36369299055715487,-100.65200062462463,92.477401131031,6.4816088019435725,-74.43579323596602,117.48025551984988,13.396657396350111,-63.88268425022318,126.41965751334448,-60.06959865504206,42.559982140542786,-100.65200062462463,92.477401131031,0,0,80,-54.13841464348641,9.104484177104581
6,6,1200,-13.441020347405143,-97.77859164054053,72.88802864969972,44.6732532119725,-45.9305809092593,140.16646877191195,48.801490464194806,-30.536623551347336,154.55682849417607,-63.32409706317816,55.883304920461825,-97.77859164054053,72.88802864969972,0,0,20,-43.09081419778945,45.98310547098507
