node,reference,samples,drift_ppm,point_model_drift_ppm,fit_residual_p50_us,fit_residual_p99_us,anchor_halfwidth_p50_us,anchor_halfwidth_max_us,max_gap_ms,assumed_rate_envelope_ppm,errors,wall_rate_lower_bound_max_ppm,phc_error_p50_us,ntp_strata,ntp_root_distance_p50_us
0,phc+ntp,8524,2.074383715681483,2.0744486568391007,1.0043004468121943,2.7849620695490365,23.94172755000001,18044.37633723438,53.0462575,99.99999999999999,2,0.0,21.624,1,30.517578125
1,phc+ntp,7873,1.8921931669038619,1.8929381869127972,0.7578691150737578,2.3095178345704537,24.69680944999997,28864.987800296873,53.096167,99.99999999999999,2,0.0,21.549,1,30.517578125
2,phc+ntp,7518,-0.936530679142035,-0.9359944629842243,0.3304559675354558,1.4139295189884742,24.513707800000002,22816.948972184375,53.1500135,99.99999999999999,1,0.0,21.55,1,30.517578125
3,phc+ntp,6973,-3.0787606798274303,-3.0790307818439215,0.3682648009616969,1.5174699302510168,24.183213800000026,21966.216036434376,56.0144555,99.99999999999999,0,8.72126341211069,21.591,1,30.517578125
4,ntp,324,-16.36445146177138,-16.55007648786811,37.587038481627474,1199.8310146048195,461.256147171875,4055.8199885093745,1003.9603565,99.99999999999999,0,11.660896186994771,,3,335.693359375
5,ntp,289,-29.455645377917488,-29.631815146786934,28.09156124932616,1402.1323194435618,460.2291566781248,2108.4883590656254,1004.084987,99.99999999999999,0,24.8856577922467,,3,343.32275390625
6,phc+ntp,5836,-0.3453748132324667,-0.3452652392815229,1.2859750457692698,3.5025775973032247,23.909709050000004,24186.006942184373,52.7170595,99.99999999999999,3,0.0,21.732,1,30.517578125
7,phc+ntp,5490,-1.045519508084553,-1.045532910462237,0.20392882358867792,0.8364316742881783,23.800926925,21353.71647768438,52.5190095,99.99999999999999,0,0.0,21.547,1,30.517578125
8,phc+ntp,5050,0.9206708519269607,0.9205945798237275,0.7535312287424013,2.397439494586266,23.651134300000006,2992.900787596875,52.438566,99.99999999999999,1,0.0,21.560000000000002,1,45.7763671875
9,phc+ntp,4362,-5.7880418843330625,-5.788202691300231,0.3456920052478672,1.465659690784776,23.790675800000017,27635.124217034376,52.197276,99.99999999999999,0,155.16580176837962,21.509,1,30.517578125
10,phc+ntp,3603,-2.189180601840995,-2.189304289991252,0.2509147302450001,0.867839940450971,23.458637350000004,21636.249430034375,52.145467,99.99999999999999,1,0.0,21.495,1,30.517578125
11,phc+ntp,3150,2.3682922679165284,2.3690150737352185,0.32180197949436845,1.3785500171433522,23.730709550000004,1313.012378884375,52.3529395,99.99999999999999,2,0.0,21.611,1,45.7763671875
