instance,type,launch,completion,elapsed_seconds,usd_per_hour,modeled_compute_usd
i-0c0d6c3de82fbb602,m7i.xlarge,2026-09-24T23:19:10+00:00,1790292459.163561,509.16356110572815,0.2016,0.02851315942192078
i-08ce65de254ce259b,m7i.xlarge,2026-09-24T23:19:30+00:00,1790292459.5661983,489.566198348999,0.2016,0.027415707107543947
i-06a2da1188cba19bb,m7i.xlarge,2026-09-24T23:19:52+00:00,1790292459.2886984,467.2886984348297,0.2016,0.026168167112350465
i-06b899cd71280ac7b,m7i.xlarge,2026-09-24T23:20:15+00:00,1790292458.9827778,443.9827778339386,0.2016,0.024863035558700564
i-0be33b91cf1f2d392,i4i.xlarge,2026-09-24T23:20:34+00:00,1790292459.2618923,425.2618923187256,0.343,0.040518008073700804
i-00d6fc85a94a2228b,i4i.xlarge,2026-09-24T23:20:54+00:00,1790292459.5877404,405.58774042129517,0.343,0.038643498601251186
i-0572de255b04dbc6e,m7i.xlarge,2026-09-24T23:21:18+00:00,1790292459.2105658,381.2105658054352,0.2016,0.02134779168510437
i-062c7dd6324dd67fd,m7i.xlarge,2026-09-24T23:21:44+00:00,1790292459.1543899,355.15438985824585,0.2016,0.019888645832061767
i-00dcbca05db931bf6,m7i.xlarge,2026-09-24T23:22:10+00:00,1790292458.727187,328.72718691825867,0.2016,0.018408722467422485
i-0118bd721cd2fe1a5,m7i.xlarge,2026-09-24T23:22:37+00:00,1790292458.8428047,301.84280467033386,0.2016,0.016903197061538696
i-0637ad39e38c0b801,m7i.xlarge,2026-09-24T23:23:05+00:00,1790292459.180672,274.1806719303131,0.2016,0.015354117628097533
i-0282942b4b3f0e9e6,m7i.xlarge,2026-09-24T23:23:35+00:00,1790292459.178257,244.1782569885254,0.2016,0.013673982391357422
