az_src,az_dst,n,p50_us,p50_lo_us,p50_hi_us,p90_us,p90_lo_us,p90_hi_us,p99_us,p99_lo_us,p99_hi_us,min_us,max_us,p50_clock_only_lo_us,p50_clock_only_hi_us,block_p50_min_us,block_p50_max_us
1,1,2400,22.274134019522055,0.0,45.21036123653654,26.524337927431997,0.0,49.62914123234234,30.715262481604256,0.0,56.19560860778864,15.81422012192558,46.49391139478353,-24.304578099699746,69.15802298148151,17.288973490149367,27.542228325035772
1,2,4800,188.78149255694223,138.69448069339333,230.750256618969,232.5231175741166,181.14520133450455,283.28404504763756,238.40256318279862,197.29755585588802,293.418754591064,148.66592186025798,266.9101145527959,138.69448069339333,230.750256618969,152.59332646588825,237.6269117185793
1,3,4800,244.47485996156942,0.0,481.17119717452454,253.72956585322865,0.0,486.9844363074374,260.0644152952677,0.0,495.8756912116828,232.57002655733143,290.14542988246666,-228.44104845707233,725.4941497720226,234.96803238446745,257.97714242490383
1,4,4800,184.29328201048014,141.92633791611615,236.14323785145143,208.86298681814304,164.08667168885881,263.0789124087788,215.79170203922897,174.61490142530732,271.22222204803006,163.61724307044608,245.36130978637433,141.92633791611615,236.14323785145143,166.16203947498394,211.85850765264198
1,5,4800,112.73097769380996,64.33746535020025,159.37275085000002,119.25144455093243,78.17116135066051,171.72318859555563,128.34536481910285,88.38854775263863,180.30278373219429,100.39955723571987,175.52732939217938,64.33746535020025,159.37275085000002,103.3415750335601,119.30082799147635
1,6,4800,273.87072256878986,217.73321246206208,312.88621499054057,289.61925050150893,246.70442625282286,342.5656284552653,326.7960210261762,281.3691189929899,376.85199555127446,218.19132718131354,491.0061084963357,217.73321246206208,312.88621499054057,222.78958199456457,291.12841499509886
2,1,4800,193.59838307481877,139.8655743715215,239.2992083008508,235.19116539128137,191.11618951340338,288.4321283233634,240.78783981536063,200.13193424599797,298.72002086507115,149.9958706663649,259.9645460206894,139.8655743715215,239.2992083008508,152.50436343021778,239.66688816815673
2,2,2400,140.11082243709762,92.05547249634634,185.94803236826826,143.73745680799684,103.02232179928926,197.7550132264263,148.4383153128387,109.26717912686185,204.88966766199798,115.03054593621812,164.53187436767897,92.05547249634634,185.94803236826826,117.84046510735917,144.04597447554605
2,3,4800,324.35361340168004,0.0,680.4394413131022,391.88312771481776,0.0,713.451514543944,403.8759898087095,44.18594688382311,738.6892051194294,289.4205419621636,554.8702571504089,-140.9324808905654,812.0787319542101,293.1840209268544,403.70468211913146
2,4,4800,162.90742036182462,118.67770243618614,215.01377752482483,203.55149183833345,151.4056485396597,252.80090669854857,208.13121185372907,170.46350980724824,264.42676755547353,124.18438164216106,231.7835709405837,118.67770243618614,215.01377752482483,126.74611305119586,206.63820740501131
2,5,4800,165.41803846061873,109.7797221943944,204.81741174964964,189.4731442819401,144.74690467151154,234.6295945761961,193.2259235831223,154.66872886524627,247.79828972955056,104.64984066970507,229.8947094640449,109.7797221943944,204.81741174964964,107.59586206669775,191.42083131535952
2,6,4800,389.4778991476107,347.91637318663663,440.046917170971,530.3576784874106,490.83725971006004,576.7475446894695,595.9148164950682,556.3223731522311,653.1870575962253,325.57031185337655,611.3665596361603,347.91637318663663,440.046917170971,328.80007952245296,594.9014267666189
3,1,4800,238.82442468309938,0.0,481.17119717452454,245.09679701739796,0.0,486.9844363074374,250.16406952936012,0.0,495.8756912116828,221.72711170572043,265.2785256899865,-244.29933121415507,710.0381073871185,224.63250091636414,247.3638707253351
3,2,4800,347.2839691317999,0.0,681.4275791565565,398.62204076215744,0.0,714.0102648949951,405.4203986230447,27.99296986729666,739.3300341488049,296.2683559303768,433.4205968088191,-126.5087884633476,824.2557533791256,298.7137016149084,404.497765214568
3,3,2400,24.82575553572341,0.0,46.33821650675675,39.053768482460086,0.0,50.53036105486487,43.15838145378678,0.0,53.987044093579584,3.5446391847617926,46.115696743873876,-898.2195019916724,945.2811729478352,5.32368840386346,40.78208030486573
3,4,4800,324.97742956844854,0.0,682.5848784818318,354.8262556402956,0.0,718.8823226383183,360.3144716157045,0.0,731.3542086141441,276.32199475764855,374.95943419040367,-172.48734248176544,819.5920838321981,278.0509569541276,359.40377383914074
3,5,4800,221.85580173675808,0.0,454.4631945857358,232.44386929156846,0.0,463.2123315809009,238.18227309027043,0.0,473.1193779534915,204.28265005868673,274.0986485640947,-268.1331625880974,715.9707052897211,206.5177406647657,233.42516578605793
3,6,4800,192.30778552616505,0.0,431.42027599244244,258.74086045890306,0.0,503.383768543003,263.00241991523194,0.0,512.0686235797777,164.16885766381398,289.66979598051125,-261.7972956923577,682.7072709839497,167.35420703712478,260.6629535771972
4,1,4800,185.40407699465973,140.60652013783778,234.36626483408412,208.83927260154542,164.0208533402102,262.4139554131432,219.04626499891106,175.78986662252746,272.005343075985,163.1663658312262,264.31653232217616,140.60652013783778,234.36626483408412,167.05080424428644,210.45043056780293
