node,tx,n,p50_us,p99_us,max_us
0,0,13200,7.4755,14.82994500000001,1915.9885
0,1,13200,2.1065,4.08853,11.3685
1,0,13200,8.644,20.81843500000001,486.7765
1,1,13200,3.0475,6.744045000000001,17.8845
2,0,13200,8.8335,18.37182500000001,2208.014
2,1,13200,2.564,5.562005,40.7405
3,0,13200,8.15625,16.8665,140.913
3,1,13200,2.1425,5.466115000000003,16.331
4,0,13200,10.72425,22.585190000000004,879.7245
4,1,13200,2.379,5.757575000000002,19.243
5,0,13200,11.9865,25.996220000000005,950.8775
5,1,13200,2.6805,9.197625000000013,22.104
6,0,13200,8.3315,13.69654,1364.6085
6,1,13200,2.1575,4.583540000000001,14.693
7,0,13200,8.02675,15.779240000000005,73.3155
7,1,13200,2.12075,4.4616000000000025,18.6005
8,0,13200,7.25825,13.655155000000002,91.132
8,1,13200,1.9412500000000001,4.23552,12.991
9,0,13200,7.517250000000001,13.853230000000005,27.9635
9,1,13200,1.896,3.9045150000000004,13.8575
10,0,13200,7.827249999999999,16.566295000000004,82.447
10,1,13200,1.91225,3.7335900000000017,14.2885
11,0,13200,9.627500000000001,16.083015,264.9885
11,1,13200,2.29875,4.820585000000002,17.5675
