node_a,node_b,host_a,host_b,flow,ip_a,port_a,ip_b,port_b
0,1,az1a,az1b,0,172.31.6.83,48000,172.31.1.223,48100
0,1,az1a,az1b,1,172.31.6.83,48001,172.31.1.223,48100
0,1,az1a,az1b,2,172.31.6.83,48002,172.31.1.223,48100
0,1,az1a,az1b,3,172.31.6.83,48003,172.31.1.223,48100
0,2,az1a,az2a,0,172.31.6.83,48000,172.31.91.62,48100
0,2,az1a,az2a,1,172.31.6.83,48001,172.31.91.62,48100
0,2,az1a,az2a,2,172.31.6.83,48002,172.31.91.62,48100
0,2,az1a,az2a,3,172.31.6.83,48003,172.31.91.62,48100
0,3,az1a,az2b,0,172.31.6.83,48000,172.31.89.27,48100
0,3,az1a,az2b,1,172.31.6.83,48001,172.31.89.27,48100
0,3,az1a,az2b,2,172.31.6.83,48002,172.31.89.27,48100
0,3,az1a,az2b,3,172.31.6.83,48003,172.31.89.27,48100
0,4,az1a,az3a,0,172.31.6.83,48000,172.31.69.210,48100
0,4,az1a,az3a,1,172.31.6.83,48001,172.31.69.210,48100
0,4,az1a,az3a,2,172.31.6.83,48002,172.31.69.210,48100
0,4,az1a,az3a,3,172.31.6.83,48003,172.31.69.210,48100
0,5,az1a,az3b,0,172.31.6.83,48000,172.31.74.65,48100
0,5,az1a,az3b,1,172.31.6.83,48001,172.31.74.65,48100
0,5,az1a,az3b,2,172.31.6.83,48002,172.31.74.65,48100
0,5,az1a,az3b,3,172.31.6.83,48003,172.31.74.65,48100
0,6,az1a,az4a,0,172.31.6.83,48000,172.31.25.121,48100
0,6,az1a,az4a,1,172.31.6.83,48001,172.31.25.121,48100
0,6,az1a,az4a,2,172.31.6.83,48002,172.31.25.121,48100
0,6,az1a,az4a,3,172.31.6.83,48003,172.31.25.121,48100
0,7,az1a,az4b,0,172.31.6.83,48000,172.31.23.70,48100
0,7,az1a,az4b,1,172.31.6.83,48001,172.31.23.70,48100
0,7,az1a,az4b,2,172.31.6.83,48002,172.31.23.70,48100
0,7,az1a,az4b,3,172.31.6.83,48003,172.31.23.70,48100
0,8,az1a,az5a,0,172.31.6.83,48000,172.31.54.166,48100
0,8,az1a,az5a,1,172.31.6.83,48001,172.31.54.166,48100
0,8,az1a,az5a,2,172.31.6.83,48002,172.31.54.166,48100
0,8,az1a,az5a,3,172.31.6.83,48003,172.31.54.166,48100
0,9,az1a,az5b,0,172.31.6.83,48000,172.31.51.190,48100
0,9,az1a,az5b,1,172.31.6.83,48001,172.31.51.190,48100
0,9,az1a,az5b,2,172.31.6.83,48002,172.31.51.190,48100
0,9,az1a,az5b,3,172.31.6.83,48003,172.31.51.190,48100
0,10,az1a,az6a,0,172.31.6.83,48000,172.31.40.195,48100
0,10,az1a,az6a,1,172.31.6.83,48001,172.31.40.195,48100
0,10,az1a,az6a,2,172.31.6.83,48002,172.31.40.195,48100
0,10,az1a,az6a,3,172.31.6.83,48003,172.31.40.195,48100
0,11,az1a,az6b,0,172.31.6.83,48000,172.31.42.3,48100
0,11,az1a,az6b,1,172.31.6.83,48001,172.31.42.3,48100
0,11,az1a,az6b,2,172.31.6.83,48002,172.31.42.3,48100
