node,counter,before,after,delta
0,bw_in_allowance_exceeded,0,0,0
0,bw_out_allowance_exceeded,0,0,0
0,pps_allowance_exceeded,0,0,0
0,conntrack_allowance_exceeded,0,0,0
0,linklocal_allowance_exceeded,0,0,0
0,conntrack_allowance_available,273597,272345,-1252
0,phc_cnt,0,6974,6974
0,phc_exp,0,0,0
0,phc_skp,0,0,0
0,phc_err_dv,0,0,0
0,phc_err_ts,0,0,0
0,phc_err_eb,0,0,0
0,queue_0_rx_xdp_drop,0,0,0
0,queue_1_rx_xdp_drop,0,0,0
1,bw_in_allowance_exceeded,0,0,0
1,bw_out_allowance_exceeded,0,0,0
1,pps_allowance_exceeded,0,0,0
1,conntrack_allowance_exceeded,0,0,0
1,linklocal_allowance_exceeded,0,0,0
1,conntrack_allowance_available,273602,273391,-211
1,phc_cnt,0,6398,6398
1,phc_exp,0,0,0
1,phc_skp,0,0,0
1,phc_err_dv,0,0,0
1,phc_err_ts,0,0,0
1,phc_err_eb,0,0,0
1,queue_0_rx_xdp_drop,0,0,0
1,queue_1_rx_xdp_drop,0,0,0
2,bw_in_allowance_exceeded,0,0,0
2,bw_out_allowance_exceeded,0,0,0
2,pps_allowance_exceeded,0,0,0
2,conntrack_allowance_exceeded,0,0,0
2,linklocal_allowance_exceeded,0,0,0
2,conntrack_allowance_available,273575,273389,-186
2,phc_cnt,0,6179,6179
2,phc_exp,0,5,5
2,phc_skp,0,0,0
2,phc_err_dv,0,0,0
2,phc_err_ts,0,0,0
2,phc_err_eb,0,0,0
2,queue_0_rx_xdp_drop,0,0,0
2,queue_1_rx_xdp_drop,0,0,0
3,bw_in_allowance_exceeded,0,0,0
3,bw_out_allowance_exceeded,0,0,0
3,pps_allowance_exceeded,0,0,0
3,conntrack_allowance_exceeded,0,0,0
3,linklocal_allowance_exceeded,0,0,0
3,conntrack_allowance_available,273581,273386,-195
3,phc_cnt,0,5726,5726
3,phc_exp,0,0,0
3,phc_skp,0,0,0
3,phc_err_dv,0,0,0
3,phc_err_ts,0,0,0
3,phc_err_eb,0,0,0
3,queue_0_rx_xdp_drop,0,0,0
3,queue_1_rx_xdp_drop,0,0,0
4,bw_in_allowance_exceeded,0,0,0
4,bw_out_allowance_exceeded,0,0,0
4,pps_allowance_exceeded,0,0,0
4,conntrack_allowance_exceeded,0,0,0
4,linklocal_allowance_exceeded,0,0,0
4,conntrack_allowance_available,273605,273389,-216
4,phc_cnt,0,4922,4922
4,phc_exp,0,0,0
4,phc_skp,0,0,0
4,phc_err_dv,0,0,0
4,phc_err_ts,0,0,0
4,phc_err_eb,0,0,0
4,queue_0_rx_xdp_drop,0,0,0
4,queue_1_rx_xdp_drop,0,0,0
5,bw_in_allowance_exceeded,0,0,0
5,bw_out_allowance_exceeded,0,0,0
5,pps_allowance_exceeded,0,0,0
5,conntrack_allowance_exceeded,0,0,0
5,linklocal_allowance_exceeded,0,0,0
5,conntrack_allowance_available,273602,273389,-213
5,phc_cnt,0,4704,4704
5,phc_exp,0,0,0
5,phc_skp,0,0,0
5,phc_err_dv,0,0,0
5,phc_err_ts,0,0,0
5,phc_err_eb,0,0,0
5,queue_0_rx_xdp_drop,0,0,0
5,queue_1_rx_xdp_drop,0,0,0
6,bw_in_allowance_exceeded,0,0,0
6,bw_out_allowance_exceeded,0,0,0
6,pps_allowance_exceeded,0,0,0
6,conntrack_allowance_exceeded,0,0,0
6,linklocal_allowance_exceeded,0,0,0
6,conntrack_allowance_available,273588,273381,-207
6,phc_cnt,0,4301,4301
6,phc_exp,0,1,1
6,phc_skp,0,0,0
6,phc_err_dv,0,0,0
6,phc_err_ts,0,0,0
6,phc_err_eb,0,0,0
6,queue_0_rx_xdp_drop,0,0,0
6,queue_1_rx_xdp_drop,0,0,0
7,bw_in_allowance_exceeded,0,0,0
7,bw_out_allowance_exceeded,0,0,0
7,pps_allowance_exceeded,0,0,0
7,conntrack_allowance_exceeded,0,0,0
7,linklocal_allowance_exceeded,0,0,0
7,conntrack_allowance_available,273603,273389,-214
7,phc_cnt,0,3642,3642
7,phc_exp,0,0,0
7,phc_skp,0,0,0
7,phc_err_dv,0,0,0
7,phc_err_ts,0,0,0
7,phc_err_eb,0,0,0
7,queue_0_rx_xdp_drop,0,0,0
7,queue_1_rx_xdp_drop,0,0,0
