src,dst,host_src,host_dst,az_src,az_dst,flows,p50_us_flow_span_median,p50_us_flow_span_max,p50_us_same_role_change_median,p50_us_same_role_change_max,p50_us_flow_correlation_0_2,p50_us_flow_correlation_1_3,rtt_p50_us_flow_span_median,rtt_p50_us_flow_span_max,rtt_p50_us_same_role_change_median,rtt_p50_us_same_role_change_max,rtt_p50_us_flow_correlation_0_2,rtt_p50_us_flow_correlation_1_3
0,4,az2a,az4a,2,4,16,28.68341379552112,29.601311501289047,1.1519009480874303,3.073957828879628,0.9955163960551549,0.9925756474397083,48.044375,48.56574999999998,0.7789999999999964,3.1954999999999814,0.9972979114540358,0.9966167083468178
0,5,az2a,az4b,2,4,16,11.442673724706722,11.91106135743803,0.6881717262797054,4.923509094641901,0.9754269174894427,0.9941095008000206,21.823624999999993,22.49074999999999,0.5440000000000111,5.125,0.9741924885665887,0.9933507450093515
0,6,az2a,az4c,2,4,16,1.7723878404308877,2.3966147510477356,0.5632333837336958,1.6438924735551836,0.5622581096777746,0.8329962629759093,3.6776250000000203,4.2479999999999905,0.5582499999999868,1.8010000000000161,0.8365258594948376,0.6215394135342218
0,7,az2a,az4d,2,4,16,26.18628632309141,27.370808129331607,1.3223284956948973,3.572115783486865,0.9975455317570132,0.9975536901192901,49.880750000000006,50.62875,0.501499999999993,2.6467499999999973,0.9989843211161002,0.9985964409264397
1,4,az2b,az4a,2,4,16,164.68273749389223,165.21605057396116,1.5015457717167067,3.0363638458291575,0.999921015542685,0.999952603077181,164.362,166.24525000000006,0.9472500000000252,4.546500000000037,0.9996927064757197,0.999598765572992
1,5,az2b,az4b,2,4,16,17.728594924657003,18.668017355197122,0.6956106072497761,2.5673509562165293,0.986463948777088,0.9986774246722243,29.199375000000003,30.053499999999985,1.0267500000000211,3.308750000000032,0.992018624575568,0.9901262140978935
1,6,az2b,az4c,2,4,16,50.2237046967724,50.52834932818189,0.6894818904932123,1.4493360254432446,0.9998928004361479,0.9996126097370691,77.62350000000002,77.85874999999999,0.9514999999999816,3.518250000000023,0.9989489267406757,0.9989127902281528
1,7,az2b,az4d,2,4,16,8.469902944460308,9.350879047077044,0.8740813839276669,3.6001743237911654,0.9628077452946535,0.9792807639725472,15.78349999999999,17.18599999999998,1.06712499999999,3.307249999999982,0.9676024462531181,0.9805064975729905
2,4,az2c,az4a,2,4,16,161.58692482131707,162.16492560753784,0.493845173985207,1.3390103598845258,0.999917476541171,0.9998973623138995,220.6105,221.71925,0.9734999999999729,3.7557500000000346,0.9998278637866201,0.9996608969553341
2,5,az2c,az4b,2,4,16,17.066367695834316,17.400495467108925,0.5553254574645052,3.8011423939224187,0.9858770885512993,0.9971440366180946,20.967624999999998,22.83725000000004,0.6703749999999786,3.8279999999999745,0.9894770141227912,0.991634528044262
2,6,az2c,az4c,2,4,16,44.592939911615574,46.1345146930355,0.6154745588481276,1.5319536022205114,0.9994169755785073,0.9996121675910948,59.059,59.58149999999998,0.6870000000000118,2.205249999999978,0.9989843071888967,0.9979267534019011
2,7,az2c,az4d,2,4,16,9.295606643598411,10.492497125071822,0.8789679026048915,2.632621400701254,0.9689209004664916,0.9784922880393974,15.060124999999985,16.73925,0.8676250000000039,2.591000000000008,0.9755346700951486,0.9772753155708553
3,4,az2d,az4a,2,4,16,5.691283107375,6.018533532536821,0.6404307569388976,1.9598738411404497,0.8704636022876879,0.8661137022635769,8.141749999999973,8.334499999999935,0.8446250000000362,2.8637500000000387,0.8412527295624033,0.882415447394968
3,5,az2d,az4b,2,4,16,72.19478021453094,72.9082770464567,0.34178351073416025,1.3369570051157496,0.9996714882899397,0.9998096819085833,108.63799999999998,110.26999999999998,0.4418749999999534,2.3877499999999827,0.9994848379718011,0.9997061172266348
3,6,az2d,az4c,2,4,16,6.360460897670954,7.009673456739435,0.3622203215724582,0.997908080451765,0.9925887814484342,0.9857059026348929,10.611250000000013,11.300999999999988,0.4420000000000073,2.180999999999983,0.9692440321145215,0.9738670515574631
3,7,az2d,az4d,2,4,16,4.047513567454033,4.922098633039326,0.8955182146241683,2.153745373326359,0.6264167860277092,0.8281642752812786,6.530500000000018,7.603499999999997,0.47912500000001046,2.562749999999994,0.8946743472607459,0.8584860859256634
