node_a,node_b,host_a,host_b,flow,ip_a,port_a,ip_b,port_b
0,4,az2a,az4a,0,172.31.83.83,48000,172.31.22.211,48100
0,4,az2a,az4a,1,172.31.83.83,48001,172.31.22.211,48101
0,4,az2a,az4a,2,172.31.83.83,48002,172.31.22.211,48102
0,4,az2a,az4a,3,172.31.83.83,48003,172.31.22.211,48103
0,4,az2a,az4a,4,172.31.83.83,48004,172.31.22.211,48104
0,4,az2a,az4a,5,172.31.83.83,48005,172.31.22.211,48105
0,4,az2a,az4a,6,172.31.83.83,48006,172.31.22.211,48106
0,4,az2a,az4a,7,172.31.83.83,48007,172.31.22.211,48107
0,4,az2a,az4a,8,172.31.83.83,48008,172.31.22.211,48108
0,4,az2a,az4a,9,172.31.83.83,48009,172.31.22.211,48109
0,4,az2a,az4a,10,172.31.83.83,48010,172.31.22.211,48110
0,4,az2a,az4a,11,172.31.83.83,48011,172.31.22.211,48111
0,4,az2a,az4a,12,172.31.83.83,48012,172.31.22.211,48112
0,4,az2a,az4a,13,172.31.83.83,48013,172.31.22.211,48113
0,4,az2a,az4a,14,172.31.83.83,48014,172.31.22.211,48114
0,4,az2a,az4a,15,172.31.83.83,48015,172.31.22.211,48115
0,5,az2a,az4b,0,172.31.83.83,48000,172.31.30.6,48100
0,5,az2a,az4b,1,172.31.83.83,48001,172.31.30.6,48101
0,5,az2a,az4b,2,172.31.83.83,48002,172.31.30.6,48102
0,5,az2a,az4b,3,172.31.83.83,48003,172.31.30.6,48103
0,5,az2a,az4b,4,172.31.83.83,48004,172.31.30.6,48104
0,5,az2a,az4b,5,172.31.83.83,48005,172.31.30.6,48105
0,5,az2a,az4b,6,172.31.83.83,48006,172.31.30.6,48106
0,5,az2a,az4b,7,172.31.83.83,48007,172.31.30.6,48107
0,5,az2a,az4b,8,172.31.83.83,48008,172.31.30.6,48108
0,5,az2a,az4b,9,172.31.83.83,48009,172.31.30.6,48109
0,5,az2a,az4b,10,172.31.83.83,48010,172.31.30.6,48110
0,5,az2a,az4b,11,172.31.83.83,48011,172.31.30.6,48111
0,5,az2a,az4b,12,172.31.83.83,48012,172.31.30.6,48112
0,5,az2a,az4b,13,172.31.83.83,48013,172.31.30.6,48113
0,5,az2a,az4b,14,172.31.83.83,48014,172.31.30.6,48114
0,5,az2a,az4b,15,172.31.83.83,48015,172.31.30.6,48115
0,6,az2a,az4c,0,172.31.83.83,48000,172.31.21.12,48100
0,6,az2a,az4c,1,172.31.83.83,48001,172.31.21.12,48101
0,6,az2a,az4c,2,172.31.83.83,48002,172.31.21.12,48102
0,6,az2a,az4c,3,172.31.83.83,48003,172.31.21.12,48103
0,6,az2a,az4c,4,172.31.83.83,48004,172.31.21.12,48104
0,6,az2a,az4c,5,172.31.83.83,48005,172.31.21.12,48105
0,6,az2a,az4c,6,172.31.83.83,48006,172.31.21.12,48106
0,6,az2a,az4c,7,172.31.83.83,48007,172.31.21.12,48107
0,6,az2a,az4c,8,172.31.83.83,48008,172.31.21.12,48108
0,6,az2a,az4c,9,172.31.83.83,48009,172.31.21.12,48109
0,6,az2a,az4c,10,172.31.83.83,48010,172.31.21.12,48110
0,6,az2a,az4c,11,172.31.83.83,48011,172.31.21.12,48111
0,6,az2a,az4c,12,172.31.83.83,48012,172.31.21.12,48112
0,6,az2a,az4c,13,172.31.83.83,48013,172.31.21.12,48113
0,6,az2a,az4c,14,172.31.83.83,48014,172.31.21.12,48114
0,6,az2a,az4c,15,172.31.83.83,48015,172.31.21.12,48115
0,7,az2a,az4d,0,172.31.83.83,48000,172.31.27.48,48100
0,7,az2a,az4d,1,172.31.83.83,48001,172.31.27.48,48101
0,7,az2a,az4d,2,172.31.83.83,48002,172.31.27.48,48102
0,7,az2a,az4d,3,172.31.83.83,48003,172.31.27.48,48103
0,7,az2a,az4d,4,172.31.83.83,48004,172.31.27.48,48104
0,7,az2a,az4d,5,172.31.83.83,48005,172.31.27.48,48105
0,7,az2a,az4d,6,172.31.83.83,48006,172.31.27.48,48106
0,7,az2a,az4d,7,172.31.83.83,48007,172.31.27.48,48107
0,7,az2a,az4d,8,172.31.83.83,48008,172.31.27.48,48108
0,7,az2a,az4d,9,172.31.83.83,48009,172.31.27.48,48109
0,7,az2a,az4d,10,172.31.83.83,48010,172.31.27.48,48110
0,7,az2a,az4d,11,172.31.83.83,48011,172.31.27.48,48111
0,7,az2a,az4d,12,172.31.83.83,48012,172.31.27.48,48112
0,7,az2a,az4d,13,172.31.83.83,48013,172.31.27.48,48113
0,7,az2a,az4d,14,172.31.83.83,48014,172.31.27.48,48114
0,7,az2a,az4d,15,172.31.83.83,48015,172.31.27.48,48115
1,4,az2b,az4a,0,172.31.89.192,48000,172.31.22.211,48100
1,4,az2b,az4a,1,172.31.89.192,48001,172.31.22.211,48101
1,4,az2b,az4a,2,172.31.89.192,48002,172.31.22.211,48102
1,4,az2b,az4a,3,172.31.89.192,48003,172.31.22.211,48103
1,4,az2b,az4a,4,172.31.89.192,48004,172.31.22.211,48104
1,4,az2b,az4a,5,172.31.89.192,48005,172.31.22.211,48105
1,4,az2b,az4a,6,172.31.89.192,48006,172.31.22.211,48106
1,4,az2b,az4a,7,172.31.89.192,48007,172.31.22.211,48107
1,4,az2b,az4a,8,172.31.89.192,48008,172.31.22.211,48108
1,4,az2b,az4a,9,172.31.89.192,48009,172.31.22.211,48109
1,4,az2b,az4a,10,172.31.89.192,48010,172.31.22.211,48110
1,4,az2b,az4a,11,172.31.89.192,48011,172.31.22.211,48111
1,4,az2b,az4a,12,172.31.89.192,48012,172.31.22.211,48112
1,4,az2b,az4a,13,172.31.89.192,48013,172.31.22.211,48113
1,4,az2b,az4a,14,172.31.89.192,48014,172.31.22.211,48114
1,4,az2b,az4a,15,172.31.89.192,48015,172.31.22.211,48115
1,5,az2b,az4b,0,172.31.89.192,48000,172.31.30.6,48100
1,5,az2b,az4b,1,172.31.89.192,48001,172.31.30.6,48101
1,5,az2b,az4b,2,172.31.89.192,48002,172.31.30.6,48102
1,5,az2b,az4b,3,172.31.89.192,48003,172.31.30.6,48103
1,5,az2b,az4b,4,172.31.89.192,48004,172.31.30.6,48104
1,5,az2b,az4b,5,172.31.89.192,48005,172.31.30.6,48105
1,5,az2b,az4b,6,172.31.89.192,48006,172.31.30.6,48106
1,5,az2b,az4b,7,172.31.89.192,48007,172.31.30.6,48107
1,5,az2b,az4b,8,172.31.89.192,48008,172.31.30.6,48108
1,5,az2b,az4b,9,172.31.89.192,48009,172.31.30.6,48109
1,5,az2b,az4b,10,172.31.89.192,48010,172.31.30.6,48110
1,5,az2b,az4b,11,172.31.89.192,48011,172.31.30.6,48111
1,5,az2b,az4b,12,172.31.89.192,48012,172.31.30.6,48112
1,5,az2b,az4b,13,172.31.89.192,48013,172.31.30.6,48113
1,5,az2b,az4b,14,172.31.89.192,48014,172.31.30.6,48114
1,5,az2b,az4b,15,172.31.89.192,48015,172.31.30.6,48115
1,6,az2b,az4c,0,172.31.89.192,48000,172.31.21.12,48100
1,6,az2b,az4c,1,172.31.89.192,48001,172.31.21.12,48101
1,6,az2b,az4c,2,172.31.89.192,48002,172.31.21.12,48102
1,6,az2b,az4c,3,172.31.89.192,48003,172.31.21.12,48103
1,6,az2b,az4c,4,172.31.89.192,48004,172.31.21.12,48104
1,6,az2b,az4c,5,172.31.89.192,48005,172.31.21.12,48105
1,6,az2b,az4c,6,172.31.89.192,48006,172.31.21.12,48106
1,6,az2b,az4c,7,172.31.89.192,48007,172.31.21.12,48107
1,6,az2b,az4c,8,172.31.89.192,48008,172.31.21.12,48108
1,6,az2b,az4c,9,172.31.89.192,48009,172.31.21.12,48109
1,6,az2b,az4c,10,172.31.89.192,48010,172.31.21.12,48110
1,6,az2b,az4c,11,172.31.89.192,48011,172.31.21.12,48111
1,6,az2b,az4c,12,172.31.89.192,48012,172.31.21.12,48112
1,6,az2b,az4c,13,172.31.89.192,48013,172.31.21.12,48113
1,6,az2b,az4c,14,172.31.89.192,48014,172.31.21.12,48114
1,6,az2b,az4c,15,172.31.89.192,48015,172.31.21.12,48115
1,7,az2b,az4d,0,172.31.89.192,48000,172.31.27.48,48100
1,7,az2b,az4d,1,172.31.89.192,48001,172.31.27.48,48101
1,7,az2b,az4d,2,172.31.89.192,48002,172.31.27.48,48102
1,7,az2b,az4d,3,172.31.89.192,48003,172.31.27.48,48103
1,7,az2b,az4d,4,172.31.89.192,48004,172.31.27.48,48104
1,7,az2b,az4d,5,172.31.89.192,48005,172.31.27.48,48105
1,7,az2b,az4d,6,172.31.89.192,48006,172.31.27.48,48106
1,7,az2b,az4d,7,172.31.89.192,48007,172.31.27.48,48107
1,7,az2b,az4d,8,172.31.89.192,48008,172.31.27.48,48108
1,7,az2b,az4d,9,172.31.89.192,48009,172.31.27.48,48109
1,7,az2b,az4d,10,172.31.89.192,48010,172.31.27.48,48110
1,7,az2b,az4d,11,172.31.89.192,48011,172.31.27.48,48111
1,7,az2b,az4d,12,172.31.89.192,48012,172.31.27.48,48112
1,7,az2b,az4d,13,172.31.89.192,48013,172.31.27.48,48113
1,7,az2b,az4d,14,172.31.89.192,48014,172.31.27.48,48114
1,7,az2b,az4d,15,172.31.89.192,48015,172.31.27.48,48115
2,4,az2c,az4a,0,172.31.90.75,48000,172.31.22.211,48100
2,4,az2c,az4a,1,172.31.90.75,48001,172.31.22.211,48101
2,4,az2c,az4a,2,172.31.90.75,48002,172.31.22.211,48102
2,4,az2c,az4a,3,172.31.90.75,48003,172.31.22.211,48103
2,4,az2c,az4a,4,172.31.90.75,48004,172.31.22.211,48104
2,4,az2c,az4a,5,172.31.90.75,48005,172.31.22.211,48105
2,4,az2c,az4a,6,172.31.90.75,48006,172.31.22.211,48106
2,4,az2c,az4a,7,172.31.90.75,48007,172.31.22.211,48107
2,4,az2c,az4a,8,172.31.90.75,48008,172.31.22.211,48108
2,4,az2c,az4a,9,172.31.90.75,48009,172.31.22.211,48109
2,4,az2c,az4a,10,172.31.90.75,48010,172.31.22.211,48110
2,4,az2c,az4a,11,172.31.90.75,48011,172.31.22.211,48111
2,4,az2c,az4a,12,172.31.90.75,48012,172.31.22.211,48112
2,4,az2c,az4a,13,172.31.90.75,48013,172.31.22.211,48113
2,4,az2c,az4a,14,172.31.90.75,48014,172.31.22.211,48114
2,4,az2c,az4a,15,172.31.90.75,48015,172.31.22.211,48115
2,5,az2c,az4b,0,172.31.90.75,48000,172.31.30.6,48100
2,5,az2c,az4b,1,172.31.90.75,48001,172.31.30.6,48101
2,5,az2c,az4b,2,172.31.90.75,48002,172.31.30.6,48102
2,5,az2c,az4b,3,172.31.90.75,48003,172.31.30.6,48103
2,5,az2c,az4b,4,172.31.90.75,48004,172.31.30.6,48104
2,5,az2c,az4b,5,172.31.90.75,48005,172.31.30.6,48105
2,5,az2c,az4b,6,172.31.90.75,48006,172.31.30.6,48106
2,5,az2c,az4b,7,172.31.90.75,48007,172.31.30.6,48107
2,5,az2c,az4b,8,172.31.90.75,48008,172.31.30.6,48108
2,5,az2c,az4b,9,172.31.90.75,48009,172.31.30.6,48109
2,5,az2c,az4b,10,172.31.90.75,48010,172.31.30.6,48110
2,5,az2c,az4b,11,172.31.90.75,48011,172.31.30.6,48111
2,5,az2c,az4b,12,172.31.90.75,48012,172.31.30.6,48112
2,5,az2c,az4b,13,172.31.90.75,48013,172.31.30.6,48113
2,5,az2c,az4b,14,172.31.90.75,48014,172.31.30.6,48114
2,5,az2c,az4b,15,172.31.90.75,48015,172.31.30.6,48115
2,6,az2c,az4c,0,172.31.90.75,48000,172.31.21.12,48100
2,6,az2c,az4c,1,172.31.90.75,48001,172.31.21.12,48101
2,6,az2c,az4c,2,172.31.90.75,48002,172.31.21.12,48102
2,6,az2c,az4c,3,172.31.90.75,48003,172.31.21.12,48103
2,6,az2c,az4c,4,172.31.90.75,48004,172.31.21.12,48104
2,6,az2c,az4c,5,172.31.90.75,48005,172.31.21.12,48105
2,6,az2c,az4c,6,172.31.90.75,48006,172.31.21.12,48106
2,6,az2c,az4c,7,172.31.90.75,48007,172.31.21.12,48107
2,6,az2c,az4c,8,172.31.90.75,48008,172.31.21.12,48108
2,6,az2c,az4c,9,172.31.90.75,48009,172.31.21.12,48109
2,6,az2c,az4c,10,172.31.90.75,48010,172.31.21.12,48110
2,6,az2c,az4c,11,172.31.90.75,48011,172.31.21.12,48111
2,6,az2c,az4c,12,172.31.90.75,48012,172.31.21.12,48112
2,6,az2c,az4c,13,172.31.90.75,48013,172.31.21.12,48113
2,6,az2c,az4c,14,172.31.90.75,48014,172.31.21.12,48114
2,6,az2c,az4c,15,172.31.90.75,48015,172.31.21.12,48115
2,7,az2c,az4d,0,172.31.90.75,48000,172.31.27.48,48100
2,7,az2c,az4d,1,172.31.90.75,48001,172.31.27.48,48101
2,7,az2c,az4d,2,172.31.90.75,48002,172.31.27.48,48102
2,7,az2c,az4d,3,172.31.90.75,48003,172.31.27.48,48103
2,7,az2c,az4d,4,172.31.90.75,48004,172.31.27.48,48104
2,7,az2c,az4d,5,172.31.90.75,48005,172.31.27.48,48105
2,7,az2c,az4d,6,172.31.90.75,48006,172.31.27.48,48106
2,7,az2c,az4d,7,172.31.90.75,48007,172.31.27.48,48107
2,7,az2c,az4d,8,172.31.90.75,48008,172.31.27.48,48108
2,7,az2c,az4d,9,172.31.90.75,48009,172.31.27.48,48109
2,7,az2c,az4d,10,172.31.90.75,48010,172.31.27.48,48110
2,7,az2c,az4d,11,172.31.90.75,48011,172.31.27.48,48111
2,7,az2c,az4d,12,172.31.90.75,48012,172.31.27.48,48112
2,7,az2c,az4d,13,172.31.90.75,48013,172.31.27.48,48113
2,7,az2c,az4d,14,172.31.90.75,48014,172.31.27.48,48114
2,7,az2c,az4d,15,172.31.90.75,48015,172.31.27.48,48115
3,4,az2d,az4a,0,172.31.89.61,48000,172.31.22.211,48100
3,4,az2d,az4a,1,172.31.89.61,48001,172.31.22.211,48101
3,4,az2d,az4a,2,172.31.89.61,48002,172.31.22.211,48102
3,4,az2d,az4a,3,172.31.89.61,48003,172.31.22.211,48103
3,4,az2d,az4a,4,172.31.89.61,48004,172.31.22.211,48104
3,4,az2d,az4a,5,172.31.89.61,48005,172.31.22.211,48105
3,4,az2d,az4a,6,172.31.89.61,48006,172.31.22.211,48106
3,4,az2d,az4a,7,172.31.89.61,48007,172.31.22.211,48107
3,4,az2d,az4a,8,172.31.89.61,48008,172.31.22.211,48108
3,4,az2d,az4a,9,172.31.89.61,48009,172.31.22.211,48109
3,4,az2d,az4a,10,172.31.89.61,48010,172.31.22.211,48110
3,4,az2d,az4a,11,172.31.89.61,48011,172.31.22.211,48111
3,4,az2d,az4a,12,172.31.89.61,48012,172.31.22.211,48112
3,4,az2d,az4a,13,172.31.89.61,48013,172.31.22.211,48113
3,4,az2d,az4a,14,172.31.89.61,48014,172.31.22.211,48114
3,4,az2d,az4a,15,172.31.89.61,48015,172.31.22.211,48115
3,5,az2d,az4b,0,172.31.89.61,48000,172.31.30.6,48100
3,5,az2d,az4b,1,172.31.89.61,48001,172.31.30.6,48101
3,5,az2d,az4b,2,172.31.89.61,48002,172.31.30.6,48102
3,5,az2d,az4b,3,172.31.89.61,48003,172.31.30.6,48103
3,5,az2d,az4b,4,172.31.89.61,48004,172.31.30.6,48104
3,5,az2d,az4b,5,172.31.89.61,48005,172.31.30.6,48105
3,5,az2d,az4b,6,172.31.89.61,48006,172.31.30.6,48106
3,5,az2d,az4b,7,172.31.89.61,48007,172.31.30.6,48107
3,5,az2d,az4b,8,172.31.89.61,48008,172.31.30.6,48108
3,5,az2d,az4b,9,172.31.89.61,48009,172.31.30.6,48109
3,5,az2d,az4b,10,172.31.89.61,48010,172.31.30.6,48110
3,5,az2d,az4b,11,172.31.89.61,48011,172.31.30.6,48111
3,5,az2d,az4b,12,172.31.89.61,48012,172.31.30.6,48112
3,5,az2d,az4b,13,172.31.89.61,48013,172.31.30.6,48113
