az_a,az_b,n,p50_us,p50_lo_us,p50_hi_us,p90_us,p90_lo_us,p90_hi_us,p99_us,p99_lo_us,p99_hi_us,min_us,max_us,p50_clock_only_lo_us,p50_clock_only_hi_us,positive_blocks,negative_blocks,blocks,block_p50_min_us,block_p50_max_us
1,1,12800,-5.443717088661739,-39.533990144344344,39.53383544694695,15.953708609551544,-37.42012528188188,42.87371018575576,22.18519507781822,-35.999352291809814,49.845699194998005,-479.31402577446215,298.4724779603722,-91.36090858979034,94.29053729469446,0,0,320,-17.22069795219158,22.177097590725637
1,2,51200,-5.280377358494803,-106.81161032317324,84.40827805080102,73.51713165699132,-20.704305830590698,171.85623785846855,119.29358959335025,28.839033511985296,222.1992962125054,-327.5197759192068,3062.4611040375266,-106.81161032317324,84.40827805080102,61,158,1280,-125.82488111408347,136.40600666360908
1,3,51000,-0.9108026449738702,-679.1026170997998,679.0909880978478,26.313433671601558,-586.9979843723625,705.5364466945346,50.41275703798471,-494.3736435807397,716.8659884788339,-143.4457039272939,3266.7749727912287,-990.5894562778781,937.2462149531156,0,0,1275,-125.29815930805658,125.47444139378318
1,4,51000,7.727251003698683,-93.8498734861361,99.50902811131101,35.58396277255052,-67.14461053594569,126.27234618030025,63.53774415724879,-44.73410713652718,149.6199077941253,-121.71191226469355,336.5838351809105,-93.8498734861361,99.50902811131101,0,0,1275,-64.05014297790326,80.27108349719644
1,5,51200,2.547568920509619,-95.6302320896897,95.85393297527517,31.430768382538364,-63.653120398678915,127.82637002349344,51.18340040390555,-40.34576474956555,154.29819408452755,-169.16153822957423,99.6708296395745,-95.6302320896897,95.85393297527517,0,0,1280,-51.49966738618002,57.56362467228226
1,6,51000,3.720711238685766,-96.59909770510528,98.02900222447502,21.51856716848923,-73.67964764421416,119.30031349131171,30.962779791756095,-63.16001279639037,128.970919946852,-216.27953188603925,123.67090761046157,-96.59909770510528,98.02900222447502,0,0,1275,-43.76549897511373,34.26154448928416
2,2,12800,-7.448336391204734,-41.158403953203205,41.158403953203205,18.356852741547815,-38.794654027697696,44.707981531601604,29.39565588389817,-37.317315136994,51.109963160388396,-72.3563802108767,50.57041086576507,-96.58138203333388,95.37677880685729,0,0,320,-19.078288774326968,29.055993409234098
2,3,51200,0.5778447797727608,-809.3614659737237,810.6290047988489,41.84034958112027,-725.4568405200308,858.6181235266166,105.12261526807018,-656.4986918645665,876.9559774276527,-167.97463271920248,186.19058694810235,-971.8887046420607,946.2419754831514,0,0,1280,-147.61563508237947,133.95447742592435
2,4,51200,2.973570850566901,-98.11016632547566,94.16768159589584,29.383415355209607,-71.56203058032008,121.78421028701686,61.58086113358703,-45.317829922145215,147.2243930681721,-173.02961934913134,140.50069546571012,-98.11016632547566,94.16768159589584,0,0,1280,-77.40420271145109,85.72100111096375
2,5,51200,2.2636209018172195,-98.36384293913969,96.9105672138131,18.520193696065842,-73.83375668704664,118.68329543613585,29.107733485656176,-62.64991129292931,129.89556177843335,-1548.4329254528348,229.59375533995242,-98.36384293913969,96.9105672138131,0,0,1280,-37.84050889732482,32.23756169873007
2,6,51200,3.8438284932226168,-95.56578022047029,96.66073755600601,156.79684622409874,57.833169985846006,250.4931042780279,199.97808199431987,101.57261882738831,290.69797001233894,-238.69111089428657,232.78037354246874,-95.56578022047029,96.66073755600601,270,225,1280,-220.60239440331188,217.6722898195033
3,3,12800,0.7765594061249868,-63.43433920320321,63.43433920320321,6.134768563699258,-59.64913245604605,67.7819783454054,10.426888146744272,-57.128368854746746,74.98046067275277,-117.96606462763647,108.46392373488494,-1861.733308232049,1861.5229813368992,0,0,320,-8.146381164643447,8.610836274629923
3,4,51200,-7.564289097064744,-714.4319624257757,714.281397254905,21.892756070043802,-690.1304088514314,732.9258577629129,55.47921060690245,-631.5805689507988,750.8476892117588,-244.01079708281043,775.7213523151779,-968.1198102027661,936.8896386864702,0,0,1280,-128.6756698270114,70.53557589970438
3,5,51200,-9.028984292103274,-467.4848799602102,467.4842990983984,2.000861819716618,-460.33532198710714,474.4332199905706,7.048468170477648,-457.73793673835934,479.494087177981,-1041.155310750607,65.13124085603556,-986.5808785317499,974.7051793249876,0,0,1280,-26.76536562231115,7.80980117984231
3,6,51200,-5.615033491316481,-542.6633570492493,542.5170489204704,27.527995504985764,-335.83302172053055,605.9278561975175,39.85681422087747,-324.00009955269667,623.0736160743844,-4199.878692154336,69.36407291887627,-974.1490100362926,971.632960960422,0,0,1280,-67.59738472496252,46.72674295191608
