instance,type,launch,completion,elapsed_seconds,usd_per_hour,modeled_compute_usd
i-0010fe48978ce80a3,m7i.xlarge,2026-09-25T00:53:12+00:00,1790299066.6186578,1474.6186578273773,0.2016,0.08257864483833313
i-0e27443e03f60cfd3,m7i.xlarge,2026-09-25T00:53:33+00:00,1790299066.2941716,1453.2941715717316,0.2016,0.08138447360801697
i-04656ae92e902feac,m7i.xlarge,2026-09-25T00:53:55+00:00,1790299067.0013034,1432.001303434372,0.2016,0.08019207299232482
i-0c2c51206750da224,m7i.xlarge,2026-09-25T00:54:18+00:00,1790299066.629648,1408.6296479701996,0.2016,0.07888326028633118
i-0f78ad6cf6192909e,i4i.xlarge,2026-09-25T00:54:37+00:00,1790299067.4095807,1390.40958070755,0.343,0.13247513505074712
i-055f1a92a56781e0c,i4i.xlarge,2026-09-25T00:54:58+00:00,1790299067.4755309,1369.4755308628082,0.343,0.1304805853016509
i-0239a979abd3b4596,m7i.xlarge,2026-09-25T00:55:22+00:00,1790299066.6501868,1344.6501867771149,0.2016,0.07530041045951844
i-0ebc44619062c30ac,m7i.xlarge,2026-09-25T00:55:46+00:00,1790299066.8187447,1320.8187446594238,0.2016,0.07396584970092773
i-021c5fdd5abd02517,m7i.xlarge,2026-09-25T00:56:13+00:00,1790299066.2965813,1293.2965812683105,0.2016,0.0724246085510254
i-00a66e21845ea29f1,m7i.xlarge,2026-09-25T00:56:41+00:00,1790299067.441024,1266.4410240650177,0.2016,0.07092069734764099
i-0bd90c0f9b9573842,m7i.xlarge,2026-09-25T00:57:09+00:00,1790299067.137854,1238.1378540992737,0.2016,0.06933571982955933
i-01cdc872a3a5f4b81,m7i.xlarge,2026-09-25T00:57:39+00:00,1790299066.38141,1207.3814098834991,0.2016,0.06761335895347595
