node,counter,before,after,delta
0,bw_in_allowance_exceeded,0,0,0
0,bw_out_allowance_exceeded,0,0,0
0,pps_allowance_exceeded,0,0,0
0,conntrack_allowance_exceeded,0,0,0
0,linklocal_allowance_exceeded,0,0,0
0,conntrack_allowance_available,273595,268144,-5451
0,phc_cnt,0,27489,27489
0,phc_exp,0,1,1
0,phc_skp,0,0,0
0,phc_err_dv,0,0,0
0,phc_err_ts,0,0,0
0,phc_err_eb,0,0,0
0,queue_0_rx_xdp_drop,0,0,0
0,queue_1_rx_xdp_drop,0,0,0
1,bw_in_allowance_exceeded,0,0,0
1,bw_out_allowance_exceeded,0,0,0
1,pps_allowance_exceeded,0,0,0
1,conntrack_allowance_exceeded,0,0,0
1,linklocal_allowance_exceeded,0,0,0
1,conntrack_allowance_available,273599,272494,-1105
1,phc_cnt,0,27059,27059
1,phc_exp,0,0,0
1,phc_skp,0,0,0
1,phc_err_dv,0,0,0
1,phc_err_ts,0,0,0
1,phc_err_eb,0,0,0
1,queue_0_rx_xdp_drop,0,0,0
1,queue_1_rx_xdp_drop,0,0,0
2,bw_in_allowance_exceeded,0,0,0
2,bw_out_allowance_exceeded,0,0,0
2,pps_allowance_exceeded,0,0,0
2,conntrack_allowance_exceeded,0,0,0
2,linklocal_allowance_exceeded,0,0,0
2,conntrack_allowance_available,273603,272499,-1104
2,phc_cnt,0,26497,26497
2,phc_exp,0,3,3
2,phc_skp,0,0,0
2,phc_err_dv,0,0,0
2,phc_err_ts,0,0,0
2,phc_err_eb,0,0,0
2,queue_0_rx_xdp_drop,0,0,0
2,queue_1_rx_xdp_drop,0,0,0
3,bw_in_allowance_exceeded,0,0,0
3,bw_out_allowance_exceeded,0,0,0
3,pps_allowance_exceeded,0,0,0
3,conntrack_allowance_exceeded,0,0,0
3,linklocal_allowance_exceeded,0,0,0
3,conntrack_allowance_available,273575,272511,-1064
3,phc_cnt,0,26050,26050
3,phc_exp,0,2,2
3,phc_skp,0,0,0
3,phc_err_dv,0,0,0
3,phc_err_ts,0,0,0
3,phc_err_eb,0,0,0
3,queue_0_rx_xdp_drop,0,0,0
3,queue_1_rx_xdp_drop,0,0,0
4,bw_in_allowance_exceeded,0,0,0
4,bw_out_allowance_exceeded,0,0,0
4,pps_allowance_exceeded,0,0,0
4,conntrack_allowance_exceeded,0,0,0
4,linklocal_allowance_exceeded,0,0,0
4,conntrack_allowance_available,150751,149702,-1049
4,queue_0_rx_xdp_drop,0,0,0
4,queue_1_rx_xdp_drop,0,0,0
5,bw_in_allowance_exceeded,0,0,0
5,bw_out_allowance_exceeded,0,0,0
5,pps_allowance_exceeded,0,0,0
5,conntrack_allowance_exceeded,0,0,0
5,linklocal_allowance_exceeded,0,0,0
5,conntrack_allowance_available,150752,149619,-1133
5,queue_0_rx_xdp_drop,0,0,0
5,queue_1_rx_xdp_drop,0,0,0
6,bw_in_allowance_exceeded,0,0,0
6,bw_out_allowance_exceeded,0,0,0
6,pps_allowance_exceeded,0,0,0
6,conntrack_allowance_exceeded,0,0,0
6,linklocal_allowance_exceeded,0,0,0
6,conntrack_allowance_available,273582,272481,-1101
6,phc_cnt,0,24824,24824
6,phc_exp,0,0,0
6,phc_skp,0,0,0
6,phc_err_dv,0,0,0
6,phc_err_ts,0,0,0
6,phc_err_eb,0,0,0
6,queue_0_rx_xdp_drop,0,0,0
6,queue_1_rx_xdp_drop,0,0,0
7,bw_in_allowance_exceeded,0,0,0
7,bw_out_allowance_exceeded,0,0,0
7,pps_allowance_exceeded,0,0,0
7,conntrack_allowance_exceeded,0,0,0
7,linklocal_allowance_exceeded,0,0,0
7,conntrack_allowance_available,273580,272483,-1097
7,phc_cnt,0,24293,24293
7,phc_exp,0,3,3
7,phc_skp,0,0,0
7,phc_err_dv,0,0,0
7,phc_err_ts,0,0,0
7,phc_err_eb,0,0,0
7,queue_0_rx_xdp_drop,0,0,0
7,queue_1_rx_xdp_drop,0,0,0
8,bw_in_allowance_exceeded,0,0,0
8,bw_out_allowance_exceeded,0,0,0
8,pps_allowance_exceeded,0,0,0
8,conntrack_allowance_exceeded,0,0,0
8,linklocal_allowance_exceeded,0,0,0
8,conntrack_allowance_available,273587,272478,-1109
8,phc_cnt,0,23960,23960
8,phc_exp,0,1,1
8,phc_skp,0,0,0
8,phc_err_dv,0,0,0
8,phc_err_ts,0,0,0
8,phc_err_eb,0,0,0
8,queue_0_rx_xdp_drop,0,0,0
8,queue_1_rx_xdp_drop,0,0,0
9,bw_in_allowance_exceeded,0,0,0
9,bw_out_allowance_exceeded,0,0,0
9,pps_allowance_exceeded,0,0,0
9,conntrack_allowance_exceeded,0,0,0
9,linklocal_allowance_exceeded,0,0,0
9,conntrack_allowance_available,273592,272480,-1112
9,phc_cnt,0,23213,23213
9,phc_exp,0,1,1
9,phc_skp,0,0,0
9,phc_err_dv,0,0,0
9,phc_err_ts,0,0,0
9,phc_err_eb,0,0,0
9,queue_0_rx_xdp_drop,0,0,0
9,queue_1_rx_xdp_drop,0,0,0
10,bw_in_allowance_exceeded,0,0,0
10,bw_out_allowance_exceeded,0,0,0
10,pps_allowance_exceeded,0,0,0
10,conntrack_allowance_exceeded,0,0,0
10,linklocal_allowance_exceeded,0,0,0
10,conntrack_allowance_available,273602,272478,-1124
10,phc_cnt,0,22555,22555
10,phc_exp,0,1,1
10,phc_skp,0,0,0
10,phc_err_dv,0,0,0
10,phc_err_ts,0,0,0
10,phc_err_eb,0,0,0
10,queue_0_rx_xdp_drop,0,0,0
10,queue_1_rx_xdp_drop,0,0,0
11,bw_in_allowance_exceeded,0,0,0
11,bw_out_allowance_exceeded,0,0,0
11,pps_allowance_exceeded,0,0,0
11,conntrack_allowance_exceeded,0,0,0
11,linklocal_allowance_exceeded,0,0,0
11,conntrack_allowance_available,273583,272451,-1132
11,phc_cnt,0,22106,22106
11,phc_exp,0,0,0
11,phc_skp,0,0,0
11,phc_err_dv,0,0,0
11,phc_err_ts,0,0,0
11,phc_err_eb,0,0,0
11,queue_0_rx_xdp_drop,0,0,0
11,queue_1_rx_xdp_drop,0,0,0
