case,layout,tiles,stride,repetition,sweeps,nanoseconds,ns_per_tile,checksum
author_A_inline,contiguous,4096,32,0,2048,32623811,3.88906,200052736
author_A_inline,contiguous,4096,32,1,2048,32551416,3.88043,200052736
author_A_inline,contiguous,4096,32,2,2048,32539667,3.87903,200052736
author_A_inline,contiguous,4096,32,3,2048,32516493,3.87627,200052736
author_A_inline,contiguous,4096,32,4,2048,32541490,3.87925,200052736
author_B_inline,contiguous,4096,32,0,2048,32520592,3.87676,200052736
author_B_inline,contiguous,4096,32,1,2048,32602763,3.88655,200052736
author_B_inline,contiguous,4096,32,2,2048,32522239,3.87695,200052736
author_B_inline,contiguous,4096,32,3,2048,32529998,3.87788,200052736
author_B_inline,contiguous,4096,32,4,2048,32501015,3.87442,200052736
cps_separate,contiguous,4096,32,0,2048,37357655,4.45338,200052736
cps_separate,contiguous,4096,32,1,2048,37357046,4.45331,200052736
cps_separate,contiguous,4096,32,2,2048,37399877,4.45841,200052736
cps_separate,contiguous,4096,32,3,2048,37549885,4.4763,200052736
cps_separate,contiguous,4096,32,4,2048,37359658,4.45362,200052736
cps_load_features_fused,contiguous,4096,32,0,2048,37300420,4.44656,200052736
cps_load_features_fused,contiguous,4096,32,1,2048,37327872,4.44983,200052736
cps_load_features_fused,contiguous,4096,32,2,2048,37258837,4.4416,200052736
cps_load_features_fused,contiguous,4096,32,3,2048,37310055,4.44771,200052736
cps_load_features_fused,contiguous,4096,32,4,2048,37315881,4.4484,200052736
features2,contiguous,4096,32,0,4096,30313490,1.80682,114528955990016
features2,contiguous,4096,32,1,4096,30326872,1.80762,114528955990016
features2,contiguous,4096,32,2,4096,30315716,1.80696,114528955990016
features2,contiguous,4096,32,3,4096,30315896,1.80697,114528955990016
features2,contiguous,4096,32,4,4096,30321110,1.80728,114528955990016
features3_transitions,contiguous,4096,32,0,2048,23298495,2.7774,57421815775232
features3_transitions,contiguous,4096,32,1,2048,23289918,2.77637,57421815775232
features3_transitions,contiguous,4096,32,2,2048,23281201,2.77534,57421815775232
features3_transitions,contiguous,4096,32,3,2048,23286944,2.77602,57421815775232
features3_transitions,contiguous,4096,32,4,2048,23318523,2.77978,57421815775232
features4_quadrants,contiguous,4096,32,0,2048,32999161,3.93381,11269829078974464
features4_quadrants,contiguous,4096,32,1,2048,32984635,3.93207,11269829078974464
features4_quadrants,contiguous,4096,32,2,2048,32995752,3.9334,11269829078974464
features4_quadrants,contiguous,4096,32,3,2048,33002815,3.93424,11269829078974464
features4_quadrants,contiguous,4096,32,4,2048,32986319,3.93228,11269829078974464
predict2,contiguous,4096,32,0,2048,32532303,3.87815,200052736
predict2,contiguous,4096,32,1,2048,32520808,3.87678,200052736
predict2,contiguous,4096,32,2,2048,32526260,3.87743,200052736
predict2,contiguous,4096,32,3,2048,32516787,3.8763,200052736
predict2,contiguous,4096,32,4,2048,32522039,3.87693,200052736
predict3_transitions,contiguous,4096,32,0,1024,22782789,5.43184,104639488
predict3_transitions,contiguous,4096,32,1,1024,22777313,5.43053,104639488
predict3_transitions,contiguous,4096,32,2,1024,22767107,5.4281,104639488
predict3_transitions,contiguous,4096,32,3,1024,22773646,5.42966,104639488
predict3_transitions,contiguous,4096,32,4,1024,22777858,5.43066,104639488
predict4_quadrants,contiguous,4096,32,0,1024,34001851,8.10667,104266752
predict4_quadrants,contiguous,4096,32,1,1024,34007455,8.10801,104266752
predict4_quadrants,contiguous,4096,32,2,1024,34026066,8.11245,104266752
predict4_quadrants,contiguous,4096,32,3,1024,34003538,8.10708,104266752
predict4_quadrants,contiguous,4096,32,4,1024,34026058,8.11244,104266752
features2_512grain,contiguous,4096,32,0,2048,21697947,2.5866,57264477995008
features2_512grain,contiguous,4096,32,1,2048,21695088,2.58626,57264477995008
features2_512grain,contiguous,4096,32,2,2048,21693329,2.58605,57264477995008
features2_512grain,contiguous,4096,32,3,2048,21695277,2.58628,57264477995008
features2_512grain,contiguous,4096,32,4,2048,21706180,2.58758,57264477995008
author_A_inline,stride48,4096,48,0,2048,32021295,3.81724,200052736
author_A_inline,stride48,4096,48,1,2048,31970141,3.81114,200052736
author_A_inline,stride48,4096,48,2,2048,31971045,3.81125,200052736
author_A_inline,stride48,4096,48,3,2048,31957950,3.80968,200052736
author_A_inline,stride48,4096,48,4,2048,31962916,3.81028,200052736
author_B_inline,stride48,4096,48,0,2048,31946689,3.80834,200052736
author_B_inline,stride48,4096,48,1,2048,31956977,3.80957,200052736
author_B_inline,stride48,4096,48,2,2048,31961093,3.81006,200052736
author_B_inline,stride48,4096,48,3,2048,31942629,3.80786,200052736
author_B_inline,stride48,4096,48,4,2048,31965199,3.81055,200052736
cps_separate,stride48,4096,48,0,2048,36634716,4.3672,200052736
cps_separate,stride48,4096,48,1,2048,36596093,4.36259,200052736
cps_separate,stride48,4096,48,2,2048,36597945,4.36282,200052736
cps_separate,stride48,4096,48,3,2048,36604427,4.36359,200052736
cps_separate,stride48,4096,48,4,2048,36597546,4.36277,200052736
cps_load_features_fused,stride48,4096,48,0,2048,36451256,4.34533,200052736
cps_load_features_fused,stride48,4096,48,1,2048,36474716,4.34812,200052736
cps_load_features_fused,stride48,4096,48,2,2048,36518671,4.35336,200052736
cps_load_features_fused,stride48,4096,48,3,2048,36467331,4.34724,200052736
cps_load_features_fused,stride48,4096,48,4,2048,36459845,4.34635,200052736
features2,stride48,4096,48,0,4096,29744726,1.77292,114528955990016
features2,stride48,4096,48,1,4096,29833564,1.77822,114528955990016
features2,stride48,4096,48,2,4096,29746806,1.77305,114528955990016
features2,stride48,4096,48,3,4096,29728182,1.77194,114528955990016
features2,stride48,4096,48,4,4096,29716479,1.77124,114528955990016
features3_transitions,stride48,4096,48,0,2048,22991805,2.74084,57421815775232
features3_transitions,stride48,4096,48,1,2048,22975111,2.73885,57421815775232
features3_transitions,stride48,4096,48,2,2048,23025152,2.74481,57421815775232
features3_transitions,stride48,4096,48,3,2048,22993445,2.74103,57421815775232
features3_transitions,stride48,4096,48,4,2048,22988393,2.74043,57421815775232
features4_quadrants,stride48,4096,48,0,2048,32830602,3.91371,11269829078974464
features4_quadrants,stride48,4096,48,1,2048,32845589,3.9155,11269829078974464
features4_quadrants,stride48,4096,48,2,2048,32862963,3.91757,11269829078974464
features4_quadrants,stride48,4096,48,3,2048,32827942,3.9134,11269829078974464
features4_quadrants,stride48,4096,48,4,2048,32833630,3.91407,11269829078974464
predict2,stride48,4096,48,0,2048,31945678,3.80822,200052736
