corpus,operation,cells,rounds,repetition,cells_per_call,ns_per_cell
uniform,bec_encode,1028,972,0,1,24.483382972
uniform,bec_encode,1028,972,1,1,24.487275024
uniform,bec_encode,1028,972,2,1,24.482528302
uniform,bec_encode,1028,972,3,1,24.477855639
uniform,bec_encode,1028,972,4,1,24.460396951
uniform,calico_encode,1028,972,0,1,45.846526677
uniform,calico_encode,1028,972,1,1,45.851313430
uniform,calico_encode,1028,972,2,1,45.862518214
uniform,calico_encode,1028,972,3,1,45.885434180
uniform,calico_encode,1028,972,4,1,45.877489952
uniform,calico_p2_encode,1028,972,0,1,35.036537646
uniform,calico_p2_encode,1028,972,1,1,35.028528366
uniform,calico_p2_encode,1028,972,2,1,36.382064539
uniform,calico_p2_encode,1028,972,3,1,38.739922099
uniform,calico_p2_encode,1028,972,4,1,35.573438576
uniform,bec_decode,1028,972,0,1,51.167011937
uniform,bec_decode,1028,972,1,1,48.906435646
uniform,bec_decode,1028,972,2,1,48.925098277
uniform,bec_decode,1028,972,3,1,48.907338353
uniform,bec_decode,1028,972,4,1,48.888009199
uniform,calico_decode,1028,972,0,1,79.467168260
uniform,calico_decode,1028,972,1,1,79.489550808
uniform,calico_decode,1028,972,2,1,79.452528783
uniform,calico_decode,1028,972,3,1,79.412181150
uniform,calico_decode,1028,972,4,1,79.480999103
uniform,bec_decode_x2,1028,972,0,2,29.793859886
uniform,bec_decode_x2,1028,972,1,2,29.945530296
uniform,bec_decode_x2,1028,972,2,2,29.802019283
uniform,bec_decode_x2,1028,972,3,2,29.898768635
uniform,bec_decode_x2,1028,972,4,2,29.797534767
uniform,calico_decode_x2,1028,972,0,2,42.998439276
uniform,calico_decode_x2,1028,972,1,2,43.060434881
uniform,calico_decode_x2,1028,972,2,2,43.008155894
uniform,calico_decode_x2,1028,972,3,2,42.984384257
uniform,calico_decode_x2,1028,972,4,2,42.982029911
run,bec_encode,1028,972,0,1,24.446449016
run,bec_encode,1028,972,1,1,24.465305800
run,bec_encode,1028,972,2,1,24.454310179
run,bec_encode,1028,972,3,1,24.455174857
run,bec_encode,1028,972,4,1,24.470694024
run,calico_encode,1028,972,0,1,46.540607837
run,calico_encode,1028,972,1,1,46.814125274
run,calico_encode,1028,972,2,1,46.563249588
run,calico_encode,1028,972,3,1,46.902928896
run,calico_encode,1028,972,4,1,46.584234039
run,calico_p2_encode,1028,972,0,1,34.597775656
run,calico_p2_encode,1028,972,1,1,34.519237082
run,calico_p2_encode,1028,972,2,1,34.493761109
run,calico_p2_encode,1028,972,3,1,34.447277666
run,calico_p2_encode,1028,972,4,1,34.637300644
run,bec_decode,1028,972,0,1,51.185033066
run,bec_decode,1028,972,1,1,48.893366399
run,bec_decode,1028,972,2,1,48.894033923
run,bec_decode,1028,972,3,1,48.877330827
run,bec_decode,1028,972,4,1,48.883201430
run,calico_decode,1028,972,0,1,79.117635226
run,calico_decode,1028,972,1,1,79.089139886
run,calico_decode,1028,972,2,1,79.049590879
run,calico_decode,1028,972,3,1,79.348368121
run,calico_decode,1028,972,4,1,79.079189084
run,bec_decode_x2,1028,972,0,2,29.796085631
run,bec_decode_x2,1028,972,1,2,29.790929589
run,bec_decode_x2,1028,972,2,2,29.793734788
run,bec_decode_x2,1028,972,3,2,29.836874109
run,bec_decode_x2,1028,972,4,2,29.851923908
run,calico_decode_x2,1028,972,0,2,42.991239632
run,calico_decode_x2,1028,972,1,2,43.005317669
run,calico_decode_x2,1028,972,2,2,43.035315687
run,calico_decode_x2,1028,972,3,2,42.995393388
run,calico_decode_x2,1028,972,4,2,42.987533226
msmarco-keyset--3/partial,bec_encode,1024,976,0,1,24.610785813
msmarco-keyset--3/partial,bec_encode,1024,976,1,1,24.626955126
msmarco-keyset--3/partial,bec_encode,1024,976,2,1,24.968584905
msmarco-keyset--3/partial,bec_encode,1024,976,3,1,24.618729388
msmarco-keyset--3/partial,bec_encode,1024,976,4,1,24.626913102
msmarco-keyset--3/partial,calico_encode,1024,976,0,1,46.359965340
msmarco-keyset--3/partial,calico_encode,1024,976,1,1,46.276739402
msmarco-keyset--3/partial,calico_encode,1024,976,2,1,46.267857286
msmarco-keyset--3/partial,calico_encode,1024,976,3,1,46.283389232
msmarco-keyset--3/partial,calico_encode,1024,976,4,1,46.398055280
msmarco-keyset--3/partial,calico_p2_encode,1024,976,0,1,34.891592557
msmarco-keyset--3/partial,calico_p2_encode,1024,976,1,1,34.913587226
msmarco-keyset--3/partial,calico_p2_encode,1024,976,2,1,34.862139592
msmarco-keyset--3/partial,calico_p2_encode,1024,976,3,1,34.904247847
msmarco-keyset--3/partial,calico_p2_encode,1024,976,4,1,35.061959689
msmarco-keyset--3/partial,bec_decode,1024,976,0,1,51.152625913
msmarco-keyset--3/partial,bec_decode,1024,976,1,1,48.913962442
msmarco-keyset--3/partial,bec_decode,1024,976,2,1,48.963912213
msmarco-keyset--3/partial,bec_decode,1024,976,3,1,48.922765513
msmarco-keyset--3/partial,bec_decode,1024,976,4,1,48.913597232
msmarco-keyset--3/partial,calico_decode,1024,976,0,1,79.256363665
msmarco-keyset--3/partial,calico_decode,1024,976,1,1,79.255292048
msmarco-keyset--3/partial,calico_decode,1024,976,2,1,79.214342461
msmarco-keyset--3/partial,calico_decode,1024,976,3,1,79.173267802
msmarco-keyset--3/partial,calico_decode,1024,976,4,1,79.253861224
msmarco-keyset--3/partial,bec_decode_x2,1024,976,0,2,29.811454898
msmarco-keyset--3/partial,bec_decode_x2,1024,976,1,2,29.785463927
msmarco-keyset--3/partial,bec_decode_x2,1024,976,2,2,29.792674080
msmarco-keyset--3/partial,bec_decode_x2,1024,976,3,2,29.793292937
msmarco-keyset--3/partial,bec_decode_x2,1024,976,4,2,29.793078313
msmarco-keyset--3/partial,calico_decode_x2,1024,976,0,2,43.008863605
msmarco-keyset--3/partial,calico_decode_x2,1024,976,1,2,43.082170830
msmarco-keyset--3/partial,calico_decode_x2,1024,976,2,2,43.223730369
msmarco-keyset--3/partial,calico_decode_x2,1024,976,3,2,43.060039583
msmarco-keyset--3/partial,calico_decode_x2,1024,976,4,2,43.089795222
msmarco-keyset--3/all,bec_encode,1024,976,0,1,24.574582960
msmarco-keyset--3/all,bec_encode,1024,976,1,1,24.553986096
msmarco-keyset--3/all,bec_encode,1024,976,2,1,24.599896540
msmarco-keyset--3/all,bec_encode,1024,976,3,1,24.605422723
msmarco-keyset--3/all,bec_encode,1024,976,4,1,24.642029809
msmarco-keyset--3/all,calico_encode,1024,976,0,1,46.328469198
msmarco-keyset--3/all,calico_encode,1024,976,1,1,46.317298764
msmarco-keyset--3/all,calico_encode,1024,976,2,1,46.323543361
msmarco-keyset--3/all,calico_encode,1024,976,3,1,46.329836986
msmarco-keyset--3/all,calico_encode,1024,976,4,1,46.316301189
msmarco-keyset--3/all,calico_p2_encode,1024,976,0,1,34.959265537
msmarco-keyset--3/all,calico_p2_encode,1024,976,1,1,34.962556433
msmarco-keyset--3/all,calico_p2_encode,1024,976,2,1,34.929906626
msmarco-keyset--3/all,calico_p2_encode,1024,976,3,1,34.925887311
msmarco-keyset--3/all,calico_p2_encode,1024,976,4,1,35.074263776
msmarco-keyset--3/all,bec_decode,1024,976,0,1,51.150055432
msmarco-keyset--3/all,bec_decode,1024,976,1,1,48.921496782
msmarco-keyset--3/all,bec_decode,1024,976,2,1,48.957161325
msmarco-keyset--3/all,bec_decode,1024,976,3,1,48.950120269
msmarco-keyset--3/all,bec_decode,1024,976,4,1,48.887551230
msmarco-keyset--3/all,calico_decode,1024,976,0,1,79.240508533
msmarco-keyset--3/all,calico_decode,1024,976,1,1,79.329544818
msmarco-keyset--3/all,calico_decode,1024,976,2,1,79.202208472
msmarco-keyset--3/all,calico_decode,1024,976,3,1,79.135950307
msmarco-keyset--3/all,calico_decode,1024,976,4,1,79.161157827
msmarco-keyset--3/all,bec_decode_x2,1024,976,0,2,29.804884113
msmarco-keyset--3/all,bec_decode_x2,1024,976,1,2,29.787161405
msmarco-keyset--3/all,bec_decode_x2,1024,976,2,2,29.806716169
msmarco-keyset--3/all,bec_decode_x2,1024,976,3,2,29.792147777
msmarco-keyset--3/all,bec_decode_x2,1024,976,4,2,29.798350850
msmarco-keyset--3/all,calico_decode_x2,1024,976,0,2,43.006948002
msmarco-keyset--3/all,calico_decode_x2,1024,976,1,2,42.992972452
msmarco-keyset--3/all,calico_decode_x2,1024,976,2,2,43.014145648
msmarco-keyset--3/all,calico_decode_x2,1024,976,3,2,43.026454738
msmarco-keyset--3/all,calico_decode_x2,1024,976,4,2,42.990717653
msmarco-keyset--a/partial,bec_encode,1023,977,0,1,24.599863328
msmarco-keyset--a/partial,bec_encode,1023,977,1,1,24.607909584
msmarco-keyset--a/partial,bec_encode,1023,977,2,1,24.628016221
msmarco-keyset--a/partial,bec_encode,1023,977,3,1,24.595143831
msmarco-keyset--a/partial,bec_encode,1023,977,4,1,24.591667992
msmarco-keyset--a/partial,calico_encode,1023,977,0,1,45.787391530
msmarco-keyset--a/partial,calico_encode,1023,977,1,1,45.791522716
msmarco-keyset--a/partial,calico_encode,1023,977,2,1,45.795844001
msmarco-keyset--a/partial,calico_encode,1023,977,3,1,45.765164772
msmarco-keyset--a/partial,calico_encode,1023,977,4,1,45.764359346
msmarco-keyset--a/partial,calico_p2_encode,1023,977,0,1,35.093189297
msmarco-keyset--a/partial,calico_p2_encode,1023,977,1,1,35.381703921
msmarco-keyset--a/partial,calico_p2_encode,1023,977,2,1,35.244342257
msmarco-keyset--a/partial,calico_p2_encode,1023,977,3,1,35.096797206
