case,layout,tiles,stride,repetition,sweeps,nanoseconds,ns_per_tile,checksum
author_A_inline,contiguous,4096,32,0,2048,30191533,3.59911,200052736
author_A_inline,contiguous,4096,32,1,2048,30190676,3.59901,200052736
author_A_inline,contiguous,4096,32,2,2048,30179391,3.59766,200052736
author_A_inline,contiguous,4096,32,3,2048,30183614,3.59817,200052736
author_A_inline,contiguous,4096,32,4,2048,30219716,3.60247,200052736
author_B_inline,contiguous,4096,32,0,2048,30261855,3.60749,200052736
author_B_inline,contiguous,4096,32,1,2048,30210108,3.60133,200052736
author_B_inline,contiguous,4096,32,2,2048,30200270,3.60015,200052736
author_B_inline,contiguous,4096,32,3,2048,30259858,3.60726,200052736
author_B_inline,contiguous,4096,32,4,2048,30202469,3.60041,200052736
cps_separate,contiguous,4096,32,0,2048,36387240,4.3377,200052736
cps_separate,contiguous,4096,32,1,2048,36375658,4.33632,200052736
cps_separate,contiguous,4096,32,2,2048,36484185,4.34925,200052736
cps_separate,contiguous,4096,32,3,2048,36391066,4.33815,200052736
cps_separate,contiguous,4096,32,4,2048,36405979,4.33993,200052736
cps_load_features_fused,contiguous,4096,32,0,2048,35419322,4.22231,200052736
cps_load_features_fused,contiguous,4096,32,1,2048,35408318,4.221,200052736
cps_load_features_fused,contiguous,4096,32,2,2048,35426633,4.22318,200052736
cps_load_features_fused,contiguous,4096,32,3,2048,35422977,4.22275,200052736
cps_load_features_fused,contiguous,4096,32,4,2048,35429013,4.22347,200052736
features2,contiguous,4096,32,0,4096,36111501,2.15241,114528955990016
features2,contiguous,4096,32,1,4096,36095505,2.15146,114528955990016
features2,contiguous,4096,32,2,4096,36110560,2.15236,114528955990016
features2,contiguous,4096,32,3,4096,36109296,2.15228,114528955990016
features2,contiguous,4096,32,4,4096,36094507,2.1514,114528955990016
features3_transitions,contiguous,4096,32,0,2048,30823712,3.67447,57421815775232
features3_transitions,contiguous,4096,32,1,2048,30804835,3.67222,57421815775232
features3_transitions,contiguous,4096,32,2,2048,30808226,3.67263,57421815775232
features3_transitions,contiguous,4096,32,3,2048,30784458,3.66979,57421815775232
features3_transitions,contiguous,4096,32,4,2048,30808864,3.6727,57421815775232
features4_quadrants,contiguous,4096,32,0,1024,21072596,5.0241,5634914539487232
features4_quadrants,contiguous,4096,32,1,1024,21072013,5.02396,5634914539487232
features4_quadrants,contiguous,4096,32,2,1024,21081258,5.02616,5634914539487232
features4_quadrants,contiguous,4096,32,3,1024,21070233,5.02354,5634914539487232
features4_quadrants,contiguous,4096,32,4,1024,21077562,5.02528,5634914539487232
predict2,contiguous,4096,32,0,2048,30180278,3.59777,200052736
predict2,contiguous,4096,32,1,2048,30178804,3.59759,200052736
predict2,contiguous,4096,32,2,2048,30181098,3.59787,200052736
predict2,contiguous,4096,32,3,2048,30172951,3.5969,200052736
predict2,contiguous,4096,32,4,2048,30180127,3.59775,200052736
predict3_transitions,contiguous,4096,32,0,1024,20987784,5.00388,104639488
predict3_transitions,contiguous,4096,32,1,1024,20999711,5.00672,104639488
predict3_transitions,contiguous,4096,32,2,1024,20991519,5.00477,104639488
predict3_transitions,contiguous,4096,32,3,1024,20986945,5.00368,104639488
predict3_transitions,contiguous,4096,32,4,1024,21016390,5.0107,104639488
predict4_quadrants,contiguous,4096,32,0,1024,28481361,6.79049,104266752
predict4_quadrants,contiguous,4096,32,1,1024,28485963,6.79158,104266752
predict4_quadrants,contiguous,4096,32,2,1024,28511068,6.79757,104266752
predict4_quadrants,contiguous,4096,32,3,1024,28478213,6.78974,104266752
predict4_quadrants,contiguous,4096,32,4,1024,28485626,6.7915,104266752
features2_512grain,contiguous,4096,32,0,4096,36119854,2.15291,114528955990016
features2_512grain,contiguous,4096,32,1,4096,36097740,2.15159,114528955990016
features2_512grain,contiguous,4096,32,2,4096,36136314,2.15389,114528955990016
features2_512grain,contiguous,4096,32,3,4096,36104276,2.15198,114528955990016
features2_512grain,contiguous,4096,32,4,4096,36107232,2.15216,114528955990016
author_A_inline,stride48,4096,48,0,2048,30217135,3.60216,200052736
author_A_inline,stride48,4096,48,1,2048,30213452,3.60172,200052736
author_A_inline,stride48,4096,48,2,2048,30224238,3.60301,200052736
author_A_inline,stride48,4096,48,3,2048,30220145,3.60252,200052736
author_A_inline,stride48,4096,48,4,2048,30208178,3.6011,200052736
author_B_inline,stride48,4096,48,0,2048,30244164,3.60539,200052736
