case,layout,tiles,stride,repetition,sweeps,nanoseconds,ns_per_tile,checksum
author_A_inline,contiguous,4096,32,0,2048,24409231,2.90981,200052736
author_A_inline,contiguous,4096,32,1,2048,24413731,2.91034,200052736
author_A_inline,contiguous,4096,32,2,2048,24487391,2.91912,200052736
author_A_inline,contiguous,4096,32,3,2048,24440311,2.91351,200052736
author_A_inline,contiguous,4096,32,4,2048,24373691,2.90557,200052736
author_B_inline,contiguous,4096,32,0,2048,24319210,2.89908,200052736
author_B_inline,contiguous,4096,32,1,2048,24454431,2.9152,200052736
author_B_inline,contiguous,4096,32,2,2048,24419871,2.91108,200052736
author_B_inline,contiguous,4096,32,3,2048,24524061,2.9235,200052736
author_B_inline,contiguous,4096,32,4,2048,24403911,2.90917,200052736
cps_separate,contiguous,4096,32,0,2048,29151179,3.47509,200052736
cps_separate,contiguous,4096,32,1,2048,29231259,3.48464,200052736
cps_separate,contiguous,4096,32,2,2048,29190798,3.47981,200052736
cps_separate,contiguous,4096,32,3,2048,29235699,3.48517,200052736
cps_separate,contiguous,4096,32,4,2048,29159349,3.47607,200052736
cps_load_features_fused,contiguous,4096,32,0,2048,28016674,3.33985,200052736
cps_load_features_fused,contiguous,4096,32,1,2048,28037634,3.34235,200052736
cps_load_features_fused,contiguous,4096,32,2,2048,27974225,3.33479,200052736
cps_load_features_fused,contiguous,4096,32,3,2048,27959194,3.333,200052736
cps_load_features_fused,contiguous,4096,32,4,2048,27990754,3.33676,200052736
features2,contiguous,4096,32,0,8192,27201941,0.810681,229057911980032
features2,contiguous,4096,32,1,8192,27193381,0.810426,229057911980032
features2,contiguous,4096,32,2,8192,27192791,0.810408,229057911980032
features2,contiguous,4096,32,3,8192,27194341,0.810455,229057911980032
features2,contiguous,4096,32,4,8192,27216902,0.811127,229057911980032
features3_transitions,contiguous,4096,32,0,4096,23490147,1.40012,114843631550464
features3_transitions,contiguous,4096,32,1,4096,23433847,1.39677,114843631550464
features3_transitions,contiguous,4096,32,2,4096,23410287,1.39536,114843631550464
features3_transitions,contiguous,4096,32,3,4096,23450928,1.39778,114843631550464
features3_transitions,contiguous,4096,32,4,4096,23464237,1.39858,114843631550464
features4_quadrants,contiguous,4096,32,0,4096,32653252,1.94629,22539658157948928
features4_quadrants,contiguous,4096,32,1,4096,32553341,1.94033,22539658157948928
features4_quadrants,contiguous,4096,32,2,4096,32817912,1.9561,22539658157948928
features4_quadrants,contiguous,4096,32,3,4096,32540071,1.93954,22539658157948928
features4_quadrants,contiguous,4096,32,4,4096,32691072,1.94854,22539658157948928
predict2,contiguous,4096,32,0,2048,24201590,2.88505,200052736
predict2,contiguous,4096,32,1,2048,24198400,2.88467,200052736
predict2,contiguous,4096,32,2,2048,24213480,2.88647,200052736
predict2,contiguous,4096,32,3,2048,24233700,2.88888,200052736
predict2,contiguous,4096,32,4,2048,24195770,2.88436,200052736
predict3_transitions,contiguous,4096,32,0,2048,31676088,3.77608,209278976
predict3_transitions,contiguous,4096,32,1,2048,31688648,3.77758,209278976
predict3_transitions,contiguous,4096,32,2,2048,31678468,3.77637,209278976
predict3_transitions,contiguous,4096,32,3,2048,31646048,3.7725,209278976
predict3_transitions,contiguous,4096,32,4,2048,31700698,3.77902,209278976
predict4_quadrants,contiguous,4096,32,0,1024,20472146,4.88094,104266752
predict4_quadrants,contiguous,4096,32,1,1024,20505726,4.88895,104266752
predict4_quadrants,contiguous,4096,32,2,1024,20427607,4.87032,104266752
predict4_quadrants,contiguous,4096,32,3,1024,20467246,4.87977,104266752
predict4_quadrants,contiguous,4096,32,4,1024,20460596,4.87819,104266752
features2_512grain,contiguous,4096,32,0,8192,38477434,1.14672,229057911980032
features2_512grain,contiguous,4096,32,1,8192,38502853,1.14747,229057911980032
features2_512grain,contiguous,4096,32,2,8192,38490563,1.14711,229057911980032
features2_512grain,contiguous,4096,32,3,8192,38448973,1.14587,229057911980032
features2_512grain,contiguous,4096,32,4,8192,38501504,1.14743,229057911980032
author_A_inline,stride48,4096,48,0,2048,24325041,2.89977,200052736
author_A_inline,stride48,4096,48,1,2048,24277520,2.89411,200052736
author_A_inline,stride48,4096,48,2,2048,24328441,2.90018,200052736
author_A_inline,stride48,4096,48,3,2048,24358060,2.90371,200052736
author_A_inline,stride48,4096,48,4,2048,24327551,2.90007,200052736
author_B_inline,stride48,4096,48,0,2048,24216680,2.88685,200052736
