corpus,partition,population_stratum_min,population_tiles,sample_tiles
census-income,test,0,59874,2000
census-income,test,1,28548,2000
census-income,test,4,13245,2000
census-income,test,8,9647,2000
census-income,test,16,5877,2000
census-income,test,32,1860,1860
census-income,test,64,1684,1684
census-income,test,96,4967,2000
census-income,test,127,191,191
census-income,test,128,218,218
census-income,test,129,1812,1812
census-income,test,160,972,972
census-income,test,192,672,672
census-income,test,224,2084,2000
census-income,test,240,923,923
census-income,test,248,114,114
census-income,test,252,462,462
census-income,test,255,159,159
census-income,test,256,67,67
census-income_srt,test,0,90988,2000
census-income_srt,test,1,9257,2000
census-income_srt,test,4,4268,2000
census-income_srt,test,8,3540,2000
census-income_srt,test,16,2311,2000
census-income_srt,test,32,1394,1394
census-income_srt,test,64,566,566
census-income_srt,test,96,475,475
census-income_srt,test,127,18,18
census-income_srt,test,128,11,11
census-income_srt,test,129,371,371
census-income_srt,test,160,326,326
census-income_srt,test,192,302,302
census-income_srt,test,224,181,181
census-income_srt,test,240,105,105
census-income_srt,test,248,61,61
census-income_srt,test,252,90,90
census-income_srt,test,255,51,51
census-income_srt,test,256,8565,2000
census1881,validation,0,176587,2000
census1881,validation,1,76623,2000
census1881,validation,4,85978,2000
census1881,validation,8,34844,2000
census1881,validation,16,186,186
census1881,validation,32,39,39
census1881,validation,64,20,20
census1881,validation,96,12,12
census1881,validation,127,1,1
census1881,validation,129,6,6
census1881,validation,160,4,4
census1881,validation,192,11,11
census1881,validation,224,1,1
census1881,validation,240,1,1
census1881,validation,252,1,1
census1881,validation,255,1,1
census1881,validation,256,213,213
census1881_srt,validation,0,630107,2000
census1881_srt,validation,1,6306,2000
census1881_srt,validation,4,4090,2000
census1881_srt,validation,8,4169,2000
census1881_srt,validation,16,2050,2000
census1881_srt,validation,32,503,503
census1881_srt,validation,64,136,136
census1881_srt,validation,96,72,72
census1881_srt,validation,127,2,2
census1881_srt,validation,128,3,3
census1881_srt,validation,129,35,35
census1881_srt,validation,160,9,9
census1881_srt,validation,192,4,4
census1881_srt,validation,224,1,1
census1881_srt,validation,240,3,3
census1881_srt,validation,248,1,1
census1881_srt,validation,256,1981,1981
dimension_003,train,0,4244705,2000
dimension_003,train,1,5849,2000
dimension_003,train,4,2477,2000
