model,arithmetic,partition,slice,sample_tiles,weighted_tiles,mae_bytes,bias_bytes,rmse_bytes,p50_abs_bytes,p95_abs_bytes,p99_abs_bytes,max_abs_bytes,threshold_8_wrong_fraction,threshold_8_false_compress_fraction,threshold_8_missed_compress_fraction,threshold_16_wrong_fraction,threshold_16_false_compress_fraction,threshold_16_missed_compress_fraction,threshold_24_wrong_fraction,threshold_24_false_compress_fraction,threshold_24_missed_compress_fraction,threshold_32_wrong_fraction,threshold_32_false_compress_fraction,threshold_32_missed_compress_fraction
distance,q12,validation,partial,15052,215112.00000000006,1.5913646542266355,1.018627126799063,2.3043643696492295,1.0,3.0,4.0,44.0,0.1081412682695526,0.09516837740339916,0.012972890866153441,0.0031986825467663345,1.894362006768566e-05,0.0031797389266986493,0.001482948417568522,0.0,0.001482948417568522,0.0007670422849492355,0.0,0.0007670422849492355
distance,q12,test,partial,33018,96762.0,2.9753539250945615,0.962585007544284,4.571044803463974,3.0,7.0,21.0,44.0,0.07697696926479403,0.05258498170769516,0.024391987557098864,0.058904502800686216,0.037646157582522065,0.021258345218164155,0.034362663028874973,0.01785825013951758,0.016504412889357393,0.02864760959880945,0.01756888034559021,0.01107872925321924
distance,q12,test,corpus:census-income,23134,133376.0,1.4398778041026872,0.10829031459932811,2.3105122571834604,0.0,5.0,7.0,27.0,0.0318972528790787,0.03188975527831094,7.497600767754318e-06,0.024343851217610363,0.02430636321377159,3.748800383877159e-05,0.012266074856046066,0.012228586852207294,3.748800383877159e-05,0.012648452495201535,0.012625959692898273,2.2492802303262957e-05
distance,q12,test,corpus:census-income_srt,15951,122880.00000000003,0.7800785685221352,0.6404485799153645,3.2647968802719705,0.0,3.0,18.0,44.0,0.025993794759114577,0.006794433593749998,0.019199361165364578,0.019961197916666663,0.003261979166666665,0.016699218749999994,0.013745117187499998,0.0007893880208333331,0.012955729166666664,0.008829752604166664,0.0001302083333333333,0.008699544270833331
distance,q12,synthetic_stress,partial,7353,7353.0,9.25186998504012,4.146198830409356,13.367057513685928,6.0,33.0,39.0,44.0,0.28450972392220863,0.012919896640826873,0.27158982728138176,0.2841017271861825,0.06092751257989936,0.22317421460628314,0.27757377940976474,0.10784713722290222,0.1697266421868625,0.21297429620563035,0.10335917312661498,0.10961512307901537
distance_piecewise,q12,validation,partial,15052,215112.00000000006,0.55315888467403,-0.18008834932500264,1.647323531037498,0.0,1.0,5.0,34.0,0.06844034270519542,0.051334021347019206,0.0171063213581762,0.00545343820893302,4.648741120904458e-06,0.005448789467812115,0.002203503291308713,0.0,0.002203503291308713,0.0009018557774554648,0.0,0.0009018557774554648
distance_piecewise,q12,test,partial,33018,96762.0,1.4895176825613363,-0.0784943159504765,3.875525290253873,0.0,5.0,22.0,34.0,0.046603000144684895,0.018361050825737375,0.028241949318947523,0.04603246109009734,0.017266029019656477,0.02876643207044088,0.02592960046299167,0.004743597693309357,0.021186002769682313,0.025547218949587648,0.012742605568301606,0.012804613381286042
distance_piecewise,q12,test,corpus:census-income,23134,133376.0,0.5445275536828216,-0.5408397612763917,1.2593214492479625,0.0,3.0,5.0,28.0,0.011530800143953933,0.011515804942418424,1.4995201535508637e-05,0.012048591950575815,0.011989072246881,5.951970369481766e-05,0.0031040067178502878,0.003059021113243762,4.4985604606525913e-05,0.009207053742802304,0.009184560940499041,2.2492802303262957e-05
distance_piecewise,q12,test,corpus:census-income_srt,15951,122880.00000000003,0.5818831624348957,0.5252260498046873,3.1789818243351315,0.0,1.0,20.0,34.0,0.024181864420572907,0.0019589843749999994,0.02222288004557291,0.02317057291666666,0.0005830159505208331,0.022587556966145828,0.01704915364583333,0.0004150390624999999,0.016634114583333328,0.010123697916666664,6.510416666666665e-05,0.010058593749999997
distance_piecewise,q12,synthetic_stress,partial,7353,7353.0,8.375764993880049,4.7620019039847685,12.817251099381414,4.0,30.0,31.0,34.0,0.2817897456820345,0.00380796953624371,0.27798177614579084,0.27050183598531213,0.013327893376852985,0.2571739426084591,0.24316605467156263,0.04392764857881137,0.19923840609275126,0.1869985040119679,0.05915952672378621,0.1278389772881817
distance_enum,q12,validation,partial,15052,215112.00000000006,0.575397055952248,0.1719397871806315,0.7759789868904335,1.0,1.0,1.0,6.0,0.05616071860240245,0.05615102830153592,9.690300866525341e-06,8.402599576034807e-05,8.402599576034807e-05,0.0,9.297482241808915e-06,9.297482241808915e-06,0.0,0.0,0.0,0.0
