variant,source,object,last_successful_edge_ms,recorded_successful_edges,sum_recorded_edge_ms
before,ikea/src/seriespack/view.cpp,ikea/CMakeFiles/ikea_seriespack.dir/src/seriespack/view.cpp.o,233,1,233
before,ikea/src/seriespack/operations.cpp,ikea/CMakeFiles/ikea_seriespack.dir/src/seriespack/operations.cpp.o,30336,1,30336
before,ikea/src/seriespack/native.cpp,ikea/CMakeFiles/ikea_seriespack.dir/src/seriespack/native.cpp.o,64797,1,64797
before,ikea/test/seriespack/operations.cpp,ikea/CMakeFiles/ikea_seriespack_operations_check.dir/test/seriespack/operations.cpp.o,2067,1,2067
before,ikea/test/seriespack/physical_operations.cpp,ikea/CMakeFiles/ikea_seriespack_physical_operations_check.dir/test/seriespack/physical_operations.cpp.o,1091,1,1091
before,ikea/test/seriespack/range_bounds.cpp,ikea/CMakeFiles/ikea_seriespack_range_bounds_check.dir/test/seriespack/range_bounds.cpp.o,570,1,570
before,workbench/benchmarks/seriespack/seriespack_bench.cpp,workbench/benchmarks/seriespack/CMakeFiles/ikea_seriespack_bench.dir/seriespack_bench.cpp.o,1508,1,1508
before,workbench/benchmarks/seriespack/seriespack_points.cpp,workbench/benchmarks/seriespack/CMakeFiles/ikea_seriespack_bench.dir/seriespack_points.cpp.o,7744,1,7744
before,workbench/benchmarks/seriespack/seriespack_composition_bench.cpp,workbench/benchmarks/seriespack/CMakeFiles/ikea_seriespack_bench.dir/seriespack_composition_bench.cpp.o,12949,1,12949
before,workbench/benchmarks/seriespack/seriespack_casing_bench.cpp,workbench/benchmarks/seriespack/CMakeFiles/ikea_seriespack_bench.dir/seriespack_casing_bench.cpp.o,2199,1,2199
before,workbench/benchmarks/seriespack/seriespack_predecessor.cpp,workbench/benchmarks/seriespack/CMakeFiles/ikea_seriespack_bench.dir/seriespack_predecessor.cpp.o,1144,1,1144
before,workbench/benchmarks/seriespack/ordinary_runtime_bench.cpp,workbench/benchmarks/seriespack/CMakeFiles/ikea_seriespack_bench.dir/ordinary_runtime_bench.cpp.o,1090,1,1090
before,workbench/benchmarks/seriespack/ordinary_transition_bench.cpp,workbench/benchmarks/seriespack/CMakeFiles/ikea_seriespack_bench.dir/ordinary_transition_bench.cpp.o,1107,1,1107
before,workbench/benchmarks/seriespack/seriespack_prior.cpp,workbench/benchmarks/seriespack/CMakeFiles/ikea_seriespack_prior.dir/seriespack_prior.cpp.o,13034,1,13034
before,_deps/googlebenchmark-src/src/benchmark.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/benchmark.cc.o,1536,1,1536
before,_deps/googlebenchmark-src/src/benchmark_api_internal.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/benchmark_api_internal.cc.o,453,1,453
before,_deps/googlebenchmark-src/src/benchmark_name.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/benchmark_name.cc.o,325,1,325
before,_deps/googlebenchmark-src/src/benchmark_register.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/benchmark_register.cc.o,2964,1,2964
before,_deps/googlebenchmark-src/src/benchmark_runner.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/benchmark_runner.cc.o,1043,1,1043
before,_deps/googlebenchmark-src/src/check.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/check.cc.o,200,1,200
before,_deps/googlebenchmark-src/src/colorprint.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/colorprint.cc.o,267,1,267
before,_deps/googlebenchmark-src/src/commandlineflags.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/commandlineflags.cc.o,601,1,601
before,_deps/googlebenchmark-src/src/complexity.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/complexity.cc.o,589,1,589
before,_deps/googlebenchmark-src/src/console_reporter.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/console_reporter.cc.o,476,1,476
before,_deps/googlebenchmark-src/src/counter.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/counter.cc.o,367,1,367
before,_deps/googlebenchmark-src/src/csv_reporter.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/csv_reporter.cc.o,558,1,558
before,_deps/googlebenchmark-src/src/json_reporter.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/json_reporter.cc.o,644,1,644
before,_deps/googlebenchmark-src/src/perf_counters.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/perf_counters.cc.o,442,1,442
before,_deps/googlebenchmark-src/src/reporter.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/reporter.cc.o,436,1,436
before,_deps/googlebenchmark-src/src/statistics.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/statistics.cc.o,771,1,771
before,_deps/googlebenchmark-src/src/string_util.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/string_util.cc.o,503,1,503
before,_deps/googlebenchmark-src/src/sysinfo.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/sysinfo.cc.o,763,1,763
before,_deps/googlebenchmark-src/src/timers.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/timers.cc.o,414,1,414
after,ikea/src/seriespack/view.cpp,ikea/CMakeFiles/ikea_seriespack.dir/src/seriespack/view.cpp.o,230,1,230
after,ikea/src/seriespack/operations.cpp,ikea/CMakeFiles/ikea_seriespack.dir/src/seriespack/operations.cpp.o,29785,1,29785
after,ikea/src/seriespack/native.cpp,ikea/CMakeFiles/ikea_seriespack.dir/src/seriespack/native.cpp.o,63924,1,63924
after,ikea/test/seriespack/operations.cpp,ikea/CMakeFiles/ikea_seriespack_operations_check.dir/test/seriespack/operations.cpp.o,1954,1,1954
after,ikea/test/seriespack/physical_operations.cpp,ikea/CMakeFiles/ikea_seriespack_physical_operations_check.dir/test/seriespack/physical_operations.cpp.o,1066,1,1066
after,ikea/test/seriespack/range_bounds.cpp,ikea/CMakeFiles/ikea_seriespack_range_bounds_check.dir/test/seriespack/range_bounds.cpp.o,560,1,560
after,workbench/benchmarks/seriespack/seriespack_bench.cpp,workbench/benchmarks/seriespack/CMakeFiles/ikea_seriespack_bench.dir/seriespack_bench.cpp.o,1470,1,1470
after,workbench/benchmarks/seriespack/seriespack_points.cpp,workbench/benchmarks/seriespack/CMakeFiles/ikea_seriespack_bench.dir/seriespack_points.cpp.o,7581,1,7581
after,workbench/benchmarks/seriespack/seriespack_composition_bench.cpp,workbench/benchmarks/seriespack/CMakeFiles/ikea_seriespack_bench.dir/seriespack_composition_bench.cpp.o,12654,1,12654
after,workbench/benchmarks/seriespack/seriespack_casing_bench.cpp,workbench/benchmarks/seriespack/CMakeFiles/ikea_seriespack_bench.dir/seriespack_casing_bench.cpp.o,2179,1,2179
after,workbench/benchmarks/seriespack/seriespack_predecessor.cpp,workbench/benchmarks/seriespack/CMakeFiles/ikea_seriespack_bench.dir/seriespack_predecessor.cpp.o,1100,1,1100
after,workbench/benchmarks/seriespack/ordinary_runtime_bench.cpp,workbench/benchmarks/seriespack/CMakeFiles/ikea_seriespack_bench.dir/ordinary_runtime_bench.cpp.o,1071,1,1071
after,workbench/benchmarks/seriespack/ordinary_transition_bench.cpp,workbench/benchmarks/seriespack/CMakeFiles/ikea_seriespack_bench.dir/ordinary_transition_bench.cpp.o,1091,1,1091
after,workbench/benchmarks/seriespack/seriespack_prior.cpp,workbench/benchmarks/seriespack/CMakeFiles/ikea_seriespack_prior.dir/seriespack_prior.cpp.o,12751,1,12751
after,_deps/googlebenchmark-src/src/benchmark.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/benchmark.cc.o,1541,1,1541
after,_deps/googlebenchmark-src/src/benchmark_api_internal.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/benchmark_api_internal.cc.o,446,1,446
after,_deps/googlebenchmark-src/src/benchmark_name.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/benchmark_name.cc.o,323,1,323
after,_deps/googlebenchmark-src/src/benchmark_register.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/benchmark_register.cc.o,2921,1,2921
after,_deps/googlebenchmark-src/src/benchmark_runner.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/benchmark_runner.cc.o,1042,1,1042
after,_deps/googlebenchmark-src/src/check.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/check.cc.o,192,1,192
after,_deps/googlebenchmark-src/src/colorprint.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/colorprint.cc.o,256,1,256
after,_deps/googlebenchmark-src/src/commandlineflags.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/commandlineflags.cc.o,592,1,592
after,_deps/googlebenchmark-src/src/complexity.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/complexity.cc.o,576,1,576
after,_deps/googlebenchmark-src/src/console_reporter.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/console_reporter.cc.o,469,1,469
after,_deps/googlebenchmark-src/src/counter.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/counter.cc.o,375,1,375
after,_deps/googlebenchmark-src/src/csv_reporter.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/csv_reporter.cc.o,558,1,558
after,_deps/googlebenchmark-src/src/json_reporter.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/json_reporter.cc.o,645,1,645
after,_deps/googlebenchmark-src/src/perf_counters.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/perf_counters.cc.o,441,1,441
after,_deps/googlebenchmark-src/src/reporter.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/reporter.cc.o,427,1,427
after,_deps/googlebenchmark-src/src/statistics.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/statistics.cc.o,736,1,736
after,_deps/googlebenchmark-src/src/string_util.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/string_util.cc.o,494,1,494
after,_deps/googlebenchmark-src/src/sysinfo.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/sysinfo.cc.o,765,1,765
after,_deps/googlebenchmark-src/src/timers.cc,_deps/googlebenchmark-build/src/CMakeFiles/benchmark.dir/timers.cc.o,411,1,411
