case,control,control_case,before_ordinary,before_control,before_over_control,after_ordinary,after_control,after_over_control,after_ranges_ordinary_slower,after_ranges_ordinary_faster
bulk/series/avx2/local/k1/h0/u64/encode,calico,bulk/calico/local/k1/h0/u64/encode,0.12129851815661363,0.1460865334828801,0.8303196418226231,0.12097849902440652,0.14566574157652185,0.8305212860283521,False,True
bulk/series/avx2/local/k1/h0/u64/decode,calico,bulk/calico/local/k1/h0/u64/decode,0.13518257728053082,0.13766311152974736,0.9819811260863407,0.13192880887804798,0.13837854523451473,0.9533906333128725,False,True
bulk/series/avx2/local/k1/h0/u8/encode,predecessor,bulk/predecessor/local/k1/h0/u8/encode,0.012219174135978113,0.00820677478432717,1.4889130574551157,0.011038136011031489,0.008228462689226557,1.3414578673952802,True,False
bulk/series/avx2/local/k1/h0/u8/encode,calico,bulk/calico/local/k1/h0/u8/encode,0.012219174135978113,0.008261024217661539,1.479135493859745,0.011038136011031489,0.008255603146542348,1.3370477983373674,True,False
bulk/series/avx2/local/k1/h0/u8/decode,predecessor,bulk/predecessor/local/k1/h0/u8/decode,0.010518778541502996,0.00995448208422587,1.0566876762148505,0.010345404375240135,0.010192597838958914,1.0149919126306692,True,False
bulk/series/avx2/local/k1/h0/u8/decode,calico,bulk/calico/local/k1/h0/u8/decode,0.010518778541502996,0.009847138317957234,1.0682066405344344,0.010345404375240135,0.00981896250204271,1.0536148165437953,True,False
bulk/series/avx512/local/k1/h0/u64/encode,calico,bulk/calico/local/k1/h0/u64/encode,0.0679211192927533,0.1460865334828801,0.46493757962100585,0.06785473846119248,0.14566574157652185,0.46582496149615726,False,True
bulk/series/avx512/local/k1/h0/u64/decode,calico,bulk/calico/local/k1/h0/u64/decode,0.13811373853407738,0.13766311152974736,1.003273404177216,0.13175929835401626,0.13837854523451473,0.9521656563936222,False,True
bulk/series/avx512/local/k1/h0/u8/encode,predecessor,bulk/predecessor/local/k1/h0/u8/encode,0.009493712370540777,0.00820677478432717,1.1568140493719077,0.00947942206990776,0.008228462689226557,1.1520283226560741,True,False
bulk/series/avx512/local/k1/h0/u8/encode,calico,bulk/calico/local/k1/h0/u8/encode,0.009493712370540777,0.008261024217661539,1.1492173513114547,0.00947942206990776,0.008255603146542348,1.1482410069430211,True,False
