case,control,control_case,before_ordinary,before_control,before_over_control,after_ordinary,after_control,after_over_control,after_ranges_ordinary_slower,after_ranges_ordinary_faster
resident/series/avx2/local/k1/h0/u64/get16,predecessor,resident/predecessor/local/k1/h0/u64/get16,10.29306751722871,6.2569107490918645,1.64507181418924,3.675741936305161,6.270086499500711,0.5862346455025559,False,True
resident/series/avx2/local/k1/h0/u64/get16,calico,resident/calico/local/k1/h0/u64/get16,10.29306751722871,2.6861282839054974,3.8319344533549606,3.675741936305161,2.6897612011752035,1.3665681305459998,True,False
resident/series/avx2/local/k1/h0/u64/get16,admitted,resident/series/avx2/local/k1/h0/u64/admitted-region/get16,10.29306751722871,2.1336151778012455,4.824238046448482,3.675741936305161,2.1378485857782668,1.7193649544488374,True,False
resident/series/avx2/local/k1/h0/u64/get16,raw,resident/series/avx2/local/k1/h0/u64/raw-dense/get16,10.29306751722871,1.9457170384829516,5.290115321832239,3.675741936305161,1.928603551631823,1.9059085176914954,True,False
resident/series/avx512/local/k1/h0/u64/get16,predecessor,resident/predecessor/local/k1/h0/u64/get16,13.423840415380075,6.2569107490918645,2.145442208413861,7.292318091646218,6.270086499500711,1.1630330924823615,True,False
resident/series/avx512/local/k1/h0/u64/get16,calico,resident/calico/local/k1/h0/u64/get16,13.423840415380075,2.6861282839054974,4.997468101509462,7.292318091646218,2.6897612011752035,2.7111395942733045,True,False
resident/series/avx512/local/k1/h0/u64/get16,admitted,resident/series/avx512/local/k1/h0/u64/admitted-region/get16,13.423840415380075,6.534626552209796,2.0542628271298184,7.292318091646218,6.515060982621398,1.1193015861398865,True,False
resident/series/avx512/local/k1/h0/u64/get16,raw,resident/series/avx512/local/k1/h0/u64/raw-dense/get16,13.423840415380075,6.26971554023344,2.141060520088646,7.292318091646218,6.259433324975241,1.1650125040152994,True,False
resident/series/avx2/striped/k1/h0/u64/get16,predecessor,resident/predecessor/striped/k1/h0/u64/get16,9.805317625614721,6.257262860828422,1.5670298409545416,3.6837571426165754,6.274938935363725,0.5870586440062381,False,True
resident/series/avx2/striped/k1/h0/u64/get16,calico,resident/calico/striped/k1/h0/u64/get16,9.805317625614721,3.4983032380614203,2.802878126439469,3.6837571426165754,3.494455640946513,1.0541719572719452,True,False
