case,control,control_case,before_ordinary,before_control,before_over_control,after_ordinary,after_control,after_over_control,after_ranges_ordinary_slower,after_ranges_ordinary_faster
resident/series/neon/local/k1/h0/u64/get16,predecessor,resident/predecessor/local/k1/h0/u64/get16,4.89121223850357,4.041237356814433,1.2103254044843195,4.804960484906227,4.03750266670964,1.190082306204896,True,False
resident/series/neon/local/k1/h0/u64/get16,calico,resident/calico/local/k1/h0/u64/get16,4.89121223850357,6.502047589710955,0.7522572191325666,4.804960484906227,6.5439811007098,0.7342564733851464,False,True
resident/series/neon/local/k1/h0/u64/get16,admitted,resident/series/neon/local/k1/h0/u64/admitted-region/get16,4.89121223850357,3.8473499611371276,1.271319814394508,4.804960484906227,3.8495891173149106,1.2481748930799368,True,False
resident/series/neon/local/k1/h0/u64/get16,raw,resident/series/neon/local/k1/h0/u64/raw-dense/get16,4.89121223850357,3.6488219439347898,1.3404907977584186,4.804960484906227,3.6494601575236443,1.3166222612405918,True,False
resident/series/neon/striped/k1/h0/u64/get16,predecessor,resident/predecessor/striped/k1/h0/u64/get16,4.916554870633618,4.306433451403163,1.141676732292626,4.873630466316923,4.384866639039543,1.1114660644238974,True,False
resident/series/neon/striped/k1/h0/u64/get16,calico,resident/calico/striped/k1/h0/u64/get16,4.916554870633618,7.495973222175175,0.6558928006958563,4.873630466316923,7.493771266884937,0.6503575159617633,False,True
resident/series/neon/striped/k1/h0/u64/get16,admitted,resident/series/neon/striped/k1/h0/u64/admitted-region/get16,4.916554870633618,3.948672904223161,1.2451157616462214,4.873630466316923,3.945647739363737,1.23519147887815,True,False
resident/series/neon/striped/k1/h0/u64/get16,raw,resident/series/neon/striped/k1/h0/u64/raw-dense/get16,4.916554870633618,4.257390740325696,1.15482819654404,4.873630466316923,4.3765949511843925,1.1135667158319102,True,False
resident/series/neon/local/k2/h0/u64/get16,predecessor,resident/predecessor/local/k2/h0/u64/get16,5.3031998264637075,4.512318584528411,1.1752715875707505,5.277573358895444,4.51813048702573,1.1680878571458995,True,False
resident/series/neon/local/k2/h0/u64/get16,calico,resident/calico/local/k2/h0/u64/get16,5.3031998264637075,7.360941423063082,0.7204513012218627,5.277573358895444,7.361522662916071,0.7169132801127416,False,True
resident/series/neon/local/k2/h0/u64/get16,admitted,resident/series/neon/local/k2/h0/u64/admitted-region/get16,5.3031998264637075,5.086310400372287,1.042641799068249,5.277573358895444,4.941456562482212,1.068019781650047,True,False
resident/series/neon/local/k2/h0/u64/get16,raw,resident/series/neon/local/k2/h0/u64/raw-dense/get16,5.3031998264637075,4.5332564676622225,1.1698433266006105,5.277573358895444,4.243555607717996,1.2436677745654663,True,False
